산업별,2022년 원지수,2023년 원지수,2024년 원지수
합계,21724,21954,22143
사회 간접자본 및 기타,17475,17815,18049
사업개인공공서비스,9573,9853,9943
광업 및 제조업,4134,4035,3987
C 제조업,4128,4028,3981
도소매 및 숙박음식업,3492,3572,3600
Q 보건업 및 사회복지 서비스업,2694,2841,2899
전기운수통신금융,2671,2686,2870
G 도매 및 소매업,2151,2133,2131
F 건설업,1740,1703,1637
P 교육 서비스업,1592,1585,1587
I 숙박 및 음식점업,1340,1440,1468
N Business facilities management and business support services; rental and leasing activities,1300,1328,1308
O Public administration and denfence; compulsory social security,1252,1272,1297
"M 전문, 과학 및 기술 서비스업",1119,1167,1247
J 정보통신업,925,957,1025
H 운수 및 창고업,914,899,988
K 금융 및 보험업,751,739,771
"S Membership organizations, repair and other personal services",670,704,683
L 부동산업,399,392,352
"R Arts, sports and recreation related services",320,347,355
"E 수도, 하수 및 폐기물 처리, 원료 재생업",130,135,127
"A 농업, 임업 및 어업",115,104,107
"D 전기, 가스, 증기 및 공기 조절 공급업",81,92,86
T Activities of households as employers; undifferentiated goods-and services-producing activities of households for own use,79,65,74
U Activities of extraterritorial organizations and bodies,18,17,14
B 광업,6,7,6
