출발_시군,도착지방향1종교통량,도착지방향2종교통량,도착지방향3종교통량,도착지방향4종교통량,도착지방향5종교통량,도착지방향6종교통량,도착지방향총교통량,출발지방향1종교통량,출발지방향2종교통량,출발지방향3종교통량,출발지방향4종교통량,출발지방향5종교통량,출발지방향6종교통량,출발지방향총교통량,도착지방향_교통량합계,출발지방향_교통량합계,전체_교통량_총합
고창군,111.0,3.0,4.0,12.0,7.0,3.0,140.0,127.0,3.0,6.0,5.0,8.0,2.0,151.0,140.0,151.0,291
군산시,2516.0,78.0,189.0,187.0,279.0,87.0,3336.0,2420.0,97.0,213.0,157.0,281.0,78.0,3246.0,3336.0,3246.0,6582
김제시,252.0,41.0,37.0,86.0,35.0,8.0,459.0,319.0,28.0,29.0,46.0,33.0,11.0,466.0,459.0,466.0,925
남원시,182.0,5.0,9.0,19.0,29.0,5.0,249.0,155.0,5.0,10.0,15.0,17.0,3.0,205.0,249.0,205.0,454
무주군,333.0,20.0,8.0,8.0,12.0,13.0,394.0,329.0,19.0,5.0,12.0,13.0,14.0,392.0,394.0,392.0,786
부안군,298.0,13.0,40.0,22.0,24.0,8.0,405.0,358.0,9.0,23.0,15.0,18.0,5.0,428.0,405.0,428.0,833
순창군,18.0,2.0,2.0,15.0,11.0,0.0,48.0,8.0,1.0,3.0,2.0,7.0,0.0,21.0,48.0,21.0,69
완주군,945.0,25.0,32.0,37.0,87.0,35.0,1161.0,1140.0,29.0,39.0,44.0,72.0,34.0,1358.0,1161.0,1358.0,2519
익산시,1868.0,149.0,222.0,411.0,376.0,43.0,3069.0,1839.0,130.0,218.0,311.0,365.0,53.0,2916.0,3069.0,2916.0,5985
임실군,565.0,11.0,48.0,46.0,97.0,12.0,779.0,543.0,13.0,51.0,46.0,55.0,14.0,722.0,779.0,722.0,1501
장수군,72.0,3.0,2.0,8.0,9.0,9.0,103.0,72.0,3.0,3.0,2.0,5.0,0.0,85.0,103.0,85.0,188
전주시,3951.0,136.0,364.0,215.0,288.0,120.0,5074.0,3766.0,136.0,390.0,238.0,397.0,129.0,5056.0,5074.0,5056.0,10130
정읍시,493.0,42.0,45.0,107.0,82.0,6.0,775.0,465.0,33.0,57.0,62.0,59.0,6.0,682.0,775.0,682.0,1457
진안군,94.0,2.0,2.0,8.0,3.0,3.0,112.0,101.0,2.0,6.0,1.0,1.0,7.0,118.0,112.0,118.0,230
