시도,군구,관광지,내/외국인,총계(2023.01 ~ 2025.12),2023년,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0,Unnamed: 13_level_0,Unnamed: 14_level_0,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,2024년,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0,Unnamed: 29_level_0,Unnamed: 30_level_0,2025년,Unnamed: 32_level_0,Unnamed: 33_level_0,Unnamed: 34_level_0,Unnamed: 35_level_0,Unnamed: 36_level_0,Unnamed: 37_level_0,Unnamed: 38_level_0,Unnamed: 39_level_0,Unnamed: 40_level_0,Unnamed: 41_level_0,Unnamed: 42_level_0,Unnamed: 43_level_0,Unnamed: 44_level_0,통합
Unnamed: 0_level_1,Unnamed: 1_level_1,Unnamed: 2_level_1,Unnamed: 3_level_1,Unnamed: 4_level_1,인원계,2023년 01월,2023년 02월,2023년 03월,2023년 04월,2023년 05월,2023년 06월,2023년 07월,2023년 08월,2023년 09월,2023년 10월,2023년 11월,2023년 12월,인원계,2024년 01월,2024년 02월,2024년 03월,2024년 04월,2024년 05월,2024년 06월,2024년 07월,2024년 08월,2024년 09월,2024년 10월,2024년 11월,2024년 12월,인원계,2025년 01월,2025년 02월,2025년 03월,2025년 04월,2025년 05월,2025년 06월,2025년 07월,2025년 08월,2025년 09월,2025년 10월,2025년 11월,2025년 12월,Unnamed: 44_level_1,3개년합계
인천광역시,옹진군,북도면,내국인,"997,485",347254.0,"11,691","14,143","23,546","38,666","36,032","43,665","28,786","32,825","42,011","44,843","18,041","13,005",341074.0,"10,285","16,132","19,073","43,863","38,732","39,295","22,167","35,704","38,406","40,619","24,266","12,532",309157.0,"11,175","9,832","19,949","30,808","42,344","36,211","26,322","33,445","26,064","39,030","22,376","11,601",,997485.0
인천광역시,옹진군,북도면,합계,"997,485",347254.0,"11,691","14,143","23,546","38,666","36,032","43,665","28,786","32,825","42,011","44,843","18,041","13,005",341074.0,"10,285","16,132","19,073","43,863","38,732","39,295","22,167","35,704","38,406","40,619","24,266","12,532",309157.0,"11,175","9,832","19,949","30,808","42,344","36,211","26,322","33,445","26,064","39,030","22,376","11,601",,997485.0
인천광역시,강화군,강화전적지5개소,내국인,"961,690",384627.0,"14,810","23,623","27,691","58,045","50,389","35,729","21,104","22,602","34,109","49,702","29,053","17,770",280848.0,"15,837","21,949","24,180","40,416","32,929","21,627","13,795","14,702","23,739","37,551","24,619","9,504",296215.0,"14,497","13,628","18,742","32,098","44,679","28,498","12,809","18,988","22,396","44,762","31,817","13,301",,961690.0
인천광역시,강화군,강화전적지5개소,외국인,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0
인천광역시,강화군,강화전적지5개소,합계,"961,690",384627.0,"14,810","23,623","27,691","58,045","50,389","35,729","21,104","22,602","34,109","49,702","29,053","17,770",280848.0,"15,837","21,949","24,180","40,416","32,929","21,627","13,795","14,702","23,739","37,551","24,619","9,504",296215.0,"14,497","13,628","18,742","32,098","44,679","28,498","12,809","18,988","22,396","44,762","31,817","13,301",,961690.0
인천광역시,강화군,화개정원,내국인,"961,501",0.0,,,,,,,,,,,,,515622.0,"14,513","21,078","28,598","117,174","61,037","47,633","22,531","26,395","35,581","74,568","49,597","16,917",445879.0,"16,025","12,847","25,937","39,367","64,441","43,344","16,808","27,817","41,240","85,384","59,071","13,598",,961501.0
인천광역시,강화군,화개정원,합계,"961,501",0.0,,,,,,,,,,,,,515622.0,"14,513","21,078","28,598","117,174","61,037","47,633","22,531","26,395","35,581","74,568","49,597","16,917",445879.0,"16,025","12,847","25,937","39,367","64,441","43,344","16,808","27,817","41,240","85,384","59,071","13,598",,961501.0
인천광역시,중구,월미바다열차,내국인,"779,058",263383.0,"14,313","11,807","20,408","27,677","27,348","26,600","20,912","23,670","24,637","30,656","18,370","16,985",264077.0,"15,113","18,344","18,495","29,738","29,292","29,343","19,611","21,792","18,438","28,784","18,948","16,179",251598.0,"16,941","14,219","19,572","24,655","27,466","24,795","18,495","24,315","18,767","27,699","20,025","14,649",,779058.0
인천광역시,중구,월미바다열차,합계,"779,058",263383.0,"14,313","11,807","20,408","27,677","27,348","26,600","20,912","23,670","24,637","30,656","18,370","16,985",264077.0,"15,113","18,344","18,495","29,738","29,292","29,343","19,611","21,792","18,438","28,784","18,948","16,179",251598.0,"16,941","14,219","19,572","24,655","27,466","24,795","18,495","24,315","18,767","27,699","20,025","14,649",,779058.0
