CTPRVN_NM,SIGNGU_NM,ADSTRD_CD,PRFPLC_CO,FOOD_FCLTY_CO,LDGMNT_FCLTY_CO,POPLTN_CO,FILE_NM,BASE_DE
인천광역시,강화군,2871025000,13,623,58,52412,KC_624_DMSTC_MIEC_STATN_BIZAEA_2024,20241015
인천광역시,강화군,2871031000,4,148,27,52412,KC_624_DMSTC_MIEC_STATN_BIZAEA_2024,20241015
인천광역시,강화군,2871032000,0,70,36,52412,KC_624_DMSTC_MIEC_STATN_BIZAEA_2024,20241015
인천광역시,강화군,2871033000,9,371,170,52412,KC_624_DMSTC_MIEC_STATN_BIZAEA_2024,20241015
인천광역시,강화군,2871034000,2,234,467,52412,KC_624_DMSTC_MIEC_STATN_BIZAEA_2024,20241015
인천광역시,강화군,2871035000,0,66,74,52412,KC_624_DMSTC_MIEC_STATN_BIZAEA_2024,20241015
인천광역시,강화군,2871036000,5,130,133,52412,KC_624_DMSTC_MIEC_STATN_BIZAEA_2024,20241015
인천광역시,강화군,2871037000,6,63,18,52412,KC_624_DMSTC_MIEC_STATN_BIZAEA_2024,20241015
인천광역시,강화군,2871038000,1,12,10,52412,KC_624_DMSTC_MIEC_STATN_BIZAEA_2024,20241015
인천광역시,강화군,2871039000,3,27,29,52412,KC_624_DMSTC_MIEC_STATN_BIZAEA_2024,20241015
인천광역시,강화군,2871040000,0,69,16,52412,KC_624_DMSTC_MIEC_STATN_BIZAEA_2024,20241015
인천광역시,강화군,2871041000,0,119,165,52412,KC_624_DMSTC_MIEC_STATN_BIZAEA_2024,20241015
인천광역시,강화군,2871042000,0,8,49,52412,KC_624_DMSTC_MIEC_STATN_BIZAEA_2024,20241015
인천광역시,계양구,2824560100,1,251,0,237203,KC_624_DMSTC_MIEC_STATN_BIZAEA_2024,20241015
인천광역시,계양구,2824560200,0,281,17,237203,KC_624_DMSTC_MIEC_STATN_BIZAEA_2024,20241015
인천광역시,계양구,2824561100,1,700,50,237203,KC_624_DMSTC_MIEC_STATN_BIZAEA_2024,20241015
인천광역시,계양구,2824561200,3,294,6,237203,KC_624_DMSTC_MIEC_STATN_BIZAEA_2024,20241015
인천광역시,계양구,2824561300,1,212,0,237203,KC_624_DMSTC_MIEC_STATN_BIZAEA_2024,20241015
인천광역시,계양구,2824561400,3,714,18,237203,KC_624_DMSTC_MIEC_STATN_BIZAEA_2024,20241015
인천광역시,계양구,2824562100,1,292,2,237203,KC_624_DMSTC_MIEC_STATN_BIZAEA_2024,20241015
인천광역시,계양구,2824562200,0,461,10,237203,KC_624_DMSTC_MIEC_STATN_BIZAEA_2024,20241015
인천광역시,계양구,2824564000,5,364,24,237203,KC_624_DMSTC_MIEC_STATN_BIZAEA_2024,20241015
인천광역시,계양구,2824571000,2,210,2,237203,KC_624_DMSTC_MIEC_STATN_BIZAEA_2024,20241015
인천광역시,계양구,2824572000,1,470,5,237203,KC_624_DMSTC_MIEC_STATN_BIZAEA_2024,20241015
인천광역시,계양구,2824573000,1,213,2,237203,KC_624_DMSTC_MIEC_STATN_BIZAEA_2024,20241015
인천광역시,남동구,2820051000,3,631,9,434047,KC_624_DMSTC_MIEC_STATN_BIZAEA_2024,20241015
인천광역시,남동구,2820052000,0,255,1,434047,KC_624_DMSTC_MIEC_STATN_BIZAEA_2024,20241015
인천광역시,남동구,2820052100,13,1695,28,434047,KC_624_DMSTC_MIEC_STATN_BIZAEA_2024,20241015
인천광역시,남동구,2820052200,0,414,1,434047,KC_624_DMSTC_MIEC_STATN_BIZAEA_2024,20241015
인천광역시,남동구,2820053000,0,369,11,434047,KC_624_DMSTC_MIEC_STATN_BIZAEA_2024,20241015
인천광역시,남동구,2820054000,0,433,52,434047,KC_624_DMSTC_MIEC_STATN_BIZAEA_2024,20241015
인천광역시,남동구,2820055000,0,406,10,434047,KC_624_DMSTC_MIEC_STATN_BIZAEA_2024,20241015
인천광역시,남동구,2820055100,0,416,8,434047,KC_624_DMSTC_MIEC_STATN_BIZAEA_2024,20241015
인천광역시,남동구,2820056000,1,369,1,434047,KC_624_DMSTC_MIEC_STATN_BIZAEA_2024,20241015
인천광역시,남동구,2820057000,0,347,2,434047,KC_624_DMSTC_MIEC_STATN_BIZAEA_2024,20241015
인천광역시,남동구,2820058000,0,128,2,434047,KC_624_DMSTC_MIEC_STATN_BIZAEA_2024,20241015
인천광역시,남동구,2820058100,0,24,0,434047,KC_624_DMSTC_MIEC_STATN_BIZAEA_2024,20241015
인천광역시,남동구,2820058200,0,396,3,434047,KC_624_DMSTC_MIEC_STATN_BIZAEA_2024,20241015
인천광역시,남동구,2820058300,0,505,3,434047,KC_624_DMSTC_MIEC_STATN_BIZAEA_2024,20241015
인천광역시,남동구,2820065000,3,241,1,434047,KC_624_DMSTC_MIEC_STATN_BIZAEA_2024,20241015
