시도명,시군구명,관리기관,회사명,공장구분,단지명,설립구분,입주형태,보유구분,등록구분,전화번호,남자종업원,여자종업원,외국인남자종업원,외국인여자종업원,종업원합계,생산품,원자재,공장규모,용도지역,지목,용지면적,제조시설면적,부대시설면적,건축면적,지식산업센터명,대표업종,업종명,차수,법인주소,필지수,공장주소,공장주소_지번,공장관리번호
서울특별시,성동구,서울특별시 성동구,성빈산업,개별, ,일반,공장임대,임대,신규등록, ,5,4,0,0,9,도금, ,소기업,도시지역/공업지역/준공업지역/,공장용지,165.5,115.0,49.5,164.5, ,24191,"도금, 착색 및 기타 표면처리강재 제조업",10,서울특별시 송파구 마천로51가길 16 (마천동),1,"서울특별시 성동구 성수이로14길 14 (성수동2가, (주)대경케미칼)",서울특별시 성동구 성수동2가 322-3번지,112002000000000
서울특별시,성동구,서울특별시 성동구,에이스닥트자재,개별, ,일반,공장임대,임대,신규등록, ,4,1,0,0,5,닥트자재, ,소기업,도시지역/주거지역/제3종일반주거지역/,대,0.0,32.0,112.0,144.0, ,24219,"기타 비철금속 제련, 정련 및 합금 제조업",10,서울특별시 성동구 동일로 195 (송정동),1,"서울특별시 성동구 동일로 195,  1층 (송정동)",서울특별시 성동구 송정동 68-15번지 1층,112002000000000
서울특별시,구로구,서울특별시 구로구,덕수금속,개별, ,일반,해당없음,임대,등록변경, ,4,0,0,0,4,"비철금속가공,음식물쓰레기처리기", ,소기업,도시지역/공업지역/준공업지역/,대,148.7,148.7,0.0,148.7, ,24290,기타 1차 비철금속 제조업 외 4 종,10,"서울특별시 양천구 목동동로10길 16-6, 1503동104호 (신정동, 신정동경남아너스빌)",1,서울특별시 구로구 신도림로13길 46 (신도림동),서울특별시 구로구 신도림동 295-6번지,115302000000000
서울특별시,금천구,한국산업단지공단 서울지역본부,엘텍(eltec),계획,서울디지털산업단지,국가산업단지,분양,자가,완료신고, ,10,2,0,0,12,공구장비, ,소기업,도시지역/공업지역/준공업지역/,공장용지,77.45,299.05,290.03,589.08, ,24290,기타 1차 비철금속 제조업,10,"서울특별시 마포구 월드컵로26길 36-7, 202호 (성산동, 에버그린빌라)",1,"서울특별시 금천구 가산디지털2로 70, 대륭테크노타운19차 3층 12~14호 (가산동)",서울특별시 금천구 가산동 345-29번지 대륭테크노타운19차 3층 12~14호,115452000000000
서울특별시,영등포구,서울특별시 영등포구,썬스타 문화특수 제작,개별, ,일반, ,임대,신규등록, ,3,0,0,0,3,"기기제작(여과기, 식품탱크)", ,소기업,도시지역/공업지역/준공업지역/기타지역,대,0.0,127.4,0.0,127.4, ,24219,"기타 비철금속 제련, 정련 및 합금 제조업 외 3 종",10,서울특별시 영등포구 도림로128길 11-1 (문래동3가),1,서울특별시 영등포구 도림로128길 11-1 (문래동3가),서울특별시 영등포구 문래동3가 58-66번지,115602000000000
부산광역시,영도구,부산광역시 영도구,서주금속,개별, ,일반, ,자가,신규등록, ,1,2,0,0,3,pump impella,동,소기업,도시지역/공업지역/전용공업지역/,공장용지,429.0,251.1,79.38,330.48, ,24211,"동 제련, 정련 및 합금 제조업",10,부산광역시 영도구 광암길7번길 16 (청학동),1,부산광역시 영도구 해양로87번길 23 (청학동),부산광역시 영도구 청학동 217-99번지,262002000000000
부산광역시,강서구,부산광역시 강서구,정만금속,개별, ,일반,기타,자가,신규등록, ,3,1,0,0,4,비철금속가공품,"황동,청동",소기업,도시지역/주거지역/제1종일반주거지역/,대,567.0,451.85,42.25,494.1, ,24290,기타 1차 비철금속 제조업,10,부산광역시 사상구 냉정로 47-5 (주례동),1,부산광역시 강서구 대저중앙로 360-1 (대저1동),부산광역시 강서구 대저1동 352-5번지,264402000000000
부산광역시,강서구,부산광역시 강서구,창영테크,개별, ,일반,기타,자가,신규등록, ,4,0,0,0,4,"파이프가공품, 강관","철판,환봉",소기업,도시지역/주거지역/제1종일반주거지역/,대,658.0,310.2,20.0,330.2, ,24132,강관 제조업 외 1 종,10,경상남도 김해시 인제로220번길 20-1 (삼방동),1,부산광역시 강서구 평강로171번길 40 (대저1동),부산광역시 강서구 대저1동 3671-11번지,264402000000000
부산광역시,강서구,한국산업단지공단 부산지역본부,(주)동진특수금속,계획,명지녹산국가산업단지,국가산업단지,양수도,자가,완료신고, ,6,0,0,0,6,강주물 제품,강철류,소기업,도시지역/공업지역/일반공업지역/,공장용지,1701.2,1208.6,333.04,1541.64, ,24312,강주물 주조업 외 1 종,10,부산광역시 강서구 녹산산단382로59번길 41 (송정동),0,부산광역시 강서구 녹산산단382로59번길 41 (송정동),부산광역시 강서구 녹산산단382로59번길 41 (송정동),264402000000000
부산광역시,강서구,한국산업단지공단 부산지역본부,보현프랜지,계획,명지녹산국가산업단지,국가산업단지,공장임대,임대,완료신고, ,2,1,0,0,3,플랜지,철강,소기업,도시지역/공업지역/일반공업지역/,공장용지,0.0,372.77,0.0,372.77, ,24131,주철관 제조업,10,부산광역시 강서구 녹산산업북로313번길 7 (송정동),1,부산광역시 강서구 녹산산업북로313번길 7 (송정동),부산광역시 강서구 송정동 1622-5번지,264402000000000
부산광역시,강서구,한국산업단지공단 부산지역본부,정호산업,계획,명지녹산국가산업단지,국가산업단지,공장임대,임대,완료신고, ,10,0,0,0,10,관이음쇠,"강관, 플레이트",소기업,도시지역/공업지역/일반공업지역/,공장용지,1700.0,1000.0,0.0,1000.0, ,24132,강관 제조업 외 1 종,10,"부산광역시 사상구 대동로64번길 25,  금강아파트 103 305호 (학장동)",1,부산광역시 강서구 녹산산단262로50번길 14 (송정동),부산광역시 강서구 송정동 1720-12번지,264402000000000
부산광역시,강서구,부산광역시 강서구,신라금속,개별, ,일반,기타,자가,신규등록, ,2,0,0,0,2,철판 가공 및 제작, ,소기업,도시지역/주거지역/제1종일반주거지역/,대,864.0,485.1,0.0,485.1, ,24199,그 외 기타 1차 철강 제조업,10,부산광역시 사상구 백양대로703번길 51-20 (덕포동),1,부산광역시 강서구 낙동남로622번길 78 (녹산동),부산광역시 강서구 녹산동 172-5번지,264402000000000
부산광역시,강서구,부산경제진흥원,(주)신성스틸,계획,부산과학지방산업단지,일반산업단지,양수도,자가,완료신고, ,3,2,3,0,8,배관등,스테인레스,소기업,도시지역/공업지역/일반공업지역/,공장용지,2066.1,1432.66,325.44,1758.1, ,24132,강관 제조업,10,부산광역시 강서구 과학산단1로103번길 48 (지사동),1,부산광역시 강서구 과학산단1로103번길 48 (지사동),부산광역시 강서구 지사동 1207-17번지,264402000000000
