epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,954.345,1.33409,2.23693,1.20748,0.87855,0.36008,0.40261,0.23938,1.3023,2.15126,1.35103,0.000255532,0.000255532,0.000255532
2,1988.83,1.26892,1.49228,1.18339,0.8346,0.45802,0.51492,0.30625,1.29188,1.5915,1.33478,0.000494974,0.000494974,0.000494974
3,3044.49,1.2503,1.25798,1.16109,0.9141,0.48004,0.5095,0.30953,1.2854,1.43971,1.3152,0.000717498,0.000717498,0.000717498
4,3973.56,1.22578,1.1534,1.15371,0.64129,0.47612,0.50993,0.301,1.21072,1.2973,1.26655,0.000692869,0.000692869,0.000692869
5,4756.32,1.1921,1.07209,1.13564,0.65428,0.51921,0.52069,0.34174,1.2373,1.15797,1.28681,0.000667492,0.000667492,0.000667492
6,5539.53,1.16476,1.01528,1.1208,0.66319,0.51399,0.52516,0.33783,1.15845,1.11256,1.22329,0.000642115,0.000642115,0.000642115
7,6324.26,1.13286,0.97389,1.10554,0.65193,0.50081,0.53523,0.34137,1.15977,1.00791,1.22331,0.000616738,0.000616738,0.000616738
8,7116.79,1.1239,0.94572,1.09924,0.63559,0.50793,0.52756,0.34547,1.15651,1.00412,1.21916,0.000591361,0.000591361,0.000591361
9,7915.93,1.09729,0.92231,1.09319,0.65841,0.527,0.54438,0.34831,1.17083,0.94458,1.22682,0.000565984,0.000565984,0.000565984
10,8713.31,1.08353,0.91224,1.08613,0.66059,0.54279,0.55041,0.35591,1.19916,0.94682,1.25921,0.000540607,0.000540607,0.000540607
11,9508.92,1.07564,0.88429,1.08637,0.64253,0.54134,0.54233,0.344,1.12357,0.95422,1.20531,0.00051523,0.00051523,0.00051523
12,10305.9,1.06167,0.85983,1.0741,0.8754,0.54474,0.55493,0.35898,1.1248,0.92924,1.20962,0.000489853,0.000489853,0.000489853
13,11106.7,1.04122,0.84311,1.06543,0.91014,0.54326,0.55009,0.36472,1.12071,0.90239,1.20282,0.000464476,0.000464476,0.000464476
14,11909.9,1.01343,0.81807,1.05959,0.66217,0.53502,0.56567,0.37465,1.0996,0.88477,1.19315,0.000439099,0.000439099,0.000439099
15,12710.5,1.01325,0.80949,1.05195,0.66414,0.53959,0.54524,0.35767,1.09662,0.87432,1.19598,0.000413722,0.000413722,0.000413722
16,13511.8,1.01563,0.79987,1.05301,0.65539,0.54754,0.5538,0.3453,1.1438,0.83623,1.22556,0.000388345,0.000388345,0.000388345
17,14313.1,1.00434,0.79416,1.05335,0.64836,0.55721,0.55675,0.35372,1.08828,0.8399,1.17977,0.000362968,0.000362968,0.000362968
18,15115.3,0.99118,0.78942,1.05024,0.76431,0.52867,0.57291,0.36634,1.11552,0.84443,1.19919,0.000337591,0.000337591,0.000337591
19,15915.8,0.97727,0.74986,1.0386,0.65806,0.54492,0.56493,0.36889,1.07451,0.8315,1.17284,0.000312214,0.000312214,0.000312214
20,16716.2,0.96141,0.74767,1.03132,0.65862,0.56202,0.56237,0.35926,1.09514,0.80132,1.18,0.000286837,0.000286837,0.000286837
21,17502.5,0.94418,0.69451,1.03803,0.65551,0.5575,0.55618,0.37272,1.09987,0.8133,1.19392,0.00026146,0.00026146,0.00026146
22,18291.2,0.92486,0.67256,1.02637,0.66942,0.54713,0.55067,0.36252,1.09394,0.79495,1.20016,0.000236083,0.000236083,0.000236083
23,19080.5,0.8992,0.65903,1.01871,0.6539,0.55921,0.5544,0.35983,1.10279,0.79594,1.20973,0.000210706,0.000210706,0.000210706
24,19867.9,0.88341,0.6449,1.01713,0.65853,0.56479,0.56486,0.37458,1.07486,0.80328,1.18258,0.000185329,0.000185329,0.000185329
25,20656,0.86205,0.62866,0.99842,0.53903,0.56293,0.56733,0.37451,1.09542,0.76867,1.19728,0.000159952,0.000159952,0.000159952
26,21444.5,0.85141,0.60873,0.99508,0.67112,0.56032,0.56861,0.379,1.09,0.75324,1.19994,0.000134575,0.000134575,0.000134575
27,22232.9,0.835,0.60347,0.98483,0.53351,0.56387,0.56371,0.37235,1.08685,0.76024,1.20048,0.000109198,0.000109198,0.000109198
28,23018.4,0.82111,0.58777,0.97824,0.53322,0.56734,0.57105,0.3883,1.07971,0.75663,1.19121,8.3821e-05,8.3821e-05,8.3821e-05
29,23810.6,0.80452,0.58171,0.98015,0.66551,0.56569,0.55632,0.36768,1.07881,0.73695,1.19744,5.8444e-05,5.8444e-05,5.8444e-05
