title,description,link,pubDate
이란 전쟁 장기화 우려...휘발유 1953원·경유 1943원 '급등',이란 전쟁 장기화 우려 속에 국내 주유소 <b>기름값</b>이 급등하고 있다. 6일 유가정보시스템 오피넷에 따르면 이날 오전 9시 기준 전국 주유소 평균 휘발윳값은 리터당 1953.3원으로 전날보다 4.9원 올랐다. 경유도 4.7원... ,https://www.gukjenews.com/news/articleView.html?idxno=3549892,"Mon, 06 Apr 2026 12:58:00 +0900"
'주유소 사후정산제 폐지'…<b>기름값</b>은 2000원 육박,중동 사태 영향으로 국내 <b>기름값</b> 오름세가 계속되면서 당정이 '주유소 사후정산제'를 폐지하기로 한 6일 오전 서울 시내 주유소에서 시민들이 차량에 기름을 넣고 있다. '사후정산제'는 정유사가 주유소에... ,https://n.news.naver.com/mnews/article/421/0008872446?sid=102,"Mon, 06 Apr 2026 12:39:00 +0900"
'주유소 사후정산제 폐지'…전국 <b>기름값</b> 상승세,중동 사태 영향으로 국내 <b>기름값</b> 오름세가 계속되면서 당정이 '주유소 사후정산제'를 폐지하기로 한 6일 오전 서울 시내 주유소에서 시민들이 차량에 기름을 넣고 있다. '사후정산제'는 정유사가 주유소에... ,https://n.news.naver.com/mnews/article/421/0008872432?sid=102,"Mon, 06 Apr 2026 12:38:00 +0900"
'주유소 사후정산제 폐지'…<b>기름값</b>은 2000원 육박,중동 사태 영향으로 국내 <b>기름값</b> 오름세가 계속되면서 당정이 '주유소 사후정산제'를 폐지하기로 한 6일 오전 서울 시내 주유소 유가정보판에 휘발유와 경유 가격이 2000원에 육박하고 있다. '사후정산제'는 정유사가... ,https://n.news.naver.com/mnews/article/421/0008872440?sid=102,"Mon, 06 Apr 2026 12:38:00 +0900"
'주유소 사후정산제 폐지'…전국 <b>기름값</b> 상승세,중동 사태 영향으로 국내 <b>기름값</b> 오름세가 계속되면서 당정이 '주유소 사후정산제'를 폐지하기로 한 6일 오전 서울 시내 주유소에서 시민들이 차량에 기름을 넣고 있다. '사후정산제'는 정유사가 주유소에... ,https://n.news.naver.com/mnews/article/421/0008872441?sid=102,"Mon, 06 Apr 2026 12:38:00 +0900"
'주유소 사후정산제 폐지'…전국 <b>기름값</b> 상승세,중동 사태 영향으로 국내 <b>기름값</b> 오름세가 계속되면서 당정이 '주유소 사후정산제'를 폐지하기로 한 6일 오전 서울 시내 주유소에서 시민들이 차량에 기름을 넣고 있다. '사후정산제'는 정유사가 주유소에... ,https://n.news.naver.com/mnews/article/421/0008872437?sid=102,"Mon, 06 Apr 2026 12:38:00 +0900"
2000원 육박한 국내 <b>기름값</b>,중동 사태 영향으로 국내 <b>기름값</b> 오름세가 계속되면서 당정이 '주유소 사후정산제'를 폐지하기로 한 6일 오전 서울 시내 주유소 유가정보판에 휘발유와 경유 가격이 2000원에 육박하고 있다. '사후정산제'는 정유사가... ,https://n.news.naver.com/mnews/article/421/0008872438?sid=102,"Mon, 06 Apr 2026 12:38:00 +0900"
'주유소 사후정산제 폐지'…<b>기름값</b>은 2000원 육박,중동 사태 영향으로 국내 <b>기름값</b> 오름세가 계속되면서 당정이 '주유소 사후정산제'를 폐지하기로 한 6일 오전 서울 시내 주유소 유가정보판에 휘발유와 경유 가격이 2000원에 육박하고 있다. '사후정산제'는 정유사가... ,https://n.news.naver.com/mnews/article/421/0008872439?sid=102,"Mon, 06 Apr 2026 12:38:00 +0900"
'주유소 사후정산제 폐지'…<b>기름값</b>은 2000원 육박,중동 사태 영향으로 국내 <b>기름값</b> 오름세가 계속되면서 당정이 '주유소 사후정산제'를 폐지하기로 한 6일 오전 서울 시내 주유소에서 시민들이 차량에 기름을 넣고 있다. '사후정산제'는 정유사가 주유소에... ,https://n.news.naver.com/mnews/article/421/0008872434?sid=102,"Mon, 06 Apr 2026 12:38:00 +0900"
중동 사태 긴장 고조에 국내 휘발유·경유 상승,중동 사태 영향으로 국내 <b>기름값</b> 오름세가 계속되면서 당정이 '주유소 사후정산제'를 폐지하기로 한 6일 오전 서울 시내 주유소 유가정보판에 휘발유와 경유 가격이 2000원에 육박하고 있다. '사후정산제'는 정유사가... ,https://n.news.naver.com/mnews/article/421/0008872430?sid=102,"Mon, 06 Apr 2026 12:37:00 +0900"
중동 사태 긴장 고조에 국내 휘발유·경유 2000원 육박,중동 사태 영향으로 국내 <b>기름값</b> 오름세가 계속되면서 당정이 '주유소 사후정산제'를 폐지하기로 한 6일 오전 서울 시내 주유소 유가정보판에 휘발유와 경유 가격이 2000원에 육박하고 있다. '사후정산제'는 정유사가... ,https://n.news.naver.com/mnews/article/421/0008872431?sid=102,"Mon, 06 Apr 2026 12:37:00 +0900"
