title,description,link,pubDate
"[AI는 지금] 오픈AI, 미디어까지 품었다…'AI 여론 설계' 본격화","<b>앤트로픽</b>이 미국 전쟁부(국방부)와의 협상에서 '미국인 대량 감시 금지' 등 윤리 조건을 요구하다 협상이 결렬되자, 오픈AI가 전쟁부 기밀 네트워크에 자사 AI를 배치하는 계약을 체결해 내외부 비판을 받았다. 챗GPT... ",https://n.news.naver.com/mnews/article/092/0002417565?sid=105,"Mon, 06 Apr 2026 11:13:00 +0900"
"英, 美 국방부와 갈등 빚은 <b>앤트로픽</b>에 '러브콜'",영국 정부가 미국 인공지능(AI) 기업 <b>앤트로픽</b>(Anthropic)의 영국 내 사업 확장을 유도하기 위해 적극적인 유치전에 나섰다. 5일(현지시각) 파이낸셜타임스에 따르면 영국 정부는 최근 <b>앤트로픽</b>에 런던 사무소 확대부터... ,https://it.chosun.com/news/articleView.html?idxno=2023092159885,"Mon, 06 Apr 2026 11:12:00 +0900"
"‘미 정부와 소송’ <b>앤트로픽</b>, 자체 정치자금 모금 기관 설립",미국 정부와 갈등을 빚고 있는 인공지능(AI) 기업 <b>앤트로픽</b>이 자체 정치자금 모금 기관인 슈퍼팩(super PAC·정치자금 모금단체)을 설립했다. <b>앤트로픽</b>은 3일(현지시각) 미국 연방선거위원회(FEC)에 자체 슈퍼팩인... ,https://n.news.naver.com/mnews/article/028/0002799363?sid=105,"Mon, 06 Apr 2026 11:08:00 +0900"
인공지능 사용자들에게는 잘 알려지지 않은 사실,"전쟁 개시 직전부터 '<b>앤트로픽</b> AI 기술의 미국 국방부 전용'을 둘러싼 갈등이 화제가 되었지만, 이란 전쟁은 'AI와 자율 무기가 주도하는 전쟁'의 진정한 개막을 알리는 사건이었다. AI를 이용한 정치, 군사 지도자의 표적... ",https://n.news.naver.com/mnews/article/047/0002510859?sid=102,"Mon, 06 Apr 2026 11:06:00 +0900"
"&quot;스스로 판단하는 로봇, 우주 탐사 속도 높인다&quot; [우주로 간다]",로버 퍼시비어런스는 인공지능(AI)이 계획한 첫 자율 주행을 성공적으로 수행했다. 당시 <b>앤트로픽</b>의 ‘클로드’ AI 모델을 활용해 약 457m 구간을 장애물 회피와 함께 안정적으로 주행하며 자율 탐사의 가능성을 입증했다.,https://n.news.naver.com/mnews/article/092/0002417563?sid=105,"Mon, 06 Apr 2026 11:06:00 +0900"
"메리츠증권 &quot;네이버, 1분기 영업익 컨센서스 하회&quot;…목표주가 33만원 '뚝...","반도체 가격 상승과 <b>앤트로픽</b>·오픈AI의 기업공개(IPO)에 앞선 신모델 공개 이벤트도 소프트웨어 업체들에게 추가 부담으로 작용하고 있다. 구글, 아마존 등 글로벌 사업자는 시설투자 비용 증가를 인건비 등 다른... ",https://www.newsworks.co.kr/news/articleView.html?idxno=836715,"Mon, 06 Apr 2026 11:04:00 +0900"
팔란티어의 AI 주도 살상 워크플로,불과 몇 주 전에는 또 다른 기술 기업 <b>앤트로픽</b>(Anthropic)이 펜타곤과 유사한 논쟁을 벌였다. <b>앤트로픽</b>은 자사의 클로드(Claude) AI가 “대규모 감시”나 “완전 자율 무기”에 사용되는 것을 원하지 않는다고 밝혔다.... ,https://newscham.net/articles/115976,"Mon, 06 Apr 2026 10:58:00 +0900"
오픈AI 상장 놓고 경영진 내 이견...&quot;연내 가능 vs 시기 상조&quot;,한편 올트먼 CEO가 IPO를 서두르는 배경에는 경쟁사인 <b>앤트로픽</b>보다 먼저 상장하려는 전략적 판단도 깔려 있는 것으로 전해졌다. 이에 대해 <b>앤트로픽</b>의 다리오 아모데이 CEO는 최근 &quot;기술 성장 속도와 매출 확대 속도 간... ,https://www.joongangenews.com/news/articleView.html?idxno=509071,"Mon, 06 Apr 2026 10:54:00 +0900"
"메리츠證 &quot;네이버, 소프트웨어 부진과 두나무 합병 지연…목표가↓&quot;","이 연구원은 &quot;높아지는 반도체 가격과 <b>앤트로픽</b>·오픈AI의 기업공개(IPO)에 앞선 신모델 공개 이벤트는 소프트웨어 업체들에게 부담으로 작용하고 있다&quot;며 &quot;구글, 아마존 등 글로벌 사업자는 시설투자 비용 증가를... ",https://www.widedaily.com/news/articleView.html?idxno=291692,"Mon, 06 Apr 2026 10:52:00 +0900"
"[N2 특징주] 다날, 오픈AI·구글 어깨 나란히…개장 후 상한가 직행","회사 측에 따르면 리눅스 재단 산하의 AAIF는 AI 에이전트 기술 표준화를 목적으로 오픈AI와 <b>앤트로픽</b>, 서클, 구글, 마이크로소프트, 아마존웹서비스 등 유수 기업들이 멤버로 활동 중인 거대 컨소시엄이다. 다날은 AI... ",https://www.news2day.co.kr/article/20260406500120,"Mon, 06 Apr 2026 10:50:00 +0900"
