순번,회사명,공장주소,전화번호,대표업종번호,업종명,종업원수,생산품
5183,한국후직(주),부산광역시 강서구 녹산산업중로192번길 25 (송정동),051-831-4037,13213,화학섬유직물 직조업 외 5 종,7,지오그리드
1934,광덕후직물공업사,부산광역시 강서구 녹산산단165로14번길 25 (송정동),051-831-4436,13213,화학섬유직물 직조업 외 1 종,3,"직조원단,플라스틱 코팅원단"
2922,부신섬유,부산광역시 강서구 공항앞길85번길 86 (대저2동),051-831-6556,13213,화학섬유직물 직조업 외 1 종,40,섬유패션제품
4782,창성직물,부산광역시 강서구 녹산산단231로 43 (송정동),051-832-1598,13213,화학섬유직물 직조업 외 1 종,4,"여과포, 천막지"
619,(주)상은섬유,"부산광역시 강서구 녹산산단382로14번길 55 (송정동, 부산광역시 신발산업진흥센타)",051-832-0368,13213,화학섬유직물 직조업,5,화학섬유 및 원단류
1590,(주)한길텍스,부산광역시 강서구 녹산산단231로 25 (송정동),051-831-5377,13213,화학섬유직물 직조업,13,섬유원단
3500,신흥섬유,부산광역시 강서구 가락대로1397번길 75 (봉림동),051-343-8333,13213,화학섬유직물 직조업,6,섬유제직
4683,중부기업,부산광역시 강서구 녹산산단231로 21 (송정동),,13213,화학섬유직물 직조업,20,신발용 원단
4737,진성섬유,부산광역시 강서구 녹산산단382로14번길 28 (송정동),051-831-0341,13213,화학섬유직물 직조업,21,폴리에스테르 직물
2808,바이오알앤피(주),부산광역시 강서구 녹산산단262로 53 (송정동),051-265-0831,13103,화학섬유 방적업,4,어망사
173,(주)단비 바이오,부산광역시 강서구 공항앞길51번길 38 (대저2동),051-971-9780,20321,화학 살균.살충제 및 농업용 약제 제조업 외 1 종,1,탈취제
552,(주)비에스바이오,부산광역시 강서구 미음국제1로 121 (미음동) 동방테크,,20321,화학 살균.살충제 및 농업용 약제 제조업 외 1 종,16,"살균제 제조장치, 살균제"
4272,주식회사 동호나노에스디,부산광역시 강서구 평강로229번가길 6 (대저1동),051-973-5091,20321,화학 살균.살충제 및 농업용 약제 제조업 외 1 종,5,향균 탈취제
858,(주)아마란스,부산광역시 강서구 녹산산단165로14번길 26 (송정동),051-832-1001,20423,화장품 제조업,38,화장품
2807,바이오랩코리아(주),부산광역시 강서구 미음산단5로41번길 21 (미음동),051-612-6217,20423,화장품 제조업,3,화장품
4317,주식회사 미영씨앤씨,부산광역시 강서구 낙동북로126번길 8 (강동동),051-911-8880,20423,화장품 제조업,5,두발화장품
4320,주식회사 바이오메틱스,"부산광역시 강서구 낙동북로102번가길 40(강동동, G카페이스)",,20423,화장품 제조업,3,천연화장품
4442,주식회사 에스엠티랩,부산광역시 강서구 녹산산단262로60번길 22 (송정동),051-907-9605,20203,혼성 및 재생 플라스틱 소재 물질 제조업 외 1 종,4,3D프린팅용 레진
2366,대한폴리머,부산광역시 강서구 생곡산단로 29 (생곡동),,20203,혼성 및 재생 플라스틱 소재 물질 제조업,4,"수지, 합성수지 등"
2798,밀양수지,부산광역시 강서구 생곡산단로 33 (생곡동),051-971-9546,20203,혼성 및 재생 플라스틱 소재 물질 제조업,4,재생플라스틱 원료
2928,부영수지,부산광역시 강서구 생곡산단로 29 (생곡동),051-311-9919,20203,혼성 및 재생 플라스틱 소재 물질 제조업,6,합성수지
3177,성광산업,부산광역시 강서구 대저중앙로348번길 17-1 (대저1동),051-973-7263,20203,혼성 및 재생 플라스틱 소재 물질 제조업,2,스크랩
3977,유일산업(주),부산광역시 강서구 생곡산단1로 19 (생곡동),055-388-4593,20203,혼성 및 재생 플라스틱 소재 물질 제조업,37,PET병 재생
4506,주식회사 유일,"부산광역시 강서구 생곡산단1로 17(생곡동, (주)유일)",051-711-4594,20203,혼성 및 재생 플라스틱 소재 물질 제조업,10,합성수지칩
4894,켐스코(주),부산광역시 강서구 대저동서로249번길 48 (대저2동),,20203,혼성 및 재생 플라스틱 소재 물질 제조업,5,플라스틱 배합원료
519,(주)부산은행,부산광역시 강서구 구랑동 1168-4번지 (미음지구 I 30-4),051-642-3300,63112,호스팅 및 관련 서비스업 외 2 종,410,"전자,금융정보통신서비스"
3923,원아시아코리아(유),,,63112,호스팅 및 관련 서비스업 외 2 종,0,"데이터센터, 코로케이션서비스"
3924,원아시아코리아(유),,,63112,호스팅 및 관련 서비스업 외 2 종,0,"데이터센터, 코로케이션서비스 등"
1391,(주)코리아테크,부산광역시 강서구 과학산단2로19번길 25 (지사동),051-208-1155,25130,핵반응기 및 증기보일러 제조업 외 4 종,28,화력발전설비부품등
1787,THE(주),부산광역시 강서구 녹산산단289로 32 (송정동),051-831-1807,25130,핵반응기 및 증기보일러 제조업 외 37 종,13,"열교환기, 펌프"
3189,성림에너지(주),부산광역시 강서구 화전산단1로63번길 10 (화전동),051-271-4470,25130,핵반응기 및 증기보일러 제조업 외 3 종,43,"증기배관/증기,전기"
1014,(주)오리온이엔씨,부산광역시 강서구 생곡산단2로11번길 38 (생곡동),02-3414-2032,25130,핵반응기 및 증기보일러 제조업 외 2 종,17,"방사능감지기, 방사능검사기, 폐기물압축기, 원자로 중성자측정가이드/홀더, 마모도측정 로봇팔, 진공식 열풍건조기"
4634,주식회사 한국피에치이,부산광역시 강서구 녹산산업중로 113 (송정동),051-261-2664,25130,핵반응기 및 증기보일러 제조업 외 1 종,9,열교환기
2692,만선,부산광역시 강서구 생곡산단1로24번길 51 (생곡동),,25130,핵반응기 및 증기보일러 제조업,5,증기발생기
2777,미래에너지솔루션(주),부산광역시 강서구 화전산단1로63번길 10 (화전동),051-271-4470,25130,핵반응기 및 증기보일러 제조업,5,증기용 배관자재
5043,티에이치이(주),부산광역시 강서구 미음동 0 번지 I31 3놋트,,25130,핵반응기 및 증기보일러 제조업,0,선박용보일러 및 열교환기
5044,티에이치이(주),부산광역시 강서구 미음동 0-0번지 부산신항배후 국제산업물류도시 1단계 i31블록 3노트,051-831-1807,25130,핵반응기 및 증기보일러 제조업,65,선박용 보일러 및 열교환기
4252,주식회사 대한항공,부산광역시 강서구 대저2동 103-1,051-970-5102,31322,항공기용 부품 제조업 외 2 종,3471,항공기 부품 외
