순번,회사명,대표자명,공장대표주소(도로명),업종명
1,(주)DH전장,최윤창,"부산광역시 금정구 공단동로41번길 10, 보림팩토피아 407호~411호 (금사동)",전투용 차량 제조업 외 14 종
2,(주)가나에스아이피,김병조,부산광역시 금정구 금사로 159 (회동동),간판 및 광고물 제조업 외 1 종
3,(주)가람디자인,전승옥,"부산광역시 금정구 개좌로 90, 1~2층 (금사동)",간판 및 광고물 제조업 외 3 종
4,(주)경동유리제경사,박명분,"부산광역시 금정구 반송로489번길 36(금사동, 선진제경)",디스플레이 장치용 유리 제조업
5,(주)고려식품,권동주,부산광역시 금정구 공단동로55번길 9 (금사동),가금류 가공 및 저장 처리업 외 2 종
6,(주)금강부러쉬,김민채,"부산광역시 금정구 수원지로22번길 26 (회동동, 금강부러쉬)",일반철물 제조업
7,(주)금강제경유리,예종일,부산광역시 금정구 공단로 31 (금사동),안전유리 제조업 외 6 종
8,(주)금강제경유리,예종일,부산광역시 금정구 공단서로18번길 22 (금사동),안전유리 제조업 외 1 종
9,(주)금화스틸,장정술,부산광역시 금정구 개좌로272번길 21-12 (회동동),구조용 금속 판제품 및 공작물 제조업
10,(주)남강,임동준,부산광역시 금정구 개좌로 158-17 (회동동),설치용 및 위생용 플라스틱제품 제조업 외 5 종
11,(주)대국아이.엔.티,임부진,"부산광역시 금정구 개좌로 42 (금사동, 대국 INT)",그 외 자동차용 신품 부품 제조업 외 3 종
12,(주)대성,장정수,"부산광역시 금정구 동천로 13 (회동동, (주)대성)",금속 스프링 제조업
13,(주)대성섬유,김철수,부산광역시 금정구 서동로176번길 14-7 (서동),셔츠 및 블라우스 제조업 외 15 종
14,(주)대성어패럴,윤정숙,"부산광역시 금정구 공단동로41번길 10, 5층 503~507 (금사동) 5층 503~507호",셔츠 및 블라우스 제조업 외 4 종
15,(주)대양바이오랩,박준홍,부산광역시 금정구 공단동로41번길 10 (금사동) 1동 5층 502호,그 외 기타 분류 안된 섬유제품 제조업
16,(주)대원코퍼레이션,나진호,"부산광역시 금정구 공단동로29번길 46, 2층 (금사동)",기타 직물제품 제조업
17,(주)대진지에스,이용진,"부산광역시 금정구 동천로7번길 48-20 (회동동, 대진정밀)",그 외 자동차용 신품 부품 제조업 외 3 종
18,(주)대한이앤씨,강영심,부산광역시 금정구 회천로19번길 13 (회동동),일반용 도료 및 관련제품 제조업
19,(주)더엔진,오현택,"부산광역시 금정구 삼어로 213-1, 3층(금사동)",침구 및 관련제품 제조업 외 22 종
20,(주)더이로운,이경희,"부산광역시 금정구 공단로49번길 9, 1층 (금사동)",육상 금속 골조 구조재 제조업 외 2 종
21,(주)더헤르첸,이기수,"부산광역시 금정구 서동로176번길 14-7, 1층 (서동)",남자용 겉옷 제조업 외 3 종
22,(주)덕신사,김우영,부산광역시 금정구 공단서로 25 (금사동),귀금속 및 관련제품 제조업
23,(주)동림피앤티,김영희,부산광역시 금정구 개좌로 203 (회동동),합성수지 및 기타 플라스틱 물질 제조업
24,(주)동우이엔지,김인호,부산광역시 금정구 동천로7번길 62-25 (회동동),인쇄회로기판용 적층판 제조업 외 4 종
25,(주)동호전자,신동호,"부산광역시 금정구 회천로5번길 20, 1, 2층 (회동동)",비디오 및 기타 영상기기 제조업
26,(주)두리온,최영희,"부산광역시 금정구 금사로 98, 2층(금사동)","근무복, 작업복 및 유사의복 제조업 외 9 종"
27,(주)디비텍,신기환,"부산광역시 금정구 동천로 19, 2층 (회동동)",기타 인쇄업 외 1 종
28,(주)라온파워인터내셔널,전민규,"부산광역시 금정구 공단동로41번길 10, 603호(금사동, 보림팩토피아) 603호",축전지 제조업
29,(주)라이징썬,문재선,"부산광역시 금정구 공단동로41번길 10, 3층 309호(금사동, 보림팩토피아) 3층 309호",일반용 전기 조명장치 제조업 외 2 종
30,(주)루트앤루트,이재용,"부산광역시 금정구 남산로 57,  나경유닉스빌라트 101호 (남산동)",방송장비 제조업 외 2 종
31,(주)리빙글로리,김인철,부산광역시 금정구 공단동로29번길 55 (금사동),수동식 식품 가공기기 및 금속 주방용기 제조업 외 1 종
32,(주)리젠파워,이병일,"부산광역시 금정구 공단동로41번길 10, 2층 211호 (금사동)",변압기 제조업
33,(주)맘헬스케어,김분숙,"부산광역시 금정구 개좌로 101, 2층 (금사동)",그 외 기타 의료용 기기 제조업
34,(주)면진테크,제희문,"부산광역시 금정구 반송로490번길 26-11 (금사동, 면진테크)",기타 구조용 금속제품 제조업 외 5 종
35,(주)명성엔아이,"김희수,권성욱","부산광역시 금정구 공단동로41번길 21, T동 (금사동)","금속 문, 창, 셔터 및 관련제품 제조업"
36,(주)무궁화용사촌에프엔씨 금정지점,이상길,"부산광역시 금정구 금사로 101, 2층 (금사동)",남자용 겉옷 제조업 외 6 종
37,(주)미도,김성찬,부산광역시 금정구 반송로 454 (금사동),구조용 금속 판제품 및 공작물 제조업 외 3 종
38,(주)미도물산,김시은,"부산광역시 금정구 금사로 75 (금사동, 큐마트)",그 외 기타 봉제의복 제조업
39,(주)미래건설산업,최성덕,"부산광역시 금정구 팔송로12번길 13 (남산동, 대한유도체육관)",간판 및 광고물 제조업 외 3 종
40,(주)미래통상,안신엽,"부산광역시 금정구 동천로7번길 34-14, 4층(회동동)",기타 직물제품 제조업
41,(주)미트원플러스,오현택,부산광역시 금정구 금사로 182(회동동),육류 포장육 및 냉동육 가공업 (가금류 제외)
42,(주)바이오명륜,박상홍,"부산광역시 금정구 금정로 29-5, 101호(장전동, 신오아트빌라)","전기회로 개폐, 보호장치 제조업 외 1 종"
43,(주)백산금속,손유미,"부산광역시 금정구 동천로7번길 79 (회동동, (주)백산금속)","기타 비철금속 제련, 정련 및 합금 제조업"
44,(주)범양산업,이영임,"부산광역시 금정구 금샘로 571 (남산동, (주)범양산업)",특수 직물 및 기타 직물 직조업
45,(주)부일레미콘,"김현수,이남준","부산광역시 금정구 수원지로 24 (회동동, 부일레미콘)",레미콘 제조업 외 1 종
46,(주)부일필터,정현주,"부산광역시 금정구 금사로 165 (회동동, 금자탑학원)",기체 여과기 제조업 외 4 종
47,(주)삼신퍼스틸,임호성,"부산광역시 금정구 중앙대로 1667 (부곡동, 삼신빌딩)",기타 목재가구 제조업 외 1 종
48,(주)삼진,장성태,"부산광역시 금정구 동대로 20 (회동동, 유성산업)",자동차 차체용 신품 부품 제조업 외 1 종
49,(주)성광테크,정형심,부산광역시 금정구 동대로 22-8 (회동동),그 외 기타 봉제의복 제조업 외 1 종
50,(주)성창금속,신정구,부산광역시 금정구 공단로 68-5 (금사동),기타 구조용 금속제품 제조업 외 4 종
51,(주)세븐테크,양재숙,부산광역시 금정구 금단로 139(남산동),주형 및 금형 제조업
52,(주)세일글로발,안임준,부산광역시 금정구 개좌로 191 (회동동),의료용품 및 기타 의약 관련제품 제조업
53,(주)세일글로발,안임준,부산광역시 금정구 동천로 4 (회동동),정형외과용 및 신체보정용 기기 제조업
54,(주)스타리온기원,김인식,"부산광역시 금정구 동대로 34-23 (회동동, (주)기원)",기타 가정용 전기기기 제조업
55,(주)승엽사,조정희,부산광역시 금정구 금사로 52 (서동),남자용 겉옷 제조업 외 13 종
56,(주)신테크,신선우,"부산광역시 금정구 두실로 61, 2층(구서동)",컴퓨터 제조업
57,(주)씨오에스피,조상호,"부산광역시 금정구 공단로 68-7, 2층 (금사동)",침구 및 관련제품 제조업 외 15 종
58,(주)아이비인터내셔날,김홍문,"부산광역시 금정구 회천로26번길 19 (회동동, 아이비(주))",기타 신발 제조업 외 9 종
59,(주)아즈텍더블유비이,허재명,"부산광역시 금정구 공단로61번길 22(금사동, 동영텍스타일)",모직물 직조업 외 1 종
60,(주)아트엔티이,이광석,"부산광역시 금정구 금사로 147-2, 지하1 (회동동)",전시용 모형 제조업 외 12 종
61,(주)알로,엄원호,"부산광역시 금정구 금강로321번길 57, 2층(장전동)",건강보조용 액화식품 제조업
62,(주)어나더푸드,박수열,부산광역시 금정구 금강로 397 (구서동),가금류 가공 및 저장 처리업
63,(주)에스에이치씨,이광술,부산광역시 금정구 반송로489번길 50 (금사동),기체 여과기 제조업
64,(주)에스엔테크,최현주,부산광역시 금정구 공단동로55번길 5 (금사동),전시 및 광고용 조명장치 제조업 외 3 종
65,(주)에스엠인터내셔날,서세훈,"부산광역시 금정구 공단로 57,  2층 (금사동)",비 및 솔 제조업
66,(주)에스지라이뮤,강인숙,"부산광역시 금정구 놀이마당로 29-1,  청룡동 (청룡동)",그 외 기타 의료용 기기 제조업 외 1 종
67,(주)에이치디엠테크,이복우,"부산광역시 금정구 공단동로41번길 10,  보림팩토피아 804호 (금사동)","탭, 밸브 및 유사장치 제조업 외 27 종"
68,(주)에코미네랄,이동근,"부산광역시 금정구 반송로490번길 38-1, 2층(금사동)",화장품 제조업 외 3 종
69,(주)엠에스디앤티,정희돈,"부산광역시 금정구 수림로 22-11, 1층 (부곡동)",간판 및 광고물 제조업
70,(주)우재테크,조서윤,"부산광역시 금정구 중앙대로 2096, 271-10호(남산동)",일반용 전기 조명장치 제조업 외 4 종
71,(주)원솔루텍,홍영원,"부산광역시 금정구 금강로 682-10, 2층 (남산동, 도루코)",방송장비 제조업
72,(주)웨이닝코리아 부산지점,윤기남,부산광역시 금정구 중앙대로 1784 (부곡동),빵류 제조업
73,(주)유니스디,서광설,"부산광역시 금정구 공단동로41번길 10, 1층 105-106호 (금사동) 1층 105-106호",방송장비 제조업 외 5 종
74,(주)유니크온,이성명,부산광역시 금정구 놀이마당로 9 (청룡동) 2층,배전반 및 전기 자동제어반 제조업 외 2 종
75,(주)이대명과,"김남호, 윤은지",부산광역시 금정구 금사로 144(금사동),과자류 및 코코아 제품 제조업
76,(주)이룸시트,이상현,"부산광역시 금정구 공단로 60, 제1동(1~3층, 4층 일부), 제3동 1층(금사동)",자동차용 신품 의자 제조업
77,(주)이오스디자인,전기수,"부산광역시 금정구 개좌로 29-1, 2층 (서동)",그 외 기타 금속가공업 외 5 종
78,(주)인펙비전,강현인,"부산광역시 금정구 금강로 585, 3층 (구서동)",기타 주변기기 제조업 외 8 종
79,(주)일광엔지니어링,이점호,"부산광역시 금정구 개좌로 216 (회동동, 일광엔지니어링)",자동차용 금속 압형제품 제조업 외 4 종
80,(주)정일화학,정훈,"부산광역시 금정구 공단서로18번길 95 (금사동, 정일화학)",운송장비 조립용 플라스틱제품 제조업 외 1 종
81,(주)제이케이어패럴,전수경,부산광역시 금정구 공단서로8번길 49 (금사동),"근무복, 작업복 및 유사의복 제조업 외 5 종"
82,(주)제일,안중민,"부산광역시 금정구 금사로107번길 24, 3층(금사동)",남자용 겉옷 제조업 외 7 종
83,(주)지에이치이노텍,권유홍,"부산광역시 금정구 반송로 356, 301호 (서동)",그 외 기타 의료용 기기 제조업 외 1 종
84,(주)창성이앤지,지치현,부산광역시 금정구 공단로 68-26 (금사동),배전반 및 전기 자동제어반 제조업
85,(주)코렉스,안광선,"부산광역시 금정구 수원지로 8, 3층 일부 (회동동)",침구 및 관련제품 제조업 외 19 종
86,(주)코리아오션텍,정광현,"부산광역시 금정구 동대로 20, A동 3층전체 (회동동)",선박 구성 부분품 제조업 외 7 종
87,(주)코리아정보통신,김영식,부산광역시 금정구 공단로 68-13 (금사동),컴퓨터 제조업 외 3 종
88,(주)태양이엔지,신맹균,부산광역시 금정구 무학송로 66-1 (부곡동),금속탱크 및 저장용기 제조업 외 1 종
89,(주)태영하이텍,신경섭,"부산광역시 금정구 금사로 166, 1층(회동동, 한일상업사)",고무패킹류 제조업 외 1 종
