순번,회사명,공장대표주소(도로명),업종명,전화번호,남종업원,여종업원,외국인(남),외국인(여),종업원수,생산품
1,(유)피피지코리아,부산광역시 남구 신선로356번길 21 (용당동),일반용 도료 및 관련제품 제조업,051-620-8221,171,32,0,0,203,페인트
2,(주) 화림제약,"부산광역시 남구 용호로159번길 94, A동 7층 전체 (용호동) A동 7층 전체호",한의약품 제조업,051-626-7726,18,16,,,34,한약재
3,(주)겐츠 베이커리,"부산광역시 남구 용호로159번길 94, B1층 103~107호 (용호동) B1층 103~107호",빵류 제조업,051-612-5011,11,20,,,31,"제빵, 제과"
4,(주)경양엔지니어링,부산광역시 남구 신선로 217-10 (감만동),액체 펌프 제조업 외 1 종,051-418-6628,17,4,6,,27,선박용펌프
5,(주)광덕창호산업,부산광역시 남구 수영로325번길 159-38 (대연동),플라스틱 창호 제조업 외 1 종,051-628-0087,7,5,,,12,플라스틱제 창문
6,(주)광명생약,"부산광역시 남구 신선로 340, C동(용당동, (주)현대기아남구정비서비스)",한의약품 제조업,051-611-2257,15,6,0,0,21,광명 당귀외 한약제
7,(주)금광어패럴,"부산광역시 남구 고동골로 130-31, 2층 (문현동)",셔츠 및 블라우스 제조업 외 4 종,051-631-8895,9,35,,,44,"셔츠 및 블라우스, 근무복"
8,(주)나인텔레콤넷,"부산광역시 남구 유엔평화로126번길 19, 상가동 1층 (용당동, 용당 대광아파트)",유선 통신장비 제조업 외 7 종,051-900-0114,5,2,,,7,"통신장비, 기계장비, 엘리베이터장비, 전화기,전광판,비상벨기판"
9,(주)노아에스비엠에이,"부산광역시 남구 신선로 2,  (우암동) 1동 3층 311호",기타 전기 변환장치 제조업 외 2 종,,2,1,,,3,배합사료
10,(주)농협사료,"부산광역시 남구 우암로 337 (문현동, 부산특수사료공장)",배합 사료 제조업 외 1 종,051-606-1900,27,6,0,0,33,애니맥스
11,(주)누리칸,"부산광역시 남구 신선로 365, 산학협력단 신관 402,403호 (창업보육센터 402,403호) (용당동)",기타 전기 변환장치 제조업 외 21 종,051-627-9870,1,0,0,0,1,근무복
12,(주)대현어패럴,부산광역시 남구 수영로69번가길 2 (문현동),"근무복, 작업복 및 유사의복 제조업 외 5 종",051-635-9981,1,0,0,0,1,화장품
13,(주)동명바이오,"부산광역시 남구 신선로 428, 학생군사교육관 402호 (용당동, 동명대학교)",화장품 제조업,051-627-0420,2,1,,,3,치과용투시촬영기
14,(주)드림레이,"부산광역시 남구 신선로 365, 부경대 창업보육센터 신관 404, 405호 (용당동)",방사선 장치 제조업,051-627-9362,3,1,0,0,4,전기콘트롤박스
15,(주)디에스이,부산광역시 남구 신선로 227 (용당동),"전기회로 개폐, 보호장치 제조업 외 3 종",051-266-8811,35,25,,,60,선박용컴퓨터모니터제조
16,(주)디이엑스,"부산광역시 남구 황령대로319번길 148, 3층 (대연동)",컴퓨터 모니터 제조업,051-583-2255,16,2,0,0,18,의료보조용품
17,(주)무궁화용사촌에프엔씨 문현지점,"부산광역시 남구 황령대로74번길 103, 1층(문현동, 남부섬유상사)",남자용 겉옷 제조업 외 5 종,042-585-1998,1,2,0,0,3,"정복 , 근무복"
18,(주)밸콘,"부산광역시 남구 유엔평화로9번길 31 (대연동, 밸콘주식회사)",그 외 기타 전기장비 제조업,051-628-7352,10,6,0,0,16,"전동구동기,실내온도조절기"
19,(주)블루엔텍,"부산광역시 남구 신선로 259-14, 1층 (용당동)",기타 목재가구 제조업,051-632-9555,5,1,,,6,목재 가구 제조
20,(주)비앤에스컴,"부산광역시 남구 수영로 300, 502호(대연동, VISION PLAZA)",컴퓨터 제조업 외 1 종,051-951-0007,6,,,,6,서버 및 제로클라이언트단말기 제조
21,(주)선보비케이원,부산광역시 남구 용호로269번길 32 (용호동),육류 포장육 및 냉동육 가공업 (가금류 제외),051-627-3421,6,9,,,15,검도구
22,(주)세명알엔지,"부산광역시 남구 신선로 365, 부경대 종합실습관 102호/111호 (용당동)",일반용 전기 조명장치 제조업 외 3 종,051-629-7540,4,1,,,5,육가공 처리 제품
23,(주)스카이이노텍,"부산광역시 남구 용호로159번길 94, (용호동) 부산시범공단동 4층 403호",기기용 자동측정 및 제어장치 제조업 외 6 종,051-626-6822,4,0,0,0,4,"LED조명, 자동차부품"
24,(주)스카이일렉트론,"부산광역시 남구 용호로159번길 94, 2층 201 (용호동) 2층 201호",메모리용 전자집적회로 제조업 외 1 종,051-627-6822,5,6,,,11,절전기 외
25,(주)승엽사,"부산광역시 남구 전포대로 108-1, 2층 (문현동)","근무복, 작업복 및 유사의복 제조업 외 14 종",051-245-1644,2,6,,,8,전자식 전력량계
26,(주)시그널웍스,"부산광역시 남구 용호로124번길 7, 지하 1층 (용호동)","기타 측정, 시험, 항해, 제어 및 정밀기기 제조업",051-911-5002,3,1,,,4,근무복
27,(주)씨에프씨테라메이트,"부산광역시 남구 신선로 365, 부경대 창업보육센터 신관 108호 (용당동)",무기안료용 금속 산화물 및 관련 제품 제조업,051-622-7276,4,1,0,0,5,지능형 관제시스템
28,(주)아이비즈,"부산광역시 남구 황령대로319번가길 190-6, 상가동 406호(대연동, 대우그린아파트)",방송장비 제조업 외 2 종,051-781-7507,4,2,,,6,유무기소재
29,(주)에그,"부산광역시 남구 신선로 428, 산학협력관 330 (용당동, 동명대학교)",기기용 자동측정 및 제어장치 제조업,051-611-7180,3,1,,,4,"CCTV 및 방송장비 부대장치, 유선통신장비, 라디오재방송"
30,(주)에스알씨,"부산광역시 남구 용호로252번길 11, 3층 (용호동)",기타 무선 통신장비 제조업 외 5 종,051-412-6197,13,6,,,19,잠수복
31,(주)에스케이피,"부산광역시 남구 용호로159번길 94 (용호동, .)",그 외 기타 전기장비 제조업,051-625-7117,15,20,0,0,35,결빙감지시스템
32,(주)에이웍스,"부산광역시 남구 신선로 428, 산학협력관 406호 (용당동, 동명대학교)",기타 무선 통신장비 제조업,051-959-3226,4,,,,4,항해용 무선기기 및 항해장비 조명장비
33,(주)오토이노텍,"부산광역시 남구 신선로 428, 동명대학교 산학협력관 410호 (용당동)",기타 무선 통신장비 제조업,070-8238-1311,1,,,,1,전자솔레노이드
34,(주)올댓바이오,"부산광역시 남구 신선로 365, 창업센터 404호 (용당동, 부경대학교)",화장품 제조업,051-746-7939,2,2,,,4,사물인터넷 디바이스
35,(주)우진아이에스,"부산광역시 남구 고동골로 130-31, 3층 (문현동)",셔츠 및 블라우스 제조업 외 1 종,051-631-6120,5,25,0,0,30,통신장비
36,(주)유씨네트웍스,"부산광역시 남구 신선로 365, 산학협력관 517호 (용당동, 부경대학교)",방송장비 제조업 외 1 종,051-926-0001,4,1,,,5,화장품
37,(주)유씨네트웍스,"부산광역시 남구 진남로 52(대연동, 유씨네트웍스)",유선 통신장비 제조업 외 4 종,051-1600-1064,,,,,0,교복
38,(주)인터오션,부산광역시 남구 신선로 217-11(감만동),그 외 기타 의료용 기기 제조업 외 4 종,051-622-5665,14,,,,14,CCTV카메라
39,(주)인터오션,부산광역시 남구 신선로 231 (용당동),고무 의류 및 기타 위생용 비경화 고무제품 제조업 외 3 종,051-622-5665,3,12,,,15,"컴퓨터, 방송장비, 영상감시장치"
40,(주)정성깃든,"부산광역시 남구 유엔평화로3번길 36, 3층, 5층(대연동, 대일빌딩)",천연 및 혼합조제 조미료 제조업,051-612-4856,,4,,,4,교시용 모형제작
41,(주)제노,"부산광역시 남구 신선로 365, 부경대 창업보육센터 신관 5F (용당동)",기타 주변기기 제조업 외 2 종,051-512-5770,11,11,0,0,22,"고압산소챔버,선박부분품,배전반, 컨테이너하우스,밸브제조"
42,(주)케이와이시스템,"부산광역시 남구 신선로 365, 창업보육센터 203호 (용당동, 부경대학교)",일반용 전기 조명장치 제조업 외 1 종,051-627-9870,1,2,,,3,"잠수복, 외투"
