공장관리번호,산업단지명,회사명,도로명주소,대표자,행정기관,전화번호,팩스번호,외국인,고용인원,공장등록일자,업종명,주생산품,홈페이지
262302014297924,개별입지,(주) 한솔아이스컴패니,"부산광역시 부산진구 동성로49번길 13, 1층 (전포동)",윤종열,부산광역시 부산진구,051-907-9235,,0,3,2014-01-23,얼음 제조업,식용얼음,
580814189931300,개별입지,(주)거림케미칼,부산광역시 부산진구 개금온정로26번길 31 (개금동),박현수,부산광역시 부산진구,051-894-8111,051-894-8140,0,26,1997-04-23,기타 신발 제조업 외 1 종,신발완제품,www.keorim.com
000002022776833,개별입지,(주)광오라이팅,"부산광역시 부산진구 동성로15번길 6, 1층(전포동)",김현옥,부산광역시 부산진구,051-818-1230,051-522-5149,0,9,2022-02-08,일반용 전기 조명장치 제조업 외 1 종,LED조명기구,
262302007142437,개별입지,(주)국일안전,"부산광역시 부산진구 당감로25번길 48 (당감동, 국일안전사)",최화자,부산광역시 부산진구,051-896-6628,051-896-6426,0,12,2007-07-06,"천막, 텐트 및 유사 제품 제조업 외 2 종","간판,안전표지판,천막",
000002022809727,개별입지,(주)그린애드랩스코리아,부산광역시 부산진구 진남로356번길 33(전포동),정일,부산광역시 부산진구,051-802-1500,051-808-0098,0,7,2022-04-05,기타 인쇄업 외 1 종,"실사출력, 인쇄스티커, 미끄럼방지필름",www.greenad21.co.kr
262302007149852,개별입지,(주)금보섬유,부산광역시 부산진구 동평로73번길 46 (당감동),박현아,부산광역시 부산진구,051-808-0093,051-912-1670,0,14,2007-11-09,침구 및 관련제품 제조업,항공용 기내 담요(모포),
262302021625339,개별입지,(주)꼬모,"부산광역시 부산진구 신암로 93, 영신빌딩 5층 (범천동)",배의신,부산광역시 부산진구,070-7634-1234,0504-497-4027,0,18,2021-04-28,셔츠 및 블라우스 제조업 외 4 종,"의류, 면티, 후드티, 래쉬가드",
262302022900208,개별입지,(주)대성프린텍,"부산광역시 부산진구 부전로 5-1, 거북골빌딩 7층 (701,704호)(부전동)",김현숙,부산광역시 부산진구,051-807-2373,051-803-4114,0,3,2022-08-26,오프셋 인쇄업 외 2 종,인쇄물,
262302021608240,개별입지,(주)대주애드,부산광역시 부산진구 동평로405번길 92 (양정동) 1층,김호길,부산광역시 부산진구,051-803-6630,051-803-6629,0,10,2021-03-30,경 인쇄업,인쇄물,
400109190851600,개별입지,(주)대한히타,부산광역시 부산진구 서전로38번길 82-4 (전포동),김상규,부산광역시 부산진구,051-809-4876,051-808-4633,0,13,1994-04-09,배전반 및 전기 자동제어반 제조업 외 2 종,배전반,
