연번,회사명,주소,종업원수,전화번호,팩스번호,업종명,생산품,외국인종업원수,데이터기준일자
1,(사)골든장애인협회 사업단,부산광역시 사하구 보덕포1길 100 B동 지하1층 ,0,051-311-1791,051-311-1792,기타 음향기기 제조업 외 2 종,구내방송장치+CCTV+CCTV브라켓,0,2025-07-01
2,(사)하나복지회 피복사업장,부산광역시 사하구 다대로354번안길 20 2층,10,051-262-6911,051-262-6912,남자용 겉옷 제조업 외 24 종,의류,0,2025-07-01
3,(유)동양특수목재산업,부산광역시 사하구 다대로 351 외 1필지,32,051-262-5555,,박판·합판 및 유사 적층판 제조업 외 3 종,편백루바 외,0,2025-07-01
4,(주)예맥통상,부산광역시 사하구 비봉로 56 ,17,051-207-9393,051-207-9494,수산동물 훈제·조리 및 유사 조제식품 제조업,냉동어개류(어류),0,2025-07-01
5,(주)HN푸드,부산광역시 사하구 하신중앙로27번길 15 ,2,051-263-7249,051-264-7249,기타 곡물 가공품 제조업,참깨+들깨,0,2025-07-01
6,(주)KJSCO,부산광역시 사하구 장림로 132 외 1필지,20,051-314-7600,051-314-1129,절삭가공 및 유사처리업,절삭가공품,0,2025-07-01
7,(주)Y2산업,부산광역시 사하구 장림로 100 ,9,051-264-4714,051-264-4724,기타 가공 공작기계 제조업,기계제작,0,2025-07-01
8,(주)강남,부산광역시 사하구 구평로16번길 71 외 18필지,320,051-260-6000,051-262-7400,강선 건조업 외 4 종,FRP선박건조+강선수리+프랜트제작+비철금속선+보트,0,2025-07-01
9,(주)경기색소,부산광역시 사하구 을숙도대로 526 ,40,051-291-0265,051-203-0178,염료·무기안료·유연제 및 기타 착색제 제조업,안료,0,2025-07-01
10,(주)경맥,부산광역시 사하구 다대로354번길 71 ,20,051-292-8234,051-208-7002,기타 수산동물 가공 및 저장 처리업,자숙문어,0,2025-07-01
11,(주)경진하네스산업,부산광역시 사하구 장평로41번길 36 ,32,051-264-1184,051-264-4381,자동차용 신품 전기장치 제조업 외 1 종,와이어링,0,2025-07-01
12,(주)광명광고공사,부산광역시 사하구 낙동대로 246-1 ,3,051-202-8897,051-203-8897,간판 및 광고물 제조업,간판+광고물,0,2025-07-01
13,(주)국제화학,부산광역시 사하구 을숙도대로755번길 98 ,13,051-264-1592,051-266-1683,그 외 기타 플라스틱 제품 제조업 외 1 종,생활용품+자동차부품,0,2025-07-01
14,(주)금당메탈,부산광역시 사하구 을숙도대로569번길 13 ,9,051-205-3351,051-205-3378,선박 구성 부분품 제조업,선박엔진베어링,0,2025-07-01
15,(주)금성이엔지,부산광역시 사하구 감천항로190번길 37 ,4,051-261-0375,051-261-8010,산업용 냉장 및 냉동 장비 제조업,냉동기 유니트,0,2025-07-01
16,(주)금양텍,부산광역시 사하구 하신중앙로3번가길 76 외 2필지,12,,,선박 구성 부분품 제조업,조선기자재,0,2025-07-01
17,(주)금오테크,부산광역시 사하구 장평로71번길 36-6 ,16,051-264-9881,051-264-9885,합성수지 및 기타 플라스틱 물질 제조업,플라스틱 문틀,10,2025-07-01
18,(주)금오테크,부산광역시 사하구 다대로300번길 21 ,29,051-264-9881,051-264-9885,플라스틱 창호 제조업,플라스틱도어,10,2025-07-01
19,(주)금오테크,부산광역시 사하구 다대로300번길 21  ,25,051-264-9881,051-264-9885,플라스틱 창호 제조업,ABS도어,10,2025-07-01
20,(주)금오퍼니처,부산광역시 사하구 장평로 406 ,10,051-262-8991,070-8232-8991,금속 가구 제조업,의자,0,2025-07-01
21,(주)금정씨푸드,부산광역시 사하구 두송로 265 지하1층 ,18,051-253-9400,051-253-9401,수산동물 냉동품 제조업,냉동참치 횟감,0,2025-07-01
22,(주)금진식품,부산광역시 사하구 장림번영로104번길 80 ,16,051-263-2116,051-266-8860,수산동물 훈제·조리 및 유사 조제식품 제조업,어묵,0,2025-07-01
23,(주)금창수산,부산광역시 사하구 장림로 212 ,29,051-261-4441,051-263-8666,기타 수산동물 가공 및 저장 처리업,활선어 수산물 가공+보관,0,2025-07-01
24,(주)깊은바다,부산광역시 사하구 다대동로6번길 17 201호 ,12,051-201-0167,051-203-7870,기타 수산동물 가공 및 저장 처리업,오징어채 외,4,2025-07-01
25,(주)남광식품,부산광역시 사하구 장평로132번길 7 ,15,051-263-9821,051-262-0765,수산식물 가공 및 저장 처리업,조미김,0,2025-07-01
26,(주)네오메드,부산광역시 사하구 장림로196번길 20 ,44,051-262-6331,051-205-6395,정형외과용 및 신체보정용 기기 제조업 외 2 종,정형외과용 및 신체보정용 기기,0,2025-07-01
27,(주)넥젠,부산광역시 사하구 하신중앙로27번길 17 507호,2,051-266-1294,051-265-1294,그 외 기타 특수목적용 기계 제조업,디스펜싱 밸브+레귤레이터,0,2025-07-01
28,(주)누리엠텍,부산광역시 사하구 구평로16번길 25 ,5,051-243-8882,051-403-8038,산업용 냉장 및 냉동 장비 제조업,산업용 냉동설비,0,2025-07-01
29,(주)닛시라이텍,부산광역시 사하구 을숙도대로 570 ,4,051-714-1560,051-714-1561,일반용 전기 조명장치 제조업 외 3 종,LED조명제조,0,2025-07-01
30,(주)다건프로덕트,부산광역시 사하구 다대로300번길 40 2층 ,1,051-711-7057,051-711-7058,전자부품 실장기판 제조업 외 5 종,전기전자제품+전원공급기+LED조명기구 및 안정기 등,0,2025-07-01
31,(주)다해씨푸드,부산광역시 사하구 장평로15번길 30 ,13,051-264-2025,051-264-4001,기타 수산동물 가공 및 저장 처리업,가공어류,0,2025-07-01
32,(주)담따,부산광역시 사하구 장평로132번길 23 ,1,,051-266-0042,목재 포장용 상자·드럼 및 유사용기 제조업,나무텃밭,0,2025-07-01
33,(주)대동신관,부산광역시 사하구 다산로260번길 58 ,53,051-264-4300,051-264-4304,동 제련·정련 및 합금 제조업,동관 및 동합금관,10,2025-07-01
34,(주)대륙철강,부산광역시 사하구 을숙도대로 580 ,0,051-262-9711,051-262-4688,그 외 기타 금속가공업,라운드바,0,2025-07-01
35,(주)대륙철강,부산광역시 사하구 을숙도대로 580 ,9,051-262-9711,051-262-4688,그 외 기타 금속가공업,라운드바,0,2025-07-01
36,(주)대림에스텍,부산광역시 사하구 하신중앙로 92 ,9,051-292-7775,051-292-8865,자동차 차체용 신품 부품 제조업 외 1 종,버스용 자동차 부품+선박의장품,0,2025-07-01
37,(주)대림정공,부산광역시 사하구 을숙도대로569번길 45 ,5,051-293-7726,051-293-7721,금속 문·창·셔터 및 관련제품 제조업 외 7 종,스틸하우스+조립식컨테이너,0,2025-07-01
38,(주)대림창호,부산광역시 사하구 하신번영로 288 ,1,051-207-6363,051-205-3533,플라스틱 창호 제조업,플라스틱 창호,0,2025-07-01
39,(주)대성리싸이클,부산광역시 사하구 보덕포1길 88 외 2필지,9,051-266-5866,051-266-8250,비금속류 해체 및 선별업 외 1 종,인조규사,0,2025-07-01
40,(주)대성조선,부산광역시 사하구 다대로605번길 41 ,5,051-263-0016,051-262-7284,기타 선박 건조업,선박건조+수리,0,2025-07-01
41,(주)대수기업,부산광역시 사하구 서포로 7 ,15,051-262-1126,051-261-2728,그 외 기타 종이 및 판지 제품 제조업,포장용 판지상자 및 관련품 제조,0,2025-07-01
42,(주)대양전장,부산광역시 사하구 두송로 233 ,11,051-414-9937,051-414-9940,방전램프용 안정기 제조업 외 1 종,안정기+전원공급기,0,2025-07-01
43,(주)대영아이엔시,부산광역시 사하구 장림번영로104번길 28 ,63,051-323-6462,051-314-6462,그 외 자동차용 신품 부품 제조업 외 3 종,시트카바,0,2025-07-01
44,(주)대영자원,부산광역시 사하구 하신중앙로17번길 44 ,10,051-315-7156,051-313-7156,그 외 기타 종이 및 판지 제품 제조업,기타 종이,0,2025-07-01
45,(주)대우공업사,부산광역시 사하구 다대로1066번길 62 ,17,051-262-0880,051-264-8855,플라스틱 포대·봉투 및 유사제품 제조업,P.E식품포장지,2,2025-07-01
46,(주)대원엠텍,부산광역시 사하구 다대로354번길 72 ,8,051-264-0377,051-264-0379,산업용 냉장 및 냉동 장비 제조업 외 1 종,냉동장비+공기조화장치,0,2025-07-01
47,(주)대한심층수,부산광역시 사하구 다송로72번길 82 112호 ,6,051-264-7711,051-262-6161,기타 비알코올 음료 제조업,음료,0,2025-07-01
48,(주)대흥기전,부산광역시 사하구 감천항로 487 ,47,051-266-5995,051-263-7007,전동기 및 발전기 제조업 외 8 종,발전기+태양광가로등,4,2025-07-01
