순번,회사명,공장대표주소(도로명),업종명,등록일,전화번호,팩스번호,종업원수,생산품
1,(주)광시스템,부산광역시 수영구 광남로 50 (남천동),방송장비 제조업,2022-04-11,051-627-9700,,4,CCTV
2,(주)다비스톤,"부산광역시 수영구 연수로369번길 8, 3층 (수영동)",그 외 기타 분류 안된 화학제품 제조업,2024-09-12,051-558-9611,051-558-9610,2,동전패치
3,(주)다인정보,부산광역시 수영구 망미로27번길 42 (광안동),유선 통신장비 제조업 외 10 종,2019-04-18,051-626-5454,051-656-5850,11,"전자교환기, IP전화기, CCTV 및 영상감시장치, 전광판, 방송장비, 출입통제 시스템, 컴퓨터 및 주변기기,  "
4,(주)동진정보통신,"부산광역시 수영구 장대골로 75-5, 1층 (광안동)",전시 및 광고용 조명장치 제조업 외 12 종,2017-02-07,051-758-0800,051-755-3939,12,"CCTV, 전광판, 교환기, 방송장비, 출입통제, 계장(계측)제어장치"
5,(주)미도물산,"부산광역시 수영구 수영로487번길 27, 2층 (남천동)",남자용 겉옷 제조업 외 8 종,2023-10-20,02-337-9126,,15,의류
6,(주)바이맘,"부산광역시 수영구 장대골로 41, 지하1층(광안동, 제이비클래식빌딩)",침구 및 관련제품 제조업,2022-03-31,070-9237-9285,051-7967-8928,8,"난방 텐트, 모기장 텐트"
7,(주)반도아이엔씨,"부산광역시 수영구 망미번영로55번길 99, 3층 (망미동, 리치부엌가구)",셔츠 및 블라우스 제조업 외 6 종,2023-05-04,02-541-3187,02-515-3565,8,셔츠 및 체육복
8,(주)방주전기,부산광역시 수영구 연수로379번길 29 (수영동),유선 통신장비 제조업 외 2 종,2024-11-22,051-754-3207,,4,"통합배선반, 배전반"
9,(주)비트엘앤디,부산광역시 수영구 수영로642번길 77 (광안동),기타 조명장치 제조업 외 8 종,2024-04-08,051-757-8778,051-752-8338,8,"LED조명장치, 구조물,조명기구"
10,(주)에이원파워텍,"부산광역시 수영구 과정로 25, 2층, 3층(망미동, 성공빌딩)",전기경보 및 신호장치 제조업 외 2 종,2023-06-28,051-805-6252,051-805-6253,5,"유선통신장치, 경보장치 등"
11,(주)엠지에이치,"부산광역시 수영구 망미로 4, 3층(망미동)",육류 포장육 및 냉동육 가공업 (가금류 제외),2022-01-19,051-866-4750,051-719-9667,2,"양념육, 포장육"
12,(주)오토텍,부산광역시 수영구 장대골로31번길 16-1 (광안동),배전반 및 전기 자동제어반 제조업 외 2 종,2012-02-13,051-314-9603,051-314-9006,6,자동제어반 외
13,(주)오토텍,부산광역시 수영구 장대골로31번길 16 (광안동),전기회로 접속장치 제조업 외 2 종,2018-01-12,051-314-9603,051-314-9606,8,"자동제어반, CCTV 외"
14,(주)옵스,부산광역시 수영구 좌수영로 89 (수영동) 외 2필지,빵류 제조업,2020-11-16,051-632-1313,051-611-4568,51,"빵,과자"
15,(주)우성통신,"부산광역시 수영구 수영로 687 (광안동, 우성빌딩)",유선 통신장비 제조업 외 4 종,2020-12-18,051-751-4100,051-751-4300,38,CCTV
16,(주)은광유비텍,"부산광역시 수영구 망미배산로24번길 2, 2층 (망미동)",기타 주변기기 제조업 외 5 종,2021-06-08,051-808-0011,051-818-2002,4,"CCTV,구내방송장비,유선통신장비,음향기기,녹음 및 재생기기,컴퓨터 및 주변기기"
17,(주)제이 라로비,"부산광역시 수영구 망미배산로30번길 15, 1층 (망미동)",화장품 제조업 외 1 종,2021-01-07,051-758-9140,,3,"다용도OK세정제, 헤세드아로마, 청향제, 아로마비누"
18,(주)제일시스템,부산광역시 수영구 망미번영로 73 (망미동),기타 음향기기 제조업 외 7 종,2023-02-10,051-802-0920,051-809-0922,8,"매트릭스스위쳐, CCTV용카메라,차량검지기.,출차주의등,장내경광등,루프코일"
19,(주)케이엔에스,부산광역시 수영구 구락로 23 (수영동) 2층,철도차량 부품 및 관련 장치물 제조업 외 5 종,2020-12-23,051-866-5100,051-866-5101,7,차량번호인식 등 주차관제
20,(주)토탈콘트롤,"부산광역시 수영구 망미번영로70번길 106-12 (수영동, (주)토탈컨트롤)",배전반 및 전기 자동제어반 제조업,2008-10-01,051-759-6501,051-759-5697,2,"배전반, 자동제어반"
21,(주)한일씨엔에스,"부산광역시 수영구 수미로13번길 3 (망미동, 한일씨엔에스)",침구 및 관련제품 제조업 외 2 종,2024-01-02,051-756-5151,051-757-8638,10,"커튼, 이불, 롤스크린"
22,(주)한주기획,부산광역시 수영구 좌수영로210번길 50 (망미동),구조용 금속 판제품 및 공작물 제조업 외 4 종,2017-03-16,051-334-2003,051-507-0870,3,"광고물,도로교통표지판 등"
23,광일ENG,부산광역시 수영구 망미번영로88번길 25 (망미동),철도차량 부품 및 관련 장치물 제조업,2025-02-03,051-808-0933,,2,점퍼플러그
24,국제정밀공업사,"부산광역시 수영구 구락로153번길 29 (망미동, 국제정밀)",기타 가공 공작기계 제조업,1995-04-13,051-752-8090,051-751-7861,7,자동화기계설비제작
25,논슬립프로,"부산광역시 수영구 감포로 36, 2층 (민락동)",구조용 금속 판제품 및 공작물 제조업,2025-01-17,051-754-9600,,1,알루미늄세라믹 논슬립
26,대왕기업,"부산광역시 수영구 수영로582번길 19, 2층, 3층(광안동, 대왕빌딩)",셔츠 및 블라우스 제조업 외 9 종,2022-09-02,,051-751-8797,25,의류(여성 블라우스)
27,더캔들샵,"부산광역시 수영구 망미배산로36번길 50, 1층상가 (망미동)",표면광택제 및 실내가향제 제조업,2023-10-24,070-4210-0706,,1,캔들
28,동보정밀,"부산광역시 수영구 구락로111번길 16 (망미동, (주)에스 탑)",절삭가공 및 유사처리업,2013-11-13,051-861-6041,,2,모터카바
29,동영산업(주),"부산광역시 수영구 구락로117번길 14 (망미동, 동영산업(주)) (총 2 필지)",그 외 기타 가구 제조업 외 4 종,2022-12-16,051-753-8283,051-754-0964,12,"쇼파,의자,커텐"
30,동영산업(주),부산광역시 수영구 구락로117번길 22 (망미동),그외기타가구제조업,,051-753-8283,51,10,"쇼파,의자,커텐"
31,디에스에스(주),부산광역시 수영구 무학로21번길 8 (광안동),"전기회로 개폐, 보호장치 제조업 외 4 종",2025-01-16,051-628-9626,051-628-9628,15,전기회로 개폐기
32,디인사이트(d-insight),부산광역시 수영구 구락로111번길 15 (망미동),간판 및 광고물 제조업,2025-02-11,051-752-8289,051-752-8298,0,"간판, 광고물, 아크릴가공, 실사출력"
33,모든텍,"부산광역시 수영구 과정로42번길 23, 1,3층 (망미동) (총 2 필지) 외 1필지",커튼 및 유사제품 제조업 외 2 종,2017-02-07,051-805-1228,051-805-1229,4,"침구,무대막,커튼,롤스크린,버티컬 등"
34,부경 S.Y,"부산광역시 수영구 망미로8번길 34, 1층 (망미동)",피복 및 충전 용접봉 제조업 외 11 종,2022-04-20,051-255-2191,051-853-1746,6,"의류,교복"
35,부산다이스,부산광역시 수영구 좌수영로101번길 32 (망미동),금속 절삭기계 제조업,1995-07-13,051-756-0745,051-754-2930,4,초경공구
36,부산인쇄공사,"부산광역시 수영구 망미번영로 29 (광안동, 부산인쇄공사)",그 외 기타 종이 및 판지 제품 제조업,1998-04-01,051-752-1868,051-752-1833,11,앨범
37,사인코아몰,부산광역시 수영구 좌수영로210번길 50 (망미동),구조용 금속 판제품 및 공작물 제조업 외 4 종,2024-09-24,051-468-2366,051-463-2366,2,광고물 등
38,삼진부엌가구,부산광역시 수영구 무학로 41(광안동),목재 도구 및 주방용 나무제품 제조업,2021-12-31,051-753-5356,,8,주방가구
39,스타일치과기공주식회사,"부산광역시 수영구 광서로10번길 47, 3층 (광안동)",정형외과용 및 신체보정용 기기 제조업,2016-05-25,051-865-0444,051-865-8808,5,임프란트 보철 및 덴춰
40,에이원상사,부산광역시 수영구 수영로 662 (광안동) 2층,기타 직물제품 제조업 외 1 종,2020-12-09,051-759-4945,051-753-8185,2,"마스크, 의류"
41,영남통상,"부산광역시 수영구 무학로52번길 11, 지하1층 (광안동, 제산철학)",기타 가정용 전기기기 제조업,2019-09-06,051-751-9695,051-751-9694,0,"방역용 소독기, 손소독기"
42,제일정보통신(주),"부산광역시 수영구 광서로10번길 21,  제일정보빌딩 (광안동)",전시 및 광고용 조명장치 제조업 외 13 종,2021-04-16,051-751-8700,051-751-8710,9,"광고용 전광판,방송장비,CCTV,전화기,교환, 태양광"
43,조아해양산업(주),부산광역시 수영구 수미로63번길 6 (망미동) 조아해양산업주식회사,선박 구성 부분품 제조업,2021-03-12,051-754-1448,,6,전 처리된 갑판(non-skid)
44,주식회사 가양,"부산광역시 수영구 수영로476번길 29, 지하 1층(남천동)",간판 및 광고물 제조업 외 1 종,2022-10-20,051-752-7830,051-759-1654,15,간판 외
45,주식회사 다인,"부산광역시 수영구 장대골로 75-13, 1층(광안동)",전시 및 광고용 조명장치 제조업 외 12 종,2024-05-27,051-758-0044,,6,"전광판, CCTV"
