순번,회사명,공장대표주소(도로명),공장등록일,전화번호,팩스번호
1,(주) 송림드리움,부산광역시 연제구 과정로287번길 52 (연산동) 외 1필지,2008-11-21,051-862-8170,051-862-8174
2,(주)강동미디어,"부산광역시 연제구 거제대로 176, 3층 (거제동, 한신상가)",2017-09-20,051-864-6500,051-853-8444
3,(주)고려폴리머,부산광역시 연제구 거제대로 120(거제동),2010-02-05,051-644-8877,051-644-8897
4,(주)국제비엠에스,부산광역시 연제구 토곡남로 9 (연산동),2010-05-20,051-852-4517,051-852-4519
5,(주)대륙건설광고공사,"부산광역시 연제구 반송로 104, 연산동 104-36번지 (연산동)",2011-12-13,051-867-9999,
6,(주)동성지기,"부산광역시 연제구 중앙대로1133번길 21 (연산동, 주식회사 동성지기)",1970-06-12,051-852-7321,051-866-2375
7,(주)동인산업,부산광역시 연제구 과정로344번길 53 (연산동),2005-06-21,051-863-5983,051-867-0289
8,(주)바이콤,부산광역시 연제구 과정로348번길 50 (연산동),1999-12-09,070-5153-5794,02-514-2030
9,(주)부경테크,부산광역시 연제구 고분로247번길 6-1 (연산동),2015-06-12,051-865-1417,051-865-9399
10,(주)세광 2공장,부산광역시 연제구 배산북로 38-1 (연산동),2024-08-19,051-556-1730,051-556-1732
11,(주)신승시스템,"부산광역시 연제구 중앙대로1219번길 15 (거제동, 신승빌딩)",2005-11-30,051-507-6031,051-507-6034
12,(주)신한모드,"부산광역시 연제구 과정로164번길 6, 3층 301호 (연산동, 금덕상가빌라)",2017-07-08,02-2636-2580,02-2676-1663
13,(주)씨티테크,"부산광역시 연제구 토곡남로 15, 상가동 지하101호 (연산동, 대우아파트)",2017-07-20,051-941-9933,051-941-6611
14,(주)안우,부산광역시 연제구 구락로153번길 37-10 (연산동),1998-06-16,051-757-5552,051-757-5554
15,(주)에스엠에스정보통신,"부산광역시 연제구 거제대로114번길 8, 지하1층(거제동, 태영아트빌)",2022-08-24,051-623-0008,0504-985-8899
16,(주)에이취케이씨,부산광역시 연제구 과정로191번길 9-1 (연산동),2016-09-13,051-751-6766,
17,(주)엘앤비기술,"부산광역시 연제구 미남로 3, 엘앤비빌딩 (거제동)",2012-08-30,051-851-3400,051-851-4646
18,(주)엘앤비기술,"부산광역시 연제구 미남로 5, 지하 1층(거제동, 희천빌딩)",2023-03-28,051-851-3400,051-851-4646
19,(주)와이즈박스,부산광역시 연제구 거제대로108번길 23 (거제동),2017-04-27,051-501-3910,051-501-3911
20,(주)우진통상,부산광역시 연제구 세병로 19 (연산동),1986-12-03,051-864-3333,051-865-1036
21,(주)제노글로벌,"부산광역시 연제구 월드컵대로 12, 6층 (연산동)",2013-01-22,070-4048-5114,051-710-4720
22,(주)지씨,"부산광역시 연제구 양연로 3, 지하1층 (연산동)",2014-11-04,051-850-5700,051-637-8938
23,(주)한국디자인,부산광역시 연제구 거제대로 100 (거제동),2005-01-28,051-866-0151,051-866-0155
24,(주)협성임프,"부산광역시 연제구 과정로 279-2, 3층(연산동)",2013-06-07,051-949-3404,051-949-3405
25,E&I TECH,"부산광역시 연제구 고분로67번길 25, 102호 (연산동, 무한그레이스빌라)",2020-05-18,051-802-6340,051-802-6342
26,SS패션(경동어패럴),부산광역시 연제구 과정로226번길 13(연산동),2021-09-03,,053-9520-113
27,가온도예,부산광역시 연제구 여고로14번길 77 (거제동),2017-08-20,051-505-0288,
28,경남금속공업사,부산광역시 연제구 거제대로 223 (거제동),1998-06-08,051-864-7757,051-864-5838
29,경동레미콘(주),부산광역시 연제구 온천천남로 187 (연산동) (총 2 필지),1998-02-24,051-759-2671,051-759-5914
30,골든어페럴,"부산광역시 연제구 거제시장로21번길 41, B101호, B102호(거제동, 대가하이츠)",2021-07-30,,051-867-2630
31,국제시스템(주),"부산광역시 연제구 거제대로96번길 38, 301호 (거제동)",2017-07-25,051-866-8600,051-852-2929
32,금화산업,부산광역시 연제구 과정로237번길 79 (연산동),2006-04-24,051-759-4272,051-757-8791
33,내츄럴사이언스,"부산광역시 연제구 과정로 340, 지하1층 (연산동)",2021-05-04,070-8621-1108,070-8623-1103
34,다원푸드,부산광역시 연제구 안연로7번나길 18 (연산동),2024-12-24,051-757-0772,051-759-2213
35,대림로어패럴,"부산광역시 연제구 해맞이로109번길 9, 2층(거제동)",2022-01-03,051-525-9549,051-525-9548
36,대명정공,부산광역시 연제구 과정로278번길 20 (연산동),1998-02-17,051-865-6864,051-865-6865
37,대성이노베이션,부산광역시 연제구 구락로153번길 76 (연산동),1999-05-12,051-753-2586,051-759-6543
38,대신네트웍스(주),"부산광역시 연제구 월드컵대로 62, 5층 (연산동)",2019-06-03,051-466-8282,051-466-9292
39,대원,"부산광역시 연제구 중앙대로1149번길 14, 1층 (연산동)",2009-11-20,051-816-2285,051-816-2278
40,대원엔지니어링,"부산광역시 연제구 월드컵대로 251 (거제동, 대원빌딩)",1998-06-08,051-502-2434,051-504-6138
41,대진공업사,부산광역시 연제구 온천천남로4번길 3 (연산동),2002-08-14,051-852-8266,051-863-3224
42,동서문화기획,부산광역시 연제구 월드컵대로187번길 75 (거제동),2015-12-04,051-866-2300,051-866-2353
43,동화사,부산광역시 연제구 거제천로 232-1 (연산동),2024-07-29,051-504-4585,051-851-4586
44,두웰 엔지니어링,"부산광역시 연제구 마곡천로 54, 상가동 201호 (연산동, 연산동현대홈타운)",2018-08-21,051-927-7695,
45,디올아트,부산광역시 연제구 해맞이로 103 (거제동),2020-03-16,051-636-1142,051-636-1176
46,명성,부산광역시 연제구 아시아드대로54번길 32 (거제동),2020-03-02,051-503-4921,051-504-4554
47,반석인쇄출판사,"부산광역시 연제구 해맞이로43번길 9, 1,2층 (거제동)",2019-08-14,051-851-1702,051-851-5702
48,보령통상,부산광역시 연제구 신금로17번길 35 (연산동),1998-02-17,051-866-1455,051-861-6190
49,부산직업재활원,"부산광역시 연제구 톳고개로 48 (연산동, 성우원)",2002-04-25,051-759-9213,51
50,부산합동양조 연산제조장,부산광역시 연제구 월드컵대로 172 (연산동),1973-12-31,051-865-5961,051-865-5962
51,비호시스템(주),"부산광역시 연제구 과정로283번나길 24, 2층 (연산동)",2019-01-17,051-759-8638,051-759-8639
52,삼화인쇄,부산광역시 연제구 거제천로9번길 2 (거제동),2018-08-08,051-853-4220,051-853-4222
53,성진사,부산광역시 연제구 해맞이로 119 (거제동),2003-04-01,051-503-2513,51
54,성창산업,부산광역시 연제구 연수로 61 (연산동),1998-05-23,051-862-3144,051-861-5298
55,세경상사,"부산광역시 연제구 과정로344번길 53, 2층 (연산동)",2017-05-13,051-861-5984,051-867-0289
56,수담,"부산광역시 연제구 월드컵대로58번길 27, B1(연산동)",2022-01-27,,0504-424-5202
57,시그마 엘텍(주),부산광역시 연제구 월드컵대로 33 (연산동),2015-05-06,051-805-1718,051-805-4520
58,신성위날드,"부산광역시 연제구 아시아드대로 38, B동 2층 및 지하(거제동)",2021-09-28,,
59,썬코리아,"부산광역시 연제구 거제대로 219, 2층 (거제동)",2015-04-07,051-502-4880,051-501-0220
60,어반플랜,부산광역시 연제구 안연로 8 (연산동),2019-01-03,051-924-0074,051-924-0075
61,엠엠씨케이,"부산광역시 연제구 중앙대로 1052, 지훈빌딩 503호 (연산동)",2017-02-06,051-505-4703,050-4191-0101
62,오대토이즈,부산광역시 연제구 거제대로 215 (거제동),1998-06-08,051-852-2233,051-862-6488
63,우정,"부산광역시 연제구 거제시장로21번길 41 (거제동, 대가하이츠) 지하",2020-07-13,051-862-1283,051-862-1285
64,원치과기공(주),"부산광역시 연제구 거제대로214번길 33, 3층 (거제동)",2017-03-10,051-852-2950,051-861-6008
65,월드파워,"부산광역시 연제구 고분로 96, 2층 (연산동)",2011-04-01,051-522-7278,051-523-6767
66,유성산업(주),부산광역시 연제구 중앙대로1048번길 59 (연산동),1963-01-01,051-866-3016,051-864-7657
67,이채라이팅,"부산광역시 연제구 토곡로 35, 6층 (연산동)",2020-02-21,051-751-5520,051-751-5521
68,이한기술단 주식회사,부산광역시 연제구 과정로132번길 28 (연산동) 3층,2020-10-30,051-752-7771,051-752-7726
69,일성테크원주식회사,부산광역시 연제구 거제천로255번가길 37 (거제동),2020-10-27,051-925-1514,051-925-1515
70,일성테크원주식회사,"부산광역시 연제구 거제천로255번가길 39, 1층 (거제동)",2025-02-11,02-925-1514,051-925-1515
71,주식회사 동우비지니스솔루션,부산광역시 연제구 온천천남로 128 (연산동),2020-03-31,051-504-8422,051-759-8429
72,주식회사 명진이엔씨,"부산광역시 연제구 해맞이로 59, 2층(거제동)",2020-07-06,051-852-5833,051-852-5834
73,주식회사 부평,부산광역시 연제구 월드컵대로111번길 34 (연산동),2024-11-28,051-804-5900,051-804-8327
74,주식회사 비손,"부산광역시 연제구 거제대로 219, 2층(거제동)",2019-07-03,051-715-4880,051-715-4881
75,주식회사 사인이지,"부산광역시 연제구 반송로 112, 연안빌딩 3층 (연산동)",2025-05-28,051-852-4880,051-852-4881
76,주식회사 스마트캅스,"부산광역시 연제구 거제천로 112, 4층(연산동, 스타빌딩)",2025-01-16,070-7116-5111,070-7159-2408
