산업분류,연제구 사업체수,연제구 종사자수,거제1동 사업체수,거제1동 종사자수,거제2동 사업체수,거제2동 종사자수,거제3동 사업체수,거제3동 종사자수,거제4동 사업체수,거제4동 종사자수,연산1동 사업체수,연산1동 종사자수,연산2동 사업체수,연산2동 종사자수,연산3동 사업체수,연산3동 종사자수,연산4동 사업체수,연산4동 종사자수,연산5동 사업체수,연산5동 종사자수,연산6동 사업체수,연산6동 종사자수,연산8동 사업체수,연산8동 종사자수,연산9동 사업체수,연산9동 종사자수
B.광업(05~08),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" 05.석탄, 원유 및 천연가스 광업",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 051.석탄 광업,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 052.원유 및 천연가스 채굴업,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 06.금속 광업,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 061.철 광업,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 062.비철금속 광업,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 07.비금속광물 광업; 연료용 제외,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 071.토사석 광업,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 072.기타 비금속광물 광업,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 08.광업 지원 서비스업,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 080.광업 지원 서비스업,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C.제조업(10~34),748,"2,305",64,171,26,104,80,311,39,150,69,174,63,146,19,28,71,108,50,366,69,123,80,231,118,393
 10.식료품 제조업,159,254,5,30,3,3,22,37,6,10,23,32,21,29,5,7,21,30,1,X,16,23,12,15,24,37
" 101.도축, 육류 가공 및 저장 처리업",4,10,0,0,0,0,0,0,0,0,0,0,1,X,0,0,0,0,0,0,0,0,0,0,3,9
 102.수산물 가공 및 저장 처리업,4,24,1,X,0,0,0,0,0,0,1,X,2,X,0,0,0,0,0,0,0,0,0,0,0,0
" 103.과실, 채소 가공 및 저장 처리업",7,11,0,0,1,X,2,X,1,X,0,0,0,0,0,0,0,0,0,0,1,X,1,X,1,X
 104.동물성 및 식물성 유지 제조업,14,23,0,0,1,X,3,5,0,0,2,X,2,X,0,0,3,4,0,0,0,0,2,X,1,X
 105.낙농제품 및 식용빙과류 제조업,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" 106.곡물가공품, 전분 및 전분제품 제조업",3,4,0,0,0,0,1,X,0,0,0,0,1,X,0,0,0,0,0,0,0,0,1,X,0,0
 107.기타 식품 제조업,123,178,4,9,1,X,15,25,4,7,20,27,14,20,4,6,18,26,1,X,15,22,8,8,19,26
 108.동물용 사료 및 조제식품 제조업,4,4,0,0,0,0,1,X,1,X,0,0,1,X,1,X,0,0,0,0,0,0,0,0,0,0
 11.음료 제조업,1,X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,X,0,0,0,0,0,0
 111.알코올음료 제조업,1,X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,X,0,0,0,0,0,0
 112.비알코올음료 및 얼음 제조업,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 12.담배 제조업,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 120.담배 제조업,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 13.섬유제품 제조업; 의복제외,37,211,4,9,1,X,2,X,2,X,3,12,2,X,0,0,1,X,4,99,4,7,10,18,4,32
 131.방적 및 가공사 제조업,1,X,0,0,1,X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 132.직물직조 및 직물제품 제조업,24,56,3,6,0,0,0,0,1,X,1,X,2,X,0,0,1,X,1,X,3,5,9,16,3,3
 133.편조원단 제조업,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" 134.섬유제품 염색, 정리 및 마무리 가공업",6,45,0,0,0,0,2,X,0,0,0,0,0,0,0,0,0,0,1,X,1,X,1,X,1,X
 139.기타 섬유제품 제조업,6,108,1,X,0,0,0,0,1,X,2,X,0,0,0,0,0,0,2,X,0,0,0,0,0,0
" 14.의복, 의복 액세서리 및 모피제품 제조업",75,409,4,8,2,X,9,75,16,90,3,12,4,11,2,X,10,20,1,X,12,31,3,74,9,60
 141.봉제의복 제조업,66,352,4,8,0,0,8,53,15,83,2,X,4,11,1,X,9,19,1,X,10,27,3,74,9,60
 142.모피제품 제조업,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 143.편조의복 제조업,3,39,0,0,1,X,1,X,0,0,1,X,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 144.의복 액세서리 제조업,6,18,0,0,1,X,0,0,1,X,0,0,0,0,1,X,1,X,0,0,2,X,0,0,0,0
