순번,회사명,대표자명,전화번호,팩스번호,공장대표주소(지번),생산품,업종명
1,(주) 송림드리움,김한술,051-862-8170,051-862-8174,부산광역시 연제구 과정로287번길 52 (연산동) 외 1필지,커튼,커튼 및 유사제품 제조업
2,(주)강동미디어,이상윤,051-864-6500,051-853-8444,"부산광역시 연제구 거제대로 176, 3층 (거제동, 한신상가)",비디오 및 기타 영상기기 ,비디오 및 기타 영상기기 제조업 외 2 종
3,(주)고려폴리머,조정환,051-644-8877,051-644-8897,부산광역시 연제구 거제대로 120(거제동),"광고물, 금속가공제품",간판 및 광고물 제조업 외 12 종
4,(주)국제비엠에스,김성수,051-852-4517,051-852-4519,부산광역시 연제구 토곡남로 9 (연산동),자동제어반,배전반 및 전기 자동제어반 제조업
5,(주)대륙건설광고공사,김화연,051-867-9999,0,"부산광역시 연제구 반송로 104, 연산동 104-36번지 (연산동)",간판 및 광고물 제조,간판 및 광고물 제조업 외 8 종
6,(주)동성지기,정두현,051-852-7321,051-866-2375,"부산광역시 연제구 중앙대로1133번길 21 (연산동, 주식회사 동성지기)",종이제조,포장용판지상자및기타종이용기제조업
7,(주)동인산업,김형도,051-863-5983,051-867-0289,부산광역시 연제구 과정로344번길 53 (연산동),"위생용종이, 부직포, 펠트제품",위생용 종이제품 제조업 외 2 종
8,(주)바이콤,"정기영,  이계림",070-5153-5794,02-514-2030,부산광역시 연제구 과정로348번길 50 (연산동),"영상정보디스플레이장치, 영상정보디스플레이장치, 구내방송장치, 무선마이크장치, 무선마이크장치, 오디오믹서,스피커선택유닛, 오디오믹서,스피커선택유닛, 대기오염측정기, 전원공급장치, 안내전광판, 영사기, 업종삭제함, 업종삭제함",비디오 및 기타 영상기기 제조업 외 12 종
9,(주)부경테크,김인숙,051-865-1417,051-865-9399,부산광역시 연제구 고분로247번길 6-1 (연산동),"산업용수처리기계, 정수기",그 외 기타 전기장비 제조업 외 1 종
10,(주)세광 2공장,엄세현,051-556-1730,051-556-1732,부산광역시 연제구 배산북로 38-1 (연산동),"태양광 발전세트, 태양전지(완제품), 각파이프, 무대조명장치, 터널진입차단장치, 교통관제시스템",전동기 및 발전기 제조업 외 14 종
11,(주)신승시스템,김성규,051-507-6031,051-507-6034,"부산광역시 연제구 중앙대로1219번길 15 (거제동, 신승빌딩)","산소,질소,마취가스메니폴드",그 외 기타 의료용 기기 제조업 외 4 종
12,(주)신한모드,김희모,02-2636-2580,02-2676-1663,"부산광역시 연제구 과정로164번길 6, 3층 301호 (연산동, 금덕상가빌라)","정장, 침구, 커튼, 천막, 특수직물",특수 직물 및 기타 직물 직조업 외 25 종
13,(주)씨티테크,백성욱,051-941-9933,051-941-6611,"부산광역시 연제구 토곡남로 15, 상가동 지하101호 (연산동, 대우아파트)","감시용카메라(CCTV),영상감시장치,방송장비,기타주변기기,CCCTV,영상감시장치,방송장비,기타주변기기 등",유선 통신장비 제조업 외 19 종
14,(주)안우,박철홍,051-757-5552,051-757-5554,부산광역시 연제구 구락로153번길 37-10 (연산동),낚시용구제조,낚시 및 수렵용구 제조업
15,(주)에스엠에스정보통신,박경희,051-623-0008,0504-985-8899,"부산광역시 연제구 거제대로114번길 8, 지하1층(거제동, 태영아트빌)","방송장비스피커, CCTV",전시 및 광고용 조명장치 제조업 외 3 종
16,(주)에이취케이씨,한종국,051-751-6766,0,부산광역시 연제구 과정로191번길 9-1 (연산동),무선방송수신기,방송장비 제조업 외 15 종
17,(주)엘앤비기술,이성희,051-851-3400,051-851-4646,"부산광역시 연제구 미남로 3, 엘앤비빌딩 (거제동)",방송장비,방송장비 제조업 외 8 종
18,(주)엘앤비기술,이성희,051-851-3400,051-851-4646,"부산광역시 연제구 미남로 5, 지하 1층(거제동, 희천빌딩)","음향, 영상기기 등 ",방송장비 제조업 외 10 종
19,(주)와이즈박스,심규섭,051-501-3910,051-501-3911,부산광역시 연제구 거제대로108번길 23 (거제동),"보안용카메라 외, 스피커 외",기타 음향기기 제조업 외 3 종
20,(주)우진통상,김민규,051-864-3333,051-865-1036,부산광역시 연제구 세병로 19 (연산동),신사복제조,남자용 겉옷 제조업
21,(주)제노글로벌,노재남,070-4048-5114,051-710-4720,"부산광역시 연제구 월드컵대로 12, 6층 (연산동)","수업자동녹화시스템,AV스위쳐",방송장비 제조업 외 10 종
22,(주)지씨,이상길,051-850-5700,051-637-8938,"부산광역시 연제구 양연로 3, 지하1층 (연산동)",유선통신장비,유선 통신장비 제조업 외 3 종
23,(주)한국디자인,정태석,051-866-0151,051-866-0155,부산광역시 연제구 거제대로 100 (거제동),간판및 광고물,간판 및 광고물 제조업 외 1 종
24,(주)협성임프,김태권,051-949-3404,051-949-3405,"부산광역시 연제구 과정로 279-2, 3층(연산동)","전자부품실장기판,LSD모니터",전자부품 실장기판 제조업 외 4 종
25,E&I TECH,김호준,051-802-6340,051-802-6342,"부산광역시 연제구 고분로67번길 25, 102호 (연산동, 무한그레이스빌라)",조명기구(경관) 및 제어장치,일반용 전기 조명장치 제조업 외 2 종
26,SS패션(경동어패럴),박영희 서경덕,0,053-9520-113,부산광역시 연제구 과정로226번길 13(연산동),"운동복, 그무복, 전투복, 면 내의","근무복, 작업복 및 유사의복 제조업 외 10 종"
27,가온도예,강무창,051-505-0288,0,부산광역시 연제구 여고로14번길 77 (거제동),"도자타일, 생활도자기",타일 및 유사 비내화 요업제품 제조업
