순번,회사명,공장대표주소(도로명),공장대표주소(지번),업종명,전화번호,팩스번호,외국인(남),외국인(여),종업원수,생산품
1,(주)BM,"부산광역시 영도구 태종로 727, 한국해양대학교 창업보육센터508 (동삼동)",부산광역시 영도구 동삼동 1 번지 한국해양대학교 창업보육센터508,바이오매스계 기초 화학물질 제조업 외 2 종,070-4066-1310,051-203-1244,0,0,4,유기농 천연소재
2,(주)HJ중공업,"부산광역시 영도구 태종로 233, 외 2필지 (봉래동5가) 외 2필지",부산광역시 영도구 봉래동5가 3 외 2필지 외 2필지,강선 건조업 외 7 종,051-410-3114,051-410-8465,104,0,1362,선박
3,(주)거청,"부산광역시 영도구 해양로 125 (청학동, (주)거청) (총 6 필지) 외 5필지",부산광역시 영도구 청학동 1-35번지 외 5필지,선박 구성 부분품 제조업,051-418-7741,051-418-7749,0,0,53,선박철구조물
4,(주)경인,부산광역시 영도구 해양로 24-11 (청학동),부산광역시 영도구 청학동 322-12번지,선박 구성 부분품 제조업,051-418-5642,051-418-5645,1,,6,"선박수리부품(냉동기, 기관등)"
5,(주)경진스크류,부산광역시 영도구 대평로34번길 9-15 (대평동2가),부산광역시 영도구 대평동2가 192번지,선박 구성 부분품 제조업,051-416-3082,051-416-5784,0,0,4,선박용 스크류
6,(주)광문오션케어,"부산광역시 영도구 남항서로 85, 227호(남항동2가, 국제선용품유통센터)",부산광역시 영도구 남항동2가 16 국제선용품유통센터 227호,선박 구성 부분품 제조업 외 1 종,051-710-7390,070-4275-1812,,,12,선박수리
7,(주)그림스,부산광역시 영도구 해양로65번길 29 (청학동),부산광역시 영도구 청학동 217-80번지,선박 구성 부분품 제조업,051-313-2222,051-941-3633,,,7,선박부분품 및 선박수리
8,(주)금남선박,"부산광역시 영도구 해양로23번길 16 (청학동, (주)금남)",부산광역시 영도구 청학동 330-110번지 (주)금남,목재문 및 관련제품 제조업 외 1 종,051-413-8001,051-413-8005,,,2,"선박목의장수리, 제작"
9,(주)다우코 영도지점,부산광역시 영도구 대평로 10-4 (대평동1가),부산광역시 영도구 대평동1가 61-1번지,유압기기 제조업,051-415-3155,051-417-3150,,,4,"사프트, 라이너"
10,(주)대경지티씨,부산광역시 영도구 해양로 33-13 (청학동),부산광역시 영도구 청학동 330-143번지,선박 구성 부분품 제조업,051-418-1117,051-418-8117,,,8,선박수리(엔진)
