회사명,주소,전화번호,행정기관,설립구분,용지면적,제조시설면적,종업원수,공장규모,공장등록일,용도지역,지목,업종,생산품
(사)부산광역시부산진구장애인협회 희망피복사업소,"부산광역시 북구 기찰로 181-7, 2층(만덕동, 광덕물산)",051-338-5556,부산광역시 북구 만덕동 700 광덕물산 2층,일반,363.7,329.7,15,소기업,2021-07-06,도시지역,대,편조의복 제조업 외 6 종,"운동복, 작업복, 야광조끼, 내복"
(사)한국장애인녹색재단 녹색섬유사업단,"부산광역시 북구 구만덕로60번길 52, 3층(만덕동)",051-332-3002,부산광역시 북구 만덕동 447-8 3층,일반,198,165,30,소기업,2022-04-06,도시지역,대,침구 및 관련제품 제조업 외 12 종,"운동복, 작업복, 야광조끼, 내복"
(주)The예주,"부산광역시 북구 구만덕로60번길 50, 1,2층(만덕동)",051-331-9003,"부산광역시 북구 만덕동 447-8 1,2층",일반,1116,468.21,45,소기업,2021-11-17,도시지역,대,"근무복, 작업복 및 유사의복 제조업 외 14 종",피복류
(주)건안산업,"부산광역시 북구 낙동대로 1600 (구포동, 건안산업구포공장)",051-303-3003,부산광역시 북구 구포제2동 1119-12번지,일반,502.6,462.6,16,소기업,2005-08-18,도시지역,대,플라스틱 창호 제조업 외 2 종,하이샤시 창호
(주)대민보안공사,"부산광역시 북구 구남언덕로 11 (구포동, 대민빌딩)",051-343-1122,부산광역시 북구 구포동 1075-123번지,일반,98.85,50,30,소기업,2004-03-24,도시지역,대,방송장비 제조업 외 1 종,영상감시장치
(주)대원엘파,부산광역시 북구 만덕3로 38 (만덕동),051-342-0204,부산광역시 북구 만덕동 915-1번지,일반,68.1,68.1,6,소기업,2015-04-02,도시지역,대,배전반 및 전기 자동제어반 제조업,배전반 및 전기자동제어반제조
(주)리더스,"부산광역시 북구 효열로 111, 부산지식산업센터 605호 (금곡동)",051-342-5141,부산광역시 북구 금곡동 812-8번지 부산지식산업센터 605호,일반,96.705,63.005,2,소기업,2017-10-17,도시지역,공장용지,기기용 자동측정 및 제어장치 제조업 외 3 종,"산업기계, 농업기계 등"
(주)릴라이온,"부산광역시 북구 낙동대로1762번길 111, 지하1층 (구포동)",000-000-0000,"부산광역시 북구 구포동 1186-1번지 3,4,5층",창업,144.5,119.5,3,소기업,2025-05-22,도시지역,대,신발 부분품 제조업,신발 부분품
(주)메드파크,"부산광역시 북구 낙동대로1570번길 24, 3,4,5층 (구포동)",070-8829-7777,"부산광역시 북구 만덕동 680-12 A동 1,2층 B동 1층",일반,226,401.19,25,소기업,2017-02-24,도시지역,대,의료용품 및 기타 의약 관련제품 제조업,"이종골이식재, 임플란트, 치과부품"
(주)미드미푸드(부산지점),"부산광역시 북구 만덕1로104번길 24, A동 1,2층 B동 1층(만덕동)",000-000-0000,부산광역시 북구 만덕동 296 신 만덕상가빌라 3층 305호,일반,983,245,15,소기업,2022-04-06,도시지역,대,기타 식사용 가공처리 조리식품 제조업,가공식품
(주)미주정보통신,"부산광역시 북구 만덕2로 13, 3층 305호(만덕동, 신 만덕상가빌라)",051-333-9400,부산광역시 북구 금곡동 812-8번지 부산지식산업센터 602호,일반,79.08,40,5,소기업,2019-04-30,도시지역,대,비디오 및 기타 영상기기 제조업 외 5 종,"비디오 및 영상기기 등, 배전반 및 전기 자동제어반 등, 방송장비,무선통신장비등, 출입통제시스템등"
(주)썬커뮤니케이션,"부산광역시 북구 효열로 111, 부산지식산업센터 602호 (금곡동)",051-337-3041,부산광역시 북구 금곡동 812-8번지 부산지식산업센터 513호,일반,413.68,110.5,19,소기업,2017-08-30,도시지역,공장용지,컴퓨터 제조업 외 1 종,"ShipCioUd, Sailink 등"
(주)씨앤에스씨,"부산광역시 북구 효열로 111, 부산지식산업센터 513호 (금곡동)",051-514-9530,부산광역시 북구 금곡동 812-8번지,일반,306.31,231,4,소기업,2018-01-10,도시지역,공장용지,분사기 및 소화기 제조업 외 1 종,전자제품
