순번,회사명,대표자명,팩스번호,공장대표주소(도로명),생산품,업종명
1,(사)부산고등어식품전략사업단,이충근,051-980-7140,부산광역시 서구 원양로 242 (암남동) 외 1필지,고등어구이,기타 수산동물 가공 및 저장 처리업
2,(유)신아종합,곽차경,051-244-2878,부산광역시 서구 충무대로241번길 5-16 (남부민동),어군탐지기 및 위성수신장치,기타 무선 통신장비 제조업 외 1 종
3,(주)경전산업,구의남,051-241-0814,부산광역시 서구 보수대로184번길 32 (동대신동2가),LAMP,전구 및 램프 제조업
4,(주)경해냉장지점,박정호,051-244-2828,부산광역시 서구 충무대로 166-47 (남부민동),인조빙,얼음 제조업
5,(주)그린푸드,박삼암,051-263-4077,"부산광역시 서구 원양로 67,  해원냉장 301 (암남동)",명태 트릿,수산동물 건조 및 염장품 제조업
6,(주)대원정보통신,최수정,050-4099-1322,"부산광역시 서구 충무대로149번다길 13-1, 1층 (남부민동)","cctv카메라, 방송장치 등",방송장비 제조업 외 12 종
7,(주)대풍수산식품,김만도,,"부산광역시 서구 원양로 1, B동 3층 308 (암남동)","수산물(오징어,동태등)",기타 수산동물 가공 및 저장 처리업
8,(주)덕화푸드,장종수,051-265-8164,"부산광역시 서구 원양로 35, 도매시장동 3층 (암남동, 국제수산물도매시장)",명란젓,수산동물 건조 및 염장품 제조업
9,(주)동아,손창일,051-256-5998,부산광역시 서구 구덕로 155-1 (초장동),"유니폼,근무복","근무복, 작업복 및 유사의복 제조업 외 7 종"
10,(주)동아티엔씨,박봉근,,부산광역시 서구 남부민로12번길 69 (남부민동),조명 및 통신장비,전시 및 광고용 조명장치 제조업 외 7 종
11,(주)동양/건재부문 부산공장,박주형,051-253-3302,부산광역시 서구 원양로 268 (암남동) (총 6 필지),"시멘트, 레미콘, 비내화 모르타르, 골재, 시멘트, 레미콘, 비내화 모르타르, 골재, 시멘트, 레미콘, 비내화 모르타르, 골재, 시멘트, 레미콘, 비내화 모르타르, 골재",레미콘 제조업 외 3 종
12,(주)두경수산,곽두성,051-256-9427,부산광역시 서구 등대로 122-20 (남부민동),"열빙어, 오징어",기타 수산동물 가공 및 저장 처리업
13,(주)락피쉬,이강석,,"부산광역시 서구 원양로 1, B동 5층 503 (암남동, 수산가공선진화단지) B동 5층 503호",간고등어,수산동물 냉동품 제조업 외 1 종
14,(주)바다를품다,설경숙,051-261-3355,"부산광역시 서구 원양로 1, B동 4층 406 (암남동, 수산가공선진화단지)","고등어(필렛,자반),오징어채",기타 수산동물 가공 및 저장 처리업
15,(주)백화 부민지점,김양언,070-8677-8853,부산광역시 서구 충무대로 166-41 (남부민동),어업용 얼음,수산동물 냉동품 제조업 외 1 종
16,(주)부광F&G,이충근,,"부산광역시 서구 원양로 1, B동 6층 601, 602 (암남동)","간공등어, 간고등어살 등",수산동물 냉동품 제조업 외 1 종
17,(주)비산,김동현,051-248-4562,"부산광역시 서구 원양로 1, B동 2층 208 (암남동, 수산가공선진화단지) B동 2층 208호","장어구이,문어(자숙,슬라이스)외","수산동물 훈제, 조리 및 유사 조제식품 제조업 외 1 종"
18,(주)비에스푸드,박기천,,"부산광역시 서구 원양로 1, B동 3층 301 (암남동)",젓갈류,수산동물 건조 및 염장품 제조업
19,(주)사조대림 부산공장,김상훈,051-242-0110,부산광역시 서구 충무대로 170 (남부민동),"햄, 소시지",육류 기타 가공 및 저장처리업 (가금류 제외) 외 1 종
20,(주)삼정이엠씨,차종열,051-254-2373,부산광역시 서구 남부민동 694번지,"응축기,증발기,냉동부속기기류",산업용 냉장 및 냉동 장비 제조업 외 1 종
21,(주)삼표시멘트 부산사업소,"배동환, 이원진",051-253-3387,부산광역시 서구 원양로 268 (암남동) (총 20 필지) 외 19필지,시멘트,시멘트 제조업
22,(주)신우,이동민,,"부산광역시 서구 원양로 1, B동 501,502호 (암남동, 수산가공선진화단지)",새우젓갈,수산동물 건조 및 염장품 제조업 외 1 종
23,(주)양산도에프엔비,김봉석,051-256-2776,"부산광역시 서구 원양로 1, B동 2층 203,204 (암남동, 수산가공선진화단지)","자숙문어,장어구이, 장어필렛","수산동물 훈제, 조리 및 유사 조제식품 제조업"
24,(주)에스제이푸드,권용복,051-231-7909,부산광역시 서구 원양로 87 (암남동),어육 및 유사제품,기타 수산동물 가공 및 저장 처리업 외 2 종
25,(주)오션스코리아,임중률,,"부산광역시 서구 원양로 1, B동 2층 206 (암남동)","연어, 오징어, 전복 등",기타 수산동물 가공 및 저장 처리업
26,(주)오션에프에스,정정철,051-980-5345,"부산광역시 서구 원양로 1, A동 4층 404 (암남동, 수산가공선진화단지)","손질고등어, 손질오징어, 새우젓",기타 수산동물 가공 및 저장 처리업 외 1 종
27,(주)우신냉장,최용재,051-246-5010,부산광역시 서구 등대로 123 (남부민동),"냉장,냉동 창고업",수산동물 냉동품 제조업
28,(주)위스,최영훈,051-262-9792,"부산광역시 서구 원양로 1, A동 5층 501 (암남동, 수산가공선진화단지) A동 5층 501호",냉동고등어 등,기타 수산동물 가공 및 저장 처리업
29,(주)이정푸드,서승진,051-244-1225,"부산광역시 서구 원양로 1, A동 2층 203 (암남동, 수산가공선진화단지) A동 2층 203호",수산물가공품,수산동물 건조 및 염장품 제조업 외 2 종
30,(주)장수씨푸드,김배곤,051-231-7021,"부산광역시 서구 원양로 1, B동 405호 (암남동, 수산가공선진화단지)",오징어 가공품,기타 수산동물 가공 및 저장 처리업
31,(주)재호식품 제3공장,신호익,070-4009-3822,"부산광역시 서구 원양로 1, B동 202호(암남동, 수산가공선진화단지)","주꾸미 볶음, 고등어 조림","수산동물 훈제, 조리 및 유사 조제식품 제조업"
32,(주)청아무역,하영룡,051-756-3395,"부산광역시 서구 원양로 1, B동 508호, A동 503호(암남동, 수산가공선진화단지)",붕장어 선어,기타 수산동물 가공 및 저장 처리업
33,(주)케이엠,백동욱,051-241-5906,부산광역시 서구 충무대로 214 (남부민동),얼음,수산동물 냉동품 제조업 외 1 종
34,(주)푸드린,최슬아,051-253-7789,"부산광역시 서구 원양로 1, A동 406호(암남동, 수산가공선진화단지)","부세찜보리굴비, 고등어시래기조림, 고등어간장조림, 매콤코다리조림","수산동물 훈제, 조리 및 유사 조제식품 제조업"
35,(주)푸드엔씨,황성환,051-256-5963,"부산광역시 서구 원양로 125, 7,9층 냉장인터불고 제2공장 (암남동)",가공수산물,기타 수산동물 가공 및 저장 처리업 외 4 종
36,(주)푸드파크,정명조,051-248-2111,"부산광역시 서구 원양로 1, B동 2층 205 (암남동, 수산가공선진화단지)","연어구이, 전복스라이스,문어슬라이스","수산동물 훈제, 조리 및 유사 조제식품 제조업"
37,(주)푸른바다,김수진,051-243-4908,부산광역시 서구 등대로 117 (남부민동) 지하 1층,냉동수산물(고등어등),수산동물 냉동품 제조업 외 1 종
38,(주)하나푸드,정종식,051-253-1709,"부산광역시 서구 원양로 1, A동 3층 304 (암남동, 수산가공선진화단지) A동 3층 304호",아귀포,"수산동물 훈제, 조리 및 유사 조제식품 제조업"
39,(주)한양이알,이점수,051-256-4141,부산광역시 서구 까치고개로245번길 17-11 (토성동1가),전기판넬,배전반 및 전기 자동제어반 제조업
40,(주)해천글로벌,박호균,051-253-2505,부산광역시 서구 원양로 111 (암남동),참치가공품,수산동물 냉동품 제조업
41,(주)해청수산,김견오,051-231-5517,"부산광역시 서구 원양로 1, B동 3층 303 (암남동, 수산가공선진화단지)",고등어 필렛,기타 수산동물 가공 및 저장 처리업 외 1 종
42,고려냉장(주)감천부두냉동공장,김학균,051-261-6165,부산광역시 서구 원양로 214 (암남동),냉동고등어 등,수산동물 냉동품 제조업
43,광송엔지니어링,김태현,051-247-5984,부산광역시 서구 등대로 122-20 (남부민동),"쇄빙기, 제빙기, 컨베어",산업용 냉장 및 냉동 장비 제조업
44,국제미디어(주),"김영복,김상민",051-254-0593,부산광역시 서구 까치고개로233번길 11 (토성동2가),로컬셀렉터,방송장비 제조업 외 1 종
45,국제아피스공업사,김종민,051-242-1744,부산광역시 서구 남부민동 46번지,"만년필,볼펜,샤프연필",사무 및 회화용품 제조업
46,금양제빙 2공장,천금석,051-242-1757,부산광역시 서구 해안새벽시장길 54 (충무동1가),"어업용 얼음, 냉동냉장",수산동물 냉동품 제조업 외 1 종
47,대경에프앤비(주),강치범,051-255-7214,부산광역시 서구 구덕로301번길 4 (서대신동2가) (총 2 필지) 외 1필지,명란젓 외 절임식품,수산동물 건조 및 염장품 제조업
48,대호기업,이귀숙,051-246-1736,부산광역시 서구 남부민로10번길 25 (남부민동),코팅와이어,기타 절연선 및 케이블 제조업
49,동아푸드(주),정희동,051-263-0205,"부산광역시 서구 등대로 117, 2층, 3층 (남부민동)",간고등어,기타 수산동물 가공 및 저장 처리업
50,동양섬유(주) 송도지점,김지환,,부산광역시 서구 충무대로 140 (남부민동),"냉장,냉동가공품",육류 기타 가공 및 저장처리업 (가금류 제외) 외 2 종
51,동원산업(주) 부산 냉장센터,"박상진, 김세훈, 장인성",051-600-1992,부산광역시 서구 원양로 147 (암남동),"냉동,냉장보관품 및 참치횟감, 냉동,냉장보관품 및 참치횟감, 냉동,냉장보관품 및 참치횟감",기타 수산동물 가공 및 저장 처리업 외 2 종
52,동원산업(주)부산공장,"박상진, 김세훈, 장인성",051-253-9900,부산광역시 서구 원양로 147 (암남동),참치 횟감,기타 수산동물 가공 및 저장 처리업
53,동현푸드시스템,이원국,051-714-2206,"부산광역시 서구 원양로 71, 사조씨푸드(주)물류센타 10층 (암남동)","두절 코다리, 두절 고등어 등",기타 수산동물 가공 및 저장 처리업
54,디자인 모컴,박향숙,051-254-7676,부산광역시 서구 까치고개로208번길 19 (아미동1가),"안내판,간판,광고물,현수막, 싯트출력  외",간판 및 광고물 제조업
55,디자인문진,박인재,051-254-1620,"부산광역시 서구 보수대로 223-6, 10/4 (동대신동3가)",인쇄물,기타 인쇄업 외 1 종
56,베테랑,이동수,,"부산광역시 서구 구덕로 350, 지하1층 (동대신동3가, 문화아파트)",교복 등 의류,"근무복, 작업복 및 유사의복 제조업 외 2 종"
