회사명,대표자명,전화번호,팩스번호,공장대표주소,업종명,생산품
(주)감로파인케미칼,우병도,054-383-4554,054-383-4557,경상북도 군위군 효령면 중리길 20-23,윤활유 및 그리스 제조업,윤활유/그리이스
(주)광덕강업,김재학,054-382-0828,,경상북도 군위군 효령면 고곡리 852번지,육상 금속 골조 구조재 제조업 외 2 종,철구조물
(주)금강목재,천석희,054-382-5501,054-382-8801,경상북도 군위군 효령면 장군로 740,일반 제재업 외 1 종,"각재, 판재, 가공목재 생산"
(주)금강목재2공장,천석희,054-382-5501,054-382-8801,경상북도 군위군 효령면 장군로 740,표면 가공 목재 및 특정 목적용 제재목 제조업,목재가공
(주)금성냉동기종합상사,김우균,054-383-7338,,경상북도 군위군 효령면 경북대로 2613,산업용 냉장 및 냉동 장비 제조업,냉동기조립
(주)나프,박재현,054-382-4464,054-382-4404,경상북도 군위군 군위읍 경북대로 3426-37,그 외 기타 분류 안된 섬유제품 제조업,제면(솜)
(주)남선,장성웅,054-380-5100,054-380-5115,경상북도 군위군 효령면 효령공단길 14-5,가정용비전기식조리및난방기구제조업,AL주방용품
(주)다다식품,김장수,054-383-1666,054-383-2344,경상북도 군위군 군위읍 군위공단길 159,빵류 제조업 외 1 종,"제과,제빵"
(주)대경알앤씨,권재열,054-382-1941,054-382-1943,경상북도 군위군 군위읍 군위공단길 39-16,레미콘 제조업 외 1 종,"레미콘, 아스콘"
(주)대명씨엠비,최동규,054-383-7019,054-383-7021,경상북도 군위군 군위읍 군위공단길 105,고무패킹류 제조업 외 1 종,전선용 고무제품
(주)대명전선,손고환,054-383-7020,054-383-7021,경상북도 군위군 군위읍 군위공단길 101,그 외 기타 고무제품 제조업,고무매트
(주)대명전선 제2공장,손고환,054-383-7020,054-383-7021,경상북도 군위군 군위읍 군위공단길 112,기타 절연선 및 케이블 제조업,고무제품 및 전선
(주)대영,김수영,054-383-4071,054-383-4070,경상북도 군위군 효령면 중리길 7-22,복합비료 및 기타 화학비료 제조업,비료
(주)대원그린,김민석,054-382-2268,054-382-5469,경상북도 군위군 효령면 효령공단길 14-10,"카펫, 마루덮개 및 유사제품 제조업 외 2 종","인조잔디,코아네트,식생매트,보행매트"
(주)대자연,최재현,054-383-8333,054-383-8335,경상북도 군위군 군위읍 대북길 134,그 외 기타 식료품 제조업,깐메추리알 및 깐메추리알 가공품
(주)대한콘크리트,오희영,054-382-2151,054-382-2161,경상북도 군위군 군위읍 군위금성로 240,콘크리트 관 및 기타 구조용 콘크리트 제품 제조업,"벤치플륨관, pc암거, 콘크리트블럭"
(주)대흥산업공사 군위지점,홍태순,054-382-7744,054-382-7741,경상북도 군위군 군위읍 군위공단길 148,포장용 유리용기 제조업,포장용 유리병
(주)동원,김미숙,054-383-0197,054-383-3848,경상북도 군위군 군위읍 군위공단길 159,금속탱크 및 저장용기 제조업 외 14 종,"버스승강장, 간이화장실, 교통표지판 등"
(주)마이텍,이승배,054-382-2091,054-382-2093,경상북도 군위군 효령면 효령공단길 12-9,농업 및 임업용 기계 제조업 외 4 종,농업용기계
(주)만조,김석봉,054-383-7931,054-383-7930,경상북도 군위군 군위읍 군위공단길 198-1,그 외 자동차용 신품 부품 제조업 외 3 종,자동차부품
(주)맘마에프앤비,장석강,054-383-1666,054-383-2344,경상북도 군위군 군위읍 군위공단길 159,빵류 제조업 외 1 종,"빵류, 과자류"
(주)메디엔,김영수,054-382-8844,,경상북도 군위군 군위읍 도군로 2359,침구 및 관련제품 제조업,기능성 침구류 관련제품
(주)미래산업기계,이영애,054-841-9093,054-382-1356,경상북도 군위군 군위읍 군위공단길 118-13,그 외 기타 특수목적용 기계 제조업 외 1 종,특수목적용기계
(주)미본,윤병기,054-382-3555,054-383-4400,경상북도 군위군 군위읍 군청로 332,천연 및 혼합조제 조미료 제조업,카레소스
(주)미진산업,유정희,054-383-7885,,경상북도 군위군 의흥면 원산금양길 444,코르크 및 조물제품 제조업,웰빙시트
(주)민속한우,권혁수,054-383-3365,,경상북도 군위군 군위읍 경북대로 4052,육류 기타 가공 및 저장처리업 (가금류 제외) 외 1 종,한우육
(주)베스틴,김승희,054-382-8715,054-382-8718,경상북도 군위군 효령면 효령공단길 31,"천막, 텐트 및 유사 제품 제조업 외 1 종",천막지
(주)보광산자,최말순,054-383-6090,054-383-6089,경상북도 군위군 군위읍 군위공단길 138,부직포 및 펠트 제조업,부직포
(주)보광산자,최말순,054-383-6090,054-383-6089,경상북도 군위군 군위읍 군위공단길 191,기타 직물제품 제조업,부직포
(주)보성테크,이상주,054-382-3911,,경상북도 군위군 소보면 칠봉길 85,"전자기 측정, 시험 및 분석기구 제조업 외 3 종","모의부하기, 조립접이식 피뢰침"
(주)삼기철강,손문수,054-383-8601,054-383-8603,경상북도 군위군 효령면 용매로 1032,구조용 금속 판제품 및 공작물 제조업,일반철물 및 수공구
(주)삼영섬유,박한서,054-382-2232,054-382-2249,경상북도 군위군 군위읍 군위공단길 118-26,섬유제품 기타 정리 및 마무리 가공업,싸이징
