순번,회사명,주소,전화번호,생산품
1,(주) 제이드 청포도,대구광역시 서구 서대구로 351(비산동),053-357-0987,의류
2,(주)광진정밀,"대구광역시 서구 북비산로7길 14-3 (이현동, 광진정밀)",053-523-6348,금형
3,(주)구오기업,대구광역시 서구 염색공단천로3길 23-1 (비산동),053-357-9555,산업용로+ 도가니
4,(주)기프트케이알,대구광역시 서구 서대구로63길 3 (비산동),053-563-1210,휴대폰거치대
5,(주)뉴동광건설산업,대구광역시 서구 달서천로74길 5-32 (원대동1가),053-566-4849,디자인펜스+금속울타리
6,(주)대우엠피,대구광역시 서구 옥산로 28 (원대동3가),053-358-9790,음식물처리기
7,(주)동광명품도어,대구광역시 서구 염색공단천로3길 11 (비산동),053-559-6653,방화문+ 철재문
8,(주)동일에이스,대구광역시 서구 달서로 267-1 (원대동3가),053-241-9119,차압측정공
9,(주)동화에스티엠,대구광역시 서구 서대구로62길 35 (비산동),053-353-9018,자동제어판넬
10,(주)미진섬유,대구광역시 서구 염색공단천로3길 25 (비산동),053-341-1286,양말
11,(주)비씨엠,"대구광역시 서구 염색공단천로 81 (비산동, 화성레이스)",053-312-3843,농업용세척기+ 파쇄기+ 착즙기
12,(주)비씨엠,대구광역시 서구 염색공단로 50 (비산동),,농산물세척기
13,(주)사라미데코,"대구광역시 서구 문화로 192-3 (평리동, 사라미테코)",053-557-1420,무대기계장치
14,(주)삼성에너텍,대구광역시 서구 국채보상로 284 (평리동) 지하1층,053-564-4455,냉난방 및 기계 자동제어 배전반
15,(주)새한기전,대구광역시 서구 염색공단천로16길 3 (비산동),053-357-1855,배전반
16,(주)서라벌푸드,대구광역시 서구 가르뱅이로16길 16-9 (상리동),053-352-2227,막창
17,(주)세명테크,대구광역시 서구 북비산로 113-9 (이현동),,펌프스크류 등
18,(주)세아정밀,"대구광역시 서구 북비산로 97 (이현동, 세아정밀)",053-561-0331,인쇄물
19,(주)수양,대구광역시 서구 비산7동 2049-8번지 외 1필지 외 1필지,053-357-7799,식물성유지+ 발수제+ 지력제+ 지관
20,(주)신광전기,대구광역시 서구 염색공단로 54(비산동),053-358-2624,비철금속 자재+ 전기부품
21,(주)신우티에스,대구광역시 서구 팔달로 72-10 (비산동),053-311-7711,상업용주방기구+구조물 등
22,(주)씨앤보코,대구광역시 서구 달구벌대로371길 3 (내당동),053-552-1334,여성정장
23,(주)씨에이치테크,대구광역시 서구 염색공단천로14길 14 (비산동),053-355-0555,플라스틱 마대
24,(주)아림양말,대구광역시 서구 서대구로33길 6-20 (평리동),053-559-2095,양말
25,(주)애드원엘이디,"대구광역시 서구 국채보상로 231 (평리동, 영진유료주차장)",053-254-8222,LED전광판
26,(주)앤디아이,대구광역시 서구 염색공단중앙로22길 34 (비산동),053-353-9600,교직물가공
27,(주)에스에스에이취,대구광역시 서구 염색공단천로 106-4 (비산동) 외 1필지,053-353-2452,폴리에스텔
28,(주)에스케이엠메디칼,"대구광역시 서구 팔달로18길 8, 2층 (비산동)",053-522-8755,의료용 부목
