순번,단지명,회사명,공장대표주소(도로명),공장대표주소(지번),업종명,관할조직명,설립구분,생산품,주원자재
1,대구제3일반산업단지, 김용대,대구광역시 북구 팔달북로 7 (노원동3가),대구광역시 북구 노원동3가 726,비주거용 건물 임대업,대구제3산업단지관리공단,일반산업단지, ,
2,군위효령농공단지, 형신정보통신주식회사,"대구광역시 군위군 효령면 효령공단길 12-9, 102호",대구광역시 군위군 효령면 거매리 487-9 102호,방송장비 제조업 외 1 종,대구광역시 군위군,농공단지,CCTV,"렌즈, IP모듈, 하우징외"
3,성서지방산업단지,( 주)명장,"대구광역시 달서구 호산동로7길 42, (3차단지 95B 1-7L) (호림동)",대구광역시 달서구 호림동 2-18번지,그 외 자동차용 신품 부품 제조업 외 4 종,대구성서산업단지관리공단,일반산업단지,"실린더, 댐퍼",
4,서대구일반산업단지,(SM)컨설팅,"대구광역시 서구 와룡로 307, 1층 104호(중리동) 1층 104호",대구광역시 서구 중리동 1166-1 1층 104호 1층 104호,비주거용 건물 임대업,서대구산업단지관리공단,일반산업단지,경영 컨설팅,
5,대구제3일반산업단지,(사)한국장애인문화협회,대구광역시 북구 노원로1길 160 (노원동3가),대구광역시 북구 노원동3가 39번지,문구용 종이제품 제조업 외 3 종,대구제3산업단지관리공단,일반산업단지,"스케치북, 수첩 등",지류
6,달성2차일반산업단지,(사)한국지체장애인협회 달성군장애인재활자립작업장,대구광역시 달성군 구지면 달성2차로 221,대구광역시 달성군 구지면 예현리 757-12 달성군장애인재활자립작업장,장식용 목제품 제조업 외 4 종,한국산업단지공단 대구지역본부 달성사무소,일반산업단지,쓰레기종량제봉투 외,폴리에틸렌
7,성서5차첨단산업단지,(유)대구특수금속,"대구광역시 달성군 다사읍 세천로3길 69, 성서5차첨단산업단지 6B 4L",대구광역시 달성군 다사읍 세천리 1670-4번지 성서5차첨단산업단지 6B 4L,주형 및 금형 제조업,대구성서산업단지관리공단,일반산업단지,자동차상업인쇄,
8,성서지방산업단지,(유)대구특수금속,"대구광역시 달서구 성서공단북로69길 39, 1차단지 35B 7L 1차단지 35B 7L (갈산동)",대구광역시 달서구 갈산동 100-62번지 1차단지 35B 7L,그 외 자동차용 신품 부품 제조업 외 7 종,대구성서산업단지관리공단,일반산업단지,"자동차부품, 명판,라벨류","알루미늄,폴리에스터 필름"
9,대구염색일반산업단지,(유)대안에이엔씨,"대구광역시 서구 염색공단로21길 8, (유)대안에이엔씨 (비산동)",대구광역시 서구 비산동 3194-6번지 (유)대안에이엔씨,날염 가공업,대구염색산업단지관리공단,일반산업단지,나염,
10,성서지방산업단지,(유)시브코리아,"대구광역시 달서구 성서서로25안길 40, 2차단지 8B 2L (갈산동)",대구광역시 달서구 갈산동 358-57번지 2차단지 8B 2L,모터사이클 제조업 외 2 종,대구성서산업단지관리공단,일반산업단지,모터사이클,
11,대구제3일반산업단지,(유)케이엠에스,대구광역시 북구 노원로 157 (노원동3가),대구광역시 북구 노원동3가 31-8,비동력식 수공구 제조업,대구제3산업단지관리공단,일반산업단지,"툴홀더, 보링바",금속
12,서대구일반산업단지,(자)구진기업,"대구광역시 서구 와룡로87길 8-1 (이현동, 구진기업)",대구광역시 서구 이현동 42-430번지,도금업,서대구산업단지관리공단,일반산업단지,"시계,휴대폰 도금",도금
13,성서지방산업단지,(재)FITI시험연구원 대구지원,"대구광역시 달서구 성서로 329,(갈산동) 동원비즈플랫폼 1동 6층 601호 외 4필지",대구광역시 달서구 갈산동 100-32 동원비즈플랫폼 1동 6층 601호 외 4필지,"물리, 화학 및 생물학 연구개발업",대구성서산업단지관리공단,일반산업단지,섬유 연구개발,
14,성서지방산업단지,(재)대구기계부품연구원,"대구광역시 달서구 성서공단로35길 35, 2차단지 10B 7L (갈산동)",대구광역시 달서구 갈산동 358-110번지 2차단지 10B 7L,주형 및 금형 제조업,대구성서산업단지관리공단,일반산업단지,주형 금형,
15,대구국가산업단지,(재)대구기계부품연구원,대구광역시 달성군 구지면 국가산단대로52길 24-49,대구광역시 달성군 구지면 응암리 1268-10,기타 공학 연구개발업,한국산업단지공단 대구지역본부 달성사무소,국가산업단지,연구개발,
16,성서지방산업단지,(재)대구테크노파크F&B,"대구광역시 달서구 성서공단로 46-17 (대천동, 지식산업센터)",대구광역시 달서구 대천동 891-5번지,건강보조용 액화식품 제조업 외 2 종,대구성서산업단지관리공단,일반산업단지,건강음료,"물,과즙"
17,성서지방산업단지,(재)우리환경연구소,"대구광역시 달서구 달서대로109길 20, 3층 308 (신당동) 3층 308호",대구광역시 달서구 신당동 1320-1번지 3층 308 3층 308호,물질성분 검사 및 분석업,대구성서산업단지관리공단,일반산업단지,토양오염도 검사 등,
18,성서지방산업단지,(재)우리환경연구소,"대구광역시 달서구 달서대로109길 20, (신당동) A동 3F층 A302호",대구광역시 달서구 신당동 1320-1 A동 3F층 A302호,물질성분 검사 및 분석업,대구성서산업단지관리공단,일반산업단지,"토양오염도조사, 토양정밀조사, 토양정화검증",
19,성서지방산업단지,(재)장애인기업종합지원센터,"대구광역시 달서구 달서대로 559, 1동 8층 809.810 (신당동, 이앤씨이노비즈타워)",대구광역시 달서구 신당동 1320-2번지 이앤씨이노비즈타워 1동 8층 809.810,응용 소프트웨어 개발 및 공급업,대구성서산업단지관리공단,일반산업단지,프로그램,
20,대구연구개발특구,(주) 씨에스텍,대구광역시 동구 매여로 62(율암동),대구광역시 동구 율암동 1103-13,전동기 및 발전기 제조업 외 3 종,(재)연구개발특구진흥재단 대구연구개발특구본부 기획경영팀,국가산업단지,"태양광발전장치, 에너지저장장치, 아크차단기","다이오드, 차단기, 전선 등"
21,대구염색일반산업단지,(주) 이 주,"대구광역시 서구 염색공단중앙로21길 33 (비산동, 이주염공)",대구광역시 서구 비산동 3169-5번지,"직물, 편조원단 및 의복류 염색 가공업",대구염색산업단지관리공단,일반산업단지,의류용심지,"염료,원단"
22,대구연구개발특구,(주) 제이디자인웍스,대구광역시 동구 율암로 149-22 (상매동),대구광역시 동구 상매동 517-4번지,기타 엔지니어링 서비스업,(재)연구개발특구진흥재단 대구연구개발특구본부 기획경영팀,국가산업단지,의료기기 디자인 및 설계서비스,0
23,대구연구개발특구,(주) 태양인덕션히터,대구광역시 동구 율암로 149-50 (상매동),대구광역시 동구 상매동 515-8번지,"산업용 오븐, 노 및 노용 버너 제조업",(재)연구개발특구진흥재단 대구연구개발특구본부 기획경영팀,국가산업단지,고주파유도가열기,FET등 전자부품
24,대구연구개발특구,(주) 튜링겐코리아,대구광역시 동구 율암로 79 (율암동),대구광역시 동구 율암동 1144-1번지,화장품 제조업 외 2 종,(재)연구개발특구진흥재단 대구연구개발특구본부 기획경영팀,국가산업단지,기능성화장품,식물성 추출물
25,성서지방산업단지,(주)AL네트웍스,"대구광역시 달서구 성서공단북로43길 23, 1차 67B 7L (신당동)",대구광역시 달서구 신당동 357-6 1차 67B 7L,반려동물용 사료 제조업 외 2 종,대구성서산업단지관리공단,일반산업단지,"애견사료, 애견사료, 간식 펫밀크, 간식 펫밀크",돼지고기 원물
26,성서지방산업단지,(주)AVACO,"대구광역시 달서구 성서공단로 21, (3차단지 108B 15L) (호림동)",대구광역시 달서구 호림동 5-9번지,디스플레이 제조용 기계 제조업,대구성서산업단지관리공단,일반산업단지,디스플레이용기계,스텐
27,성서지방산업단지,(주)AVACO,"대구광역시 달서구 성서4차첨단로 160-7, (4차단지 11B 1L) (월암동)",대구광역시 달서구 월암동 1107번지 (4차단지 11B 1L),디스플레이 제조용 기계 제조업,대구성서산업단지관리공단,일반산업단지,디스플레이제조용기계,스텐
28,성서지방산업단지,(주)AVATEC,"대구광역시 달서구 달서대로85길 100, (3차단지 96B 1-1L) (호림동)",대구광역시 달서구 호림동 3번지 (3차단지 96B 1-1L),액정 표시장치 제조업 외 2 종,대구성서산업단지관리공단,일반산업단지,"평판디스플레이,판유리가공품",
29,성서지방산업단지,(주)DAS,"대구광역시 달서구 성서공단로 21, (3차단지 108B 15L) (호림동)",대구광역시 달서구 호림동 5-9번지 (3차단지 108B 15L),디스플레이 제조용 기계 제조업,대구성서산업단지관리공단,일반산업단지,평판디스플레이장비,
30,대구연구개발특구,(주)E.O.S,대구광역시 동구 율암로 188 (상매동),대구광역시 동구 상매동 503번지,광학렌즈 및 광학요소 제조업,(재)연구개발특구진흥재단 대구연구개발특구본부 기획경영팀,국가산업단지,소프트 콘텍트렌즈,2-HEMA
31,성서지방산업단지,(주)EV첨단소재,"대구광역시 달서구 성서로35길 26, (2차단지 23-1B 3L) (월암동)",대구광역시 달서구 월암동 1-202번지 (2차단지 23-1B 3L),인쇄회로기판용 적층판 제조업 외 4 종,대구성서산업단지관리공단,일반산업단지,"FPCB, 투명LED DISPLAY",CCL
32,서대구일반산업단지,(주)GS텍스타일,대구광역시 서구 중리동 1076-18번지,대구광역시 서구 중리동 1076-18번지,면직물 직조업 외 1 종,서대구산업단지관리공단,일반산업단지,면직물,원사 등
33,성서지방산업단지,(주)K.E,"대구광역시 달서구 성서공단북로 15, (3차단지 61B 2-1L) (파호동)",대구광역시 달서구 파호동 91-33번지 (3차단지 61B 2-1L),주형 및 금형 제조업 외 1 종,대구성서산업단지관리공단,일반산업단지,주형및금형,
34,성서지방산업단지,(주)LJ테크,"대구광역시 달서구 성서4차첨단로 62, 4차단지 7B 6L (대천동)",대구광역시 달서구 대천동 1026-1번지 4차단지 7B 6L,이동전화기 제조업 외 1 종,대구성서산업단지관리공단,일반산업단지,"스마트폰부품,자동차센서부품",
35,성서5차첨단산업단지,(주)S-Tech,"대구광역시 달성군 다사읍 세천로3길 33, 성서5차첨단산업단지 13B 6L.7L",대구광역시 달성군 다사읍 세천리 1673-6번지 성서5차첨단산업단지 13B 6L.7L,그 외 기타 특수목적용 기계 제조업 외 2 종,대구성서산업단지관리공단,일반산업단지,"태양광 반도체 장비,평면연삭기, 잉곳 완제품 장비 생산","스테인리스,철강재"
36,성서지방산업단지,(주)SJ테크,"대구광역시 달서구 성서4차첨단로 62, 4차단지 7B 6L (대천동)",대구광역시 달서구 대천동 1026-1번지 4차단지 7B 6L,이동전화기 제조업 외 1 종,대구성서산업단지관리공단,일반산업단지,"휴대폰부품,자동차센서부품",
37,대구국가산업단지,(주)SJ테크,대구광역시 달성군 구지면 국가산단대로39길 159,대구광역시 달성군 구지면 창리 1363,그 외 자동차용 신품 부품 제조업 외 4 종,한국산업단지공단 대구지역본부 달성사무소,국가산업단지,"자동차전장, 엔진, 파워트레인부품","알루미늄, 마그네슘, 아연"
38,대구경북경제자유구역수성의료지구,(주)YH데이타베이스 ,"대구광역시 수성구 알파시티1로 170, B7-8 (대흥동)",대구광역시 수성구 대흥동 387번지 B7-8,응용 소프트웨어 개발 및 공급업,대구경북경제자유구역청,일반산업단지,응용소프트웨어개발 ,
39,달성2차일반산업단지,(주)가경이앤씨,대구광역시 달성군 구지면 달성2차동1로 195,대구광역시 달성군 구지면 예현리 757-5,구조용 금속 판제품 및 공작물 제조업 외 4 종,한국산업단지공단 대구지역본부 달성사무소,일반산업단지,"금속제패널,금속울타리,차양,주방가구 및 신발장, 장롱 및 수납가구 외","알루미늄시트,알루미늄복합패널,아연도강판,전기아연도강판,스텐파이프,파티클보드,스테인리스,합판,인조대리석 외"
40,달성2차일반산업단지,(주)가경이앤씨,"대구광역시 달성군 구지면 달성2차로 173, (15B 1L)",대구광역시 달성군 구지면 예현리 759번지 (15B 1L),주방용 전기기기 제조업 외 3 종,한국산업단지공단 대구지역본부 달성사무소,일반산업단지,"주방가구 및 신발장, 장롱 및 수납가구 외","파티클보드, MDF, 스텐볼, 인조대리석"
