회사명,업종명,생산품,주소,연락처,출처파일
(주)만조,그 외 자동차용 신품 부품 제조업 외 3 종,자동차부품,경상북도 군위군 군위읍 군위공단길 198-1,054-383-7931,대구광역시 군위군_제조업현황_20220905.csv
(주)수성피앤티,부직포 및 펠트 제조업,부직포(자동차 내장재),경상북도 군위군 군위읍 장천로 731-9,054-382-1170,대구광역시 군위군_제조업현황_20220905.csv
(주)에이원테크,그 외 기타 전자부품 제조업 외 1 종,휴대폰 케이스,경상북도 군위군 군위읍 군위공단길 140,054-383-1400,대구광역시 군위군_제조업현황_20220905.csv
(주)엘앤비하이테크,"플라스틱 선, 봉, 관 및 호스 제조업 외 8 종","자동차부품, 플랜트",경상북도 군위군 군위읍 군위공단길 151,054-383-1791,대구광역시 군위군_제조업현황_20220905.csv
산호정밀,자동차 차체용 신품 부품 제조업 외 1 종,자동차부품(도어부분품),경상북도 군위군 군위읍 수서리 산 25-3,,대구광역시 군위군_제조업현황_20220905.csv
석담정밀,"금속 문, 창, 셔터 및 관련제품 제조업 외 4 종","금속롤링도어, 소음기부품",경상북도 군위군 효령면 용매로 1055-33 ,054-382-7167,대구광역시 군위군_제조업현황_20220905.csv
에스티엠(주),그 외 자동차용 신품 부품 제조업 외 3 종,"자동차용부품, 고무제품, 오일씰, 마그네틱 로터리 엔코더 등",경상북도 군위군 군위읍 군위공단길 185,054-383-9766,대구광역시 군위군_제조업현황_20220905.csv
우성산업,자동차용 금속 압형제품 제조업 외 1 종,모터코어(가전제품용),경상북도 군위군 경북대로 3972 -1(군위읍),,대구광역시 군위군_제조업현황_20220905.csv
은성산업,비금속류 해체 및 선별업 외 1 종,자동차 범버,경상북도 군위군 산성면 산성가음로 2,054-383-8021,대구광역시 군위군_제조업현황_20220905.csv
청화정밀,그 외 자동차용 신품 부품 제조업 외 3 종,자동차부품,경상북도 군위군 군위읍 군위공단길 140,054-382-9958,대구광역시 군위군_제조업현황_20220905.csv
(주)신광전기,,비철금속 자재+ 전기부품,대구광역시 서구 염색공단로 54(비산동),053-358-2624,대구광역시 서구_공장등록 현황_20251110.csv
(주)우정하우징,,자동차부품고정용지그제품,대구광역시 서구 북비산로 113-13 (이현동),053-358-3368,대구광역시 서구_공장등록 현황_20251110.csv
(주)케이케이엠모터코리아이현공장,,오토바이+전기자전거,대구광역시 서구 이현동 226-4 번지,053-256-1136,대구광역시 서구_공장등록 현황_20251110.csv
(주)코리아씨엔티,,전자부품(휴대폰)도색,"대구광역시 서구 염색공단천로1길 32, 2층 (비산동)",053-294-8002,대구광역시 서구_공장등록 현황_20251110.csv
(주)태영산업,,전자부품 및 자동차부품 도금,대구광역시 서구 염색공단천로10길 19(비산동),053-359-1880,대구광역시 서구_공장등록 현황_20251110.csv
거봉아노다이징,,전자+자동차부품 피막,대구광역시 서구 염색공단천로 94-1 (비산동),,대구광역시 서구_공장등록 현황_20251110.csv
경원산업사,,자동차부품,대구광역시 서구 팔달로2길 7 (비산동),,대구광역시 서구_공장등록 현황_20251110.csv
광진테크,,자동차부품용 금형가공,대구광역시 서구 이현동 240-2번지,,대구광역시 서구_공장등록 현황_20251110.csv
그린테크,,자동차부품,대구광역시 서구 와룡로66길 65-13 (중리동),,대구광역시 서구_공장등록 현황_20251110.csv
대림초경,,자동차부품 금형,"대구광역시 서구 염색공단천로8길 16, 5동 (비산동)",053-355-4288,대구광역시 서구_공장등록 현황_20251110.csv
대우자동차정비공장,,자동차적재함+ 차체,"대구광역시 서구 염색공단천로8길 16-2, 대우자동차정비공장 (비산동) 외 1필지",053-356-5550,대구광역시 서구_공장등록 현황_20251110.csv
대홍엔지니어링,,기계부품,대구광역시 서구 팔달로2길 61 (비산동),053-357-9515,대구광역시 서구_공장등록 현황_20251110.csv
대화공업,,자동차부품(램프 및 핀류),대구광역시 서구 염색공단천로7길 38 (비산동),053-353-5335,대구광역시 서구_공장등록 현황_20251110.csv
두영전자,,와이어하네스(차량용),대구광역시 서구 와룡로66길 65-7 (중리동),070-8877-7228,대구광역시 서구_공장등록 현황_20251110.csv
문화산업,,자동차부품,대구광역시 서구 염색공단로5길 19 (비산동),053-351-6758,대구광역시 서구_공장등록 현황_20251110.csv
부광공업사,,가전부품 CNC가공,대구광역시 서구 고성로25길 25-9 (원대동2가),053-357-8650,대구광역시 서구_공장등록 현황_20251110.csv
삼성텍,,사출금형+ 블라인드 부품,"대구광역시 서구 서대구로63길 49, 3층 전체 , 1층 일부(비산동)",,대구광역시 서구_공장등록 현황_20251110.csv
세광정밀(주),,포탄신관부품+ 항공기용부품,대구광역시 서구 가르뱅이로16길 16-10 (상리동),053-556-8511,대구광역시 서구_공장등록 현황_20251110.csv
송원기업사,,자동차부품+섬유기계부품,"대구광역시 서구 북비산로29길 57 (이현동, 송원기업사)",053-567-1450,대구광역시 서구_공장등록 현황_20251110.csv
아스코,,자동차부품 및 각종 산업용 기계+ 부품 코팅,대구광역시 서구 염색공단천로8길 17 (비산동),053-356-1627,대구광역시 서구_공장등록 현황_20251110.csv
예화엔지니어링,,자동차금형부품,"대구광역시 서구 비산동 1755-7,8번지",053-354-0084,대구광역시 서구_공장등록 현황_20251110.csv
오륜기계기료공업사,,섬유기계부품,"대구광역시 서구 서대구로63길 20 (비산동, 부경정밀)",053-357-7585,대구광역시 서구_공장등록 현황_20251110.csv
우경정밀,,자동차부품조립용공구,대구광역시 서구 이현동 3-2번지 외 1필지,053-944-2292,대구광역시 서구_공장등록 현황_20251110.csv
우경정밀,,자동차부품,대구광역시 서구 북비산로17길 14-19 (이현동),053-352-2143,대구광역시 서구_공장등록 현황_20251110.csv
우진산업,,기계부품,"대구광역시 서구 가르뱅이로6길 45 (이현동, 우진산업)",053-561-7584,대구광역시 서구_공장등록 현황_20251110.csv
유신,,공작 기계 부품,대구광역시 서구 서대구로63길 19-1 (비산동),053-351-8234,대구광역시 서구_공장등록 현황_20251110.csv
제일자동차검사정비,,특장차 부품 제조 및 판금 도색,대구광역시 서구 북비산로 105 (이현동),053-568-7777,대구광역시 서구_공장등록 현황_20251110.csv
제일특장,,하수도준설차,"대구광역시 서구 염색공단천로 74 (비산동, 제일자동차검사장)",,대구광역시 서구_공장등록 현황_20251110.csv
주식회사 에스티에스씨엔비,,블라인드 부품,"대구광역시 서구 서대구로63길 49, 1층, 2층일부(비산동)",053-352-2758,대구광역시 서구_공장등록 현황_20251110.csv
주식회사 영남금속공업,,도금(자동차부품),대구광역시 서구 염색공단천로 92-1 (비산동),053-353-6360,대구광역시 서구_공장등록 현황_20251110.csv
주식회사광진정밀,,자동차프레스금형,대구광역시 서구 가르뱅이로6길 35 (이현동),053-523-6348,대구광역시 서구_공장등록 현황_20251110.csv
주식회사에이치아이옵틱,,기계부품,대구광역시 서구 염색공단천로14길 15-4 (비산동),053-355-3131,대구광역시 서구_공장등록 현황_20251110.csv
죽암에프에이,,부품조립자동화설비,"대구광역시 서구 와룡로66길 65-13, 2동 (중리동)",053-588-8993,대구광역시 서구_공장등록 현황_20251110.csv
진성전착,,자동차 및 기계 부품 도장,대구광역시 서구 염색공단천로 42 (비산동),053-357-1137,대구광역시 서구_공장등록 현황_20251110.csv
진영금속,,자동차부품,"대구광역시 서구 염색공단천로6길 6-1 (비산동, 금산정밀)",053-354-1305,대구광역시 서구_공장등록 현황_20251110.csv
태극정공,,자동차 부품,"대구광역시 서구 염색공단천로10길 16, 1층(비산동)",053-356-6398,대구광역시 서구_공장등록 현황_20251110.csv
티엔에프,,자동차부품+ 산업기계부품 가공,"대구광역시 서구 염색공단천로1길 32 (비산동, 거성테크(주))",053-294-8002,대구광역시 서구_공장등록 현황_20251110.csv
프레임엔진코리아,,안경부품,대구광역시 서구 염색공단천로10길 11 (비산동),070-8688-8664,대구광역시 서구_공장등록 현황_20251110.csv
(주)천일도금,,금속표면처리(자동차부품),대구광역시 서구 국채보상로19길 17,053-654-1001,대구광역시 서구_공장등록 현황_20251110.csv
대원스프링,,자동차부품+ 각종스프링,대구광역시 서구 문화로 14,053-563-6597,대구광역시 서구_공장등록 현황_20251110.csv
류영,,자동차설비,대구광역시 서구 문화로 18,053-356-6462,대구광역시 서구_공장등록 현황_20251110.csv
청운기계,,섬유기계부품,대구광역시 서구 문화로 20,053-555-8060,대구광역시 서구_공장등록 현황_20251110.csv
경동엔지니어링,,기계 부품,대구광역시 서구 이현동 문화로 22-4,053-557-1175,대구광역시 서구_공장등록 현황_20251110.csv
문화정밀,,원단포장기계 부품,대구광역시 서구 문화로 22-18,,대구광역시 서구_공장등록 현황_20251110.csv
(주)성광공업,,자동차부품 도금,대구광역시 서구 문화로17길 23,053-286-3666,대구광역시 서구_공장등록 현황_20251110.csv
유환상사,,연사기 벨트+ 섬유 기계부품,"대구광역시 서구 북비산로 120, 208호",053-567-5601,대구광역시 서구_공장등록 현황_20251110.csv
대한특수고무,,자동차 부품(고무),대구광역시 서구 국채보상로7길 42-12,053-556-3944,대구광역시 서구_공장등록 현황_20251110.csv
금성콘베어(주),,콘베어로라 외 부품,대구광역시 서구 문화로23길 9,053-294-7234,대구광역시 서구_공장등록 현황_20251110.csv
우정테크,,농기구부품,대구광역시 서구 국채보상로7길 46,053-352-6442,대구광역시 서구_공장등록 현황_20251110.csv
일흥테크,,자동차부품(프레스 금형),대구광역시 서구 문화로23길 24,053-592-7444,대구광역시 서구_공장등록 현황_20251110.csv
KD테크,,산업장비부품,대구광역시 서구 와룡로87길 30,053-552-9713,대구광역시 서구_공장등록 현황_20251110.csv
형제금속산업(주),,금형+ 공작기계 및 철도차량 부품,대구광역시 서구 문화로14길 6,053-556-8391,대구광역시 서구_공장등록 현황_20251110.csv
다운연마,,기계부품 연마,대구광역시 서구 문화로14길 28,053-314-4300,대구광역시 서구_공장등록 현황_20251110.csv
광덕정밀,,자동차+ 농기계 부품,대구광역시 서구 장산로 286,053-568-6411,대구광역시 서구_공장등록 현황_20251110.csv
이현정공,,기계부품(너트+ 밸브),대구광역시 서구 문화로4길 11,,대구광역시 서구_공장등록 현황_20251110.csv
삼영전착,,자동차부품,대구광역시 서구 문화로4길 11,053-551-0030,대구광역시 서구_공장등록 현황_20251110.csv
(주)두영파워텍 1공장,,자동차부품(와이어링 하네스),대구광역시 서구 와룡로72길 31,053-523-7679,대구광역시 서구_공장등록 현황_20251110.csv
민성산업,,자동차 부품,대구광역시 서구 와룡로65길 16,053-351-7977,대구광역시 서구_공장등록 현황_20251110.csv
진테크,,금형부품,대구광역시 서구 와룡로72길 37-1,053-381-7053,대구광역시 서구_공장등록 현황_20251110.csv
(주)에이치알,,자동차 부품,대구광역시 서구 와룡로97길 17,053-523-2003,대구광역시 서구_공장등록 현황_20251110.csv
삼광후레임,,섬유기계부품(종광틀),대구광역시 서구 평리로35길 84,053-358-2804,대구광역시 서구_공장등록 현황_20251110.csv
(주)인성이엔지,,자동화기계+ 자동차부품,대구광역시 서구 와룡로97길 18,053-355-4354,대구광역시 서구_공장등록 현황_20251110.csv
화성금속,,도금+ 자동화부품,대구광역시 서구 와룡로99길 21,053-571-1162,대구광역시 서구_공장등록 현황_20251110.csv
우신일랙코,,도금(자동차부품),대구광역시 서구 문화로7길 32,053-553-2650,대구광역시 서구_공장등록 현황_20251110.csv
대영기계공업(주),,전자부품+ 기계,대구광역시 서구 국채보상로 20길 27,053-565-4711,대구광역시 서구_공장등록 현황_20251110.csv
(주)태평양NH,,자동차부품 열처리,대구광역시 서구 북비산로6길 34,053-561-4433,대구광역시 서구_공장등록 현황_20251110.csv
태평양금속,,자동차부품 열처리,대구광역시 서구 문화로3길 10,053-561-4433,대구광역시 서구_공장등록 현황_20251110.csv
진성테크,,철+ 기계부품,"대구광역시 서구 북비산로 6길 13, 1층",,대구광역시 서구_공장등록 현황_20251110.csv
경원정공,,금형+ 자동차부품,"대구광역시 서구 와룡로99길 17, 16동",053-567-4358,대구광역시 서구_공장등록 현황_20251110.csv
현성산업,,자동차부품,대구광역시 서구 문화로7길 23,053-358-7595,대구광역시 서구_공장등록 현황_20251110.csv
디엠테크,,자동차부품 임가공(건조),대구광역시 서구 와룡로99길 27,053-562-8851,대구광역시 서구_공장등록 현황_20251110.csv
대구공돌,,오토바이 부품,대구광역시 서구 장산로322,,대구광역시 서구_공장등록 현황_20251110.csv
한창씨앤티(주),,컨베어+ 컨베어부품,대구광역시 서구 장산로 318,053-257-1551,대구광역시 서구_공장등록 현황_20251110.csv
원캠,,자동차 램프 지그 금형,대구광역시 서구 와룡로66길 45-1 ,053-593-8025,대구광역시 서구_공장등록 현황_20251110.csv
명신정밀기계,,섬유기계부품,대구광역시 서구 와룡로66길 7-5,053-565-3063,대구광역시 서구_공장등록 현황_20251110.csv
삼진정공,,자동차 부품,대구광역시 서구 와룡로 391-6,053-573-0418,대구광역시 서구_공장등록 현황_20251110.csv
명보하이텍,,공작기계부품,대구광역시 서구 와룡로 385-5,053-584-6120,대구광역시 서구_공장등록 현황_20251110.csv
원대이엔지,,농업용 동력분무기 부품시공,대구광역시 서구 와룡로 350,053-566-6955,대구광역시 서구_공장등록 현황_20251110.csv
원대금속,,자동차 부품(번호판),대구광역시 서구 와룡로 350,053-552-4466,대구광역시 서구_공장등록 현황_20251110.csv
