번호,산업분류번호,업체명,소재지,주생산품,데이터기준일자
1,18,(사)대한문화체육교육협회 장애인자립지원단,"대전광역시 대덕구 대화로106번길 140, 에이동, 비동  1층(대화동)",태양광 발전,2025-08-18
2,35,(유)네모그린6,대전광역시 대덕구 문평서로17번길 95(문평동),백판지,2025-08-18
3,17,(유)백연,대전광역시 대덕구 신일서로68번길 50 (신일동),크라프트지,2025-08-18
4,17,(유)스마트텍,대전광역시 대덕구 신일서로68번길 50(신일동),백판지,2025-08-18
5,17,(유)에이치에스컨버팅,대전광역시 대덕구 신일서로68번길 50(신일동),백판지,2025-08-18
6,17,(유)영창,대전광역시 대덕구 신일서로68번길 50 (신일동) 한솔제지(주),가공원료,2025-08-18
7,38,(유)오성알씨,"대전광역시 대덕구 상서당3길 16 (상서동, 유한회사오성자원)",타올,2025-08-18
8,13,(유)충무타올,대전광역시 대덕구 문평서로 52(문평동),타올,2025-08-18
9,13,(유)충무타올,대전광역시 대덕구 방두말3길 8 (평촌동) 외 1필지,도시락,2025-08-18
10,10,(유)행복한밥상,대전광역시 대덕구 우암로 472 (비래동),환자 검체 분석 등,2025-08-18
11,70,(재)서울의과학연구소,"대전광역시 대덕구 대화로 120, 6층 623호(대화동, 가온비즈타워) 6층 623호 외 1필지",광산 안정성 연구 및 평가,2025-08-18
12,70,(재)자원산업연구원,"대전광역시 대덕구 대화로106번길 66, 8층 805호(대화동, 펜타플렉스) 8층 805호 8층 805호","인젝트, 고압펌프",2025-08-18
13,30,(주)e-디젤,대전광역시 대덕구 신탄진로 480 (상서동) 외 1필지,방사선 기계 부품 제조,2025-08-18
14,27,(주)가나하이테크,대전광역시 대덕구 대화로50번길 41 (대화동),토목공학연구(고속도로유지보수),2025-08-18
15,70,(주)강동건설,"대전광역시 대덕구 대전로1331번길 40, 302호(읍내동, 대전 플랫폼시티 지식산업센터) 302호",금형,2025-08-18
16,29,(주)강동테크,대전광역시 대덕구 대화로52번안길 104 (대화동),"알루미늄샤시,플라스틱 창호",2025-08-18
17,25,(주)거산토탈시스템,대전광역시 대덕구 오정로89번길 23 (오정동),간판 및 광고물제조업,2025-08-18
18,25,(주)건설미공,대전광역시 대덕구 새말3길 14 (상서동),"핫도그, 빵류",2025-08-18
19,10,(주)건영식품,대전광역시 대덕구 신일동로93번길 14(신일동),P.P끈,2025-08-18
