순번,회사명,대표자명,공장대표주소(도로명),공장대표주소(지번),전화번호,생산품,데이터기준일자
1,(사)성원근로장애인협회 교육관,백성구,"대전광역시 동구 태전로 87, 1층 (삼성동)",대전광역시 동구 삼성동 283-2번지 1층,042-624-0924,인쇄물,2025-07-11
2,(사)한국장애인문화협회부설인쇄사업본부,안중원,"대전광역시 동구 태전로 52, 272-9 (삼성동)",대전광역시 동구 삼성동 272-9번지 은호빌딩 272-9,042-627-0789,"인쇄물, 출판물",2025-07-11
3,(사)한국장애인사진콘텐츠협회,김지환,"대전광역시 동구 새울로 41, 2층 203호 (판암동) 2층 203호",대전광역시 동구 판암동 239-2 2층 203호 2층 203호,042-271-5580,"인쇄물, 볼라드",2025-07-11
4,(주) 렌텍,배병훈,대전광역시 동구 산내로 458 (하소동),대전광역시 동구 하소동 48번지,042-484-2131,"비료,아스콘첨가물",2025-07-11
5,(주) 루미원,이승주,"대전광역시 동구 대전천북로 38, 2층 (삼성동)",대전광역시 동구 삼성동 312-6 2층,042-719-7751,LED조명,2025-07-11
6,(주) 미즈,인미영,대전광역시 동구 동대전로248번길 11 (가양동),대전광역시 동구 가양동 650-17번지,042-625-2210,"유니품, 간호복, 가운 등",2025-07-11
7,(주) 아몬텍,전덕관,대전광역시 동구 석천로 23-3 (낭월동),대전광역시 동구 낭월동 867번지,042-583-8851,"비접촉3차원측정기, CCTV",2025-07-11
8,(주) 아이디플렉스,조자룡,"대전광역시 동구 대전천동로 600, 8층 2호 (중동)",대전광역시 동구 중동 47-18 8층 2호,042-222-0038,가정용 전기기기,2025-07-11
9,(주) 안전가설산업,곽준섭,대전광역시 동구 이사로 68-59(이사동) 외 1필지,대전광역시 동구 이사동 23 외 1필지,042-822-8746,"안전발판, 써포트",2025-07-11
10,(주) 어울림디자인,강익하,,대전광역시 동구 구도동359,042-271-4759,주방가구,2025-07-11
11,(주) 에이스산업,전영인,대전광역시 동구 산내로 320 (하소동) 외 1필지,대전광역시 동구 하소동 432-1번지 외 1필지,042-283-0885,방화문 프레임,2025-07-11
12,(주) 이십일세기시상품,남상견,"대전광역시 동구 대전천동로 600, 중동타워 1층 (중동)",대전광역시 동구 중동 47-18번지 중동타워 1층,042-221-4461,"크리스탈 기념패, 현수막, 금속부식 인쇄",2025-07-11
13,(주) 제너럴나인,원유숙,"대전광역시 동구 대흥로 204, 2층 203호 (인동)",대전광역시 동구 인동 11-1번지 2층 203호,070-8869-2888,"이불커버,커튼,텐트,체육복,작업복,내의,티셔츠,손수건,배낭류,정복,군복,모자,장갑",2025-07-11
14,(주) 현대이지아이,최명철,대전광역시 동구 산내로 308 (하소동),대전광역시 동구 하소동 425-1번지,042-273-2263,"농산물건조기, 홍삼가공장비",2025-07-11
15,(주) 호수조명,김보현,대전광역시 동구 동서대로 1588 (성남동),대전광역시 동구 성남동 508-4번지,042-626-1633,"LED, 조명, 스텐드, 호롱, 손전등, 방등, 거실등",2025-07-11
16,(주)KMC테크놀러지,이석재,"대전광역시 동구 새울로 41, 판암아파트형공장 103호 (판암동)",대전광역시 동구 판암동 239-2번지,042-273-7921,고주파저항,2025-07-11
17,(주)가원테크,오세웅,"대전광역시 동구 우암로 352-21, 한국폴리텍IV대학 학생관 401호 (가양동)",대전광역시 동구 가양동 91-2번지 한국폴리텍IV대학 학생관 401호,042-538-0443,"가로등주, 경관조명(LED조명), 가로등기구",2025-07-11
18,(주)굿모닝F&D,금영락,대전광역시 동구 산내로 1288-8 (낭월동),대전광역시 동구 낭월동 644번지,042-286-5115,"소스,식육제품,수산물제품",2025-07-11
19,(주)그린팜,김중곤,"대전광역시 동구 산내로474번길 87 (상소동, 그린팝(주))",대전광역시 동구 상소동 386-1번지,042-274-5886,농업용 끈,2025-07-11
20,(주)김설영패션,이종혁,"대전광역시 동구 흥룡로 60, 지하1층 (가양동)",대전광역시 동구 가양동 52-2번지 지하1층,042-624-1930,각종의류,2025-07-11
