조사년도,구분,사업체수,종사자수,연간급여액,생산액,출하액,연말재고액,주요생산비,부가가치,유형고정자산 연말잔액,기준일자
2024,식료품 제조업,10,172,5666,66959,66788,1382,39251,27708,8140,2023-12-31
2024,음료 제조업,1,X,X,X,X,X,X,X,X,2023-12-31
2024,섬유제품 제조업; 의복 제외,1,X,X,X,X,X,X,X,X,2023-12-31
2024,"의복, 의복 액세서리 및 모피제품 제조업",7,207,5402,33017,32817,3796,20797,12220,3710,2023-12-31
2024,"펄프, 종이 및 종이제품 제조업",1,X,X,X,X,X,X,X,X,2023-12-31
2024,인쇄 및 기록매체 복제업,4,71,2982,11087,11087,3,5472,5615,1344,2023-12-31
2024,화학 물질 및 화학제품 제조업; 의약품 제외,3,41,1870,9122,8970,2256,5067,4055,12246,2023-12-31
2024,의료용 물질 및 의약품 제조업,1,X,X,X,X,X,X,X,X,2023-12-31
2024,고무 및 플라스틱제품 제조업,1,X,X,X,X,X,X,X,X,2023-12-31
2024,비금속 광물제품 제조업,3,51,1991,14890,14639,1180,7426,7464,18870,2023-12-31
2024,금속 가공제품 제조업; 기계 및 가구 제외,2,X,X,X,X,X,X,X,X,2023-12-31
2024,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",2,X,X,X,X,X,X,X,X,2023-12-31
2024,"의료, 정밀, 광학 기기 및 시계 제조업",4,61,1784,11915,11915,115,6584,5331,6881,2023-12-31
2024,전기장비 제조업,3,32,889,1669,1669,517,762,907,412,2023-12-31
2024,기타 기계 및 장비 제조업,5,114,1665,21278,21055,471,13001,8277,4863,2023-12-31
2024,자동차 및 트레일러 제조업,3,72,1910,11681,11711,296,6605,5076,199,2023-12-31
2024,가구 제조업,1,X,X,X,X,X,X,X,X,2023-12-31
2024,기타 제품 제조업,6,105,2955,11261,11238,840,5644,5617,2353,2023-12-31
