회사명,유형,사업자등록번호,업종번호,업종명,최초등록일,지번주소,도로명주소,위도,경도,전화번호,팩스번호,대표자이름,종업원수,홈페이지주소
(복)성재원(성세재활자립원),법인,3148200040,"18111, 13222, 13229, 13409, 17122, 17901, 18113, 18122, 18129, 22231, 33910",경 인쇄업 외 10 종,1994-04-30,대전광역시 유성구 용계동 319-1번지,"대전광역시 유성구 유성대로298번길 175 (용계동, 대전장애자종합복지관)",36.32120428,127.3209554,042-540-3300,042-543-2133,윤여웅,38,
(사)성원근로장애인협회 노드,법인,1778200188,"33910, 18111, 18113, 18119, 26410, 26421, 26429, 28121, 28901",간판 및 광고물 제조업 외 8 종,2024-03-19,대전광역시 유성구 복용동 236-3 F503호 F503호,"대전광역시 유성구 복용동로 43, F503호 (복용동) F503호",36.33796267,127.3216903,042-582-8088,042-365-8088,백성구,3,
(주) 계룡,법인,3118115625,"26421, 26519, 26529, 28123, 28423",방송장비 제조업 외 4 종,2007-04-03,대전광역시 유성구 갑동 387-169번지 2층,"대전광역시 유성구 갑동로 61, 2층 (갑동)",36.36194799,127.2941714,042-824-4440,042-824-4441,주귀애,9,
(주) 에네시스,법인,3148177824,"27211, 27216","레이더, 항행용 무선기기 및 측량기구 제조업 외 1 종",2007-12-10,대전광역시 유성구 구암동 328번지,"대전광역시 유성구 박산로140번길 100, 1층 (구암동)",36.34975613,127.3210089,042-825-3861,042-825-3866,한병섭,5,www.enesys.co.kr
(주)가경건설산업,법인,3148127227,"25111, ","금속 문, 창, 셔터 및 관련제품 제조업",2015-02-11,대전광역시 유성구 구암동 476-0,대전광역시 유성구 박산로 62 (구암동),36.35495312,127.3172759,042-824-7776,042-824-7774,김태준,8,
(주)광진통신,법인,3128143575,"26519, 26421, 26429",비디오 및 기타 영상기기 제조업 외 2 종,2014-09-01,대전광역시 유성구 장대동 341-3번지 자연인빌딩 4층,"대전광역시 유성구 유성대로 800, 4층 (장대동, 자연인빌딩)",36.36325179,127.3378182,042-625-6629,,김홍열,4,
(주)그린텍,법인,3148620215,"22229, 28410, 28422, 28423, 28429",기타 건축용 플라스틱 조립제품 제조업 외 4 종,2011-10-25,대전광역시 유성구 덕명동 산 16-1 번지 한밭대학교 S9동 403호,대전광역시 유성구 덕명동 산 16-1 번지 한밭대학교 S9동 403호,36.35115541,127.3010537,042-826-4080,042-826-5090,김선배,5,
(주)기린에스아이,법인,3148162753,"33910, 25113, 25114, 33932",간판 및 광고물 제조업 외 3 종,2008-11-11,대전광역시 유성구 상대동 441-7번지,대전광역시 유성구 월드컵대로308번길 12 (상대동),36.34791945,127.3341822,042-824-5700,042-824-0085,최병구,5,
(주)나노하이테크,법인,3148139683,"29191, ",일반저울 제조업,2021-07-14,대전광역시 유성구 둔곡동 405-7,,36.46066849,127.3630666,042-862-0220,,김병순,0,
(주)누에보컴퍼니,법인,3218600105,"30201, 30121, 30202",차체 및 특장차 제조업 외 2 종,2019-05-03,대전광역시 유성구 교촌동 644-6번지,대전광역시 유성구 교촌로6번길 2 (교촌동),36.30005528,127.315215,042-621-4260,,황진우,4,
(주)다올,법인,2218701188,"29133, 27213, 27215, 27216","탭, 밸브 및 유사장치 제조업 외 3 종",2018-11-02,대전광역시 유성구 장대동 327-10번지 201호,"대전광역시 유성구 장대로80번길 36-1, 201호 (장대동)",36.36325493,127.3351327,,,김상재,2,
(주)다츠,법인,1678101728,"31312, ",무인 항공기 및 무인 비행장치 제조업,2020-07-26,대전광역시 유성구 신성동 122-6 2층,대전광역시 유성구 신성로 91 (신성동) 2층,36.39127419,127.3498318,,,김세영,4,
(주)대덕분석기술연구원,법인,3148603405,"72911, ",물질성분 검사 및 분석업,2021-04-27,대전광역시 유성구 신동 662-7 (주)대덕분석기술연구원,,36.47189989,127.3719799,042-867-6019,,최예림,39,
(주)대덕전업공사,법인,3148104772,"28119, ",기타 전기 변환장치 제조업,2010-08-13,대전광역시 유성구 원내동 63-3번지,대전광역시 유성구 교촌로 5 (원내동),36.29982832,127.3149275,042-543-5480,042-543-5482,김종인,4,
(주)대명통신,법인,2758600893,"26429, 26323, 26410, 26421, 26519, 28423, 28903, 29163",기타 무선 통신장비 제조업 외 7 종,2020-05-06,대전광역시 유성구 궁동 497-3번지 3층,"대전광역시 유성구 대학로76번길 77-20, 3층 (궁동)",36.36002349,127.3489881,042-863-4404,042-863-4408,강봉수,5,
(주)대성리드,법인,3148101116,"29269, ","기타 섬유, 의복 및 가죽 가공 기계 제조업",1992-07-18,대전광역시 유성구 구암동 429번지,대전광역시 유성구 현충원로 401-5 (구암동),36.35989215,127.3125863,042-823-2501,042-822-4805,전상덕,1,
(주)대영에스텍,법인,3148124123,"26410, 26310, 26429",유선 통신장비 제조업 외 2 종,2021-01-21,대전광역시 유성구 신동 153-2 (주)대영에스텍,대전광역시 유성구 국제과학3로 23 (신동) (주)대영에스텍,36.47474409,127.3712763,042-864-2500,042-864-2502,강원구,52,
(주)대한알미늄,법인,3148658860,"25111, ","금속 문, 창, 셔터 및 관련제품 제조업",2014-12-17,대전광역시 유성구 원내동 67-5번지,대전광역시 유성구 진잠로106번길 5-20 (원내동),36.30181582,127.3157564,042-542-9501,,양희교,4,
(주)덕산정보통신,법인,3108116960,"26421, ",방송장비 제조업,2011-11-02,대전광역시 유성구 궁동 490-11 번지 승은빌딩 4층,"대전광역시 유성구 대학로76번안길 62, 승은빌딩 4층 (궁동)",36.36024536,127.346702,042-822-9671,042-822-8672,김동백,3,
(주)동양기술,법인,3058615611,"29271, 29280",반도체 제조용 기계 제조업 외 1 종,2021-03-08,대전광역시 유성구 둔곡동 산 19-1 (주)동양기술,대전광역시 유성구 국제과학11로 18 (둔곡동) (주)동양기술,36.46130364,127.36218,042-934-0279,,김용수,17,
(주)두드림정보,법인,3148122746,"26429, ",기타 무선 통신장비 제조업,2020-12-31,대전광역시 유성구 장대동 336-3 계룡빌딩 402호,대전광역시 유성구 유성대로 801 (장대동) 계룡빌딩 402호,36.36350129,127.3373035,,070-7805-0687,이효근,13,
(주)두일정보통신,법인,3058157182,"26410, 26421, 26429, 28123",유선 통신장비 제조업 외 3 종,2024-05-28,대전광역시 유성구 복용동 236-3번지 7층 01호,대전광역시 유성구 복용동 236-3번지 7층 01호,36.33796267,127.3216903,042-586-2521,042-586-2520,이순미,5,
(주)디텍코펌프,법인,3058157386,"29131, ",액체 펌프 제조업,2010-07-21,대전광역시 유성구 구암동 628-9번지,대전광역시 유성구 월드컵대로245번길 10 (구암동),36.34892055,127.3278567,042-931-8947,042-826-1854,문규홍,5,
(주)랩죤,법인,3058141040,"29174, 27213",기체 여과기 제조업 외 1 종,2013-10-02,대전광역시 유성구 봉명동 662-5번지 6층 매드진빌딩,"대전광역시 유성구 문화원로 129, 6층 매드진빌딩 (봉명동)",36.35873193,127.3501354,042-334-4664,042-334-4670,최근화,7,
(주)레이나,법인,3148149482,"27212, 27213, 27219","전자기 측정, 시험 및 분석기구 제조업 외 2 종",2015-08-25,대전광역시 유성구 학하동 779-6번지 1층 2층,"대전광역시 유성구 학하동로 74, 1층 2층 (학하동)",36.33690763,127.3121084,042-931-8410,042-931-8412,서동만,8,
(주)메카시스,법인,3058146569,"27213, 26410","물질 검사, 측정 및 분석기구 제조업 외 1 종",2007-06-28,대전광역시 유성구 반석동 640-3번지 뉴타운프라자 10층(1002호),"대전광역시 유성구 북유성대로 303, 뉴타운프라자 10층(1002호) (반석동)",36.39163439,127.3142472,042-485-0118,042-485-7118,옥기윤,11,
(주)모아이에스,법인,3978601208,"72129, ",기타 엔지니어링 서비스업,2021-07-20,대전광역시 유성구 신동 659-1 과학관 (주)모아이에스,"대전광역시 유성구 국제과학로 11, 과학관 (주)모아이에스(신동)",36.47524,127.3696096,070-8670-3151,,송영숙,32,
(주)무궁화통신,법인,3148182346,"28422, 26410, 26421, 27216",일반용 전기 조명장치 제조업 외 3 종,2009-11-17,대전광역시 유성구 노은동 525-4번지,대전광역시 유성구 노은동로88번길 29-12 (노은동),36.36888919,127.3241304,042-477-1482,042-477-0666,이선종,25,mght.co.kr
(주)바램시스템,법인,1308637082,"26429, ",기타 무선 통신장비 제조업,2021-08-31,대전광역시 유성구 구룡동 1011-3 (주)바램시스템,"대전광역시 유성구 국제과학22로 44, (주)바램시스템(구룡동)",36.44437458,127.3497358,070-8797-0473,,서병조,42,
(주)바이오브레인,법인,3148644653,"27112, ",전기식 진단 및 요법 기기 제조업,2014-06-16,대전광역시 유성구 도룡동 399-23번지 대덕첨단산업유통 나-204,"대전광역시 유성구 대덕대로 530, 나-204 (도룡동, 대덕첨단산업유통)",36.38017317,127.3791252,070-8257-3073,,김기성,4,
(주)바이탈스,법인,4408701187,"72129, 27213",기타 엔지니어링 서비스업 외 1 종,2021-07-22,대전광역시 유성구 신동 661-3 주식회사 바이탈스,"대전광역시 유성구 국제과학3로 30, 주식회사 바이탈스(신동)",36.47398147,127.3719297,042-934-0105,,전기수,18,
(주)백상,법인,5058148852,"27212, 27213, 27215, 29299","전자기 측정, 시험 및 분석기구 제조업 외 3 종",2015-06-30,대전광역시 유성구 봉산동 698번지,대전광역시 유성구 금남구즉로 1359-30 (봉산동),36.44727689,127.3856088,042-935-0290,,홍성집,11,
(주)백상,법인,5058148852,"29299, ",그 외 기타 특수목적용 기계 제조업,2021-03-04,대전광역시 유성구 둔곡동 산 19-2 (주)백상 (주)백상,대전광역시 유성구 국제과학12로 11 (둔곡동) (주)백상 (주)백상,36.46168339,127.3624112,042-935-0290,,홍숙자,15,
(주)번영,법인,5368800870,"26299, ",그 외 기타 전자부품 제조업,2020-11-04,대전광역시 유성구 장대동 353-5 402호,대전광역시 유성구 문화원로 14 (장대동) 402호,36.36136772,127.3377338,042-826-9840,042-826-9841,유용길,9,
(주)별채에프앤비,법인,2648150122,"10129, 10122",육류 기타 가공 및 저장처리업 (가금류 제외) 외 1 종,2015-11-13,대전광역시 유성구 반석동 644-4번지,대전광역시 유성구 반석동로40번길 54-5 (반석동),36.39103206,127.3145088,042-867-0308,,"최석환, 황수성",4,
(주)보탬,법인,3148169756,"26299, 28121",그 외 기타 전자부품 제조업 외 1 종,2022-03-14,대전광역시 유성구 지족동 1028-3 2층,"대전광역시 유성구 지족동로142번길 19, 2층(지족동)",36.38676852,127.3096863,042-931-8051,042-931-8054,김효구,13,www.botem-e.com
(주)부영주택,법인,3148539250,"25113, 25114",육상 금속 골조 구조재 제조업 외 1 종,2010-09-09,대전광역시 유성구 원내동 1번지,대전광역시 유성구 유성대로 42-95 (원내동),36.30721711,127.3257866,042-543-5485,042-543-5488,최양환,16,
(주)비엘소프트,법인,358138910,"26299, ",그 외 기타 전자부품 제조업,2010-11-29,대전광역시 유성구 구암동 629-21 번지,대전광역시 유성구 월드컵대로 243 (구암동),36.3488907,127.3273556,042-471-4902,042-471-6447,변규일,27,www.blsoft.co.kr
