순번,회사명,공장대표주소(도로명),업종명,전화번호,
1,(주)건양전력,대전광역시 중구 사득로79번길 9 (부사동),배전반 및 전기 자동제어반 제조업 외 2 종,042-537-6201,
2,(주)기봉엔터프라이즈,대전광역시 중구 계백로1590번길 7 (유천동),침구 및 관련제품 제조업,02-790-2522,
3,(주)나노화학,대전광역시 중구 단재로 426-29 (어남동),계면활성제 제조업,042-285-3811,
4,(주)나루테크,"대전광역시 중구 대둔산로 419-4, 304호 (산성동, 한밭프라자)",비디오 및 기타 영상기기 제조업 외 8 종,042-862-8080,
5,(주)대청자원,대전광역시 중구 단재로 378-36 (어남동),배합 사료 제조업 외 1 종,042-286-7272,
6,(주)대한엔지니어링,대전광역시 중구 유천로47번길 101 (유천동),배전반 및 전기 자동제어반 제조업,042-587-4331,
7,(주)더아미,대전광역시 중구 태평로137번길 25 (태평동),방송장비 제조업 외 8 종,042-622-9680,
8,(주)레드일렉트릭,대전광역시 중구 대종로 156 (호동),일반용 전기 조명장치 제조업,042-284-7003,
9,(주)무궁화용사촌에프앤씨(F&C) 문화지점,"대전광역시 중구 천근로46번길 27, 1층 (문화동, 재경주택)",남자용 겉옷 제조업 외 8 종,042-585-1998,
10,(주)보승교역,대전광역시 중구 유등천동로292번길 69 (산성동),그 외 기타 분류 안된 섬유제품 제조업,042-585-5171,
11,(주)부성이엔씨,대전광역시 중구 성산로19번길 26 (안영동),"금속 문, 창, 셔터 및 관련제품 제조업 외 1 종",042-584-3910,
12,(주)성광창호디자인,"대전광역시 중구 안영로 35, 1,2층 (안영동)",플라스틱 창호 제조업 외 3 종,042-583-9121,
13,(주)세미,"대전광역시 중구 서문로 17, 나동 (문화동) 외 1필지",간판 및 광고물 제조업 외 9 종,042-586-7575,
14,(주)세종기술,"대전광역시 중구 보문로 293, 지하1층 (선화동)",비디오 및 기타 영상기기 제조업 외 11 종,042-627-8400,
15,(주)스카이통신,"대전광역시 중구 보문로230번길 25, 1층 (대흥동)",방송장비 제조업 외 1 종,042-581-8941,
16,(주)스피드데이타정보통신 ,"대전광역시 중구 계룡로955번길 63, 304호 (대사동)",비디오 및 기타 영상기기 제조업 외 4 종,042-272-8400,
17,(주)시드물,대전광역시 중구 대둔산로255번길 23 (안영동),화장품 제조업,042-580-8849,
