순번,업체명,업종,주생산품,용지면적,제조시설,부대시설,남,여
1,(재)서울의과학연구소,의학 및 약학 연구개발업 (70113),환자 검체 분석 등,50.38,165.48,164.98,0,0
2,(주)남산산업,구조용 금속 판제품 및 공작물 제조업 (25112),창호,0,90,0,2,1
3,(주)네오시스,"물질 검사, 측정 및 분석기구 제조업 (27213)",물질 분석 실험기기,11.175,36.225,0,0,0
4,(주)누리텍,기타 정보기술 및 컴퓨터운영 관련 서비스업 (62090),컴퓨터 장애복구 서비스,25.19,82.74,82.49,0,0
5,(주)누림소프트,응용 소프트웨어 개발 및 공급업 (58222),통계DB관리 시스템,92.72,304.09,303.67,0,0
6,(주)다옴메디,그 외 기타 의료용 기기 제조업 (27199),의료용 시멘트 혼합기,13.6,44.1,0,1,0
7,(주)대덕공조플랜트(2공장),그 외 기타 분류 안된 금속 가공 제품 제조업 (25999),알루미늄 프로파일 프레임,21.4,70.29,70.07,2,0
8,(주)더뷰나인,반도체 제조용 기계 제조업 (29271),반도체용 검사장비 및 자동화 장비,25.29,82.74,82.49,0,0
9,(주)데베트론코리아,"전자기 측정, 시험 및 분석기구 제조업 (27212)",전원품질 분석기,23.01,75.6,75.37,0,0
10,(주)디엔에프신소재,"염료, 조제 무기안료, 유연제 및 기타 착색제 제조업 (20132)",고기능성 코팅액,1251.8,961.65,290.15,15,3
11,(주)라인디지털,시스템 소프트웨어 개발 및 공급업 (58221),시뮬레이터 프로그램,234.3,234.3,0,0,0
12,(주)리얼텍,"반도체 제조용 기계 제조업 외 2종 (29271, 28909, 29299)","잔류가스분석시스템, 헬륨누설감지시스템",43.64,143.37,142.93,0,0
13,(주)메디네트,컴퓨터시설 관리업 (62022),"소프트웨어, 기술자문",47.04,154.56,154.08,0,0
14,(주)메디칼유,그 외 기타 봉제의복 제조업 (14199),"환자용 에이프런, 좌훈치마, 치매장갑",74.33,244.21,243.45,0,0
15,(주)미래솔루텍,그 외 기타 일반목적용 기계 제조업 (29199),2차전지 관련 설비,496,496,0,5,1
16,(주)미성테크,전기경보 및 신호장치 제조업 (28901),경보기,32.65,105.84,105.41,1,1
17,(주)바구스,배전반 및 전기 자동제어반 제조업 (28123),자동화 기계 및 제어장치,31.07,102.06,101.74,0,0
18,(주)반도테크,"알루미늄 압연, 압출 및 연신제품 제조업 (24222)",알루미늄 프로파일,208,208,0,3,2
19,(주)북대전현대서비스,자동차 종합 수리업 (95211),자동차 종합정비,3373,0,3110.2,0,0
20,(주)뷰파워,변압기 제조업 (28112),전원공급장치,9.81,63.45,0,0,0
21,(주)산들,농림수산학 및 수의학 연구개발업 (70112),농학연구개발업,38.04,124.98,124.6,0,0
22,(주)석정비앤이,일반용 전기 조명장치 제조업 (28422),조명기구,265,265,0,13,1
23,(주)성광일렉트로닉스,배전반 및 전기 자동제어반 제조업 (28123),자동제어판넬,25.19,82.74,82.49,0,0
24,(주)성동마린,"액체 여과기 제조업 외 2종 (29175, 25924, 31114)",유회수기,68.76,225.9,225.2,0,0
25,(주)스태킹코리아,제품 디자인업 (73202),스태킹 용품 디자인,47.55,156.2,155.72,0,0
26,(주)씨케이아이씨코리아,"물질 검사, 측정 및 분석기구 제조업 (27213)",열량분석기,19.94,65.52,65.32,1,0
27,(주)아이디테크,컴퓨터시스템 통합 자문 및 구축 서비스업 (62021),산업용컴퓨터 시스템 구축,34.52,113.4,113.05,0,0
28,(주)아이에스포유,컴퓨터 프로그래밍 서비스업 (62010),대학교 학사행정관련 주문형 소프트웨어,25.19,82.74,82.49,0,0
29,(주)아이와이시스템,컴퓨터시설 관리업 (62022),"컴퓨터, 전산시스템 관리 및 자료처리시설 관리",45.01,147.85,147.4,0,0
30,(주)아이위스,시스템 소프트웨어 개발 및 공급업 (58221),AI분석 클러스터링 관련 시스템 소프트웨어,140.58,133.29,132.87,0,0
31,(주)에스비텍,그 외 기타 의료용 기기 제조업 (27199),"불면증 치료기, 저주파 자극기",120.92,426.78,425.47,0,0
32,(주)에스코,"물리, 화학 및 생물학 연구개발업 (70111)","연구개발(""농업_비료관련)",19.94,65.52,65.32,0,0
33,(주)에이디랩,기기용 자동측정 및 제어장치 제조업 (27215),히터모듈,16.32,52.92,0,1,2
34,(주)에이아이컨트롤,인형 및 장난감 제조업 (33401),코딩교육용 로봇,27.36,89.88,89.61,0,0
35,(주)에이엔알,시스템 소프트웨어 개발 및 공급업 (58221),"문서보안솔루션, 매체 제어 소프트웨어",55.7,182.97,182.41,0,0
36,(주)엔박,그 외 기타 분류 안된 금속 가공 제품 제조업 (25999),유랑계,99.17,99.17,0,1,1
37,(주)엘케이랩코리아,"전자기 측정, 시험 및 분석기구 제조업 외 2종 (27212, 29172, 29175)","진공트랩, 순환식항온수조, 흄후드",97.85,321.49,320.49,0,0
38,(주)엠디엑스케이,"물리, 화학 및 생물학 연구개발업 (70111)","분자진단기술을 활용한 유전자정보 데이타베이스 구축, 설계, 활용연구",29.64,97.37,97.07,0,0
39,(주)옐로펀트커피,음ㆍ식료품 및 담배 가공기계 제조업 (29250),바리스타 로봇,13.06,42.336,0,2,0
40,(주)온칩네트워크,컴퓨터시스템 통합 자문 및 구축 서비스업 (62021),소프트웨어 구축 및 통신 알고리즘 분석,10,33,0,2,0
41,(주)와이엔디케이 ,주형 및 금형 제조업 (29294),"금형코어, 초정밀가공품",264.4,264.4,0,0,0
42,(주)와텍,기타 엔지니어링 서비스업 (72129),수자원시설물 유지보수 및 기술진단,104.49,343.3,342.24,0,0
43,(주)우석엔지니어링,"전자기 측정, 시험 및 분석기구 제조업 외 1종 (27212, 25121)","시험 및 분석기구, 유도보일러",32.65,105.84,0,3,1
44,(주)이엔비솔루션,산업처리공정 제어장비 제조업 (27216),미생물 자동 공급기,21.73,71.4,71.18,0,0
45,(주)이우아이엔씨,컴퓨터시스템 통합 자문 및 구축 서비스업 (62021),영상관제 소프트웨어,32.65,105.84,105.41,3,0
46,(주)이우아이엔씨 2공장,컴퓨터시스템 통합 자문 및 구축 서비스업 (62021),영상관제 관련 소프트웨어 밎 유지관리보수,21.73,41.4,71.18,0,0
47,(주)인아이티,응용 소프트웨어 개발 및 공급업 (58222),통계 관련 소프트웨어,20.97,68.88,68.67,0,0
48,(주)잇츠엔,계면활성제 제조업 (20421),계면활성제,396,396,0,4,2
49,(주)정우티앤씨,그 외 기타 일반목적용 기계 제조업 (29199),"회수기, 티업기",0,350.45,0,2,0
50,(주)제니어,그 외 기타 의료용 기기 제조업 (27199),유전자 증폭기,67.17,220.65,219.98,0,0
51,(주)조은테크,반도체 제조용 기계 제조업 (29271),"LCD장비, 반도체장비",57.14,185.22,0,3,1
52,(주)지엘홀딩스,공기 조화장치 제조업 (29172),"항온, 항습기기",19.18,63,62.8,0,0
53,(주)지왕산업,폐수 처리업 (37012),폐수처리,1665,0,746.15,24,5
54,(주)진영씨엔에스,"근무복, 작업복 및 유사의복 제조업 외 4종 (14192, 14191, 14193, 14194, 14199)",화학물질 보호복,0,650,0,2,2
55,(주)캐리그린,"전동기 및 발전기 제조업 외 1종 (28111, 28114)","태양광 발전장치, 태양광 발전용 에너지 저장장치",25.19,82.74,82.49,0,0
56,(주)커스텀이엔지,"물질 검사, 측정 및 분석기구 제조업 (27213)",재료시험기,23.52,77.28,77.04,0,0
57,(주)케이씨티랩,"일반저울 제조업 외 1종 (29191, 72919)",계량계측기,45.01,147.85,147.4,3,2
58,(주)케이지에프씨,시스템 소프트웨어 개발 및 공급업 (58221),드론 교통관리 소프트웨어,20.97,68.88,68.67,0,0
59,(주)텔콤,시스템 소프트웨어 개발 및 공급업 (58221),솔루션탑재 모바일,55.57,182.57,182.01,0,0
60,(주)템코,"유압기기 제조업 외 1종 (29120, 29142)","산업용 브레이크, 클러치",199,199,0,4,2
61,(주)티아이티소프트웨어,응용 소프트웨어 개발 및 공급업 (58222),홈페이지 개발,12.74,41.86,41.73,0,0
62,(주)파이솔루션테크놀로지,"물리, 화학 및 생물학 연구개발업 (70111)",신소재 고분자 개발 및 평가,23.52,77.28,77.04,0,0
63,(주)펜타건설,건물 및 토목 엔지니어링 서비스업 (72121),건물 엔지니어링 서비스,331,46.08,49.08,3,1
64,(주)포엘아이티,응용 소프트웨어 개발 및 공급업 (58222),보안소프트웨어,23.18,76.16,75.93,0,0
65,(주)폴스랩코리아,시스템 소프트웨어 개발 및 공급업 (58221),의료기기용 소프트웨어,19.56,64.26,64.07,0,0
66,(주)플로터하우스,문구용 종이제품 제조업 (17901),"백상지, 컬러전용지",32.65,105.84,105.41,4,0
67,(주)필엔텍,기체 여과기 제조업 (29174),공조여과기,84.65,278.05,277.2,0,0
68,(주)하이퍼센싱,응용 소프트웨어 개발 및 공급업 (58222),웹 및 앱,65.3,211.68,210.82,1,1
69,(주)한국산업안전본부,기타 엔지니어링 서비스업 (72129),"기계, 전기기술 개발 및 엔지니어링 기술 제공",54.65,178.56,178,0,0
70,(주)한국제일,배전반 및 전기 자동제어반 제조업 (28123),전기mcc 판넬 및 자동제어판넬,91.89,301.85,300.92,11,2
71,(주)한캡,기타 1차 비철금속 제조업 (24290),크롬-합금 알루미늄 분말 및 타겟,12,40,0,2,1
72,(주)해냄소방,사업시설 유지.관리 서비스업 (74100),"소방안전, 산업시설물 유지관리",12.74,41.86,41.73,0,0
73,(주)홍련닷컴,"광고 대행업 외 1종 (71310, 62010)","홈페이지 제작, 네이버광고대행",20.94,68.88,68.67,0,0
74,(주)힉스,디지털 적층 성형기계 제조업 (29222),치과용 3D프린터,33.95,110.061,0,3,1
75,HUNI TECH,"증류기, 열교환기 및 가스발생기 제조업 (29176)",증류장치,25.33,83.21,82.95,0,0
76,MS 기술,기기용 자동측정 및 제어장치 제조업 (27215),기기용 자동측정 및 자동제어장치제조업,25.19,82.74,82.74,0,0
77,가온전지산업,전기ㆍ전자공학 연구개발업 (70121),전기차 EV충전불량 테스터 전자기기 연구개발,31.07,102.06,101.74,0,0
78,가온홀딩스,경영 컨설팅업 (71531),일반경영자문,43.89,144.2,143.76,0,0
79,계룡솔테크,산업용 로봇 제조업 (29280),직교로봇,28.07,92.22,91.94,0,0
80,교은글로벌,"광고물 문안, 도안, 설계 등 작성업 (71393)",광고디자인,20.97,68.88,68.67,0,0
81,굿모닝아이텍(주),시스템 소프트웨어 개발 및 공급업 (58221),"가상화 파탈 개발, 설계 및 기술지원",169.41,556.51,554.81,0,0
82,나노엠텍,절삭가공 및 유사처리업 (25924),반도체부품 (브라켓),23.4,76.86,76.62,0,0
83,나노일렉트로닉스(주),전기ㆍ전자공학 연구개발업 (70121),나노히팅필름 개발,47.04,154.56,154.08,0,0
84,나눔사업단(대덕구지회),전구 및 램프 제조업 (28410),전구 및 조명장치,32.65,105.84,0,8,2
85,나우텍,"물질 검사, 측정 및 분석기구 제조업 (27213)",식품오염 검사기,25.34,83.26,83.01,0,0
86,나은테크,그 외 기타 분류 안된 금속 가공 제품 제조업 (25999),금속 부품(산업기계),23.4,76.86,76.62,0,0
87,네이처텍,배전반 및 전기 자동제어반 제조업 (28123),"배전반, 자동제어반",66.35,217.96,217.29,0,0
88,노트솔루션,"시스템 소프트웨어 개발 및 공급업 외 1종 (58221, 62021)","컴퓨터 보안 소프트웨어 개발, 보안시스템 구축 및 관리",22.16,72.8,72.58,0,0
89,누림정보시스템,응용 소프트웨어 개발 및 공급업 (58222),통계DB관리 시스템,25.57,84,83.74,0,0
90,닉스테크놀로지(주),"컴퓨터 프로그래밍 서비스업 외 1종 (62010, 62090)",업무용 소프트웨어,56.71,186.29,185.73,0,0
91,다인,인테리어 디자인업 (73201),사무실 등 인테리어 디자인,55.57,182.57,182.01,0,0
92,다전시스템,산업처리공정 제어장비 제조업 (27216),DDC 제어반,19.56,64.26,64.07,0,0
93,대세솔루션,사무용 기계 및 장비 제조업 (29180),사무기기(문서세단기),19.56,64.26,64.07,0,0
94,대주이엔지,건물 및 토목 엔지니어링 서비스업 (72121),도로 상하수도 토목설계,11.51,37.8,37.68,0,0
95,대화공조시스템,시스템 소프트웨어 개발 및 공급업 (58221),냉난방기 통합 관리 시스템 및 어플리케이션,22.16,72.8,72.58,0,0
96,덕성에너지,"물질 검사, 측정 및 분석기구 제조업 (27213)","촉매반응장치, 개질지평가장치",16,52,0,1,1
97,데레사,여자용 겉옷 제조업 (14112),"원피스, 스커트",23.18,76.16,75.93,0,0
98,도담,"금속 문, 창, 셔터 및 관련제품 제조업 (25111)",금속 문,47.04,154.56,154.08,0,0
99,동양이앤지 공장,액체 펌프 제조업 (29131),액체펌프,23.01,75.6,75.37,0,0
100,동일엔텍,"액체 펌프 제조업 외 1종 (29131, 29132)","호스펌프, 액체펌프",23.52,77.28,77.04,2,1
101,동훈종합상사,일반 창고업 (52101),물품 보관,514,0,199.68,0,0
102,두리메디텍(주),그 외 기타 봉제의복 제조업 (14199),환자용 의복,32.05,105.29,104.97,0,0
103,드림사이언스,기타 공학 연구개발업 (70129),폐시약 안전보관함 연구개발,27.28,89.63,89.35,0,0
104,디돌,그 외 금속파스너 및 나사제품 제조업 (25942),볼트 가공,31.07,102.06,101.74,0,0
105,디알티,배전반 및 전기 자동제어반 제조업 (28123),전기자동제어반,15.89,52.2,52.04,0,0
106,디에스소프트,시스템 소프트웨어 개발 및 공급업 (58221),전력관리 어플리케이션 소프트웨어,23.01,75.6,75.37,1,2
107,디에스헬스케어,그 외 기타 봉제의복 제조업 (14199),"환자용 에이프런, 좌훈치마, 치매장갑",75.32,247.42,246.67,0,0
108,라이테크,배전반 및 전기 자동제어반 제조업 (28123),배전기 부분품 제조,31.07,102.06,101.74,0,0
109,라익솔루션,"물질 검사, 측정 및 분석기구 제조업 (27213)",진단용 키트,60.09,197.4,196.79,0,0
110,마이티워터샵,"치약, 비누 및 기타 세제 제조업 (20422)",친환경 세제,23.01,75.6,75.37,0,0
111,만들,시스템 소프트웨어 개발 및 공급업 (58221),임베디드 시스템,23.01,75.6,75.37,0,0
112,명성엔지니어링,주형 및 금형 제조업 (29294),TV 프레임 금형,39.5,129.78,129.39,0,0
