회사명,업종명,생산품,주소,연락처,출처파일
(주)e-디젤,,방사선 기계 부품 제조,대전광역시 대덕구 신탄진로 480 (상서동) 외 1필지,,대전광역시 대덕구_제조업공장등록현황_20250818.csv
(주)권풍,,기계부품가공,"대전광역시 대덕구 방두말4길 6 (평촌동, 동원세라믹공업(주))",,대전광역시 대덕구_제조업공장등록현황_20250818.csv
(주)내산,,"LCD, 반도체 자동화 부품",대전광역시 대덕구 문평서로 34 (문평동),,대전광역시 대덕구_제조업공장등록현황_20250818.csv
(주)다우엔티,,자동차기어,대전광역시 대덕구 신일서로85번길 65 (신일동),,대전광역시 대덕구_제조업공장등록현황_20250818.csv
(주)대건소프트,,철도차량부품,"대전광역시 대덕구 대화로 120, 9층 939호(대화동, 가온비즈타워) 9층 939호 외 1필지",,대전광역시 대덕구_제조업공장등록현황_20250818.csv
(주)대율산업,,자동차종합수리업,"대전광역시 대덕구 평촌2길 4, A동 (평촌동)",,대전광역시 대덕구_제조업공장등록현황_20250818.csv
(주)대전공단모터스기아오토큐,,파쇄기 ,대전광역시 대덕구 신일동로 7 (신일동),,대전광역시 대덕구_제조업공장등록현황_20250818.csv
(주)대주테크,,자동차부품,대전광역시 대덕구 대화로32번길 60-12 (대화동),,대전광역시 대덕구_제조업공장등록현황_20250818.csv
(주)대진아이티,,"공작기계부품, 산업용기계부품",대전광역시 대덕구 신일동로 85 (신일동),,대전광역시 대덕구_제조업공장등록현황_20250818.csv
(주)도리,,"산업기계부품, 연구실험기계",대전광역시 대덕구 신일동로33번길 21 (신일동),,대전광역시 대덕구_제조업공장등록현황_20250818.csv
(주)동양모터스,,"금속성형기기, 구조용금속제품 등","대전광역시 대덕구 오정로 57, 나동 2층 (오정동)",,대전광역시 대덕구_제조업공장등록현황_20250818.csv
(주)동원홈푸드,,"부품가공, 팔레트, 목상자",대전광역시 대덕구 대화로 36 (대화동) 외 1필지,,대전광역시 대덕구_제조업공장등록현황_20250818.csv
(주)디엔에프신소재,,"차량용모니터, 전후방카메라 등","대전광역시 대덕구 대전로1331번길 190, (주)디엔에프신소재(대화동, (주)디엔에프 대화2공장)",,대전광역시 대덕구_제조업공장등록현황_20250818.csv
(주)디엠텍,,자동차부품,"대전광역시 대덕구 선비마을로5번길 13, 2층 (송촌동)",,대전광역시 대덕구_제조업공장등록현황_20250818.csv
(주)레이제라,,"앨씨디부품,로봇부품","대전광역시 대덕구 대화로 120, 11층 1119호(대화동, 가온비즈타워) 11층 1119호 외 2필지",,대전광역시 대덕구_제조업공장등록현황_20250818.csv
(주)로얄방충망,,"전자부품(TR,MSR,IC 등), 전자부품(TR,MSR,IC 등), 전자부품(TR,MSR,IC 등), 전자부품(TR,MSR,IC 등)","대전광역시 대덕구 대덕대로1447번길 53 (문평동, (주)로얄방충망)",,대전광역시 대덕구_제조업공장등록현황_20250818.csv
(주)로옴코리아,,전자부품,"대전광역시 대덕구 문평서로17번안길 40 (문평동, 로옴코리아)",,대전광역시 대덕구_제조업공장등록현황_20250818.csv
(주)마중물오에스,,음식물 처리기 기계 부품 외,대전광역시 대덕구 문평서로18번길 55 (문평동),,대전광역시 대덕구_제조업공장등록현황_20250818.csv
(주)메디칼유,,방산부품,"대전광역시 대덕구 대화로 120, 6층 601호(대화동, 가온비즈타워) 6층 601호 외 2필지",,대전광역시 대덕구_제조업공장등록현황_20250818.csv
(주)명일,,반도체설비부품,대전광역시 대덕구 방두말3길 38 (평촌동),,대전광역시 대덕구_제조업공장등록현황_20250818.csv
(주)부림비철금속,,자동차 종합정비,대전광역시 대덕구 평촌3길 10 (평촌동),,대전광역시 대덕구_제조업공장등록현황_20250818.csv
(주)비젼테크,,"연,온 복합감지기 및 기타 전자부품","대전광역시 대덕구 대화로132번안길 34-20(대화동, 아세아기공사)",,대전광역시 대덕구_제조업공장등록현황_20250818.csv
(주)삼원테크,,"특수볼트, 기계부품",대전광역시 대덕구 상서동 423-1번지 외 3필지,,대전광역시 대덕구_제조업공장등록현황_20250818.csv
(주)삼진볼트,,"상하수도밸브, 관련부품",대전광역시 대덕구 신일동로33번길 17 (신일동),,대전광역시 대덕구_제조업공장등록현황_20250818.csv
(주)성동해양기술,,스틸판넬제작/제동제어부품 ,"대전광역시 대덕구 대화로 120, 3층 304호(대화동, 가온비즈타워) 3층 304호 외 4필지",,대전광역시 대덕구_제조업공장등록현황_20250818.csv
(주)성산기업,,반도체 부품,"대전광역시 대덕구 신일서로85번길 91, 1층 101-1 (신일동, 벤쳐타운다산관)",,대전광역시 대덕구_제조업공장등록현황_20250818.csv
