연번,업체명,소재지,업종구분,산업분류코드,전화번호,팩스번호,고용인원수,데이터기준일자
1, 재경TEC,광주광역시 광산구 용아로 631-15(오선동),절삭가공 및 유사처리업,25924,062-714-2156,,6,2025-09-04
2,(복)무지개공동회엠마우스산업,광주광역시 광산구 용아로 808 (안청동),위생용 종이제품 제조업 ,17902,062-951-6920,062-952-6920,55,2025-09-04
3,(사)서영사랑나눔의복지회 장애인일자리지원사업단,광주광역시 광산구 하남산단6번로 46-7 (오선동),배전반 및 전기 자동제어반 제조업,28123,062-954-6377,,10,2025-09-04
4,(사)시민생활환경회의,광주광역시 광산구 소촌로 97 (소촌동),"치약, 비누 및 기타 세제 제조업",20422,062-234-9791,062-234-9792,7,2025-09-04
5,(사)중증장애인복지협회 도둠,광주광역시 광산구 어등대로621번길 11 (소촌동),기타 목재가구 제조업,32029,062-363-4455,062-363-4456,22,2025-09-04
6,(사)한국금형산업진흥회,광주광역시 광산구 평동산단로143번길 52 (월전동),주형 및 금형 제조업,29293,062-945-2216,062-945-2218,9,2025-09-04
7,(사)한국장애인농축산기술협회 환경사업단,광주광역시 광산구 평동산단1번로 52 (옥동),컨베이어장치 제조업,29163,062-941-1821,031-985-2031,12,2025-09-04
8,(사)한국장애인환경사회복지협회 디딤중증장애인사업단,"광주광역시 광산구 평동로803번길 26, 나동(옥동)",남자용 겉옷 제조업,14111,062-951-1020,062-956-1020,3,2025-09-04
9,(사)힘찬장애인복지회기전사업단,"광주광역시 광산구 평동산단로143번길 16, 마동(월전동)",배전반 및 전기 자동제어반 제조업,28123,062-511-1164,062-511-1165,32,2025-09-04
10,(유)가나케미칼,광주광역시 광산구 평동산단2번로 118(옥동),도장 및 기타 피막처리업,25923,062-945-7478,062-942-7477,5,2025-09-04
11,(유)거성스틸 ,광주광역시 광산구 진곡산단5번로 35 (진곡동),육상 금속 골조 구조재 제조업,25113,062-953-1257,062-953-1259,3,2025-09-04
12,(유)광레이저,광주광역시 광산구 하남산단10번로 115-5 (안청동),"근무복, 작업복 및 유사의복 제조업",14192,062-951-4200,062-951-5442,12,2025-09-04
13,(유)광일산업,광주광역시 광산구 평동산단3번로 185 (장록동),구조용 금속 판제품 및 공작물 제조업,25112,062-951-6466,062-951-6469,21,2025-09-04
14,(유)남선엔지니어링,광주광역시 광산구 진곡산단5번로 17-10 (진곡동),절삭가공 및 유사처리업,25924,062-953-4135,,12,2025-09-04
15,(유)남양특수강,"광주광역시 광산구 진곡산단2번로 33(오선동, (유)남양특수강)",주형 및 금형 제조업,29293,062-954-9400,062-954-9403,24,2025-09-04
16,(유)남양특수강,"광주광역시 광산구 진곡산단4번로 51-25(진곡동, (유)남양특수강)",주형 및 금형 제조업,29293,062-954-9400,,14,2025-09-04
17,(유)다산씨엔앰,광주광역시 광산구 비아안길 7-21 (비아동),"물질 검사, 측정 및 분석기구 제조업",27213,062-952-9819,,5,2025-09-04
18,(유)대덕기업 ,광주광역시 광산구 진곡산단4번로 45 (진곡동) (주)선진알미늄,"금속 문, 창, 셔터 및 관련제품 제조업",25111,,,3,2025-09-04
19,(유)대한주택안전,광주광역시 광산구 하남산단7번로 135-16 (오선동),일반철물 제조업,25932,062-573-5079,0504-094-5633,2,2025-09-04
20,(유)더존에프앤아이,광주광역시 광산구 하남산단1번로 73 (하남동) 다동,주방용 및 음식점용 목재가구 제조업,32021,062-531-6377,062-531-6376,3,2025-09-04
21,(유)동건파워텍,광주광역시 광산구 신가동 200-53번지,운송장비용 이차전지 제조업,28202,062-383-2222,,16,2025-09-04
22,(유)동명정공,광주광역시 광산구 진곡산단3번로 59-13 (진곡동),그 외 자동차용 신품 부품 제조업,30399,062-953-2384,062-953-3355,68,2025-09-04
23,(유)명신산업,광주광역시 광산구 비아로 89 (도천동) (총 3 필지) 외 2필지,"금속 문, 창, 셔터 및 관련제품 제조업",25111,,,4,2025-09-04
24,(유)명진이엔씨                                          ,광주광역시 광산구 평동로803번길 163 (옥동),폴리스티렌 발포 성형제품 제조업,22251,,062-946-5711,5,2025-09-04
25,(유)모던라인테크,광주광역시 광산구 하남산단천변좌로 105 (안청동),기타 목재가구 제조업,32029,,,3,2025-09-04
26,(유)보강포장산업,광주광역시 광산구 용아로 812 (안청동),골판지 제조업,17211,062-954-7779,062-954-7756,3,2025-09-04
27,(유)부성에스앤티,광주광역시 광산구 평동로 831-13 (옥동),그 외 자동차용 신품 부품 제조업,30399,062-953-8700,062-953-9669,3,2025-09-04
28,(유)산덕,광주광역시 광산구 빛중앙10로 19(덕림동),육상 금속 골조 구조재 제조업,25113,062-956-1619,062-956-1615,5,2025-09-04
29,(유)삼각에프엠씨,광주광역시 광산구 용아로 564 (장덕동),산업용 냉장 및 냉동 장비 제조업,29171,062-955-6111,062-955-6113,9,2025-09-04
30,(유)삼각에프엠씨,광주광역시 광산구 평동산단로62번길 33 (월전동),"용기세척, 포장 및 충전기 제조업",29192,062-951-1882,,17,2025-09-04
31,(유)삼능기계,광주광역시 광산구 진곡산단중앙로 152 (진곡동),차체 및 특장차 제조업,30201,062-571-7701,062-571-1992,38,2025-09-04
