순번,업체명,업종구분,소재지(도로명),전화번호,팩스번호,데이터기준일자
1,(사)장애인생산품판매지원협회 제석근로사업장,김치류 제조업 외 1 종,광주광역시 남구 송암로24번나길 30 (송하동),062-675-1888,,2025-09-04
2,(유)그린메탈,"연 및 아연 제련, 정련 및 합금 제조업",광주광역시 남구 서문대로473번길 8-13 (송하동),062-674-2323,062-674-2324,2025-09-04
3,(유)신진공업사,건설 및 채광용 기계장비 제조업,"광주광역시 남구 송암로24번가길 8 (송하동, 신진공업사)",062-674-0101,062-674-1338,2025-09-04
4,(유)우성공업사,건설 및 채광용 기계장비 제조업,광주광역시 남구 송암로24번나길 44 (송하동),062-676-6880,062-674-1077,2025-09-04
5,(주) 세종,"치약, 비누 및 기타 세제 제조업 외 1 종","광주광역시 남구 독립로 106, 2층 (백운동)",062-655-2205,062-672-2205,2025-09-04
6,(주)가온기술그룹,기타 무선 통신장비 제조업 외 3 종,"광주광역시 남구 백양로 27-1, 2층 (백운동)",062-654-1593,062-654-1594,2025-09-04
7,(주)고산당,화학 살균.살충제 및 농업용 약제 제조업,광주광역시 남구 서문대로473번길 8-7 (송하동),062-674-2345,062-674-2346,2025-09-04
8,(주)광우고속,시외버스 운송업,광주광역시 남구 송암로24번나길 40 (송하동),062-675-6246,062-675-6240,2025-09-04
9,(주)광주자동차공업사,건설 및 채광용 기계장비 제조업,광주광역시 남구 송암로24번가길 14 (송하동),062-676-8400,062-676-8404,2025-09-04
10,(주)금화모터스,자동차 차체용 신품 부품 제조업 외 1 종,"광주광역시 남구 송암로24번나길 35 (송하동, (주)금화모터스)",062-672-2744,062-676-8203,2025-09-04
11,(주)남하자동차,산업용 트럭 및 적재기 제조업,광주광역시 남구 송암로76번길 34 (송하동),062-674-1370,062-674-0050,2025-09-04
12,(주)대성에너지오,기타 인쇄업 외 3 종,광주광역시 남구 중앙로 73-1 (서동),062-651-2342,,2025-09-04
13,(주)대성텔레콤,방송장비 제조업 외 2 종,광주광역시 남구 독립로99번길 1 (월산동),062-363-2300,062-363-2388,2025-09-04
14,(주)대성텔레콤,기타 무선 통신장비 제조업 외 2 종,"광주광역시 남구 독립로99번길 1, (주)대성텔레콤 (월산동)",062-363-2300,,2025-09-04
15,(주)대영엘이디,전구 및 램프 제조업 외 2 종,"광주광역시 남구 제석로 10, 에스에이치 (진월동)",062-671-5123,,2025-09-04
16,(주)대우트럭동양광주2공장,자동차 종합 수리업 외 1 종,광주광역시 남구 송하동 257-1,,,2025-09-04
17,(주)동산자동차서비스,차체 및 특장차 제조업 외 1 종,"광주광역시 남구 송암로24번나길 14-18 (송하동, 미래환경산업개발)",062-671-5568,062-671-5568,2025-09-04
18,(주)동양콘테이너,기타 구조용 금속제품 제조업,광주광역시 남구 서문대로 487 (송하동),062-676-9004,062-676-9005,2025-09-04
19,(주)만도플라자,"용기 세척, 포장 및 충전기 제조업 외 1 종",광주광역시 남구 서문대로473번길 16 (송하동),,062-514-8856,2025-09-04
20,(주)매그나텍,간판 및 광고물 제조업 외 9 종,"광주광역시 남구 회재로 1206 (주월동, 좋은 간판 연구소)",062-674-5508,,2025-09-04
21,(주)명선,특수 직물 및 기타 직물 직조업,"광주광역시 남구 백양로 15 (백운동, 오성타올공장)",062-652-6400,062-673-5958,2025-09-04
22,(주)반도아이엔씨광주,셔츠 및 블라우스 제조업 외 5 종,"광주광역시 남구 백운로 50-1, 지하 1층 (백운동)",02-541-3187,02-515-3565,2025-09-04
23,(주)반석,금속 표시판 제조업 외 7 종,광주광역시 남구 황산길 4 (이장동),062-675-5975,,2025-09-04
24,(주)서경이엔엘,일반용 전기 조명장치 제조업,"광주광역시 남구 서문대로 739 (주월동, 귀빈예식장)",062-653-8778,062-671-1602,2025-09-04
25,(주)선일자동차정비공업사,건설 및 채광용 기계장비 제조업 외 1 종,"광주광역시 남구 송암로24번나길 9 (송하동, 선일중기정비)",062-674-0001,,2025-09-04
26,(주)셀맥인터내셔날,그 외 자동차용 신품 부품 제조업 외 2 종,"광주광역시 남구 송암로24번길 65 (송하동, 삼양시내버스정차장)",062-651-7739,062-674-8651,2025-09-04
27,(주)아이어스,전시용 모형 제조업,"광주광역시 남구 송암로24번가길 46, 광주실감콘텐츠큐브 502호(송하동, 광주실감콘텐츠큐브(방송통신시설))",062-655-5870,,2025-09-04
28,(주)아진통신,방송장비 제조업 외 2 종,"광주광역시 남구 대남대로372번안길 30-1, 2층 (월산동)",062-951-5645,,2025-09-04
29,(주)아쿠아알타시스템,기타 무선 통신장비 제조업 외 3 종,"광주광역시 남구 월산로 67, 3층(월산동, 가전마트)",062-450-9999,062-450-9998,2025-09-04
30,(주)엔서치랩,배전반 및 전기 자동제어반 제조업 외 4 종,광주광역시 남구 백양로 57 (백운동),062-676-7400,0505-679-3117,2025-09-04
31,(주)연암이엔지,방송장비 제조업 외 1 종,"광주광역시 남구 회재로 1214, 3층 (주월동)",062-655-6800,062-223-5888,2025-09-04
32,(주)예원하이테크,간판 및 광고물 제조업,광주광역시 남구 송암로24번나길 14-7 (송하동),062-676-7722,062-676-7712,2025-09-04
33,(주)오룡정비,건설 및 채광용 기계장비 제조업,"광주광역시 남구 송암로24번나길 14-26 (송하동, A동)",062-675-0033,062-674-3435,2025-09-04
34,(주)유니프라자,"근무복, 작업복 및 유사의복 제조업 외 5 종","광주광역시 남구 서문대로 823, 4층(주월동)",062-671-9300,062-671-8033,2025-09-04
35,(주)이은의류,남자용 겉옷 제조업 외 31 종,"광주광역시 남구 대남대로181번길 5-5(봉선동, 중고나라)",,062-373-1604,2025-09-04
36,(주)이천정비,트레일러 및 세미트레일러 제조업,"광주광역시 남구 송암로24번나길 50-15 (송하동, 1급2000정비)",062-676-2000,062-676-2001,2025-09-04
37,(주)인디고,산업용 로봇 제조업 외 7 종,"광주광역시 남구 송암로24번가길 46,  아하랩동 6층 601호(송하동, 광주실감콘텐츠큐브(방송통신시설))",,062-674-0391,2025-09-04
38,(주)일광1급자동차정비공업사,건설 및 채광용 기계장비 제조업,"광주광역시 남구 송암로24번길 20 (송하동, 일광1급정비공업사)",062-676-8333,,2025-09-04
39,(주)일광산업,금속류 해체 및 선별업 외 1 종,"광주광역시 남구 송암로24번길 20 (송하동, 일광1급정비공업사)",062-674-3588,062-674-0430,2025-09-04
40,(주)제일무역,의복 액세서리 및 모조 장신구 도매업,광주광역시 남구 송암로 40 (송하동),062-675-3393,062-674-0932,2025-09-04
41,(주)조은산업,차체 및 특장차 제조업 외 2 종,광주광역시 남구 송암로24번나길 50-16 (송하동),062-676-8181,,2025-09-04
42,(주)지오하우스,자동차 종합 수리업,광주광역시 남구 송암로 32(송하동),062-351-9504,062-351-9505,2025-09-04
43,(주)케이엠로지스,일반 창고업,광주광역시 남구 송암로24번길 26 (송하동),062-602-5656,062-655-5300,2025-09-04
44,(주)크레인모터풀,차체 및 특장차 제조업 외 1 종,광주광역시 남구 송하동번지 254-6,062-674-2831,062-674-2832,2025-09-04
45,(주)파노이앤디,그 외 기타 콘크리트 제품 및 유사제품 제조업 외 5 종,광주광역시 남구 서동로 36 (서동),062-383-1370,062-383-1377,2025-09-04
46,(주)프라임에텍,기타 전기 변환장치 제조업 외 9 종,광주광역시 남구 진월동 52번지 광주대학교산학협력단505호,062-675-2223,062-675-2226,2025-09-04
47,(주)호남,차체 및 특장차 제조업 외 1 종,광주광역시 남구 송암로24번길 26 (송하동),062-376-7040,062-375-7041,2025-09-04
48,(주)호남지오영,일반 창고업 외 1 종,"광주광역시 남구 송암로24번나길 54, (주)호남지오영(송하동, 광주부품센터)",062-383-6070,062-383-6072,2025-09-04
49,(주)황금특장모터스,차체 및 특장차 제조업 외 1 종,"광주광역시 남구 송암로24번나길 16 (송하동, 송암공업사)",062-674-2645,062-674-2565,2025-09-04
50,JS모터스,자동차 종합 수리업,"광주광역시 남구 송암로24번나길 32-10, 다동 (송하동)",,062-671-5362,2025-09-04
51,고진모터스(주),자동차 종합 수리업,광주광역시 남구 송암로24번가길 18 (송하동),062-524-5959,062-524-0034,2025-09-04
52,광고하우스,간판 및 광고물 제조업,광주광역시 남구 월산로 28-1 (월산동),062-351-7585,062-351-7586,2025-09-04
