회사명,업종명,생산품,주소,연락처,출처파일
(유)동명정공,그 외 자동차용 신품 부품 제조업,,광주광역시 광산구 진곡산단3번로 59-13 (진곡동),062-953-2384,광주광역시 광산구_제조업체 현황_20250910.csv
(유)부성에스앤티,그 외 자동차용 신품 부품 제조업,,광주광역시 광산구 평동로 831-13 (옥동),062-953-8700,광주광역시 광산구_제조업체 현황_20250910.csv
(유)포스텍,그 외 기타 전자부품 제조업,,광주광역시 광산구 임곡로 616 (안청동),062-710-7763,광주광역시 광산구_제조업체 현황_20250910.csv
(주)H.K,그 외 자동차용 신품 부품 제조업,,광주광역시 광산구 소촌로123번길 14-19 (소촌동),062-943-8311,광주광역시 광산구_제조업체 현황_20250910.csv
(주)건영기업,자동차 차체용 신품 부품 제조업,,광주광역시 광산구 평동로803번길 122 (옥동),062-945-6530,광주광역시 광산구_제조업체 현황_20250910.csv
(주)경동산업,그 외 자동차용 신품 부품 제조업,,광주광역시 광산구 평동로803번길 117-15 (용동),062-956-8647,광주광역시 광산구_제조업체 현황_20250910.csv
(주)경전,자동차 차체용 신품 부품 제조업  ,,광주광역시 광산구 평동로803번안길 93-6 (용동),062-942-0628,광주광역시 광산구_제조업체 현황_20250910.csv
(주)광우파이텍,그 외 자동차용 신품 부품 제조업  ,,광주광역시 광산구 평동산단외로 142-25 (옥동),062-946-3001,광주광역시 광산구_제조업체 현황_20250910.csv
(주)광원,그 외 기타 전자부품 제조업  ,,광주광역시 광산구 소촌로123번길 40-17 (소촌동),062-952-0032,광주광역시 광산구_제조업체 현황_20250910.csv
(주)광원이엔지(GWE),그 외 기타 전자부품 제조업  ,,광주광역시 광산구 진곡산단3번로 59-35 (진곡동),062-952-0032,광주광역시 광산구_제조업체 현황_20250910.csv
(주)광일기공,그 외 자동차용 신품 부품 제조업  ,,광주광역시 광산구 하남산단천변우로 120 (도천동),062-951-6013,광주광역시 광산구_제조업체 현황_20250910.csv
(주)광주글로벌모터스,내연기관 승용차 및 기타 여객용 자동차 제조업  ,,"광주광역시 광산구 빛그린산단로 333(덕림동, (주)광주글로벌모터스)",062-612-3111,광주광역시 광산구_제조업체 현황_20250910.csv
(주)광진상공,자동차 차체용 신품 부품 제조업,,광주광역시 광산구 평동산단1번로 58 (옥동),070-8686-7655,광주광역시 광산구_제조업체 현황_20250910.csv
(주)광진전자,그 외 기타 전자부품 제조업  ,,광주광역시 광산구 손재로287번길 99 (하남동),062-954-5102,광주광역시 광산구_제조업체 현황_20250910.csv
(주)글로벌오토테크,그 외 자동차용 신품 부품 제조업  ,,광주광역시 광산구 평동산단2번로 213 (장록동),062-946-1265,광주광역시 광산구_제조업체 현황_20250910.csv
(주)글로벌전자,그 외 기타 전자부품 제조업,,광주광역시 광산구 진곡산단1번로 30 (오선동),062-972-4810,광주광역시 광산구_제조업체 현황_20250910.csv
(주)금호기공,자동차 차체용 신품 부품 제조업  ,,광주광역시 광산구 평동산단5번우로 40 (월전동),062-959-3400,광주광역시 광산구_제조업체 현황_20250910.csv
(주)금호에이치티,그 외 자동차용 신품 부품 제조업  ,,광주광역시 광산구 용아로 717 (오선동),062-958-2700,광주광역시 광산구_제조업체 현황_20250910.csv
(주)기성정공,그 외 자동차용 신품 부품 제조업  ,,광주광역시 광산구 하남산단9번로 117 (안청동),062-955-9308,광주광역시 광산구_제조업체 현황_20250910.csv
(주)기영테크,자동차용 금속 압형제품 제조업  ,,광주광역시 광산구 하남산단8번로 127-30 (안청동),062-954-0603,광주광역시 광산구_제조업체 현황_20250910.csv
(주)기준테크,그 외 자동차용 신품 부품 제조업  ,,광주광역시 광산구 하남산단8번로 127-30 (안청동),062-956-0870,광주광역시 광산구_제조업체 현황_20250910.csv
(주)나전,자동차 차체용 신품 부품 제조업  ,,광주광역시 광산구 평동산단로 239-20 (옥동) (총 4 필지) 외 3필지,062-951-9251,광주광역시 광산구_제조업체 현황_20250910.csv
(주)노바스이지,전자부품 실장기판 제조업,,광주광역시 광산구 용아로 647 (오선동),062-955-0801,광주광역시 광산구_제조업체 현황_20250910.csv
(주)노바스이지,전자부품 실장기판 제조업,,광주광역시 광산구 삼도로 29(삼거동),062-955-0801,광주광역시 광산구_제조업체 현황_20250910.csv
(주)노텍코리아,자동차 엔진용 신품 부품 제조업  ,,광주광역시 광산구 평동산단2번로 25 (용동),062-951-0035,광주광역시 광산구_제조업체 현황_20250910.csv
(주)뉴런모터스,구조용 금속 판제품 및 공작물 제조업  ,,광주광역시 광산구 진곡산단6번로 33 (고룡동),062-962-0061,광주광역시 광산구_제조업체 현황_20250910.csv
(주)뉴런모터스,농업 및 임업용 기계 제조업  ,,광주광역시 광산구 하남산단천변좌로 39 (안청동),062-962-0061,광주광역시 광산구_제조업체 현황_20250910.csv
(주)뉴원이앤씨 ,자동차 구조 및 장치 변경업   ,,광주광역시 광산구 진곡산단5번로 57-10 (진곡동),062-714-3440,광주광역시 광산구_제조업체 현황_20250910.csv
