 연번 , 업종 ,업체명,소재지,주생산품,종업원수(명),전화번호
1,14112,루루드레스,광주광역시 남구 대남대로372번안길 23-1  1층 ,드레스 임대,1,062-363-1227
2,15129,유림,광주광역시 북구 중가로 47-3  ,가방제조,1,
3,15129,퀼트앤쏘잉,광주광역시 광산구 목련로273번안길 30 주공아파트 414동 203호,"퀼트, 가방 제조",1,
4,29223,케이정밀,광주광역시 광산구 진곡산단중앙로 288  ,금형제작,1,062-961-1693
5,18112,알파카 기획,광주광역시 광산구 목련로153번길 56 주공아파트 707동 1506호,인쇄,1,062-955-9726
6,23229,하이원엔시,광주광역시 광산구 풍영철길로 106-46  ,유골함케이스제조,1,
7,33910,일진광고산업,광주광역시 서구 화개2로9번길 3-5  ,"광고,간판제조",1,062-652-0802
8,33910,썬디자인,광주광역시 남구 진다리로 50  ,간판제작,1,062-672-2868
9,33920,명인열쇠,광주광역시 광산구 산정공원로82번길 14  107호,도장 명함,1,
10,16299,메이앤메이라탄,광주광역시 광산구 수등로258번길 10 우미이노스빌아파트 102동 1009호,등공예품제작판매,1,
11,20423,아로마포레스트,광주광역시 광산구 하남대로 248-10 주공아파트 514동 1202호,"생활용품,방향제",1,
12,29241,우성공영,광주광역시 광산구 송도로212번길 31-8 대화아파트 105동 1208호,현장공사,1,
13,22249,케이에스 코리아,광주광역시 광산구 사암로287번길 14-18  ,부품조립,1,
14,32021,대동,광주광역시 광산구 비아로147번길 8-13  ,싱크대제조,1,
15,18111,삼호인쇄광고사,광주광역시 남구 서문대로749번마길 5-1  ,인쇄디자인,1,062-223-6500
16,34019,농기계월드,광주광역시 광산구 수등로76번길 40 아름마을 대방노블랜드 아파트 105동 701호,농기계 수리,1,
17,28123,정도시스템,광주광역시 광산구 임방울대로 154-24 우방아이유쉘 106동 902호,PLC,1,
18,26299,대경,광주광역시 광산구 비아로127번길 30-10  ,전자부품 가공 조립,1,
19,33920,로고로고,광주광역시 광산구 삼도죽산길 59  ,아크릴.플라스틱,1,
20,33992,그리고여운,광주광역시 북구 연양로7번길 58 신용주공아파트 102동 1304호,"담배 필터, 양초, 착화탄 등 제조",1,
21,34020,우성ENG,광주광역시 서구 내방로278번길 7 솔뫼타운아파트 102동 401호,모터펌프제작 설치,1,062-603-2241
22,34019,바로써비스,광주광역시 광산구 임방울대로 727-19 첨단삼능아파트 101동 306호,기타일반기계및장비수리,1,
23,33999,꽃다락방제작소,광주광역시 광산구 첨단강변로 100 힐스테이트 리버파크 101동 3501호,인터넷판매,1,
24,18111,글샘,광주광역시 북구 원용산로 53-2  ,명함,1,
25,22249,더나은산업,광주광역시 광산구 장덕로6번길 59 장덕마을 부영사랑으로 106동 1703호,냉장고부품조림,1,
26,34019,나주수리냉동,광주광역시 남구 서문대로 614 신흥타운 302동 608호,펌프수리서비스,1,
27,28423,남경,광주광역시 광산구 동곡분토길 67  ,간판,1,
28,34019,성신기전,광주광역시 북구 서강로66번길 3-17  ,펌프수리,1,
29,10742,다연무역,광주광역시 광산구 목련로 15 하남2지구다사로움2단지 202동 403호,양념제조판매,1,
30,34019,천지냉동공조,광주광역시 서구 마재로 21 중흥아파트 105동 1011호,냉동수리외서비스,1,
31,33910,시나브로 광고기획,광주광역시 광산구 평동산단3번로 83  ,광고물 제작,1,
32,16291,목가,광주광역시 서구 발산로 36 양동 휴먼시아 101동 703호,주방용나무제품 제조,1,
33,15129,들꽃물드림,광주광역시 남구 봉선로51번길 30-3  ,제로,1,
34,33999,엘레나벌룬Elenaballoon,광주광역시 광산구 무진대로 279 우산동 동부센트레빌 104동 501호,풍선공예(행사용벌룬)제작,1,
35,28123,윈윈기전,광주광역시 광산구 장신로 306 대광로제비앙아파트 109동 1703호,전기자동제어기 제조,1,
36,20422,애담향(愛淡香),광주광역시 북구 삼정로66번길 33-2  ,비누,1,
37,10743,빛고을된장,광주광역시 남구 압촌길 54-3  1층층 ,된장,1,
38,33401,김씨공방,광주광역시 북구 천변우로 11 주공아파트 105동 1404호,인형,1,
39,25111,와이Y디자인,광주광역시 광산구 수완로74번길 11-6  102호,"문,창,셔터 등관련제품 제조",1,
40,33992,안나마리캔들스튜디오(your scent),광주광역시 북구 설죽로 560 금호타운 102동 1906호,향초 제조,1,
41,23221,화도,광주광역시 서구 대남대로450번길 10-11  ,도자기제조,1,
42,26323,3D 솔루션,광주광역시 광산구 원산막길 186  ,프린터,1,
43,34019,"바로샷시,방충망",광주광역시 광산구 어등대로647번길 32 송광@ 202동 603호,"용접,유리,방충망",1,
44,14111,천지양복,광주광역시 동구 주남길 20-15  ,남성양복,1,
45,13222,만들다,광주광역시 북구 용봉택지로13번길 21 용봉동1차대주파크빌 102동 1107호,장식용 자수 패션소품,1,
46,25924,서진연마,광주광역시 광산구 본안길 14-3  ,기계부품,1,
47,13999,우다핸드메이드,광주광역시 동구 동계로 38 무등산 그린웰 로제비앙 109동 1302호,손뜨개작품제작 판매,1,
48,28123,반디 자동제어,광주광역시 서구 금화로115번길 23 금호2지구도시공사2단지아파트 206동 103호,자동제어장비제조,1,
49,16292,플뤼바스켓(Pluie Basket),광주광역시 광산구 장신로 306 대광로제비앙아파트 109동 301호,공방,1,
50,23191,디플레인스튜디오,광주광역시 동구 경양로 234 그랜드센트럴 116동 1304호,전자상거래(주방용품)제작,1,
51,27216,한성FA,광주광역시 광산구 풍영로170번길 39-10 성덕마을 대방노블랜드3차 아파트 305동 1601호,전기자동화 시스템 부품조립,1,
52,32029,무형문화재화류소목장,광주광역시 동구 소태길 129  ,전통가구 공예,1,062-234-3456
53,28121,이안시스템,광주광역시 서구 상무공원로 114 해광한신아파트 101동 1102호,"전기공급 및 제어장치 제조업(전기회로 개폐, 보호장치 제조업)",1,
54,32099,송림 가구,광주광역시 광산구 송도로320번길 16-15 송정명지2차아파트 202동 510호,조립,1,
55,10711,삼능떡방앗간,광주광역시 서구 운천로56번길 17 금호동삼능공간아파트 상가동 103호,"떡류, 참기름",2,
