공공,회사명,공장대표주소(도로명),사업유형,전화번호
1,(유)다인정밀,인천광역시 동구 보세로42번길 21-3 (만석동),제조업,032-710-7158
2,(유)와이즈에너지월드,"인천광역시 동구 염전로 25, 다동 101호(송림동)",제조업,032-425-0072
3,(주)가람,인천광역시 동구 만석부두로13번길 28(만석동),제조업,070-4694-7370
4,(주)국제화학,"인천광역시 동구 염전로40번길 40-7 (송림동, (주)국제화학)",제조업,032-772-7300
5,(주)기가플랜트,인천광역시 동구 보세로26번길 24-22 (만석동),제조업,032-579-1163
6,(주)나성이엔지,인천광역시 동구 방축로9번길 57-8 (송현동) 가동,제조업,032-764-7587
7,(주)대덕코트디자인,인천광역시 동구 보세로 57 (만석동),제조업,032-572-2849
8,(주)대표식품,"인천광역시 동구 중봉대로 48, 101호 (송현동)",제조업,032-569-5857
9,(주)덕우우드텍,인천광역시 동구 방축로62번길 38 (송림동),제조업,032-572-0789
10,(주)도담엠에스,인천광역시 동구 샛골로 230-17 (송현동),제조업,032-777-8031
11,(주)동해우드,인천광역시 동구 보세로 58 (만석동),제조업,032-765-1184
12,(주)디에이치조선,인천광역시 동구 화수부두로 52 (화수동),제조업,032-761-3671
13,(주)디페트엠,"인천광역시 동구 방축로23번길 30 (송현동, (주)디페트엠)",제조업,032-575-8195
14,(주)명진테크,"인천광역시 동구 방축로9번길 55 (송현동, (주)명진테크)",제조업,032-573-4100
15,(주)밀테크,인천광역시 동구 만석부두로7번길 15-28 (만석동),제조업,032-584-9644
16,(주)바로인,"인천광역시 동구 샛골로 230-8, 1층 (송현동)",제조업,032-582-5226
17,(주)벨슨,인천광역시 동구 염전로 49 (송림동),제조업,070-5222-2741
18,(주)비티알,인천광역시 동구 만석부두로13번길 42 (만석동),제조업,032-582-3100
19,(주)삼우에코,인천광역시 동구 염전로40번길 51 (송림동),제조업,032-437-3245
20,(주)상신기업,"인천광역시 동구 방축로167번길 18 (송림동, (주)상신기업)",제조업,032-576-9525
21,(주)서울우레탄,"인천광역시 동구 송미로35번길 1 (송림동, (주)서울우레탄)",제조업,032-765-7259
22,(주)선진,인천광역시 동구 염전로40번길 35 (송림동),제조업,032-583-1293
23,(주)성가에프앤씨,인천광역시 동구 중봉대로 87-5 (송현동),제조업,032-763-3565
24,(주)성진씨엔에스,"인천광역시 동구 인중로 389, H동 (만석동, 효창산업주식회사)",제조업,032-572-9856
25,(주)스웨코,인천광역시 동구 제물량로385번길 12 (만석동),제조업,032-876-2953
26,(주)신성에스엠,"인천광역시 동구 방축로157번길 17, J동 101호 (송림동)",제조업,032-573-0470
27,(주)신흥기계,인천광역시 동구 만석부두로7번길 15-24 (만석동),제조업,032-564-1627
28,(주)쏠트리,"인천광역시 동구 염전로40번길 40-11 (송림동, (주)솔트리)",제조업,032-761-2323
29,(주)아이엠디,인천광역시 동구 중봉대로 63 (송현동) (총 2 필지) 외 1필지,제조업,032-763-2705
30,(주)에너빅,인천광역시 동구 샛골로 230-1 (송현동),제조업,032-773-7377
31,(주)엘티에스,,제조업,032-571-2528
32,(주)엘티엘,"인천광역시 동구 방축로37번길 61-3, 외 1필지 (송현동)",제조업,032-663-5128
33,(주)오성이엔지 서비스,인천광역시 동구 보세로 36(만석동) 외 1필지,제조업,032-579-0605
34,(주)오에스팀버,"인천광역시 동구 염전로 19, R동 106호(송림동)",제조업,032-777-3530
35,(주)오웰스틸,"인천광역시 동구 방축로23번길 55, 1층 일부 (송현동)",제조업,031-454-2117
36,(주)외솔럼버,"인천광역시 동구 방축로177번길 21-7 (송림동, 우룡산업(주))",제조업,032-579-0718
37,(주)우성세라믹스,"인천광역시 동구 봉수대로96번길 47 (송림동, (주)서진디앤아이)",제조업,032-575-5751
38,(주)유로트럭서비스,"인천광역시 동구 중봉대로68번길 48 (송림동, (주)유로트럭서비스)",제조업,032-763-1600
39,(주)유스코,"인천광역시 동구 송미로23번길 24 (송림동, 유스코베이커리)",제조업,032-762-7265
40,(주)유인,"인천광역시 동구 만석부두로13번길 45(만석동, (주)유인) 외 1필지",제조업,031-354-6768
41,(주)유창기연,인천광역시 동구 보세로42번길 16 (만석동),제조업,
42,(주)융성,"인천광역시 동구 방축로 149, F동 104호(송림동, 동유철재상가)",제조업,032-567-5830
43,(주)인천측기,인천광역시 동구 보세로26번길 9 (만석동),제조업,032-588-0102
44,(주)재인정공,인천광역시 동구 만석부두로7번길 15-11(만석동),제조업,032-867-2588
45,(주)제이에스마그네트,인천광역시 동구 보세로26번길 24-20 (만석동),제조업,032-575-3370
46,(주)제일참,인천광역시 동구 방축로9번길 57-8 (송현동),제조업,032-584-7002
47,(주)주남산업,인천광역시 동구 보세로42번길 14 (만석동),제조업,032-777-4776
48,(주)지에스파워,"인천광역시 동구 방축로37번길 61-3, C동 1층일부, 2층일부(송현동)",제조업,070-4616-0337
49,(주)지엘티파워,인천광역시 동구 샛골로 230-25 (송현동),제조업,032-676-6940
50,(주)참존가구,인천광역시 동구 보세로26번길 23 (만석동),제조업,032-761-0850
51,(주)창성라이팅,"인천광역시 동구 염전로 17, 나동 101호 (송림동)",제조업,032-431-2331
52,(주)충남에스티,인천광역시 동구 보세로42번길 7-4 (만석동),제조업,032-573-7708
53,(주)카이저제빙기,"인천광역시 동구 염전로40번길 32, 카이저제빙기 (송림동)",제조업,032-818-6023
54,(주)케이씨환경디자인,인천광역시 동구 샛골로 230-33 (송림동),제조업,032-677-1994
55,(주)태명산기,"인천광역시 동구 만석부두로13번길 44 (만석동, (주)태명산기)",제조업,032-817-8478
56,(주)티마운트,"인천광역시 동구 인중로 389, I동,E동 (만석동, 효창산업주식회사)",제조업,070-4353-1858
57,(주)티엠이테크닉,"인천광역시 동구 방축로 149, F동 106호 (송림동)",제조업,032-572-1946
58,(주)파이어스,"인천광역시 동구 중봉대로 97 (송현동, 송현동 1-868 공장 ((주)파이어스))",제조업,032-832-7119
59,(주)프로팩코리아,인천광역시 동구 보세로26번길 24-17 (만석동),제조업,032-817-2448
60,(주)한서인더스트리,인천광역시 동구 봉수대로 97 (송림동),제조업,18001435
61,(주)한성푸드시스템,인천광역시 동구 보세로42번길 29-11 (만석동),제조업,032-889-4458
62,(주)행복을나누는도시락,인천광역시 동구 화수로 74-1 (화수동) 외 1필지,제조업,032-773-0186
63,(주)현대전설,"인천광역시 동구 방축로62번길 16, 제116,117호 (송림동, 중앙동력상가)",제조업,032-777-0471
64,(주)호성하이테크,인천광역시 동구 보세로26번길 19 (만석동),제조업,032-761-3550
65,(주)효성알앤티,인천광역시 동구 샛골로 230-36 (송림동),제조업,032-812-7964
66,IG전자,"인천광역시 동구 수문통로 33 (송현동, 삼두아파트)",제조업,032-762-6652
67,SM COMPANY,인천광역시 동구 방축로9번길 50 (송현동),제조업,032-567-5147
68,경기실업(주),"인천광역시 동구 중봉대로68번길 14 (송현동, 경기실업(주)) 외 3필지",제조업,032-763-8221
69,고려타일컷팅,인천광역시 동구 염전로40번길 29 (송림동),제조업,032-888-0773
70,광명인쇄사,인천광역시 동구 금곡로81번길 32 (송림동),제조업,032-762-4145
71,광성이엔지,인천광역시 동구 보세로42번길 7-20 (만석동),제조업,032-882-9325
72,광신기계(주),인천광역시 동구 만석부두로13번길 34 (만석동),제조업,032-811-7631
73,근영일렉콤,인천광역시 동구 만석부두로 25 (만석동),제조업,032-772-2834
74,금강정공,"인천광역시 동구 봉수대로96번길 52 (송림동, 금강정공) 외 1필지",제조업,032-582-6346
75,금강파워테크닉,"인천광역시 동구 방축로157번길 17, I(가)동 102호 (송림동)",제조업,032-872-8530
76,나우테크,"인천광역시 동구 방축로 149, E동 108호(송림동, 동유철재상가)",제조업,032-584-7852
77,대기해양(주),"인천광역시 동구 만석부두로7번길 15-13, 대기해양(주) (만석동)",제조업,032-886-7777
78,대길시스템ENG,"인천광역시 동구 방축로62번길 16, B106 (송림동, 중앙동력상가)",제조업,032-765-6263
79,대륙케이.씨(K.C),"인천광역시 동구 방축로 151, H동 103호 (송림동)",제조업,032-576-3200
80,대명산기,인천광역시 동구 봉수대로96번길 63 (송림동),제조업,032-584-6363
81,대명정공,인천광역시 동구 방축로9번길 39-4 (송현동),제조업,032-863-0723
82,대신종합기계,"인천광역시 동구 염전로 5, 109호(송현동)",제조업,032-761-7773
83,대윤이엔지 주식회사,인천광역시 동구 염전로 26 (송림동),제조업,032-867-9486
84,대일정공(주),인천광역시 동구 보세로42번길 21-15 (만석동) (총 2 필지) 외 1필지,제조업,032-777-1710
85,대주산업(주),"인천광역시 동구 염전로 83 (송림동, 대주산업)",제조업,032-763-1611
86,대진스틸,"인천광역시 동구 염전로 15, n동 109호(송현동) 외 1필지",제조업,032-772-3637
87,대한조선(주),인천광역시 동구 보세로26번길 24-52 (만석동),제조업,032-777-1146
88,대현패키징,"인천광역시 동구 중봉대로 48, 103,104,105,106,107호 (송현동)",제조업,
89,덕신기계,인천광역시 동구 만석부두로13번길 48 (만석동),제조업,032-884-4139
90,덕일금속,인천광역시 동구 만석부두로 41 (만석동),제조업,032-579-6110
91,도원씨앤에스,"인천광역시 동구 염전로40번길 40-1, 2층 (송림동)",제조업,032-868-4865
92,동광창호,인천광역시 동구 만석부두로7번길 7 (만석동),제조업,032-777-0451
93,동국제강(주),"인천광역시 동구 중봉대로 15 (송현동, 동국제강(주)) 외 12필지",제조업,032-830-6213
94,동부방음문,"인천광역시 동구 염전로 15, N동 106호 (송현동)",제조업,
95,동서종합물류,인천광역시 동구 방축로23번길 42-10 (송현동),제조업,032-564-0402
96,동화과학,인천광역시 동구 염전로 3 (송현동) i동 108호,제조업,032-588-0811
97,두산밥캣코리아 주식회사,인천광역시 동구 인중로 468 (만석동) 외 5필지,제조업,032-211-5102
98,두영크린테크,"인천광역시 동구 봉수대로96번길 62, 두영크린테크 (송림동)",제조업,032-571-0538
99,디아이동일(주),인천광역시 동구 만석동 37번지,제조업,032-764-1531
100,디에스 정공 주식회사,인천광역시 동구 방축로 167 (송림동),제조업,032-584-8896
101,디에스이엘씨 주식회사,인천광역시 동구 방축로 167 (송림동),제조업,032-584-8860
102,디케이텍,인천광역시 동구 염전로 16 (송현동),제조업,032-766-2401
103,메탈메이트,인천광역시 동구 방축로 149 (송림동) 동유철재상가 F동 101호 메탈메이트,제조업,032-576-6580
104,모던테크,인천광역시 동구 제물량로385번길 18 (만석동),제조업,032-773-4201
105,모디스코리아(주),"인천광역시 동구 인중로 389, A동 (만석동, 효창산업주식회사)",제조업,032-777-6612
106,미래기계,"인천광역시 동구 방축로 151, 가(H)동 104호 (송림동)",제조업,032-572-7149
107,미래후렉시블,인천광역시 동구 보세로 31 (만석동),제조업,032-581-1301
108,바로엔지니어링,"인천광역시 동구 샛골로 230-8, 2층 (송현동)",제조업,032-582-5226
109,부원금속,인천광역시 동구 방축로23번길 24-4 (송현동),제조업,032-582-2670
110,비와이컴퍼니,"인천광역시 동구 방축로 149, E동 106호(송림동, 동유철재상가)",제조업,070-4007-1365
111,사회복지법인 손과손 핸인핸,인천광역시 동구 방축로157번길 48 (송림동),제조업,032-521-7471
112,사회복지법인 손과손 핸인핸,"인천광역시 동구 방축로157번길 48(송림동, 핸인핸)",제조업,032-521-7471
113,삼광조선공업(주),"인천광역시 동구 보세로42번길 41 (만석동, 삼광조선(주))",제조업,032-763-1521
