연번,구분,상호명,도로명주소,전화번호,위도,경도
1,계량기제조업,㈜씨어스,인천광역시 미추홀구 염전로 191 (도화동),032-873-2302,37.4769438,126.6636256
2,계량기수리업,㈜파라테크,인천광역시 미추홀구 방축로 202 (도화동),032-582-7006,37.47849253,126.6660998
3,계량증명업,케이제이로지스틱스주식회사,"인천광역시 미추홀구 소성로 48 (학익동, 케이제이로지스틱스(주))",032-872-8552,37.44407117,126.6550053
4,계량기수리업,인천광역시상수도사업본부 수도시설관리소,인천광역시 미추홀구 승학길 58 (주안동),032-720-2378,37.44214263,126.6809796
5,계량기수리업,동양계기,"인천광역시 미추홀구 염전로143번길 16, 201-204호 (도화동)",032-577-5506,37.47959783,126.6595461
6,계량기제조업,동양계기,"인천광역시 미추홀구 염전로143번길 16, 201-204호 (도화동)",032-577-5506,37.47959783,126.6595461
7,계량기제조업,ICM,인천광역시 미추홀구 주안동 5-27번지,032-468-2771,37.4705021,126.675035
8,계량기수리업,신한정밀(주),"인천광역시 미추홀구 장고개로92번길 12 (도화동,735번지)",032-865-0411,37.47534449,126.6703949
9,계량증명업,송국계량증명업소,인천광역시 미추홀구 도화동 120번지 39  호,032-866-5945,37.4678014,126.672594
10,계량기제조업,신한정밀(주),"인천광역시 미추홀구 장고개로92번길 12 (도화동,735번지)",032-865-0411,37.47534449,126.6703949
11,계량기수리업,상원계량공사,인천광역시 미추홀구 참외전로 343 (숭의동),032-884-4627,37.46644643,126.6523506
12,계량기제조업,신한일렉트로닉 주식회사,인천광역시 미추홀구 장고개로92번길 12 (도화동),032-872-6577,37.47534449,126.6703949
13,계량기수리업,㈜카스,인천광역시 미추홀구 구월로 17(주안동),032-434-0281,37.47534449,126.6703949
14,계량기수입업,신한정밀(주),"인천광역시 미추홀구 장고개로92번길 12 (도화동,735번지)",032-865-0411,37.47534449,126.6703949
15,계량기제조업,유네코레일주식회사,인천광역시 미추홀구 봉수대로 61 (도화동),032-576-0504,37.482271,126.657233
