연번,회사명,공장대표주소,업종
1, 비아이유에스,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) B동 5층 510호",기타 구조용 금속제품 제조업
2,(사)대한산업안전협회,"인천광역시 부평구 부평대로 301 8층 816호 (청천동, 남광센트렉스) 8층 816호 외 1필지",기타 엔지니어링 서비스업
3,(사)한국척수장애인협회 피복사업소,"인천광역시 부평구 마장로426번길 33, 301호(청천동)",가죽의복 제조업 외 14 종
4,(유)애드게이트,"인천광역시 부평구 충선로 102,  2층 (부개동)",간판 및 광고물 제조업 외 8 종
5,(유)웰스코리아,"인천광역시 부평구 주부토로 236, 제비동 b117호(갈산동) 제비동 b117호",그 외 기타 의료용 기기 제조업
6,(유)유지피디자인,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) C동 7층 701호",기타 엔지니어링 서비스업
7,(주)3R GLOBAL,"인천광역시 부평구 새벌로 14, 424-13 (청천동)",비디오 및 기타 영상기기 제조업 외 1 종
8,(주)JCG(제이씨지),"인천광역시 부평구 부평대로 337, 7층 740호(청천동, 부평 제이타워3차 지식산업센터) 7층 740호",그 외 기타 특수목적용 기계 제조업
9,(주)SIMPAC,인천광역시 부평구 부평북로 127 (청천동) 외 2필지,디지털 적층 성형기계 제조업 외 1 종
10,(주)SRC,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) A동 5층 508-B호",빵류 제조업
11,(주)가온테크놀로지,인천광역시 부평구 안남로434번길 57 (청천동) 5층,자동차용 신품 전기장치 제조업
12,(주)가쯔,"인천광역시 부평구 부평대로 301, 7층 701호(청천동, 남광센트렉스) 7층 701호",제품 디자인업
13,(주)강남밥상,"인천광역시 부평구 부평대로 337, 9층 937호 (청천동, 부평 제이타워3차 지식산업센터) 9층 937호","수산동물 훈제, 조리 및 유사 조제식품 제조업"
14,(주)강남제어시스템,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) C동 B2층 B235호 외 3필지",전자부품 실장기판 제조업 외 1 종
15,(주)거궁,"인천광역시 부평구 안남로 404, 2층 (청천동)",일반용 전기 조명장치 제조업
16,(주)거림씨앤에프,"인천광역시 부평구 부평대로 283, C동 10층 1010 (청천동, 부평 우림라이온스밸리) C동 10층 1010호",그 외 기타 봉제의복 제조업 외 1 종
17,(주)거림트렌드,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) C동 10층 1009호","근무복, 작업복 및 유사의복 제조업 외 2 종"
18,(주)건우테크,"인천광역시 부평구 부평북로 244, C동 (청천동, (주)코스티모)",그 외 금속 압형제품 제조업 외 1 종
19,(주)경기일렉트로닉,인천광역시 부평구 동수천로 86-12 (부개동),방송장비 제조업 외 1 종
20,(주)경도시스템,인천광역시 부평구 세월천로 227 (청천동),자동차용 금속 압형제품 제조업 외 1 종
21,(주)경원씨앤에스,"인천광역시 부평구 장제로 53, 3층 (부평동)",방송장비 제조업 외 1 종
22,(주)경인씨엔에스,"인천광역시 부평구 부평대로 337, 9층 921호 (청천동, 부평 제이타워3차 지식산업센터) 9층 921호 외 1필지",비주거용 건물 임대업
23,(주)경창,"인천광역시 부평구 백범로578번길 65,  도금단지 1층 101호 (십정동)",도금업
24,(주)계백미트 농업회사법인,"인천광역시 부평구 부평대로 301, 2층 215호 (청천동, 남광센트렉스) 2층 215호",육류 기타 가공 및 저장처리업 (가금류 제외) 외 1 종
25,(주)계양전력,"인천광역시 부평구 부평대로 337, 9층 907호(청천동, 부평 제이타워3차 지식산업센터) 9층 907호",배전반 및 전기 자동제어반 제조업
26,(주)공주방,인천광역시 부평구 부평북로 45-11 (청천동),커튼 및 유사제품 제조업
27,(주)광승특수인쇄,"인천광역시 부평구 부평북로 3, 2층 (청천동)",기타 인쇄업
28,(주)광안정밀,"인천광역시 부평구 부평대로 337, 1층 117호 (청천동, 부평 제이타워3차 지식산업센터) 1층 117호",주형 및 금형 제조업
29,(주)국제프린텍,인천광역시 부평구 일신로 71 (일신동),스크린 인쇄업
30,(주)굿닥터스,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) B동 2층 208호",치과용 기기 제조업
31,(주)귀뚜라미,인천광역시 부평구 백범로603번길 19 (십정동),비주거용 건물 임대업
32,(주)그래이츠,인천광역시 부평구 주부토로 236(갈산동) B동 4층 417호,육류 포장육 및 냉동육 가공업 (가금류 제외)
33,(주)그렌텍,"인천광역시 부평구 부평대로297번길 28, 1층, 지하 (청천동)",기타 가정용 전기기기 제조업
34,(주)그루크리에이티브랩,"인천광역시 부평구 부평대로 293, 10층 1013호 (청천동, 부평테크시티) 10층 1013호",기타 게임 소프트웨어 개발 및 공급업
35,(주)그린텍코리아,"인천광역시 부평구 새벌로 44, B동 2층(청천동)",그 외 기타 종이 및 판지 제품 제조업 외 1 종
36,(주)글로벌엘이디,"인천광역시 부평구 평천로199번길 53, A-1-1 (청천동)",일반용 전기 조명장치 제조업
37,(주)금동이,"인천광역시 부평구 항동로125번길 7, A동 2층 (일신동)",수산식물 가공 및 저장 처리업
38,(주)금산,"인천광역시 부평구 백범로577번길 20, 공장동동 4층 412호 (십정동, 경인센타) 공장동 4층 412호",방송장비 제조업 외 1 종
39,(주)금우바이오틱스,"인천광역시 부평구 부평대로 293, 8층 811호 (청천동, 부평테크시티) 8층 811호",생물 살균.살충제 및 식물보호제 제조업 외 4 종
40,(주)기간산업,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) A동 5층 502-B호",간판 및 광고물 제조업
41,(주)깅코우,인천광역시 부평구 부평대로313번길 18 (청천동),남자용 겉옷 제조업
42,(주)나다텔 부평공장,"인천광역시 부평구 안남로402번길 15, 4층 (청천동)",방송장비 제조업
43,(주)나라이엔씨,"인천광역시 부평구 부평대로 301, 8층 802호(청천동, 남광센트렉스) 8층 802호",비주거용 건물 임대업
44,(주)나우정보,"인천광역시 부평구 부평대로 337, 12층 1246호(청천동, 부평 제이타워3차 지식산업센터) 12층 1246호",시스템 소프트웨어 개발 및 공급업
45,(주)나인텍,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) B동 B2층 B224호 외 1필지",이동전화기 제조업 외 1 종
46,(주)남도애꽃,인천광역시 부평구 가재울로 163 (십정동),육류 기타 가공 및 저장처리업 (가금류 제외) 외 4 종
47,(주)남일광학기기,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) C동 4층 410-B호 외 1필지",기타 광학기기 및 사진기 제조업
48,(주)낼바이오,"인천광역시 부평구 새벌로 4, 301호 (청천동)",가정용 전기 난방기기 제조업
49,(주)네모엘텍,"인천광역시 부평구 백범로577번길 20, 공장동동 7층 721호 (십정동) 공장동 7층 721호",전구 및 램프 제조업 외 1 종
50,(주)네오시스,"인천광역시 부평구 부평대로 337, 5층 501호(청천동, 부평 제이타워3차 지식산업센터) 5층 501호 외 6필지",체외 진단 시약 제조업 외 1 종
51,(주)넥스원이노베이션 ,"인천광역시 부평구 안남로433번길 19, (주)넥스원이노베이션 (청천동)",그 외 기타 전자부품 제조업
52,(주)넥스텍케미칼,"인천광역시 부평구 부평대로 301, 7층 706호 (청천동, 남광센트렉스) 7층 706호",기타 공학 연구개발업
