연번,구분,업체명,업체 주소,생산품,전화번호
1,소기업,비아이유에스,"인천광역시 부평구 부평대로 283, B동 5층 510 (청천동, 부평 우림라이온스밸리)",초음파용착기 등,032-623-7980
2,소기업,(사)대한산업안전협회,"인천광역시 부평구 부평대로 301, 8층 816호 (청천동, 남광센트렉스) 외 1필지",안전관련엔지니어링서비스,02-860-7000
3,소기업,(사)한국척수장애인협회 피복사업소,"인천광역시 부평구 마장로426번길 33, 301호(청천동)",피복 및 의류 엑세서리,032-503-6401
4,소기업,(유)애드게이트,"인천광역시 부평구 충선로 102,  2층 (부개동)",간판 및 광고물,032-512-3366
5,소기업,(유)웰스코리아,"인천광역시 부평구 주부토로 236, 제비동 b117호(갈산동) 제비동 b117호",페이스 쉴드,02-2662-9933
6,소기업,(유)유지피디자인,"인천광역시 부평구 부평대로 283, C동 7층 701호, 702호, 703호, 703B호(청천동, 부평우림라이온스밸리) C동 7층 701호, 702호, 703호, 703B호",자동차 설계 엔지니어링,032-623-7007
7,소기업,(주)3R GLOBAL,"인천광역시 부평구 새벌로 14, 424-13 (청천동)",영상저장장치,070-8233-2565
8,소기업,(주)JCG(제이씨지),"인천광역시 부평구 부평대로 337, 7층 740호(청천동, 부평 제이타워3차 지식산업센터) 7층 740호",도장설비,032-542-2067
9,중견기업,(주)SIMPAC,인천광역시 부평구 부평북로 127 (청천동) 외 2필지,프레스,032-510-0024
10,소기업,(주)SRC,"인천광역시 부평구 부평대로 283, A동 4층 508B호,509호 (청천동, 부평 우림라이온스밸리)","빵,케익",032-623-7452
11,소기업,(주)가온테크놀로지,인천광역시 부평구 안남로434번길 57 (청천동) 5층,전기자동차 배선,032-715-4492
12,소기업,(주)가쯔,"인천광역시 부평구 부평대로 301, 7층 701호(청천동, 남광센트렉스) 7층 701호",생활용품 제품 디자인,
13,소기업,(주)가현테크,인천광역시 부평구 안남로418번길 10(청천동),공기청정기  등,032-582-0803
14,소기업,(주)강남밥상,"인천광역시 부평구 부평대로 337 (청천동) 부평 제이타워3차 지식산업센터 937호,938호,939호,940호,941호,1105호",즉석식품(고등어 훈제),
15,소기업,(주)강남제어시스템,"인천광역시 부평구 부평대로 283, A동 7층 701 (청천동, 부평 우림라이온스밸리) A동 7층 701호 A동 7층 701호 A동 7층 701호 외 3필지",기판,032-623-7711
16,소기업,(주)거궁,"인천광역시 부평구 안남로 404, 2층 (청천동)",전등기구,062-575-3310
17,소기업,(주)거림씨앤에프,"인천광역시 부평구 부평대로 283, C동 10층 1010 (청천동, 부평 우림라이온스밸리) C동 10층 1010호",의류(남성바지),032-623-7355
18,소기업,(주)거림트렌드,"인천광역시 부평구 부평대로 283, 씨동 10층 1009,1009B,1010,1011 (청천동, 부평 우림라이온스밸리)",근무복작업복 및 유사의류제조업,032-623-7355
19,소기업,(주)건우테크,"인천광역시 부평구 부평북로 244, C동 (청천동, (주)코스티모)",보일러 배관 커버 ,032-264-9658
20,소기업,(주)경기일렉트로닉,인천광역시 부평구 동수천로 86-12 (부개동),"경광등, 무전기 마이크",032-528-3960
21,소기업,(주)경도시스템,인천광역시 부평구 세월천로 227 (청천동),유무선통신용중계기,032-518-9221
22,소기업,(주)경원씨앤에스,"인천광역시 부평구 장제로 53, 3층 (부평동)",방송장비,032-508-0338
23,소기업,(주)경인씨엔에스,"인천광역시 부평구 부평대로 337, 9층 921호(청천동, 부평 제이타워3차 지식산업센터) 9층 921호 외 1필지","통신기기, 출입통제시스템, 방송음향기기, 영상감시장치, 원격접속장치, 교통신호장치 ",032-652-7991
24,소기업,(주)경창,"인천광역시 부평구 백범로578번길 65,  도금단지 1층 101호 (십정동)","가구장식부품,넥타이걸이",032-583-4818
25,소기업,(주)계백미트 농업회사법인,"인천광역시 부평구 부평대로 301, 남광센트렉스 215호 (청천동)",돈육가공,032-363-3267
26,소기업,(주)계양전력,"인천광역시 부평구 부평대로 337, 9층 907호(청천동, 부평 제이타워3차 지식산업센터) 9층 907호",분전반,032-555-7080
27,소기업,(주)공주방,인천광역시 부평구 부평북로 45-11 (청천동),커튼 및 부자재,032-574-1896
28,소기업,(주)광승특수인쇄,"인천광역시 부평구 부평북로 3, 2층 (청천동)",인쇄물,032-505-0687
29,소기업,(주)광안정밀,"인천광역시 부평구 부평대로 337 (청천동) 부평 제이타워3차 지식산업센터 117호, 118호","금형, 고무금형",032-5430-470
30,소기업,(주)국제프린텍,인천광역시 부평구 일신로 71 (일신동),의료기 인쇄,032-514-2345
31,소기업,(주)굿닥터스,"인천광역시 부평구 부평대로 283, 우림라이온스벨리 B동 208호 (청천동)",의료기기,032-424-6325
32,소기업,(주)귀뚜라미,인천광역시 부평구 백범로603번길 19 (십정동),임대업,032-578-5131
33,소기업,(주)그래이츠,인천광역시 부평구 주부토로 236(갈산동) B동 4층 417호,그래이츠 돼지구이,
34,소기업,(주)그렌텍,"인천광역시 부평구 부평대로297번길 28, 1층, 지하 (청천동)",살균수 관련제품,032-623-5221
35,소기업,(주)그루크리에이티브랩,"인천광역시 부평구 부평대로 293, 10층 1013호(청천동, 부평테크시티)",AR/VR 콘텐츠 성능 분석 평가 도구,070-4575-5907
36,소기업,(주)그린텍코리아,"인천광역시 부평구 새벌로 44, B동 2층(청천동)","에어프라이어종이호일, 포장 등",032-546-0408
37,소기업,(주)글로벌엘이디,"인천광역시 부평구 평천로199번길 53, A-1-1 (청천동)",LED,070-7560-9582
38,소기업,(주)금동이,"인천광역시 부평구 항동로125번길 7, A동 2층 (일신동)",조미김가루,032-517-9934
39,소기업,(주)금산,"인천광역시 부평구 백범로577번길 20, 공장동 4층 412 (십정동, 경인센타)","ccTV용카메라,방범용카메라 외",032-582-7471
40,소기업,(주)금우바이오틱스,"인천광역시 부평구 부평대로 293, 부평테크시티 811호 (청천동)","미생물 제품, 생활바이오, 미생물 배양, 실내용 악취방지 등",032-650-5788
41,소기업,(주)기간산업,"인천광역시 부평구 부평대로 283, 외7필지 502B호 (청천동)","광고기획표지, 안전표지판, 안전보호장비 등",032-623-7700
42,소기업,(주)깅코우,인천광역시 부평구 부평대로313번길 18 (청천동),신사복,032-511-3962
43,소기업,(주)나다텔 부평공장,"인천광역시 부평구 안남로402번길 15, 4층 (청천동)",CCTV,032-672-3941
44,소기업,(주)나라이엔씨,"인천광역시 부평구 부평대로 301, 8층 802호(청천동, 남광센트렉스) 8층 802호",임대업,032-363-3599
45,소기업,(주)나우정보,"인천광역시 부평구 부평대로 337, 12층 1246호(청천동, 부평 제이타워3차 지식산업센터) 12층 1246호",시스템 소프트웨어 개발 및 공급업,
46,중기업,(주)나인텍,"인천광역시 부평구 부평대로 283, B동 B층 224호 (청천동, 부평 우림라이온스밸리) 외 1필지","휴대폰, 기타통신장비",032-623-5030
47,소기업,(주)남도애꽃,인천광역시 부평구 가재울로 163 (십정동),가정간편식(HMR),032-563-7965
48,소기업,(주)남일광학기기,"인천광역시 부평구 부평대로 283, C동 410B호(청천동, 부평우림라이온스밸리) C동 410B호 외 1필지",광학응용기기,032-623-6767
49,소기업,(주)낼바이오,"인천광역시 부평구 새벌로 4, 301호 (청천동)",전기난로,02-2676-6900
50,소기업,(주)네모엘텍,"인천광역시 부평구 백범로577번길 20 (십정동, 경인센타) 공장동 7층 721호","실내조명등, 가로등기구, 경관조명기구",052-289-8808
51,소기업,(주)네오시스,"인천광역시 부평구 부평대로 337, 5층 501호(청천동, 부평 제이타워3차 지식산업센터) 5층 501호 외 6필지",의료용품,070-8808-2202
52,소기업,(주)넥스원이노베이션 ,"인천광역시 부평구 안남로433번길 19, (주)넥스원이노베이션 (청천동)","슬림보드방열판, 써멀패드, EMI Absorber",032-715-7550
53,소기업,(주)노마지,"인천광역시 부평구 무네미로448번길 56, 산학협력관 306호(구산동, 한국폴리텍대학(인천캠퍼스))",베타글루칸,
54,소기업,(주)녹기통신,"인천광역시 부평구 부평대로 283, A층 508호 (청천동, 부평 우림라이온스밸리)",임대업,031-444-3006
55,소기업,(주)누리메딕스,"인천광역시 부평구 부평대로 337, 5층 509호(청천동, 부평 제이타워3차 지식산업센터) 5층 509호 외 1필지",일회용 밴드,031-996-8151
56,소기업,(주)누리에프앤씨,"인천광역시 부평구 안남로418번길 10, 3층(청천동)","유니폼, 교복 등 의류",032-516-6256
57,소기업,(주)뉴매콘시스템,"인천광역시 부평구 부평대로 301, 6층 22호 (청천동, 남광센트렉스)",분체이송설비 및 부품,032-363-3727
58,소기업,(주)뉴스텍컴퍼니,"인천광역시 부평구 마장로432번길 34, 2층(청천동, 뉴스텍 컴퍼니)",매립형 콘센트 및 간접조명,032-508-1421
59,소기업,(주)뉴컨,"인천광역시 부평구 부평대로 283, B동 9층 903 (청천동, 부평 우림라이온스밸리) B동 9층 903호 B동 9층 903호",SWMIS,070-8821-7290
60,소기업,(주)닉스테크,"인천광역시 부평구 청천마차로 196, 4층 (청천동)","LED 전기조명장치",032-264-0115
61,소기업,(주)다돌,"인천광역시 부평구 부평대로 337, 8층 838호(청천동, 부평 제이타워3차 지식산업센터) 8층 838호","재난예방제품, 교통사고예방 다봉",02-993-4113
62,소기업,(주)다모아캠,"인천광역시 부평구 부평대로 283, C동 4층 402 (청천동, 부평 우림라이온스밸리)",카메라,070-4060-3743
63,소기업,(주)다모텍,"인천광역시 부평구 평천로199번길 34, 3층 F호 (청천동)",LED 투광등 ,032-512-4500
64,소기업,(주)다온에이치씨,인천광역시 부평구 안남로434번길 55 (청천동),"LED조명, PCB(전자부품 실장기판)",032-507-7438
65,소기업,(주)다올씨앤씨,"인천광역시 부평구 부평대로 301, 3층 303호 (청천동, 남광센트렉스)",영상기기 및 모니터,032-363-3470
66,소기업,(주)다올씨앤씨,"인천광역시 부평구 부평대로 301, 5층 520 (청천동) 5층 520호 5층 520호",유선통신장치 등,032-363-3470
67,소기업,(주)다원정밀,인천광역시 부평구 청천마차로 86 (청천동),자동차 부품,032-526-1745
68,소기업,(주)다이즈하이미디어,"인천광역시 부평구 백범로577번길 20 (십정동) 경인센타 724, 725호","LED전광판,월컨트롤러, 영상정보디스플레이장치, 스캐너",032-573-3114
69,소기업,(주)다인,"인천광역시 부평구 청천마차로 20, 1층(청천동)","공기 조화기(방역기), 플라스틱 사출물",032-544-2542
70,소기업,(주)다진테크,"인천광역시 부평구 부평대로 283, C동 11층 1110-C호(청천동, 부평우림라이온스밸리) C동 11층 1110-C호",전시용 교육훈련장비,02-3292-3038
71,소기업,(주)다폼,"인천광역시 부평구 부평대로 293, 1108호(청천동, 부평테크시티) 1108호 1108호",온라인 쇼핑몰 에이전시,032-568-4679
72,소기업,(주)닥터큐,"인천광역시 부평구 부평대로 337, 420호(청천동, 부평 제이타워3차 지식산업센터) 420호 외 2필지",자동차 부품 재제조,032-506-2700
