연번,회사명,사업유형,사업자등록번호,공장 주소,업종명,생산품
1, 비아이유에스,제조업,1310433410,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) B동 5층 510호",기타 구조용 금속제품 제조업,초음파용착기 등
2,(사)한국척수장애인협회 피복사업소,제조업,2048209555,"인천광역시 부평구 마장로426번길 33, 301호(청천동)",가죽의복 제조업 외 14 종,피복 및 의류 엑세서리
3,(유)애드게이트,제조업,1228191853,"인천광역시 부평구 충선로 102,  2층 (부개동)",간판 및 광고물 제조업 외 8 종,간판 및 광고물
4,(유)웰스코리아,제조업,2838700298,"인천광역시 부평구 주부토로 236, 제비동 b117호(갈산동) 제비동 b117호",그 외 기타 의료용 기기 제조업,페이스 쉴드
5,(주)3R GLOBAL,제조업,1198145940,"인천광역시 부평구 새벌로 14, 424-13 (청천동)",비디오 및 기타 영상기기 제조업 외 1 종,영상저장장치
6,(주)JCG(제이씨지),제조업,7838801456,"인천광역시 부평구 부평대로 337, 7층 740호(청천동, 부평 제이타워3차 지식산업센터) 7층 740호",그 외 기타 특수목적용 기계 제조업,도장설비
7,(주)SIMPAC,제조업,1228100819,인천광역시 부평구 부평북로 127 (청천동) 외 2필지,디지털 적층 성형기계 제조업 외 1 종,프레스
8,(주)SRC,제조업,1378172071,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) A동 5층 508-B호",빵류 제조업,"빵,케익"
9,(주)가온테크놀로지,제조업,4728801139,인천광역시 부평구 안남로434번길 57 (청천동) 5층,자동차용 신품 전기장치 제조업,전기자동차 배선
10,(주)가현테크,제조업,4378102913,인천광역시 부평구 안남로418번길 10(청천동),기체 여과기 제조업,공기청정기  등
11,(주)강남밥상,제조업,3538701559,"인천광역시 부평구 부평대로 337 (청천동) 부평 제이타워3차 지식산업센터 937호,938호,939호,940호,941호,1105호","수산동물 훈제, 조리 및 유사 조제식품 제조업",즉석식품(고등어 훈제)
12,(주)강남제어시스템,제조업,6668102826,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) C동 B2층 B235호 외 3필지",전자부품 실장기판 제조업 외 1 종,기판
13,(주)거궁,제조업,1658500089,"인천광역시 부평구 안남로 404, 2층 (청천동)",일반용 전기 조명장치 제조업,전등기구
14,(주)거림씨앤에프,제조업,1228616349,"인천광역시 부평구 부평대로 283, C동 10층 1010 (청천동, 부평 우림라이온스밸리) C동 10층 1010호",그 외 기타 봉제의복 제조업 외 1 종,의류(남성바지)
15,(주)거림트렌드,제조업,1228168726,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) C동 10층 1009호","근무복, 작업복 및 유사의복 제조업 외 2 종",근무복작업복 및 유사의류제조업
16,(주)건우테크,제조업,3368101682,"인천광역시 부평구 부평북로 244, C동 (청천동, (주)코스티모)",그 외 금속 압형제품 제조업 외 1 종,"보일러 배관 커버 , 트렌치, 그레이팅"
17,(주)경기일렉트로닉,제조업,1228162760,인천광역시 부평구 동수천로 86-12 (부개동),방송장비 제조업 외 1 종,"경광등, 무전기 마이크"
18,(주)경도시스템,제조업,1228155712,인천광역시 부평구 세월천로 227 (청천동),자동차용 금속 압형제품 제조업 외 1 종,유무선통신용중계기
19,(주)경원씨앤에스,제조업,1138178064,"인천광역시 부평구 장제로 53, 3층 (부평동)",방송장비 제조업 외 1 종,방송장비
20,(주)경창,제조업,7598101041,"인천광역시 부평구 백범로578번길 65,  도금단지 1층 101호 (십정동)",도금업,"가구장식부품,넥타이걸이"
21,(주)계백미트 농업회사법인,제조업,1228605973,"인천광역시 부평구 부평대로 301, 2층 215호 (청천동, 남광센트렉스) 2층 215호",육류 기타 가공 및 저장처리업 (가금류 제외) 외 1 종,"돈육가공, 돈육가공"
22,(주)계양전력,제조업,1228611761,"인천광역시 부평구 부평대로 337, 9층 907호(청천동, 부평 제이타워3차 지식산업센터) 9층 907호",배전반 및 전기 자동제어반 제조업,분전반
23,(주)공주방,제조업,1378166069,인천광역시 부평구 부평북로 45-11 (청천동),커튼 및 유사제품 제조업,커튼 및 부자재
24,(주)광승특수인쇄,제조업,3648801411,"인천광역시 부평구 부평북로 3, 2층 (청천동)",기타 인쇄업,인쇄물
25,(주)광안정밀,제조업,1228195937,"인천광역시 부평구 부평대로 337 (청천동) 부평 제이타워3차 지식산업센터 117호, 118호",주형 및 금형 제조업,"금형, 고무금형"
26,(주)국제프린텍,제조업,1228641737,인천광역시 부평구 일신로 71 (일신동),스크린 인쇄업,의료기 인쇄
27,(주)굿닥터스,제조업,1318194214,"인천광역시 부평구 부평대로 283, 우림라이온스벨리 B동 208호 (청천동)",치과용 기기 제조업,의료기기
28,(주)그래이츠,제조업,4128157267,인천광역시 부평구 주부토로 236(갈산동) B동 4층 417호,육류 포장육 및 냉동육 가공업 (가금류 제외),그래이츠 돼지구이
29,(주)그렌텍,제조업,1228608816,"인천광역시 부평구 부평대로297번길 28, 1층, 지하 (청천동)",기타 가정용 전기기기 제조업,살균수 관련제품
30,(주)그린텍코리아,제조업,1228608553,"인천광역시 부평구 새벌로 44, B동 2층(청천동)",그 외 기타 종이 및 판지 제품 제조업 외 1 종,"에어프라이어종이호일, 포장 등"
31,(주)글로벌엘이디,제조업,1228638514,"인천광역시 부평구 평천로199번길 53, A-1-1 (청천동)",일반용 전기 조명장치 제조업,LED
32,(주)금동이,제조업,4238100162,"인천광역시 부평구 항동로125번길 7, A동 2층 (일신동)",수산식물 가공 및 저장 처리업,조미김가루
33,(주)금산,제조업,1228630865,"인천광역시 부평구 백범로577번길 20, (십정동, 경인센타) 공장동동 4층 412호",방송장비 제조업 외 1 종,"ccTV용카메라,방범용카메라 외"
34,(주)금우바이오틱스,제조업,8168101970,"인천광역시 부평구 부평대로 293, 부평테크시티 811호 (청천동)",생물 살균.살충제 및 식물보호제 제조업 외 3 종,"미생물 제품, 생활바이오, 미생물 배양, 실내용 악취방지 등"
35,(주)기간산업,제조업,1228190873,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) A동 5층 502-B호",간판 및 광고물 제조업,"광고기획표지, 안전표지판, 안전보호장비 등"
36,(주)깅코우,제조업,1228185384,인천광역시 부평구 부평대로313번길 18 (청천동),남자용 겉옷 제조업,신사복
37,(주)나다텔 부평공장,제조업,2148146400,"인천광역시 부평구 안남로402번길 15, 4층 (청천동)",방송장비 제조업,CCTV
38,(주)나인텍,제조업,1218183326,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) B동 B2층 B224호 외 1필지",이동전화기 제조업 외 1 종,"휴대폰, 기타통신장비"
39,(주)남도애꽃,제조업,7348100378,인천광역시 부평구 가재울로 163 (십정동),육류 기타 가공 및 저장처리업 (가금류 제외) 외 4 종,가정간편식(HMR)
40,(주)남일광학기기,제조업,1228645238,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) C동 4층 410B호 외 1필지",기타 광학기기 제조업,광학응용기기
41,(주)낼바이오,제조업,1078833931,"인천광역시 부평구 새벌로 4, 301호 (청천동)",가정용 전기 난방기기 제조업,전기난로
