순번,회사명,생산품,업종명,공장대표주소(도로명),전화번호,데이터기준일자
1, 진성그린(주),"컨베이어, 압축기 외",컨베이어장치 제조업 외 4 종,인천광역시 서구 마중2로 14(오류동),032-563-5700,2025-04-02
2,(사)한국근로장애인진흥회,"복사용지, 화장지, 수처리제, 마스크, 영상감시장치CCTV",문구용 종이제품 제조업 외 8 종,인천광역시 서구 원당대로608번안길 15 (당하동) 1동 외 7필지,032-435-8857,2025-04-02
3,(사)한국장애인기업협회 가구사업소,사무용가구,기타 목재가구 제조업 외 1 종,인천광역시 서구 가현산로23번길 36 (마전동),032-569-3917,2025-04-02
4,(유)다이아맥스코리아,석재가공용 다이아몬드 공구,톱 및 호환성 공구 제조업,인천광역시 서구 염곡로15번길 22 (가좌동),032-765-6628,2025-04-02
5,(유)초아엔지니어링,"글로브박스, 무균함, 글로브박스 외함",그 외 기타 특수목적용 기계 제조업 외 2 종,"인천광역시 서구 파랑로 495, B115호 (청라동) B115호 외 1필지",032-271-3003,2025-04-02
6,(유)프리티스킨인터내셔널,화장품(마스크팩),화장품 제조업,"인천광역시 서구 가정로38번길 18, 1동 2층 20호 (가좌동, 영창테크노타운)",02-757-7022,2025-04-02
7,(주) 가람에프엔비,"빵류, 생지류",빵류 제조업,"인천광역시 서구 건지로250번길 53, 501호 (가좌동)",032-576-5755,2025-04-02
8,(주)119래드,하향식 피난구 및 피난사다리,구조용 금속 판제품 및 공작물 제조업,"인천광역시 서구 정서진8로 5, 11동 1101호(오류동)",032-328-043,2025-04-02
9,(주)TPC메카트로닉스,"에어실린더,솔레노이드밸브,FRL등",공기 조화장치 제조업,"인천광역시 서구 백범로603번길 24 (가좌동, A동)",032-573-5555,2025-04-02
10,(주)TPC메카트로닉스,"직교로봇, 리니어로봇, 갠트리 스테이지, 3D프린터",산업용 로봇 제조업 외 1 종,인천광역시 서구 갑문2로 39(오류동),032-580-0061,2025-04-02
11,(주)가공보드,보링목재,기타 목재가구 제조업,인천광역시 서구 북항로177번길 124 (원창동) B동,032-710-0858,2025-04-02
12,(주)가람바스,금속위생용품,금속 위생용품 제조업,인천광역시 서구 봉수대로501번길 58-36 (원창동) 외 1필지,032-573-1580,2025-04-02
13,(주)가람테크,화장품 용기 코팅,"플라스틱 적층, 도포 및 기타 표면처리 제품 제조업",인천광역시 서구 백범로701번길 7 (가좌동),032-577-9208,2025-04-02
14,(주)가림목재,소송각재,일반 제재업,인천광역시 서구 오류동 0 번지 검단일반산업단지 5-2,032-565-6222,2025-04-02
15,(주)가림씨푸드,"굴비, 샛돔 등",수산동물 건조 및 염장품 제조업,인천광역시 서구 소담로 55(금곡동),032-713-8781,2025-04-02
16,(주)가스디엔에이,항온기,공기 조화장치 제조업,인천광역시 서구 북항로193번길 101 (원창동),032-584-7420,2025-04-02
17,(주)가온,인쇄회로기판,경성 인쇄회로기판 제조업 외 2 종,인천광역시 서구 장고개로126번길 17-7 (가좌동),032-584-1148,2025-04-02
