순번,회사명,공장대표주소(도로명),업종명,전화번호,생산품
1,(주) 공공스토리사업단,"인천광역시 연수구 송도미래로 30, E동 1010-1호 (송도동, 송도 BRC 스마트밸리 지식산업센터)",간판 및 광고물 제조업 외 1 종,032-673-1458,"안내판, 간판"
2,(주)가인전력,"인천광역시 연수구 송도미래로 30, 송도비알씨스마트밸리 지식산업센터 비동 415호 (송도동) 외 1필지",배전반 및 전기 자동제어반 제조업 외 1 종,032-813-0844,"배전반, 태양광발전장치"
3,(주)건하정보통신,"인천광역시 연수구 용담로 111 (연수동) 아시스타워 1동407호(아시스타워, 연수동)",방송장비 제조업 외 3 종,032-813-1160,"영상,음향기기,CCTV,방송기기,유선통신장비"
4,(주)골든룰,인천광역시 연수구 송도미래로 30 (송도동) 송도 BRC 스마트밸리 지식산업센터 A동 18층 1805호 외 1필지,속도계 및 적산계기 제조업,032-817-1240,열식질량유량계
5,(주)귀주금속,"인천광역시 연수구 송도미래로 30, 에이411호,비916호 (송도동)","물질 검사, 측정 및 분석기구 제조업 외 1 종",032-816-3012,"귀금속도가니, 백금망(연료전지부품)"
6,(주)글로벌브릿지,"인천광역시 연수구 송도미래로 30, A동 17층 1710 (송도동) A동 17층 1710호 외 1필지",기타 무선 통신장비 제조업 외 3 종,032-715-8337,"교통관제시스템, 무선통신장치, 차량번호판동그, 교통관제시스템"
7,(주)글로벌우리기획,"인천광역시 연수구 송도미래로 30, D동 7층 709 (송도동)",기억장치 제조업 외 2 종,032-720-4766,"USB,보조배터리"
8,(주)글로벌항해통신,"인천광역시 연수구 송도미래로 30, 에이동 9층 902 (송도동)",기타 무선 통신장비 제조업,070-4197-6502,해상조난자위치발신용 무선설비 등
9,(주)기데크,"인천광역시 연수구 송도미래로 30, 에이동 4층 401,402,403 (송도동)",기타 절연선 및 케이블 제조업,032-818-2367,정온전선
10,(주)네오드림스,"인천광역시 연수구 송도과학로 32, 송도테크노파크IT센터 M동 1303호 (송도동)",컴퓨터 제조업,032-219-3136,산업용 컴퓨터
11,(주)네티스시스템,"인천광역시 연수구 송도미래로 30, A동 18층 1803 (송도동)",배전반 및 전기 자동제어반 제조업,032-720-4515,"자동제어반, 계장제어장치 등"
12,(주)넥스트바이오메디컬,"인천광역시 연수구 송도미래로 30, 디동 8층 808 (송도동)",그 외 기타 의료용 기기 제조업,032-837-4810,의료기기
13,(주)뉴케어,"인천광역시 연수구 송도미래로 30, 비동 9층 901,902 (송도동)",방사선 장치 제조업 외 2 종,032-837-5520,"방사선측정기, 방사선의료기기"
14,(주)다온오토메이션,"인천광역시 연수구 송도미래로 30, E동 12층 1206 (송도동)",산업용 로봇 제조업,070-8727-4500,"중공형감속기, 전동그리퍼"
15,(주)다온이엔씨,"인천광역시 연수구 송도미래로 30, 디동 17층 1708 (송도동)",방송장비 제조업 외 1 종,032-766-7008,"CCTV, 자동제어"
16,(주)다원메닥스,"인천광역시 연수구 송도미래로 30, 디동 1903호(송도동, 송도 BRC 스마트밸리 지식산업센터)",방사선 장치 제조업,02-552-4455,의료기기(치료용 중성자 조사장치)
17,(주)댐코씨에스아이,"인천광역시 연수구 송도미래로 30, 비동 10층 1017,1018 (송도동)",방송장비 제조업,032-326-3763,"cctv카메라, 산업용lcd모니터"
18,(주)더엘스타,"인천광역시 연수구 송도미래로 30, E동 20층 2008 (송도동)",기타 가정용 전기기기 제조업,032-837-5999,소형전자기기
19,(주)델피노,"인천광역시 연수구 송도미래로 30, A동 1407호(송도동, 송도 BRC 스마트밸리 지식산업센터)",기타 전기 변환장치 제조업,02-558-8600,스마트폰 살균 충전기
20,(주)도아텍,"인천광역시 연수구 송도미래로 30, B동 1층 121호 (송도동, 송도 BRC 스마트밸리 지식산업센터)",그 외 기타 금속가공업,032-466-1085,통신장비용 철재 바
21,(주)디에스이,인천광역시 연수구 송도과학로16번길 13-33 (송도동),일반용 전기 조명장치 제조업 외 3 종,032-815-1741,"조명등,조명등기구"
22,(주)디오네코리아,"인천광역시 연수구 송도과학로 70, 송도AT센터 지식산업센터동 6층 606호(송도동)",기타 가정용 전기기기 제조업,032-822-8830,가정용 피부관리기
23,(주)디자인이룸,"인천광역시 연수구 송도과학로 32, 엠동 2602(송도테크노아이티센터) (송도동)",전시 및 광고용 조명장치 제조업,미기재,광고용 간판제조
24,(주)로보메카,"인천광역시 연수구 함박뫼로50번길 93, 701호(연수동)",인형 및 장난감 제조업 외 1 종,032-811-7405,과학교구
25,(주)로텍,인천광역시 연수구 송도미래로 30 (송도동) 송도 BRC 스마트밸리 지식산업센터 A동 908호,그 외 기타 일반목적용 기계 제조업,미기재,자동판매기
26,(주)로투보,"인천광역시 연수구 송도미래로 30, 디동 6층 605 (송도동)",일반용 전기 조명장치 제조업,032-210-6609,"LED조명기기, 의료용LED조명기기"
27,(주)리얼코스메틱,"인천광역시 연수구 송도미래로 30, D동 7층 707 (송도동)",화장품 제조업,미기재,화장품
28,(주)리와인드랩,"인천광역시 연수구 송도미래로 30, D동 23층 2301호 (송도동, 송도 BRC 스마트밸리 지식산업센터)",기타 가정용 전기기기 제조업,032-818-2210,"가정용 플라즈마 미용기기, 클렌징 기기"
29,(주)마이디어시스템,"인천광역시 연수구 송도미래로 30, 송도비알씨스마트밸리 지식산업센터 에이동611,612호 (송도동)",배전반 및 전기 자동제어반 제조업 외 2 종,032-325-2636,"배전반, 계측제어판넬, 자동제어판넬"
30,(주)매일엘이디,"인천광역시 연수구 송도미래로 30, 비동 2층 214 (송도동), 215 외 1필지",전구 및 램프 제조업 외 2 종,032-435-0015,LED 조명 외
31,(주)메카텍시스템즈,"인천광역시 연수구 송도미래로 30, 에이동 1901,1902,1903,201,202호 (송도동)","물질 검사, 측정 및 분석기구 제조업",032-837-5364,반도체검사용테스트기 및 그 부품
32,(주)미라클인,"인천광역시 연수구 송도미래로 30, 에이동 8층 815, 816 (송도동)",액체 여과기 제조업,032-837-5555,"전기분해장치, 수처리 장치"
33,(주)바이오에프디엔씨,"인천광역시 연수구 송도미래로 30, 송도비알씨스마트밸리지식산업센터 에이동 509,510,511호 (송도동) 외 1필지",천연수지 및 나무 화학물질 제조업 외 2 종,032-811-2027,"펩타이드, 단백질, 화장품원료"
34,(주)베닉,"인천광역시 연수구 송도미래로 30, E동 1005-3호(송도동, 송도 BRC 스마트밸리 지식산업센터)",화장품 제조업,미기재,"화장품(세정제, 비누 등)"
