순번,회사명,공장대표주소(도로명),사업자등록번호,업종명
1, ㈜경신 ,"인천광역시 연수구 갯벌로 98(송도동, (주)경신)",1378101784,"전기회로 개폐, 보호장치 제조업 외 2 종"
2,(유)다온시스,"인천광역시 연수구 갯벌로 76, 1층(송도동, (주)유성계전사옥)",1128153963,"전기회로 개폐, 보호장치 제조업"
3,(주) 공공스토리사업단,"인천광역시 연수구 송도미래로 30, E동 1010-1호 (송도동, 송도 BRC 스마트밸리 지식산업센터)",1228607118,간판 및 광고물 제조업 외 1 종
4,(주) 맥스,"인천광역시 연수구 벤처로 63, 비동 204호 (송도동)",1308148037,전기ㆍ전자공학 연구개발업
5,(주)가인전력,"인천광역시 연수구 송도미래로 30, 송도비알씨스마트밸리 지식산업센터 비동 415호 (송도동) 외 1필지",1318603625,배전반 및 전기 자동제어반 제조업 외 1 종
6,(주)건하정보통신,"인천광역시 연수구 용담로 111 (연수동) 아시스타워 1동407호(아시스타워, 연수동)",4038701612,방송장비 제조업 외 3 종
7,(주)경신,인천광역시 연수구 벤처로 105 (송도동) 외 1필지,1378101784,"전기회로 개폐, 보호장치 제조업 외 1 종"
8,(주)경신,인천광역시 연수구 벤처로12번길 14 (송도동),1378101784,"전기회로 개폐, 보호장치 제조업"
9,(주)경신,인천광역시 연수구 인천타워대로25번길 38 (송도동) (주)경신홀딩스,1378101784,"전기회로 개폐, 보호장치 제조업"
10,(주)경신홀딩스,"인천광역시 연수구 인천타워대로25번길 38 (송도동, 1동)",3128139770,전자부품 실장기판 제조업
11,(주)골든룰,인천광역시 연수구 송도미래로 30 (송도동) 송도 BRC 스마트밸리 지식산업센터 A동 18층 1805호 외 1필지,1318661891,속도계 및 적산계기 제조업 외 1 종
12,(주)귀주금속,"인천광역시 연수구 송도미래로 30, 에이411호,비916호 (송도동)",1318168910,"물질 검사, 측정 및 분석기구 제조업 외 1 종"
13,(주)글로벌브릿지,"인천광역시 연수구 송도미래로 30, A동 17층 1710 (송도동) A동 17층 1710호 외 1필지",2398100645,기타 무선 통신장비 제조업 외 3 종
14,(주)글로벌우리기획,"인천광역시 연수구 송도미래로 30, D동 7층 709 (송도동)",1488701205,기억장치 제조업 외 2 종
15,(주)글로벌항해통신,"인천광역시 연수구 송도미래로 30, 에이동 9층 902 (송도동)",2208623921,기타 무선 통신장비 제조업
16,(주)기데크,"인천광역시 연수구 송도미래로 30, 에이동 4층 401,402,403 (송도동)",1398138268,기타 절연선 및 케이블 제조업
17,(주)나우시스템즈,"인천광역시 연수구 벤처로 61, A동, C동 (송도동)",1388177050,시스템 소프트웨어 개발 및 공급업
18,(주)네오드림스,"인천광역시 연수구 송도과학로 32, 송도테크노파크IT센터 M동 1303호 (송도동)",1148602577,컴퓨터 제조업
19,(주)네티스시스템,"인천광역시 연수구 송도미래로 30, A동 18층 1803 (송도동)",1388128466,배전반 및 전기 자동제어반 제조업
20,(주)넥스트바이오메디컬,"인천광역시 연수구 송도미래로 30, 디동 8층 808 (송도동)",1318663415,그 외 기타 의료용 기기 제조업
21,(주)넥스트바이오메디컬,"인천광역시 연수구 벤처로100번길 6(송도동, (주)넥스트바이오메디컬)",1318663415,그 외 기타 의료용 기기 제조업
22,(주)누리비스타,"인천광역시 연수구 벤처로100번길 7, 2층 (송도동)",1078601717,분말 야금제품 제조업
23,(주)누리플렉스,"인천광역시 연수구 벤처로100번길 7, (주)누리플렉스(송도동, (주)누리텔레콤)",1438507350,유선 통신장비 제조업 외 1 종
24,(주)뉴케어,"인천광역시 연수구 송도미래로 30, 비동 9층 901,902 (송도동)",2098145170,방사선 장치 제조업 외 2 종
25,(주)다온오토메이션,"인천광역시 연수구 송도미래로 30, E동 12층 1206 (송도동)",5568600394,산업용 로봇 제조업
26,(주)다온이엔씨,"인천광역시 연수구 송도미래로 30, 디동 17층 1708 (송도동)",1218156469,방송장비 제조업 외 1 종
27,(주)다원메닥스,"인천광역시 연수구 송도미래로 30, 디동 1903호(송도동, 송도 BRC 스마트밸리 지식산업센터)",1838800206,방사선 장치 제조업
28,(주)다인시스콘,인천광역시 연수구 벤처로100번길 21 (송도동),1308666699,유압기기 제조업 외 1 종
29,(주)대경이엔지,"인천광역시 연수구 갯벌로 129, 산업기술연구집적센터 404호 (송도동)",1308623287,기타 광학기기 및 사진기 제조업
30,(주)대화연료펌프,"인천광역시 연수구 갯벌로 102 (송도동, (주)대화연료펌프)",1398108221,그 외 자동차용 신품 부품 제조업 외 6 종
31,(주)댐코씨에스아이,"인천광역시 연수구 송도미래로 30, 비동 10층 1017,1018 (송도동)",1308602318,방송장비 제조업
32,(주)더엘스타,"인천광역시 연수구 송도미래로 30, E동 20층 2008 (송도동)",5578800635,기타 가정용 전기기기 제조업
33,(주)델피노,"인천광역시 연수구 송도미래로 30, A동 1407호(송도동, 송도 BRC 스마트밸리 지식산업센터)",2208834913,기타 전기 변환장치 제조업
34,(주)도아텍,"인천광역시 연수구 송도미래로 30, B동 1층 121호 (송도동, 송도 BRC 스마트밸리 지식산업센터)",5748701796,그 외 기타 금속가공업
35,(주)디에스이,인천광역시 연수구 송도과학로16번길 13-33 (송도동),1318158770,일반용 전기 조명장치 제조업 외 3 종
36,(주)디오네코리아,"인천광역시 연수구 송도과학로 70, 송도AT센터 지식산업센터동 6층 606호(송도동)",4098647768,기타 가정용 전기기기 제조업
37,(주)디자인이룸,"인천광역시 연수구 송도과학로 32, 엠동 2602(송도테크노아이티센터) (송도동)",1218190017,전시 및 광고용 조명장치 제조업
38,(주)로보메카,"인천광역시 연수구 함박뫼로50번길 93, 701호(연수동)",1318626220,인형 및 장난감 제조업 외 1 종
39,(주)로텍,인천광역시 연수구 송도미래로 30 (송도동) 송도 BRC 스마트밸리 지식산업센터 A동 908호,4218800559,그 외 기타 일반목적용 기계 제조업
40,(주)로투보,"인천광역시 연수구 송도미래로 30, 디동 6층 605 (송도동)",4098633207,일반용 전기 조명장치 제조업
41,(주)리얼코스메틱,"인천광역시 연수구 송도미래로 30, D동 7층 707 (송도동)",1108604364,화장품 제조업
42,(주)리와인드랩,"인천광역시 연수구 송도미래로 30, D동 23층 2301호 (송도동, 송도 BRC 스마트밸리 지식산업센터)",7448702531,기타 가정용 전기기기 제조업
43,(주)리탈,인천광역시 연수구 인천타워대로25번길 10 (송도동),1338129359,배전반 및 전기 자동제어반 제조업 외 2 종
44,(주)마이디어시스템,"인천광역시 연수구 송도미래로 30, 송도비알씨스마트밸리 지식산업센터 에이동611,612호 (송도동)",1308615356,배전반 및 전기 자동제어반 제조업 외 2 종
45,(주)매일엘이디,"인천광역시 연수구 송도미래로 30, 비동 2층 214 (송도동), 215 외 1필지",3168110101,전구 및 램프 제조업 외 2 종
46,(주)메카텍시스템즈,"인천광역시 연수구 송도미래로 30, 에이동 1901,1902,1903,201,202호 (송도동)",1308634178,"물질 검사, 측정 및 분석기구 제조업"
47,(주)미니로봇,"인천광역시 연수구 갯벌로 129, 201호(송도동, 산업기술연구집적센터)",1218135649,인형 및 장난감 제조업 외 1 종
48,(주)미라클인,"인천광역시 연수구 송도미래로 30, 에이동 8층 815, 816 (송도동)",1308668004,액체 여과기 제조업
49,(주)미로,"인천광역시 연수구 벤처로36번길 37, B동 2층(송도동, (주)크레셈)",1318657397,기타 가정용 전기기기 제조업
50,(주)바이넥스(한국생산기술연구원),"인천광역시 연수구 갯벌로 3, 한국생산기술연구원 생물산업기술실용화센터 (송도동)",6038107005,"알루미늄 제련, 정련 및 합금 제조업 외 1 종"
51,(주)바이오에프디엔씨,"인천광역시 연수구 송도미래로 30, 송도비알씨스마트밸리지식산업센터 에이동 509,510,511호 (송도동) 외 1필지",1318194024,바이오매스계 기초 화학물질 제조업 외 3 종
52,(주)바이텍테크놀로지,"인천광역시 연수구 벤처로100번길 22 (송도동, 바이텍 테크놀로지)",2208150141,기타 주변기기 제조업 외 3 종
53,(주)베닉,"인천광역시 연수구 송도미래로 30, E동 1005-3호(송도동, 송도 BRC 스마트밸리 지식산업센터)",6748502238,화장품 제조업
54,(주)벨라도르,"인천광역시 연수구 송도미래로 30, A동 4층 409 (송도동)",4648101672,화장품 제조업
55,(주)보이저아이엔씨,"인천광역시 연수구 송도미래로 30, E동 4층 405, 406, 407, 408, 409, 410 (송도동)",1198185388,컴퓨터 제조업
56,(주)브릭스컴퍼니,"인천광역시 연수구 송도미래로 30, E동 303호(송도동, 송도 BRC 스마트밸리 지식산업센터)",1268627931,기타 음향기기 제조업 외 1 종
57,(주)브릴언스,"인천광역시 연수구 송도미래로 30, A동 1층 109 (송도동)",1408601709,기타 직물제품 제조업
58,(주)블루스파인테크놀러지,"인천광역시 연수구 송도미래로 30, E동 18층 1801 (송도동)",4818801282,그 외 기타 의료용 기기 제조업
59,(주)블루시스템,"인천광역시 연수구 송도미래로 30, E동 17층 1708 (송도동)",1318652067,"물질 검사, 측정 및 분석기구 제조업"
60,(주)비에스티그룹,"인천광역시 연수구 송도미래로 30, D동 9층 903 (송도동)",7708100879,배전반 및 전기 자동제어반 제조업
61,(주)비제이씨,"인천광역시 연수구 송도미래로 30, 이동 15층 1508 (송도동)",1318179095,기초 의약 물질 제조업 외 1 종
62,(주)비즈엔몰드,"인천광역시 연수구 송도미래로 30, 비동 4층 401 (송도동)",1318662963,주형 및 금형 제조업 외 1 종
63,(주)비케이비젼,인천광역시 연수구 송도과학로 32 (송도동) 송도테크노파크IT센터 M동 1401호,1318610693,"물질 검사, 측정 및 분석기구 제조업"
64,(주)비케이테크놀로지,"인천광역시 연수구 송도미래로 30, B동 7층 702 (송도동)",1108189543,전구 및 램프 제조업 외 4 종
65,(주)비텍스,"인천광역시 연수구 송도미래로 30, B동 6층 614 (송도동)",1318650851,전자 응용 절삭기계 제조업
66,(주)빅텍,인천광역시 연수구 연구단지로55번길 25,1238139826,"레이더, 항행용 무선기기 및 측량기구 제조업 외 3 종"
67,(주)빛고은인터내셔날,"인천광역시 연수구 송도미래로 30, D동 14층 1403 (송도동)",2898701108,전시 및 광고용 조명장치 제조업
68,(주)샤이닉스,"인천광역시 연수구 송도과학로 80, 101동 15층 1509호 (송도동, 송도 AIT센터)",2638600361,전시 및 광고용 조명장치 제조업
69,(주)서호엔텍,"인천광역시 연수구 송도미래로 30, D동 22층 2211 (송도동)",6278700524,기체 여과기 제조업
70,(주)성도밸브콘트롤스,"인천광역시 연수구 송도미래로 30, 비동 10층 1002 (송도동)",1318661872,유압기기 제조업
71,(주)성호알앤씨,"인천광역시 연수구 송도미래로 30, 송도비알씨스마트밸리 비동115호 (송도동)",1318606715,절삭가공 및 유사처리업
72,(주)세나비즈텍,"인천광역시 연수구 송도미래로 30, D동 5층 508-3호(송도동, 송도 BRC 스마트밸리 지식산업센터)",1068631178,비디오 및 기타 영상기기 제조업 외 1 종
73,(주)세이브월드,"인천광역시 연수구 송도미래로 30, 이동 10층 1009,1010호 (송도동)",1318660927,변압기 제조업 외 2 종
74,(주)셀트리온(제1공장),인천광역시 연수구 아카데미로 23 (송도동),1338123603,기초 의약 물질 제조업 외 1 종
75,(주)셀트리온(제2공장),"인천광역시 연수구 아카데미로51번길 20 (송도동, 셀트리온)",1338123603,기초 의약 물질 제조업 외 1 종
76,(주)숨비,"인천광역시 연수구 송도과학로16번길 13-25, 1층 (송도동)",8808800044,"유인 항공기, 항공우주선 및 보조장치 제조업 외 1 종"
77,(주)스마트링크,"인천광역시 연수구 송도과학로 32, M동 2203-1호(송도동, 송도테크노파크IT센터)",5808602454,산업처리공정 제어장비 제조업
78,(주)스마트맥스,"인천광역시 연수구 송도미래로 30, D동 5층 509,510 (송도동)",1378700623,기타 주변기기 제조업
79,(주)스완전자,"인천광역시 연수구 송도미래로 30, B동 6층 608 (송도동)",1098800533,텔레비전 제조업
80,(주)시안솔루션,"인천광역시 연수구 송도과학로 32, M동 2603호(송도동, 송도테크노파크IT센터)",5388801332,그 외 기타 의료용 기기 제조업
