순번,회사명,공장대표주소,전화번호,팩스번호,생산품,업종명
1,(주) 미림,인천광역시 계양구 벌말로584번길 15 (하야동),031-931-1777,031-913-1775,간판 및 광고물,간판 및 광고물 제조업
2,(주) 십시일반,"인천광역시 계양구 선주로54번길 8, 1동 B호 (선주지동)",032-581-3466,032-581-8937,"산업용 냉장 및 냉동장비, 주방기계",산업용 냉장 및 냉동 장비 제조업 외 2 종
3,(주) 피에이피,"인천광역시 계양구 서운산업로 27, 2층 (서운동)",032-521-6797,032-521-6799,"전원공급장치, 조명기기",일반용 전기 조명장치 제조업 외 2 종
4,(주)SPG산업,인천광역시 계양구 계양대로16번길 25 (작전동),031-706-0858,031-706-0851,아세틸렌가스,산업용 가스 제조업
5,(주)가온아이엑스,"인천광역시 계양구 서운산단로2길 62, 가동 2층(서운동)",02-6735-9532,,"키오스크, 무인결제기",그 외 기타 일반목적용 기계 제조업
6,(주)가온테크놀로지,"인천광역시 계양구 서운산단로1길 67, B동 403호(서운동, 월드웰)",032-554-1122,070-4453-1199,와이어 하네스,자동차용 신품 전기장치 제조업
7,(주)건호전자,"인천광역시 계양구 서운산단로5길 19, 3층(서운동)",032-684-8598,,메탈카드,구조용 금속 판제품 및 공작물 제조업
8,(주)경풍산업,인천광역시 계양구 서운산업로41번길 16 (서운동),032-556-5341,032-556-5344,알루미늄창호,"금속 문, 창, 셔터 및 관련제품 제조업"
9,(주)고웰,인천광역시 계양구 서운산단로6길 5(서운동),070-4200-9883,,"주방용, 생활 전기기기",주방용 전기기기 제조업 외 1 종
10,(주)고일,"인천광역시 계양구 아나지로 32, 2층 ~ 4층 (효성동)",032-524-7344,032-524-7348,학생복 여 스커트,여자용 겉옷 제조업 외 4 종
11,(주)광진금속,인천광역시 계양구 아나지로 83 (효성동),032-541-3244,032-541-3242,가로등 베이스등 임가공,구조용 금속 판제품 및 공작물 제조업
12,(주)교원프라퍼티,"인천광역시 계양구 서운산단로2길 62 (서운동) 나동 101,102호",032-671-7241,032-671-7243,정수기,액체 여과기 제조업
13,(주)국민푸드,인천광역시 계양구 까치말로6번길 10 (작전동),032-555-3767,032-555-3766,두부,두부 및 유사식품 제조업
14,(주)국제산전,"인천광역시 계양구 까치말로16번길 6 (작전동, 국제기전 공장) 외 1필지",032-546-6821,032-546-6766,누전차단기,"전기회로 개폐, 보호장치 제조업 외 1 종"
15,(주)국제파크골프,"인천광역시 계양구 아나지로 524-1, 2층 (서운동)",032-322-9492,032-322-9491,"스크린골프 키오스크, 스크린골프 소프트웨어, 감지센서, 멀티미디어학습장치",기타 주변기기 제조업 외 4 종
16,(주)그리드위즈,"인천광역시 계양구 서운산단로4길 6, B동 4층 (서운동)",031-698-3380,031-624-3380,전기자동차 충전기,기타 전기 변환장치 제조업
