산업대분류별,개인사업체수 (개),개인사업체 종사자수 (명),회사법인 사업체수(개),회사법인 종사자수(명),회사이외법인 사업체수(개),회사이외법인 종사자수(명),비법인단체 사업체수 (개),비법인단체 종사자수 (명),단독사업체 사업체수 (개),단독사업체 종사자수(명),공장 지사(점) 영업소 사업체수(개),공장 지사(점) 영업소 종사자수(명),본사_본점등 사업체수(개),본사_본점등 종사자수(명)
"농업, 임업 및 어업",0,0,80,299,49,317,0,0,114,435,13,172,2,0
광업,9,26,26,405,0,0,0,0,23,218,7,106,5,107
제조업,23298,65470,10562,186128,101,1070,0,0,31825,172473,1058,27398,1078,52797
"전기, 가스, 증기 및 공기조절 공급업",328,424,63,2843,25,1219,0,0,372,901,41,3328,3,257
"수도, 하수 및 폐기물 처리, 원료 재생업",318,765,457,5094,31,1934,1,0,699,5597,58,1277,50,922
건설업,21091,29165,4465,54932,22,140,0,0,25115,70853,242,6354,221,7030
도매 및 소매업,68817,108959,11126,61165,261,1177,19,33,76578,140933,2918,21588,727,8813
운수 및 창고업,38461,43398,2446,47324,327,6291,2,0,40216,67890,816,20400,204,8917
숙박 및 음식점업,40095,92946,1874,15945,126,882,2,0,40657,97055,1293,11205,147,1521
정보통신업,3218,4414,1394,9874,87,2142,5,5,4416,11247,170,3493,118,1695
금융 및 보험업,723,1033,1029,16070,560,6556,35,35,1103,2957,1127,18707,117,2030
부동산업,9110,11411,4360,12796,1229,7077,382,1238,13279,24110,1383,6225,419,2187
"전문, 과학 및 기술 서비스업",6326,12015,2135,22523,490,8619,10,13,8126,22928,517,8550,318,11692
"사업시설 관리, 사업 지원 및 임대 서비스업",5328,8943,1965,53154,148,3861,25,115,6825,41601,478,10888,163,13584
"공공행정, 국방 및 사회보장 행정",0,0,0,0,502,44887,0,0,486,42654,13,241,3,1992
교육 서비스업,10263,22060,734,6800,1112,50625,256,3261,11787,67386,463,9764,115,5596
보건업 및 사회복지 서비스업,4022,39270,93,2009,1201,59088,3255,45605,7927,118271,496,21493,148,6208
"예술, 스포츠 및 여가관련 서비스업",7250,12393,410,4576,307,3947,80,172,7770,16964,213,2471,64,1653
"협회 및 단체, 수리 및 기타 개인 서비스업",18768,28047,538,5723,4196,9380,1105,1910,23760,40487,645,3785,202,788
