순번,시도,시군구,회사명,소재지도로명주소,소재지지번주소,우편번호,사업자등록번호,전화번호,데이터기준일자
1,경상북도,고령군,(주)건우디피솔,경상북도 고령군 쌍림면 쌍림공단길 13,경상북도 고령군 쌍림면 고곡리 199-14,40159,503-81-65103,054-956-1456,2026-01-02
2,경상북도,고령군,(주)경동티엔씨,경상북도 고령군 대가야읍 회천로 302,경상북도 고령군 대가야읍 내곡리 1152,40134,514-81-30152,054-955-7788,2026-01-02
3,경상북도,고령군,(주)경신이엔씨,경상북도 고령군 개진면 회천로 357,경상북도 고령군 개진면 반운리 746-5 ,40144,513-81-45889,054-955-0014,2026-01-02
4,경상북도,고령군,(주)경우인터내셔날,경상북도 고령군 쌍림면 쌍림공단길 93  ,경상북도 고령군 쌍림면 고곡리 181-12 ,40159,503-81-37567,054-955-1434,2026-01-02
5,경상북도,고령군,㈜재경에스피,경상북도 고령군 대가야읍 장기공단1길 46-21,경상북도 고령군 대가야읍 장기리 298,40142,590-81-02043,0507-1328-2033,2026-01-02
6,경상북도,고령군,(주)고령기와,경상북도 고령군 개진면 개경포로 897-9,경상북도 고령군 개진면 구곡리 350,40148,503-81-48287,054-954-8000,2026-01-02
7,경상북도,고령군,(주)곱창114,경상북도 고령군 다산면 성암로 534-33,경상북도 고령군 다산면 송곡리 2056,40113,756-88-01298,054-956-6236,2026-01-02
8,경상북도,고령군,(주)공담,경상북도 고령군 개진면 양전길 130-30,경상북도 고령군 개진면 양전리 610-4,40145,701-81-00761,054-954-4545,2026-01-02
9,경상북도,고령군,(주)국신FILTER,경상북도 고령군 개진면 개진산단길 65,경상북도 고령군 개진면 신안리 22-1,40145,503-81-81724,054-956-0260,2026-01-02
10,경상북도,고령군,(주)글로마테크,경상북도 고령군 다산면 상곡4길 23,경상북도 고령군 다산면 상곡리 140-1,40107,379-81-02204,054-955-7691,2026-01-02
11,경상북도,고령군,(주)금오조경개발,경상북도 고령군 다산면 좌학길 69-8,경상북도 고령군 다산면 상곡리 515,40106,158-85-00077,054-956-6100,2026-01-02
12,경상북도,고령군,(주)나인컴퍼니,경상북도 고령군 다산면 벌지로 198,경상북도 고령군 다산면 벌지리 936,40112,564-86-02258,054-956-1999,2026-01-02
13,경상북도,고령군,(주)나호테크,경상북도 고령군 대가야읍 회천로 289,경상북도 고령군 대가야읍 장기리 562-2,40134,514-81-55871,054-955-8732,2026-01-02
14,경상북도,고령군,(주)넥시스디자인그룹,경상북도 고령군 개진면 양전길 130-32 ,경상북도 고령군 개진면 양전리 595,40145,503-81-49549,054-954-4542,2026-01-02
15,경상북도,고령군,(주)뉴라이트반도체,경상북도 고령군 개진면 개경포로 1532,경상북도 고령군 개진면 생리 238-3,40150,514-81-54998,054-954-9400,2026-01-02
16,경상북도,고령군,(주)다노국디엔케이홀딩스,경상북도 고령군 다산면 성암로 495-14,경상북도 고령군 다산면 송곡리 1010-1,40113,503-81-82214,054-955-3750,2026-01-02
17,경상북도,고령군,명종산업,경상북도 고령군 다산면 다산로 261-1,경상북도 고령군 다산면 월성리 1200-1,40111,514-81-79311,054-956-2118,2026-01-02
18,경상북도,고령군,(주)대경레미콘,경상북도 고령군 쌍림면 쌍쌍로 618-47,경상북도 고령군 쌍림면 신곡리 산35,40162,503-81-57471,055-532-8620,2026-01-02
19,경상북도,고령군,(주)대경산업,경상북도 고령군 성산면 개경포로 1979,경상북도 고령군 성산면 삼대리 390-1,40117,187-81-00820,054-964-3633,2026-01-02
20,경상북도,고령군,(주)대근,경상북도 고령군 쌍림면 쌍림공단길 102,경상북도 고령군 쌍림면 고곡리 199-29,40159,503-86-01439,054-956-5607,2026-01-02
21,경상북도,고령군,(주)대림소재,경상북도 고령군 다산면 다산산단1길 49-13,경상북도 고령군 다산면 송곡리 1544,40113,503-81-52990,054-954-3745,2026-01-02
22,경상북도,고령군,(주)대명디스플레이,경상북도 고령군 성산면 운성로 773-25,경상북도 고령군 성산면 고탄리 143,40118,514-81-74107,054-954-0332,2026-01-02
23,경상북도,고령군,(주)대명피앤씨,경상북도 고령군 쌍림면 명덕길 46,경상북도 고령군 쌍림면 하거리 96,40157,420-86-00358,054-956-4200,2026-01-02
24,경상북도,고령군,(주)대성무역,경상북도 고령군 개진면 회천로 318,경상북도 고령군 개진면 반운리 751,40144,503-81-40209,054-956-1478,2026-01-02
25,경상북도,고령군,(주)대우알엔씨,경상북도 고령군 쌍림면 방아실길 51,경상북도 고령군 쌍림면 안림리 732,40160,503-81-90145,054-956-4897,2026-01-02
26,경상북도,고령군,(주)대원분무기,경상북도 고령군 대가야읍 회천로 266,경상북도 고령군 대가야읍 내곡리 1146,40134,374-86-00884,054-954-9442,2026-01-02
27,경상북도,고령군,(주)대주텍스타일,경상북도 고령군 쌍림면 쌍림공단길 108,경상북도 고령군 쌍림면 고곡리 199-31,40159,503-81-63634,"	053-551-7101",2026-01-02
28,경상북도,고령군,(주)대한섬유,경상북도 고령군 쌍림면 쌍림공단길 112,경상북도 고령군 쌍림면 고곡리 199-21,40159,503-81-22685,054-956-1133,2026-01-02
29,경상북도,고령군,(주)대현테크,경상북도 고령군 쌍림면 안화1길 63-84,경상북도 고령군 쌍림면 안화리 280-2,40161,503-81-59052,054-956-1360,2026-01-02
30,경상북도,고령군,(주)대호산업,경상북도 고령군 다산면 다산로 181-23,경상북도 고령군 다산면 월성리 1286-9,40111,503-81-95266,054-956-7774,2026-01-02
31,경상북도,고령군,㈜정금산업,경상북도 고령군 다산면 다산산단로 137,경상북도 고령군 다산면 송곡리 1778,40159,503-81-90882,054-956-7381,2026-01-02
32,경상북도,고령군,(주)동광섬유,경상북도 고령군 쌍림면 대가야로 820,경상북도 고령군 쌍림면 고곡리 874,40159,503-81-24965,054-955-4331,2026-01-02
33,경상북도,고령군,(주)동국건설,경상북도 고령군 성산면 성암로 343,경상북도 고령군 성산면 무계리 107,40115,503-81-44281,054-956-0424,2026-01-02
34,경상북도,고령군,(주)동진,경상북도 고령군 다산면 아시터길 11-3 ,경상북도 고령군 다산면 나정리 853-1 ,40112,719-86-00049,054-954-5511,2026-01-02
35,경상북도,고령군,다원정밀,경상북도 고령군 대가야읍 시실길 123,경상북도 고령군 대가야읍 내곡리 1086-132,40143,514-19-49130,053-652-1777,2026-01-02
36,경상북도,고령군,(주)디엔케이,경상북도 고령군 개진면 회천로 321,경상북도 고령군 개진면 반운리 744,40144,247-86-00938,054-956-8787,2026-01-02
37,경상북도,고령군,(주)디와이폴리머,경상북도 고령군 성산면 개경포로 2080,경상북도 고령군 성산면 삼대리 185-1,40117,414-86-02837,054-726-2060,2026-01-02
38,경상북도,고령군,(주)리팔트코리아,경상북도 고령군 대가야읍 일량로 421,경상북도 고령군 대가야읍 내곡리 863,40143,149-88-01447,054-954-1597,2026-01-02
39,경상북도,고령군,(주)린테크,경상북도 고령군 성산면 운성로 788 ,경상북도 고령군 성산면 고탄리 117 ,40118,289-87-01485,054-954-9397,2026-01-02
40,경상북도,고령군,(주)메디센서,경상북도 고령군 쌍림면 쌍림공단길 75,경상북도 고령군 쌍림면 고곡리 220-37,40159,503-81-88519,053-581-4450,2026-01-02
