업체명,전화번호,본사 소재지(도로명),산업분류,주생산품
 ㈜누리,054-451-4079,경상북도 문경시 신흥로 126 3층,25111,금속창호공사
(주)KH바텍1공장(본사),054-465-0630,경상북도 구미시 1공단로 10길 53-12,26299,휴대폰 부품
(주)STC,054-475-8400,경상북도 구미시 1공단로 6길 64-23,25929,레이저 가공
(주)가온누리,,경상북도 구미시 1공단로 169 2층 203호,22212,무역
㈜가온티에스,054-474-3391,경상북도 구미시 산동읍 5공단7로36-5,29271,"자동화장비,전용기"
(주)강남산업,070-7430-1240,경상북도 구미시 1공단로2길 4 (공단동),13229,미스크
(주)강우코리아,054-462-8038,경상북도 구미시 산호대로 354-52,13229,마스크
(주)건테크,054-472-6703,경상북도 구미시 첨단기업5로 10-6,29271,sic pin
(주)경북소방,054-458-5422,경상북도 구미시 1공단로2길18,33999,소방설비공사
(주)공단수출포장,054-716-2707,경상북도 구미시 산호대로 377 ,16232,포장재
(주)구구창호,054-482-2827,경상북도 구미시 고아읍 선산대로 707,23119,복층유리
(주)구일엔지니어링,054-473-9133,경상북도 구미시 산동읍 산호대로 1105-19,27212,OLED 검사기
(주)규림,054-462-1410,"경상북도 구미시 1공단로212 한라시그마밸리905,906호",33999,드론
(주)그린인텍,054-461-8628,경상북도 구미시 1공단로7길 24-9 (공단동),26129,SUS제작물
(주)금호테크닉스,,경상북도 구미시 산호대로 130-72 (공단동) 비동,28123,전기공사
(주)기호산업 본사,054-482-5117,경상북도 구미시 고아읍 농공단지길 54-7,25112,알루미늄팬서(스텐난간제조)
(주)나노텍,053-352-8754,경상북도 구미시 수출대로225-25,27213,측정물질검사
(주)내외팩,054-715-7810,경상북도 구미시 수출대로 137,17212,골판지상자
(주)노블,054-462-9330,경상북도 구미시 산동읍 첨단기업 7로 98-11,23119,글라스
(주)노블금속,054-463-5204,경상북도 구미시 수출대로 3길16,24199,알루미늄가공
(주)농심 구미공장,054-469-5000,서울특별시 동작구 여의대방로 112 (신대방동),10730,신라면
(주)뉴나노,054-472-0645,경상북도 구미시 산동읍 첨단기업로 69-21,10612,홍삼류
(주)뉴텍솔루션,054-475-0592,경상북도 구미시 산호대로 130-74,28123,자동화제어
(주)니스트,054-462-3191,경상북도 구미시 1공단로 212 한라시그마밸리 419호,28909,전기공사
(주)니온팀버,054-482-2007,경상북도 구미시 고아읍 농공단지길 35-23,16102,목재품
(주)다담,054-604-0811,경상북도 구미시 1공단로10길186,10752,사골육수
(주)다원텍,054-471-3071,"경상북도 구미시 산동면 해마루공원로 140 (가동,나동)",23122,디스플레이용 커버글라스
(주)달성레미콘,054-443-5000,경상북도 구미시 고아읍 원대로 292,23322,레미콘
(주)대경안전산업,,대구광역시 달서구 성서공단로 389(203호),22211,차선분리대
(주)대림이엔지,054-482-6040,경상북도 구미시 고아읍 농공단지길 54-7,27216,일반기계
(주)대산산업,054-471-8567,경상북도 구미시 산동읍 동곡3길 16,13109,섬유(원단)
(주)대성시스템,054-482-8156,경상북도 구미시 고아읍 파산2길 11,29272,수지도포검사기
(주)대영테크,054-461-9936,경상북도 구미시 1공단로 6길,29199,프로파일제조
(주)대원전기산업,054-464-0211,경상북도 구미시 수출대로167-22,28123,전기배선반
(주)대원전자,054-972-9901,경상북도 구미시 산호대로 142-52,26422,사출
(주)대진기계,054-463-1462,경상북도 구미시 산동읍 첨단기업 5로 10-39,29272,이차전지 자동화장비
(주)대진씨티앤티,054-716-1111,경상북도 구미시 1공단로 6길 134,25999,골프카트
(주)대평산업개발,054-471-4701,경상북도 구미시 신동읍 성림길 26,23991,아스콘
(주)대한실리텍,054-474-6077,경상북도 구미시 수출대로217-9,22192,리모컨패드
(주)대한중전기,054-476-2034,경상북도 구미시 해평면 괴곡3길 81,28111,전동기모터수리
(주)대호산업,054-451-7746,경상북도 구미시 수출대로 167-12,25112,판넬도어
(주)대흥텍스,054-463-0301,경상북도 구미시 1공단로 6길 65-8,13103,폴리에스트원사섬유(화학)
(주)도깨비,,"경상북도 구미시 1공단로 144, 구미시창업보육센터 207-2호 (공단동)",28122,전동킥보드
(주)동광명품도어 2공장,053-352-5553,대구광역시 서구 염색공단천로3길 5 (비산동),25111,방화문
(주)동광이엔지,054-463-4624,경상북도 구미시 비산로 1388 11동,28201,2차전지밧데리
(주)동부시스템,054-463-9913,경상북도 구미시 수출대로77,27199,마스크팩코팅기제조
(주)동우씨엔에스,054-462-6697,경상북도 구미시 수출대로7길26-9,22299,이형필름
(주)동윤산업,054-475-0116,경상북도 구미시 산동읍 봉산리 318,20499,리사지
(주)동일개발,054-604-9988,경상북도 구미시 1공단로 212 한라시그마밸리 1014,25119,디자인개발
(주)동평기술,054-474-6901,경상북도 구미시 대학로 61,26299,모빌리티
(주)디알젬,070-8894-6819,경기도 광명시 하안로 60 광명테크노파크E동 7층,27111,진단용 엑스선 촬영장비
(주)디앤에스,,경상북도 구미시 산동읍 적림3길 112,33999,목재상자
(주)디에스(DS),054-471-9441,경상북도 구미시 산동읍 임천인덕로 250-1,16231,pallet
(주)디에스앤,054-461-0710,경상북도 구미시 구미대로 350-27 it의료융합기술센터 308호,33999,다리미받침대
(주)디에스피,054-463-0978,경상북도 구미시 수출대로225-15,25924,반도체장비부품
(주)디에이치엔지니어링,054-476-6730,경상북도 구미시 4공단로 329,25944,임가공
(주)디엠팩,054-464-7220,경상북도 구미시 수출대로3길55,17222,포장박스
(주)디와이비,054-461-3800,경상북도 구미시 수출대로7길40,30399,자동차부품
(주)디지트론,031-707-1891,경기도 성남시 분당구 판교로 697 (야탑동) 분당테크노파크,26299,전기전자제품
(주)디케이에스,054-472-5690,경상북도 구미시 공단동 257-21번지,29199,자동화기계
(주)디티앤바이오,070-8630-2988,경상북도 구미시 산호대로 253 A-916호,26519,차량용블랙박스
(주)디피엠테크,054-472-4391,경상북도 구미시 산동읍 첨단기업4로 71,26422,자동화 버튼
(주)뚝심푸드,054-482-7676,경상북도 구미시 고아읍 농공단지길 54-18,10211,뼈 해장국
(주)라스,054-472-3276,경상북도 구미시 1공단로 212 한라시그마밸리 721호,29280,로봇 자동화장비
(주)라이브셀인스트루먼트 구미사업소,02-3391-0596,경상북도 구미시 산호대로 253,27199,액체생검용디스크
(주)라인텍,,경상북도 구미시 신당리 1331 (2022년 이전),22211,볼라드(도료시설물)
(주)레이바이오,054-715-5540,"경상북도 구미시 산호대로 253, 0동 6층 601 (공단동)",27199,의료기기
(주)레이텍,054-462-4660,경상북도 구미시 공란동 260-10 구미한라시그마밸리 508,29299,선별기
(주)리더테크,054-472-2265,경상북도 구미시 3공단1로 302-7,27329,소프트웨어개발
(주)리드온,054-457-7979,경상북도 김천시 아포읍 국사길 112,26421,네트워크장비
(주)마이크로디스플레이,070-7842-8873,"경기도 부천시 석천로 397, 부천 테크노파크 쌍용3차 301동 1201호",22299,"워터필터, 산업용 모니터 LCD"
(주)매틱스,,경상북도 구미시 1공단로144 경상북도 구미시창업보육센터211호,29142,무진동케이블시스템
(주)멀티코시,054-463-1200,경상북도 구미시 1공단로 6길 53-38,25923,무반사아크릴
(주)메디바이스,054-474-6901,경상북도 구미시 대학로 61 금오공과대학교 벤처창업관 409호 (양호동),27194,일회용내시경
(주)모립스,054-462-3778,경상북도 구미시 수출대로7길84,25924,장비가공
(주)몽돌,070-4050-7420,대구광역시 북구 유통단지로7길 21 (산격동),29199,컨베이어장치
(주)무일화성 구미공장,054-716-1810,전라남도 여수시 여수 산단로 237 1층,20203,"마스타배치, 컴파운드"
(주)미래금속,054-452-8506,경상북도 구미시 1공단로 4길 40,24212,AL- BILLET(알미늄빌렛)
(주)미래기술,054-456-2238,경상북도 구미시 수출대로 77,33130,자동화장비제작
(주)미래에프에이,,경상북도 구미시 수출대로217-21 10동,27216,자동화장비기계
(주)미래자동화시스템,054-475-9483,경상북도 구미시 상사동로 10 하성빌딩 401호,28123,자동화장비
(주)미창,054-471-2999,경상북도 구미시 1공단로212 한라시그마밸리602호,29229,자동차tv부품
(주)민테크,054-465-4110,경상북도 구미시 수출대로 5길 50-17,25929,자동화설비
(주)믿음을 주는 나무,054-481-2822,경상북도 구미시 고아읍 파산2길 56,22231,"PE필름(비닐봉투, 종량제)"
(주)보백씨엔에스,054-974-9111,경상북도 구미시 3공단3로 70(시미동),26129,TV부품 인슐레이션
(주)보원,054-461-4219,경상북도 구미시 수출대로 9길 68-15,30391,FFC-자동차SRC용
(주)봉산정밀,054-476-0600,경상북도 구미시 산동읍 첨단기업5로 77-12,25913,금속압형전자부품
(주)부성코오드,054-463-0358,경상북도 구미시 산호대로 104-134,13993,타이어코드지
(주)비산이앤씨,054-461-7724,"경상북도 구미시 수출대로 167, 2동 ",25112,건설철구조물제작
(주)비씨시스템,054-474-3381,경상북도 구미시 산동읍 첨단기업2로 50,26299,합성수지 성형
(주)비에스,,경상북도 김천시 남면 농남로 1089,13409,섬유연사
(주)비지씨,054-464-0467,경상북도 구미시 1공단로 10길 46,30399,자동화장비
(주)비테크,054-465-5241,경상북도 구미시 산동읍 산호대로 45길18,29271,LOADER
(주)산코코리아,054-712-3503,경상북도 구미시 산동읍 첨단기업 7로 89,26299,태양광전선
(주)산코코리아 2공장,054-714-3541,경상북도 구미시 산동읍첨단기업7로 89,26299,태양전기선
(주)삼원테크,054-715-7200,경상북도 구미시 산호대로 104-70,22292,가전제품전자부품
(주)삼정마이크론,054-476-6291,경상북도 구미시 옥계2공단로 34,25944,금속절삭
(주)삼정테크,054-474-4720,경상북도 구미시 장천면 묵어 1길 73,29294,금형
(주)삼주하이테크,054-473-6155,경상북도 구미시 여헌로 10길 39-2,29294,금형밀핀류
(주)삼한텍,054-471-7621,경상북도 구미시 산동읍 첨단기업2로36,29199,세정브러쉬
(주)삼화양행,054-716-2100,서울특별시 금천구 가산디지털로 145-1204호,26299,인쇄기판제조(PCB)
(주)상영,054-465-1021,경상북도 구미시 산호대로 422,26310,자동차윈도우
(주)새론이엔아이,054-473-8384,경상북도 구미시 3공단1로 302-30,26129,계측기
(주)새한하이테크,054-463-9663,경상북도 구미시 산호대로 253,25999,바이케스팅용 진공벨브
(주)샘테크,054-716-2510,경상북도 구미시 수출대로 9길 26-35 A동,29222,"바코드케리어지그, 멘탈 마스크"
(주)서림테크놀로지,02-2624-0590,서울특별시 금천구 가산디지털1로 145 (가산동) 에이스하이엔드타워3차 1동 10층 1007호,26299,디지털신호 처리보드
(주)서보시스텍,070-4136-4346,경상북도 구미시 산호대로 240,28111,서브모터(자동화기게)
(주)서진이엔지,054-465-2723,경상북도 구미시 1공단로 2길 44,28909,자동화설비
(주)서환전자,054-461-0975,경상북도 구미시 산호대로 328-1 ,22291,필름
(주)서휘,054-462-0132,"경상북도 구미시 1공단로 6길, 65-12",22299,jig휴대폰 부품(측정)
(주)석원,054-474-8418,경상북도 구미시 산동읍 첨단기업 5로 78-32,29299,박막코팅장비
(주)선진템,054-464-6665,"경상북도 구미시 산동읍 첨단기업3로 54-7, 제 13-1동",29224,hotpress
(주)성림엠앤씨,054-451-2957,경상북도 구미시 산호대로 154-26,22299,플라스틱 비닐백
(주)성림오토텍,054-481-4881,경상북도 구미시 선산읍 포상12길 44,25111,산업용자동문
(주)성보산업,054-462-2464,경상북도 구미시 1공단로 9길 29,26295,차량온도조절장치
(주)성우디엔씨,,경상북도 구미시 산동읍 첨단기업1로 82-18,29299,크린부스
(주)성운이노베이션2공장,054-434-8802,경상북도 김천시 아포읍 포아로 19,13229,마스크
(주)성윤하이텍,054-463-9310,경상북도 구미시 산동읍 첨단기업로 122,29294,자동차 부품
(주)성하테크,054-716-1176,경상북도 구미시 산동읍 첨단기업 4로 49-23(봉산리),27216,디스플레이 자동화 물류
(주)세일,054-456-6660,경상북도 구미시 송동로 42-61 (도량동),29299,잡설물제작
(주)세정로봇,054-473-5379,경상북도 구미시 산동읍 첨단기업로 69-34,29199,자동화장비
(주)세종하이텍,054-462-6649,경상북도 구미시 임수로1길8,25929,자동화장비부품
(주)세진판넬,,경상북도 구미시 수출대로225-34,25112,조립식판넬
(주)세진프로원,054-462-8038,경상북도 구미시 산호대로 354-42,25924,반도체장비(프로파일 구조물)
(주)수본산업,054-464-4158,경상북도 구미시 산동읍 동곡3길 50번지,17901,원사지관
(주)수성이엔지,054-476-8070,경상북도 구미시 산동읍 첨단기업4로 49-73,25924,Metel
(주)수양 구미점,054-472-5855,경상북도 구미시 옥계2공단로 83 (황상동) 1동,20422,건조지격제
(주)쉬즈텍,054-474-2553,경상북도 구미시 1공단로212 한라시그마밸리6층618,29271,반도체장비부품
(주)스카이엔터프라이즈,053-634-7010,대구광역시 달서구 비설로 538로 16 2층,31312,드론
(주)스페셜화인,1599-0204,경상북도 구미시 오태8길 28,25111,오버헤드도아
(주)신영스틸텍,070-4412-0506,경상북도 구미시 산동읍 첨단기업로 127-6,29290,프레스 금형(자동차)
(주)신우지오텍,054-714-3290,"경상북도 구미시 3공단 3로 66, 1층",27321,모바일 필름스테이서
(주)신우테크,054-465-2892,경상북도 구미시 1공단로 2길 16,23999,사출
(주)신일,053-742-1144,경상북도 의성군 춘산면 금성현서로 1069,28111,발전기
(주)신창메디칼,054-463-2400,경상북도 구미시 1공단로 6길 144,27199,일회용주사기
(주)썬링크,,경상북도 칠곡군 칠곡로송산6길 6-5,28429,항굴표지판
(주)씨앤아이전자,070-7542-4480,경상북도 구미시 3공단 1로 124,26299,pbc기판검사
(주)씨엘코어,054-453-5990,경상북도 구미시 구미대로 350-27 산학융합지구 기업연구관 526-7호,26310,컴퓨터제조
(주)아델스테크,054-464-1889,경상북도 구미시 공단로 4길 26-23,14499,photo mash case
(주)아이엠,054-465-8838,경상북도 구미시 산호대로 104-66 (공단동),27216,ATM조립
(주)아이이에스에이치솔루션,054-463-0508,"경상북도 구미시 1공단로 212, 819호",33999,작업환경측정
(주)아이피에스,,경상북도 구미시 수출대로249,22232,플라스틱트레이
(주)아인이앤텍,,"경상북도 구미시 1공단로 212, 한라시그마밸리 713호",28422,CCTV제조
(주)아진아이에스피,054-471-3791,경상북도 구미시 산호대로 142-73,26299,자동차 부품
(주)아트인,054-474-6690,경상북도 구미시 수출대로 538,33910,LED간판
(주)알오티,054-715-8800,경상북도 구미시 산호대로 253 A-804호,27199,자동화설비
(주)알피엠,054-473-2442,"경상북도 구미시 산동읍 첨단기업 1로 17, 이노플라자 102호",30399,자동차 부품
(주)어드밴스트 디스플레이 테크놀러지,054-474-1915,"경상북도 구미시 산동읍 첨단기업1로 17, 구미전자정보기술원 이노플라자 303호",26211,액정 표시장치
(주)에드테크,,"경상북도 경산시 하양읍 가마실길 50, R&DB 센터 305호",28512,일반산업기계
