순번,회사명,사업자등록번호,공장대표주소(도로명),위도,경도,업종명,생산품,전화번호,팩스번호,산업단지명,데이터기준일
468,주식회사 에라모에이치티,8698700962,경상북도 김천시 공단1길 51 (대광동) (대광농공단지),36.14115208,128.1411983,화학섬유직물 직조업 외 4 종,"수밀밴드(하수도, 우수도 누수방지 밴드), 일반용 폴리에치렌 이음관, 기타 이음관",,,김천대광농공단지,2025-12-30
270,대윤지오텍㈜,5108506264,경상북도 김천시 아포읍 포아로 19 외 3필지,36.16273259,128.2573986,화학섬유직물 직조업,토목섬유,070-7432-7271,054-436-0812,,2025-12-30
600,현대바이오사이언스 주식회사,1268145614,경상북도 김천시 아포읍 아포공단길 106 (아포읍),36.16649528,128.2511641,화장품 제조업 외 4 종,"Vitabird, IAAbird 등, Vitabird, IAAbird 등, Vitabird, IAAbird 등, Vitabird, IAAbird 등, Vitabird, IAAbird 등",070-7008-1051,054-430-6437,김천아포농공단지,2025-12-30
509,주식회사 코디 김천공장,1248160808,경상북도 김천시 어모면 산업단지4로 90,36.16266644,128.1330123,화장품 제조업,메이크업 화장품,054-433-8213,054-433-7792,김천제1일반산업단지,2025-12-30
80,(주)신원플라텍 김천공장,5108129478,경상북도 김천시 아포읍 아포공단길 44 ((주)경희),36.16728175,128.2543012,혼성 및 재생 플라스틱 소재 물질 제조업 외 1 종,"합성수지재생칩, 플라스틱 시트",054-931-2375,054-931-2376,김천아포농공단지,2025-12-30
211,그린텍,5100595367,경상북도 김천시 어모면 산업단지4로 89-19,36.16217379,128.130255,혼성 및 재생 플라스틱 소재 물질 제조업 외 1 종,"재생수지, 부직포",054-435-3680,054-435-3681,김천제1일반산업단지,2025-12-30
25,(주)대방 제2공장,5108126850,경상북도 김천시 농공단지2길 70 (신음동),36.13078169,128.1302359,혼성 및 재생 플라스틱 소재 물질 제조업,재생칩,,054-436-8448,,2025-12-30
57,(주)부건,3268702731,경상북도 김천시 남면 농남로 587-12,36.09252353,128.2300277,혼성 및 재생 플라스틱 소재 물질 제조업,재생칩,054-435-5688,054-435-5689,,2025-12-30
79,(주)신성리사이클링,6548701374,경상북도 김천시 감문면 감문로 1029-30,36.21379126,128.1782664,혼성 및 재생 플라스틱 소재 물질 제조업,재생칩,054-430-5188,054-433-5188,김천감문농공단지,2025-12-30
148,(주)조양티알에스,5248800936,경상북도 김천시 아포읍 아포공단길 123-38,36.16495194,128.2521706,혼성 및 재생 플라스틱 소재 물질 제조업,플라스틱 칩,054-431-7766,054-431-7767,,2025-12-30
153,(주)창신이앤이,5278701198,경상북도 김천시 농공단지1길 30 (신음동),36.13057907,128.1341241,혼성 및 재생 플라스틱 소재 물질 제조업,PET 재활용 플레이크 및 칩,02-3444-6897,02-3444-6892,,2025-12-30
201,가은산업,1103791935,경상북도 김천시 남면 부상리 150-7번지,36.06056518,128.2910309,혼성 및 재생 플라스틱 소재 물질 제조업,재생 합성수지,054-437-8002,054-436-3732,,2025-12-30
214,금강케미칼 주식회사,5958801790,경상북도 김천시 아포읍 인2길 69,36.16880033,128.2435684,혼성 및 재생 플라스틱 소재 물질 제조업,합성수지 펠렛 ,054-431-2051,054-431-2052,,2025-12-30
249,다성 2공장,5100489887,경상북도 김천시 아포읍 인리 1275-1번지,36.16495194,128.2521706,혼성 및 재생 플라스틱 소재 물질 제조업,MASTER BATCH(플라스틱 칩),054-437-9507,054-437-9507,,2025-12-30
288,디카본 주식회사,4188702200,경상북도 김천시 개령면 덕촌2길 17,36.17865661,128.1610769,혼성 및 재생 플라스틱 소재 물질 제조업,"PCR, PIR",054-430-7398,050-4165-4694,,2025-12-30
366,양우화공산업 유한회사,7868101422,경상북도 김천시 감문면 감문로 1029-30,36.21379126,128.1782664,혼성 및 재생 플라스틱 소재 물질 제조업,재생 플라스틱 원료,054-430-5188,054-433-5188,김천감문농공단지,2025-12-30
376,에이치에스테크(HSTECH),3340201546,경상북도 김천시 어모면 산업단지4로 89-19,36.16217379,128.130255,혼성 및 재생 플라스틱 소재 물질 제조업,PET-CHIP,,054-431-0997,김천제1일반산업단지,2025-12-30
383,엠에프엘㈜,3868800163,경상북도 김천시 어모면 어모로 967,36.23683319,128.0959805,혼성 및 재생 플라스틱 소재 물질 제조업,혼합PE,054-431-9888,054-431-9880,,2025-12-30
456,주식회사 서일엠에스,7588702845,경상북도 김천시 감문면 감문로 1029-23,36.21447816,128.1769778,혼성 및 재생 플라스틱 소재 물질 제조업,"광케이블 및 광케이블용자재, UCG",054-439-2441,054-439-4127,김천감문농공단지,2025-12-30
506,주식회사 케이앤큐,4588601110,경상북도 김천시 남면 농남로 631-4,36.09139783,128.2341776,혼성 및 재생 플라스틱 소재 물질 제조업,플라스틱 수지(칩),054-436-1314,054-436-1324,,2025-12-30
530,지더블유 주식회사,6928602813,경상북도 김천시 남면 영남대로 3510,36.06083079,128.2929856,혼성 및 재생 플라스틱 소재 물질 제조업,용융칩,054-434-1916,0505-300-1916,,2025-12-30
551,코오롱이앤피 주식회사,5108105710,경상북도 김천시 어모면 산업단지4로 75,36.16109172,128.1307311,혼성 및 재생 플라스틱 소재 물질 제조업,"Acetal, PBT",054-420-8356,054-420-8360,김천제1일반산업단지,2025-12-30
558,태형산업(주),4628801165,경상북도 김천시 남면 농남로 1284-82 외 2필지,36.05840741,128.2888251,혼성 및 재생 플라스틱 소재 물질 제조업,재생칩,054-435-5550,054-435-5556,,2025-12-30
559,태형산업주식회사,4628801165,경상북도 김천시 남면 농남로 1284-82,36.05840741,128.2888251,혼성 및 재생 플라스틱 소재 물질 제조업,재생칩,,,,2025-12-30
554,코오롱인더스트리(주) 김천공장,5108506959,"경상북도 김천시 공단로 238(응명동, (주)코오롱) 외 5필지",36.14921604,128.1276329,합성수지 및 기타 플라스틱 물질 제조업 외 4 종,"DRY 필름, Polyester Chip, 플라스틱 제품, 플라스틱 제품, 플라스틱 제품",054-429-7331,054-429-7660,,2025-12-30
358,실리콘밸리 주식회사 2공장,5088115200,경상북도 김천시 공단4길 30 (응명동),36.15498806,128.1241193,합성수지 및 기타 플라스틱 물질 제조업 외 2 종,"실리콘 방열패드, 시트, 흡수체, 마스크, 실리콘 방열패드, 시트, 흡수체, 마스크, 실리콘 방열패드, 시트, 흡수체, 마스크",054-437-0878,054-437-0879,,2025-12-30
