연번,구분,업체명,업종구분,산업분류코드,소재지,전화번호,팩스번호,고용인원,데이터기준일자
1,계획입지,(유)하랑에스에이치,가금류 가공 및 저장 처리업,"10121, ",경상북도 문경시 산양면 진정리 630-11 외 1필지,,,20,2025-09-11
2,계획입지,(주)경안 ,"플라스틱 선, 봉, 관 및 호스 제조업","22211, ",경상북도 문경시 가은읍 왕능리 614-1번지,,054-571-7788,12,2025-09-11
3,계획입지,(주)규진산업,기타 구조용 금속제품 제조업 외 1 종,"25119, 25112",경상북도 문경시 신기동 1143-7,043-233-5971,,6,2025-09-11
4,계획입지,(주)늘품,포장용 플라스틱 성형용기 제조업,"22232, ",경상북도 문경시 영순면 의곡리 1289번지,054-554-5125,031-593-5129,20,2025-09-11
5,계획입지,(주)다온,기타 직물제품 제조업 외 3 종,"13229, 13224, 13999, 25119",경상북도 문경시 영순면 의곡리 1289-1번지,,050-5360-0053,10,2025-09-11
6,계획입지,(주)다온푸드농업회사법인,두부 및 유사식품 제조업,"10894, ",경상북도 문경시 신기동 1143-5,,,22,2025-09-11
7,계획입지,(주)다원코리아,속도계 및 적산계기 제조업 외 8 종,"27214, 26410, 26421, 27215, 27216, 28123, 29131, 29176, 29299",경상북도 문경시 산양면 진정리 600-3번지,070-7893-9500,070-7893-9501,10,2025-09-11
8,계획입지,(주)대명화학1공장,플라스틱 필름 제조업 외 2 종,"22212, 20202, 22213",경상북도 문경시 산양면 진정리 600-6번지 외 5필지,054-550-5700,054-552-9619,126,2025-09-11
9,계획입지,(주)대명화학3공장,체외 진단 시약 제조업 외 1 종,"21301, 21309",경상북도 문경시 산양면 진정리 600-9번지,054-550-5700,054-552-9619,15,2025-09-11
10,계획입지,(주)대명화학4공장,부직포 및 펠트 제조업,"13992, ",경상북도 문경시 산양면 진정리 630-10번지 대명화학,054-550-5711,054-550-5753,50,2025-09-11
11,계획입지,(주)대원홀딩스,플라스틱 창호 제조업 외 2 종,"22223, 25111, 25112",경상북도 문경시 신기동 1141-5번지,054-555-1177,054-555-1178,30,2025-09-11
12,계획입지,(주)도우상사,혼성 및 재생 플라스틱 소재 물질 제조업,"20203, ",경상북도 문경시 마성면 오천리 871,,,3,2025-09-11
