연번,업체명,도로명주소,지번주소,산업분류코드,업종명,전화번호,팩스번호,종업원수
1, (주)파인패키징,경상북도 성주군 성주읍 성주농공단지길 49,경상북도 성주군 성주읍 성산리 1447-7번지,"16231, ",목재 깔판류 및 기타 적재판 제조업,,,1
2,(주)DAESEO,경상북도 성주군 선남면 관용로 507 (바이텍자전거),경상북도 성주군 선남면 오도리 1-1번지,"15219, ",기타 신발 제조업,053-255-1889,,2
3,(주)가나이엔지,"경상북도 성주군 선남면 유서리길 145-9, 선남면 유서리97-19",경상북도 성주군 선남면 유서리 산 17-22번지 선남면 유서리97-19,"25112, 25111",구조용 금속 판제품 및 공작물 제조업 외 1 종,,054-932-9597,11
4,(주)거광산업,경상북도 성주군 초전면 주천로 353-14,경상북도 성주군 초전면 칠선리 105-1 만경이노켐,"25944, 13219, 25112",금속선 가공제품 제조업 외 2 종,054-471-7148,,10
5,(주)경농산업,경상북도 성주군 성주읍 성주농공단지길 37,경상북도 성주군 성주읍 성산리 1447-6번지,"22212, 22213",플라스틱 필름 제조업 외 1 종,054-933-8020,054-933-8025,17
6,(주)경동이앤에스,경상북도 성주군 선남면 취곡1길 16-7 외 1필지,경상북도 성주군 선남면 취곡리 182번지 외 1필지,"27213, 22211, 22213, 22221, 22299, 25999, 26529, 28121, 28422, 28423, 28903, 29199","물질 검사, 측정 및 분석기구 제조업 외 11 종",053-716-8891,053-587-8894,6
7,(주)경민,경상북도 성주군 선남면 문방리 1382-1번지 외 7필지,경상북도 성주군 선남면 문방리 1382-1번지 외 7필지,"13213, ",화학섬유직물 직조업,054-933-1771,054-933-1773,6
8,(주)경북연사,경상북도 성주군 선남면 성원2길 21,경상북도 성주군 선남면 성원리 410-1,"13104, ",연사 및 가공사 제조업,054-977-5455,054-976-5455,5
9,(주)경성목재,경상북도 성주군 성주읍 금산리 515번지 외1필지,경상북도 성주군 성주읍 금산리 515번지 외1필지,"16221, ",목재문 및 관련제품 제조업,,054-931-9873,5
10,(주)경성팜스,경상북도 성주군 수륜면 동강한강로 289,경상북도 성주군 수륜면 송계리 1105번지,"10309, ",기타 과실ㆍ채소 가공 및 저장 처리업,070-8860-6681,054-933-6681,1
11,(주)경영산업,경상북도 성주군 월항면 월항지방공단길 18,경상북도 성주군 월항면 유월리 933-3번지,"23911, 23324, 23326",건설용 석제품 제조업 외 2 종,053-639-0227,054-932-0228,10
12,(주)교림정보통신,경상북도 성주군 선남면 선노로 737-3,경상북도 성주군 선남면 용신리 1074-11,"26421, ",방송장비 제조업,,054-933-0549,3
13,(주)구일기계공업,"경상북도 성주군 용암면 사곡공단2길 10, (사곡리 848)",경상북도 성주군 용암면 사곡리 848번지 (사곡리 848),"29261, ","산업용 섬유 세척, 염색, 정리 및 가공 기계 제조업",054-931-1491,054-931-1493,13
14,(주)구일산업성주2공장,경상북도 성주군 월항면 월항농공단지1길 20,경상북도 성주군 월항면 장산리 1544번지,"13104, ",연사 및 가공사 제조업,054-933-4219,053-252-1803,3
15,(주)그린엔바이론텍,경상북도 성주군 선남면 용신공단길 25,경상북도 성주군 선남면 용신리 900-6번지,"17222, ",판지 상자 및 용기 제조업,,,11
16,(주)금성산업 제1공장,경상북도 성주군 월항면 월항농공단지1길 42-11 ((주)신화캐미칼),경상북도 성주군 월항면 장산리 1537 번지,"22241, 22249",운송장비 조립용 플라스틱제품 제조업 외 1 종,054-931-2659,054-931-8521,36
17,(주)금성산업 제2공장,경상북도 성주군 월항면 월항농공단지1길 41 (금성산업),경상북도 성주군 월항면 장산리 1526번지,"22241, 22249",운송장비 조립용 플라스틱제품 제조업 외 1 종,054-931-2655,054-931-2659,20
18,(주)금성지앤씨,경상북도 성주군 초전면 주천로 1280,경상북도 성주군 초전면 용봉리 산 58-7번지,"30399, ",그 외 자동차용 신품 부품 제조업,054-931-4052,054-933-4189,40
19,(주)금성지앤씨 2공장,경상북도 성주군 초전면 용봉리 53번지 외 1필지,경상북도 성주군 초전면 용봉리 53번지 외 1필지,"30399, ",그 외 자동차용 신품 부품 제조업,,054-933-4189,25
20,(주)금오섬유,경상북도 성주군 선남면 선남농공단지길 18 (삼우섬유공업사),경상북도 성주군 선남면 도성리 732-5번지 삼우섬유공업사,"13219, ",특수 직물 및 기타 직물 직조업,054-372-2103,,22
21,(주)금윤,경상북도 성주군 초전면 주천로 1244,경상북도 성주군 초전면 용봉리 45-5번지,"13104, ",연사 및 가공사 제조업,054-931-2060,054-931-2061,14
22,(주)금창이피시,경상북도 성주군 선남면 문방공단길 69 ((주)금창),경상북도 성주군 선남면 문방리 1400-16번지,"20203, ",혼성 및 재생 플라스틱 소재 물질 제조업,054-932-0431,054-932-0433,13
23,(주)금표에프엔엠,경상북도 성주군 선남면 유서리 252-6번지,경상북도 성주군 선남면 유서리 252-6번지,"10129, ",육류 기타 가공 및 저장처리업 (가금류 제외),,054-931-3480,3
24,(주)금화레이저,,경상북도 성주군 선남면 신부리 53-12 외 1필지,"25924, ",절삭가공 및 유사처리업,054-933-3737,054-933-3733,6
25,(주)금화스틸라인,경상북도 성주군 선남면 관용로 453-15 외 2필지,경상북도 성주군 선남면 오도리 64 외 2필지,"24199, ",그 외 기타 1차 철강 제조업,054-932-9888,054-933-9888,4
26,(주)나스코,"경상북도 성주군 성주읍 성주로 2806,  ,1058-2",경상북도 성주군 성주읍 용산리 1058-3번지,"38321, 38322",비금속류 해체 및 선별업 외 1 종,054-933-6588,054-933-6589,6
27,(주)남신테크,경상북도 성주군 선남면 선노로 57 ((주)남신테크) 외 2필지,경상북도 성주군 선남면 소학리 1076번지 (주)남신테크 외 2필지,"25113, 33910",육상 금속 골조 구조재 제조업 외 1 종,054-931-5200,054-931-8822,10
28,(주)남일,경상북도 성주군 선남면 용신공단길 10-28,경상북도 성주군 선남면 용신리 806-11번지,"13213, ",화학섬유직물 직조업,054-933-4423,,25
29,(주)남일엔피아이,경상북도 성주군 선남면 관용로 190-37 (총 3 필지),경상북도 성주군 선남면 관용로 190-37 (총 3 필지),"30310, 24321",자동차 엔진용 신품 부품 제조업 외 1 종,054-933-1341,054-933-9229,69
30,(주)네모,경상북도 성주군 선남면 선노로 486 외 3필지,경상북도 성주군 선남면 용신리 572-2 외 3필지,"17212, ",골판지 상자 및 가공제품 제조업,053-290-8011,053-289-3009,3
31,(주)다산콘크리트,경상북도 성주군 초전면 문덕로 249-11,경상북도 성주군 초전면 문덕리 774-1,"23324, 23326","콘크리트 타일, 기와, 벽돌 및 블록 제조업 외 1 종",,,2
32,(주)다온산업,경상북도 성주군 월항면 지산로 171,경상북도 성주군 월항면 지방리 43-1번지,"25944, 13994",금속선 가공제품 제조업 외 1 종,054-931-3407,054-932-2407,10
33,(주)대광단조,경상북도 성주군 선남면 선노로 58-15,경상북도 성주군 선남면 소학리 1030 대광단조,"30320, ",자동차 차체용 신품 부품 제조업,054-931-2260,054-931-2264,22
34,(주)대교종합철강,경상북도 성주군 선남면 나선로 987-42 (원광정밀) 외 2필지,경상북도 성주군 선남면 선원리 649-3번지 외 2필지,"25113, ",육상 금속 골조 구조재 제조업,054-932-9734,054-932-9736,17
35,(주)대덕,"경상북도 성주군 수륜면 참별로 452, 외1필지",경상북도 성주군 수륜면 오천리 1163-54번지,"23911, ",건설용 석제품 제조업,054-931-5387,054,6
36,(주)대도화학,경상북도 성주군 선남면 관용로 475,경상북도 성주군 선남면 오도리 1-7번지,"22213, ",플라스틱 시트 및 판 제조업,054-932-8220,054-932-9420,42
