업체명,대표자,주소,생산품,연락처
하회마을간고등어(주),김상연,경상북도 안동시 풍산읍 산업단지길 217,간고등어,054-857-8977
청해ENV(주) 안동지사,이병관,"경상북도 안동시 풍산읍 산업단지2길 5, 2층 203호",원료의약품(CBD),054-805-8881
주식회사 영동농기계,김이한,경상북도 안동시 풍산읍 산업단지6길 56,"건조기,파종기",054-821-2583
일두산방,황광모,경상북도 안동시 풍산읍 산업단지길 88 GIB4동 203호,"들기름, 참기름 등",054-873-9196
일구물산(주),전현진,경상북도 안동시 풍산읍 산업단지5길 46,고춧가루,054-854-2067
에스케이플라즈마(주),김승주,경상북도 안동시 풍산읍 산업단지길 157,"알부민, 면역글로불린",02-2008-2913
에스케이바이오사이언스(주),안재용,경상북도 안동시 풍산읍 산업단지길 150,"백신의약품(인플루엔자, 대상포진)",054-902-4800
안동전통발효,"권용복, 이원대",경상북도 안동시 풍산읍 산업단지7길 29,누룩 외 양조용가공 원료,054-841-0070
안동시농업기술센터,안동시농업기술센터소장,경상북도 안동시 풍산읍 산업단지2길 31,천연색소,054-840-5682
안동yes푸드,이규찬,경상북도 안동시 풍산읍 산업단지2길 55,"편육, 닭발, 찜닭, 닭곰탕, 콜라겐",054-856-2256
서안동농협풍산김치공장,남시호,경상북도 안동시 풍산읍 괴정리 1003번지,"풍산김치,깍두기,파김치등",054-858-8232
명인안동소주,박재서,경상북도 안동시 풍산읍 산업단지6길 6,증류식소주,054-856-6903
레드번코리아,조수환,"경상북도 안동시 풍산읍 산업단지길 88, 경북바이오벤처프라자 205호","팥가루, 김치양념속,천연조미료",054-841-4603
대기영농조합법인,이상엽,경상북도 안동시 풍산읍 산업단지길 105,깐마늘,054-841-0002
농업회사법인(주)삼앤삶,조성용,"경상북도 안동시 풍산읍 산업단지길 88, 303호",인삼식품,054-636-3822
농업회사법인 주식회사 회곡양조장,권용복,경상북도 안동시 풍산읍 산업단지5길 39,막걸리,054-853-7777
농업회사법인 주식회사 안동대마,권덕희,"경상북도 안동시 풍산읍 산업단지2길 5, GIB-4동 303호","장류, 반찬류",-
