회사명,전화번호,팩스번호,공장대표주소,업종명,생산품,데이터기준일자
(주)경북가스검사소,054-843-2662,054-843-2664,경상북도 안동시 풍산읍 하리리 852-35 외 1필지,금속탱크 및 저장용기 제조업 외 1 종,LP가스용기,2025-08-28
(주)경북네트워크,054-857-0013,054-857-0014,경상북도 안동시 수하동 311-1번지 제4동 1층,유선 통신장비 제조업 외 2 종,"방송 및 전광판 응용장치 제품, RF-모듈레이터",2025-08-28
(주)광진기업,054-821-2244,,경상북도 안동시 수상동 820-150번지,"금속 문, 창, 셔터 및 관련제품 제조업 외 1 종",농자재 부품,2025-08-28
(주)그린솔루션스,,,경상북도 안동시 수상동 527-1번지 (527-1) 527-1 외 4필지,기타 구조용 금속제품 제조업,조립식 구조물,2025-08-28
(주)그린케미칼,054-856-2247,,경상북도 안동시 원림리 819,복합비료 및 기타 화학비료 제조업,복합비료,2025-08-28
(주)그린테크,054-843-3005,,경상북도 안동시 풍산읍 수리 1073-1번지,"콘크리트 타일, 기와, 벽돌 및 블록 제조업 외 1 종",콘크리트 블럭,2025-08-28
(주)나우,054-859-0282,054-854-0282,경상북도 안동시 송현동 456-3번지 1층,방송장비 제조업 외 2 종,"영상감시장치(CCTV), 단독경보형감지기",2025-08-28
(주)농업회사법인 안동청해종합식품,054-858-1352,054-858-1351,경상북도 안동시 법흥동 59-45번지,식용 정제유 및 가공유 제조업,"참기름, 들기름, 기타가공품",2025-08-28
(주)농업회사법인 안동청해종합식품,054-858-1352,054-858-1351,경상북도 안동시 북후면 물한리 452-2,식물성 유지 제조업 외 1 종,"참기름, 들기름, 기타농산가공품",2025-08-28
(주)농협사료경북지사,054-820-3000,054-820-3099,경상북도 안동시 남선면 이천리 829-105번지,반려동물용 사료 제조업 외 2 종,양축용 배합사료,2025-08-28
(주)다담에이팩,,,경상북도 안동시 서후면 광평리 309-2,골판지 상자 및 가공제품 제조업,골판지상자,2025-08-28
(주)대흥환경산업,054-858-8550,054-858-8660,경상북도 안동시 남선면 현내리 6-2 외 2필지,아스팔트 콘크리트 및 혼합제품 제조업,"아스콘(상온, 가열 등)",2025-08-28
(주)동아레미콘,054-858-8000,054-858-6780,경상북도 안동시 수상동 267 외 8필지,레미콘 제조업,레미콘,2025-08-28
(주)동양기술단,054-841-8433,054-841-8435,경상북도 안동시 풍산읍 막곡리 589-1번지 외 1필지,전동기 및 발전기 제조업 외 5 종,"유증가스 분석기, 수차터빈, 수차발전기",2025-08-28
(주)드론코리아아카데미,054-822-8284,054-822-9986,경상북도 안동시 송현동 664-17 외 1필지,무인 항공기 및 무인 비행장치 제조업 외 1 종,드론부품 및 드론,2025-08-28
(주)명신이엔지,054-858-8721,054-858-3321,경상북도 안동시 수상동 216-4번지 외 3필지,배전반 및 전기 자동제어반 제조업,"분전반,배전반,자동제어반",2025-08-28
(주)보경비료공업,054-842-7647,054-842-3604,경상북도 안동시 풍산읍 오미리 892번지,복합비료 및 기타 화학비료 제조업 외 1 종,부산물 비료퇴비,2025-08-28
(주)삼원기업,054-843-1141,,경상북도 안동시 풍산읍 괴정리 675 104동,농업 및 임업용 기계 제조업,농임업용 기계 제조,2025-08-28
(주)새한축산,054-852-2700,054-853-4222,경상북도 안동시 노하동  569번지,육류 도축업(가금류 제외) 외 3 종,"소,돼지,염소고기",2025-08-28
(주)성도하이테크,,,경상북도 안동시 풍산읍 괴정리 673-7 404동,농업 및 임업용 기계 제조업 외 4 종,"전자식활성수기, 제습기, 양액기, 자동급수장치, 농업용수처리기(액체 여과 제품)",2025-08-28
(주)성진,,,경상북도 안동시 서후면 이송천리 15-15,일반용 전기 조명장치 제조업 외 1 종,"LED조명 등기구,  LED 램프",2025-08-28
(주)성훈통신기술,,,경상북도 안동시 용상동 1588-3,방송장비 제조업 외 4 종,"CCTV 및 NVR, 방송장비(스피커), 배선반(통신기기) 등",2025-08-28
(주)슈퍼바이오,054-856-2177,054-856-2178,경상북도 안동시 수상동 249-4번지,반려동물용 사료 제조업 외 1 종,"미생물생균제, 보조사료, 사료첨가제, 토양개량제, 탈취제",2025-08-28
(주)신대원,054-859-1516,054-854-1236,경상북도 안동시 풍산읍 노리 213-5,육류 포장육 및 냉동육 가공업 (가금류 제외),돈포장육,2025-08-28
(주)신호에이지디,,,경상북도 안동시 남후면 광음리 772-1,금속 표시판 제조업 외 1 종,교통안전표지,2025-08-28
(주)썬정보통신,054-857-0012,054-841-5083,경상북도 안동시 신세동 90-9 1층,비디오 및 기타 영상기기 제조업 외 2 종,cctv,2025-08-28
(주)아이즌,054-821-5031,,경상북도 안동시 용상동 535-47번지,그 외 기타 분류 안된 화학제품 제조업 외 2 종,바이오항균 신소재,2025-08-28
(주)안동간고등어,054-859-0571,,경상북도 안동시 일직면 송리리 91-4번지,수산동물 건조 및 염장품 제조업,간고등어,2025-08-28
(주)안동나염,054-855-6789,,경상북도 안동시 풍산읍 소산리 31-6번지,날염 가공업,원단나염물,2025-08-28
(주)안동대가식품,054-858-1006,054-857-1007,경상북도 안동시 녹전면 서삼리 716-9번지,장류 제조업,"장류, 곡물가공",2025-08-28
(주)안동삼베,054-841-7755,,경상북도 안동시 서후면 광평리 953번지,특수 직물 및 기타 직물 직조업 외 2 종,"마직물직조,목관",2025-08-28
(주)안동샌드밀,054-821-7067,054-823-7067,경상북도 안동시 수하동 675-2 외 6필지,비금속광물 분쇄물 생산업,"모래, 자갈",2025-08-28
(주)안동양반간고등어,054-855-0131,054-855-0124,경상북도 안동시 일직면 송리리 91번지,수산동물 건조 및 염장품 제조업,간고등어,2025-08-28
(주)안동통신,054-857-6969,054-857-6300,경상북도 안동시 태화동 187-23번지 (1층),방송장비 제조업 외 4 종,"CCTV, 방송용제품, 배선반, 전광판 등",2025-08-28
(주)에이디,054-822-5225,054-822-6996,경상북도 안동시 풍산읍 매곡리 720-3 제2동,그 외 기타 플라스틱 제품 제조업 외 1 종,벌레포집통,2025-08-28
(주)에이스바이오,054-854-5894,,경상북도 안동시 와룡면 서현리 280번지 (서현리 280),유기질 비료 및 상토 제조업 외 1 종,부산물비료(퇴비),2025-08-28
(주)영남산업,054-856-8700,054-856-8703,경상북도 안동시 수하동 797-27번지,레미콘 제조업,레미콘,2025-08-28
(주)영남화학,054-858-6196,054-858-6197,경상북도 안동시 수상동 220-1번지,"플라스틱 포대, 봉투 및 유사제품 제조업 외 2 종","농업용비닐, PE필름",2025-08-28
(주)오미아코리아안동공장,054-822-8100,054-855-8151,경상북도 안동시 남선면 이천리 205 외 11필지,기타 기초 무기 화학물질 제조업,탄산칼슘,2025-08-28
(주)와룡레미콘,054-841-0060,054-841-0601,경상북도 안동시 와룡면 가야리 472-2 외 1필지,레미콘 제조업,레미콘,2025-08-28
(주)와이즈씨엔에스,054-821-3811,054-823-3811,경상북도 안동시 용상동 1588-27번지 1층,방송장비 제조업 외 1 종,"보안용 카메라, 영상감시장치, 구내방송장치",2025-08-28
(주)우삼,054-439-9339,050-2700-9339,경상북도 안동시 풍산읍 노리 40-6번지 풍산읍 노리 40-6번지,커튼 및 유사제품 제조업 외 4 종,"커튼,롤업셰이드,공기순환기",2025-08-28
(주)위즈,054-1577-6396,054-858-7990,경상북도 안동시 풍산읍 괴정리 699-4번지,기타 인쇄업 외 4 종,"인쇄물,간판,조형물,우산,LED 경관조명기구",2025-08-28
(주)제일산업포장,054-841-7155,054-841-7133,경상북도 안동시 서후면 광평리 985-4번지 외 3필지,골판지 제조업 외 1 종,골판지상자(지함),2025-08-28
(주)조이,054-855-3232,0504-466-0007,경상북도 안동시 화성동 107-6 삼안빌라 102호,유선 통신장비 제조업 외 3 종,"CCTV 카메라, 음향장비, 유선통신장비",2025-08-28
(주)진로발효,031-491-2675,,경상북도 안동시 와룡면 태리 603 외 2필지,기타 증류주 및 합성주 제조업,증류식소주(안동소주),2025-08-28
(주)초인당농업회사법인,054-857-9188,054-857-9187,경상북도 안동시 풍산읍 매곡리 901 외 1필지,"식초, 발효 및 화학 조미료 제조업",식초류,2025-08-28
(주)친한돈,054-853-0705,054-853-1705,"경상북도 안동시 풍산읍 상리리 134 주1동, 주2동",육류 포장육 및 냉동육 가공업 (가금류 제외),돈육,2025-08-28
(주)풍산비료,054-842-7647,054-842-3604,경상북도 안동시 풍산읍 오미리 894번지 외 1필지,복합비료 및 기타 화학비료 제조업 외 1 종,유기질비료,2025-08-28
(주)피노젠 농업회사법인,054-854-8001,,경상북도 안동시 동부동 197-2 1동 2층 201호,식물성 유지 제조업,솔잎추출물,2025-08-28
(주)피엔아이,,,경상북도 안동시 동부동 197-2 1동 2층 203호,제책업,제책,2025-08-28
(주)하회맨홀,054-841-8810,054-841-8811,경상북도 안동시 풍천면 가곡리 325-1번지,콘크리트 관 및 기타 구조용 콘크리트 제품 제조업 외 1 종,맨홀,2025-08-28
(주)한미정보기술,054-857-9377,054-841-1646,경상북도 안동시 서후면 교리 496번지 대학교 창업보육센타 1404호,방송장비 제조업 외 1 종,CCTV,2025-08-28
(주)헴프앤알바이오,054-843-3660,054-841-3660,경상북도 안동시 남후면 광음리 772-1,식물성 유지 제조업,대마종자유,2025-08-28
(주)화성석재,054-843-4007,054-843-4008,경상북도 안동시 남후면 고상리 1011번지,건설용 석제품 제조업,경계석,2025-08-28
(주)효광기획,,,경상북도 안동시 이천동 461-1,"천막, 텐트 및 유사 제품 제조업",에어텐트 등,2025-08-28
J&P산업,,,경상북도 안동시 풍산읍 괴정리 356-4 외 5필지,폴리스티렌 발포 성형제품 제조업 외 2 종,"판넬, 스치로폼",2025-08-28
가람씽크,054-853-7535,,경상북도 안동시 송현동 397-1번지,주방용 및 음식점용 목재가구 제조업 외 1 종,"씽크대, 붙박이장",2025-08-28
가야케미컬(주)농업회사법인,,,경상북도 안동시 풍산읍 노리 848-5,복합비료 및 기타 화학비료 제조업,복합비료,2025-08-28
건우콘크리트건재,,,경상북도 안동시 풍산읍 수곡리 87번지,"콘크리트 타일, 기와, 벽돌 및 블록 제조업 외 1 종",콘크리트 블록,2025-08-28
경북장작,054-841-1919,,경상북도 안동시 서후면 저전리 198-2,그 외 기타 나무제품 제조업,떌감,2025-08-28
경안정보기술(주),054-853-9600,,경상북도 안동시 당북동 119-30번지,방송장비 제조업 외 3 종,"영상감시시스템폐쇄회로, 무선통신장치등",2025-08-28
경안콘크리트,054-858-8338,054-858-8778,경상북도 안동시 수상동 222-18번지,"콘크리트 타일, 기와, 벽돌 및 블록 제조업 외 1 종","벽돌,블럭(4"",6"",8""),기와",2025-08-28
경원건설주식회사,054-859-3600,054-859-3602,경상북도 안동시 남선면 도로리 469-1번지 (도로리 469-1),플라스틱 창호 제조업 외 1 종,"플라스틱 창, 문틀 및 금속제 창(알루미늄)",2025-08-28
경일산업사,054-821-6378,054-821-5482,경상북도 안동시 용상동 1078-34번지,일반 제재업,"제재목,농기구자루",2025-08-28
경창건설기계,,054-858-4439,경상북도 안동시 옥동 1322-1번지,건설 및 채광용 기계장비 제조업,건설기계 및 부품,2025-08-28
고려산업 주식회사,054-823-5500,054-823-5900,경상북도 안동시 남후면 광음리 1017-5번지,그 외 기타 분류 안된 비금속 광물제품 제조업 외 5 종,"인트로킹 블럭,보강토옹벽,호안 및 식생옹벽블록",2025-08-28
광명우의,054-858-5300,054-858-5300,경상북도 안동시 풍산읍 괴정리 533-1번지,그 외 기타 봉제의복 제조업,우의,2025-08-28
그린케미칼,054-856-2206,054-856-2207,경상북도 안동시 서후면 광평리 234-1번지 외 1필지,복합비료 및 기타 화학비료 제조업,복합비료,2025-08-28
금송푸드,054-843-3867,054-843-3868,경상북도 안동시 수상동 273-2번지,가금류 가공 및 저장 처리업,뼈 없는 닭발,2025-08-28
길부철강,054-859-7373,,경상북도 안동시 수하동 661-27,그 외 기타 1차 철강 제조업 외 1 종,"철근 절단 가공, 철근 절단 가공",2025-08-28
김재도(미정),,,경상북도 안동시 와룡면 이하리 322-5,"금속 문, 창, 셔터 및 관련제품 제조업 외 1 종","구조용 금속제품, H빔 등(건축 구조용 금속제품)",2025-08-28
