연번,업체명,업종구분,산업분류코드,소재지주소,전화번호,고용인원수
1,귀뚜라미,제조업,C28520,경북 청도군 청도읍 월곡리 300번지,02-2600-9044,186
2,센추리,제조업,C29172,경북 청도군 청도읍 월곡리 300-16번지,02-2600-9545,238
3,신성엔지니어링,제조업,C29172,경북 청도군 청도읍 월곡리 300번지,02-2600-9605,307
4,나노켐,제조업,C28512,경북 청도군 청도읍 월곡리 300-16번지,054-371-9020,106
5,에스앤비인터내셔널,제조업,C10213,경북 청도군 각남면 사리 1307-7번지,054-370-1000,85
6,청우레미콘,제조업,C23322,경북 청도군 화양읍 동천리 468,054-373-8500,9
7,농업회사법인네이처팜,제조업,C10309,경북 청도군 화양읍 유등리 1824번지,054-373-7561,34
8,대하정공,제조업,C3291,경북 청도군 청도읍 월곡리 300-6번지,053-373-8561,27
9,경동산업,제조업,C22241,경북 청도군 화양읍 유등리 1717-1번지,054-373-8566,
10,거성산업자재,제조업,C13213,경북 청도군 풍각면 봉기리 1120번지,054-371-5727,23
11,영농,제조업,C22259,경북 청도군 풍각면 봉기리 1102번지,054-371-0566,15
12,청도샘물,제조업,C11202,경북 청도군 각북면 덕촌리 356-1번지,054-372-8585,15
13,농업회사법인 청수,제조업,C10309,경북 청도군 청도읍 무등리 169번지,054-373-8338,28
14,거빈,제조업,C22241,경북 청도군 이서면 양원리 160-6번지,054-371-7335,18
15,농업회사법인 청도감와인,제조업,C11119,경북 청도군 풍각면 봉기리 1117번지,054-371-1100,8
16,태광가연,제조업,C13104,경북 청도군 풍각면 봉기리 1111-1번지,054-373-3560,3
17,삼우코퍼레이션,제조업,C13300,경북 청도군 이서면 양원리 450번지,054-373-8222,
18,와이엔테크,제조업,C20202,경북 청도군 풍각면 안산리 399,054-373-9951,16
19,청호스틸,제조업,C25944,경북 청도군 풍각면 봉기리 1122번지,054-371-4028,
20,솔레미콘,제조업,C23322,경북 청도군 풍각면 봉기리 1106번지,054-373-7911,8
21,청도감 영농조합법인,제조업,C10309,경북 청도군 매전면 예전리 506-1번지,,3
22,자연으로 농업회사법인,제조업,C10213,경북 청도군 청도읍 원정리 1257-4번지,,4
23,후레쉬대운영농조합법인,제조업,C10309,경북 청도군 이서면 서원리 720-1번지,054-371-2003,
24,천우식품제조장,제조업,C10749,경북 청도군 풍각면 봉기리 1107번지,054-373-3131,
25,주흥식품,제조업,C10309,경북 청도군 화양읍 진라리 483번지,054-371-6950,
26,농업회사법인  더그린푸드,제조업,C10129,경북 청도군 풍각면 봉기리 755번지,053-965-4024,8
27,친정 농업회사법인,제조업,C11209,경북 청도군 이서면 각계리 171-4번지,053-621-3273,9
28,태광이앤지,제조업,C25113,경북 청도군 화양읍 유등리 1283-1,,5
29,대흥엔지니어링,제조업,C25929,경북 청도군 청도읍 내리 392번지,054-373-9977,
30,청하아스콘,제조업,C23991,경북 청도군 청도읍 유호리 51-1번지,054-373-8582,6
31,늘푸른영농조합법인,제조업,C10309,경북 청도군 청도읍 송읍리 555-9번지,054-373-8858,
32,장원식품,제조업,C10794,경북 청도군 청도읍 고수리 112-2번지,054-373-4312,3
33,부강가쓰오,제조업,C10213,경북 청도군 각남면 사리 1307번지 1346호,054-370-1040,
34,신의제약디앤에프,제조업,C21300,경북 청도군 풍각면 봉기리 1105번지,070-4001-8954,
35,유천미곡종합처리장,제조업,C10611,경북 청도군 청도읍 내호리 218번지,054-371-5691,
36,뉴지케이푸드,제조업,C10129,경북 청도군 화양읍 진라리 400번지,054-373-7881,
37,농업회사법인  생생초,제조업,C10741,경북 청도군 화양읍 삼신리 1193번지,054-371-6861,4
38,태림케미칼,제조업,C13994,경북 청도군 풍각면 봉기리 1100번지,054-371-3562,11
39,영농조합법인 서명희반시유통,제조업,C10309,경북 청도군 화양읍 삼신리 1117-1번지,054-373-9933,
40,생기메디온,제조업,C27199,경북 청도군 화양읍 유등리 610-17번지,080-530-7575,
41,청도대감영농조합법인,제조업,C10309,경북 청도군 청도읍 송읍리 287-3번지,054-373-0399,3
42,아주휀스철망,제조업,C25944,경북 청도군 풍각면 봉기리 1105-1번지,054-371-7660,
