순번,회사명,공장소재지주소,생산품,업종명,데이터기준일자
1,(유)종운환경,경상북도 포항시 남구 서원재로 1(호동),제강원료,금속류 원료 재생업,2025-08-13
2,(자)경화계전,경상북도 포항시 남구 연일읍 철강로107번길 70-1,전기판넬,배전반 및 전기 자동제어반 제조업,2025-08-13
3,(주) 피지티,경상북도 포항시 남구 철강산단로 284 (호동),화장품 첨가제 ,그 외 기타 분류 안된 화학제품 제조업 외 1 종,2025-08-13
4,(주)A.T.C,경상북도 포항시 남구 연일읍 동문로94번길 42,"실험설비,공장자동화설비",그 외 기타 특수목적용 기계 제조업 외 6 종,2025-08-13
5,(주)가산식품,경상북도 포항시 북구 기계면 지가리 1089-52번지 외 3필지 외 3필지,"알콩메주, 전통메주",장류 제조업,2025-08-13
6,(주)강한레미콘,경상북도 포항시 북구 흥해읍 동해대로1845번길 47 외 1필지,"레미콘, 레미콘, 레미콘",콘크리트 관 및 기타 구조용 콘크리트 제품 제조업 외 2 종,2025-08-13
7,(주)거룡상사,경상북도 포항시 남구 오천읍 송덕로 228-2 (태흥스텐),고철,금속류 원료 재생업,2025-08-13
8,(주)거명,"경상북도 포항시 북구 청하면 미남길 62, , 미남길 70",부정형내화물(캐스타블),비금속광물 분쇄물 생산업,2025-08-13
9,(주)거성 포항 2공장,경상북도 포항시 북구 청하면 청하로 49,황산니켈6수화물,기타 1차 비철금속 제조업,2025-08-13
10,(주)거양1공장,경상북도 포항시 북구 흥해읍 도음로 888,"아연볼,아연제품","연 및 아연 제련, 정련 및 합금 제조업 외 1 종",2025-08-13
11,(주)거양3공장,경상북도 포항시 북구 청하면 동해대로2315번길 56,파형강관,강관 제조업 외 1 종,2025-08-13
12,(주)거양이엔지,경상북도 포항시 남구 연일읍 형산강남로418번길 52-10,철구조물,육상 금속 골조 구조재 제조업 외 1 종,2025-08-13
13,(주)경동라이팅,경상북도 포항시 남구 대송면 장동홍계길62번길 12-30,"led경관조명, led투광조명, led가로등 등, led경관조명, led투광조명, led가로등 등, led경관조명, led투광조명, led가로등 등, led경관조명, led투광조명, led가로등 등, led경관조명, led투광조명, led가로등 등, led경관조명, led투광조명, led가로등 등",일반용 전기 조명장치 제조업 외 5 종,2025-08-13
14,(주)경북외식산업,경상북도 포항시 북구 문화로 39 (동빈1가),도시락,도시락류 제조업 외 1 종,2025-08-13
15,(주)경북외식산업,경상북도 포항시 남구 인덕로 56 (인덕동),도시락,도시락류 제조업 외 1 종,2025-08-13
16,(주)경원플랜트산업,경상북도 포항시 남구 연일읍 형산강남로 408-6 (총 2 필지) 외 1필지,각종 기계류 부품,육상 금속 골조 구조재 제조업 외 1 종,2025-08-13
17,(주)경일,경상북도 포항시 북구 흥해읍 성곡길 92-13 외 3필지,포장육,육류 기타 가공 및 저장처리업 (가금류 제외) 외 1 종,2025-08-13
18,(주)경흥아이앤씨,경상북도 포항시 남구 호동 421번지,시멘트원료,비금속류 해체 및 선별업 외 1 종,2025-08-13
19,(주)고기는,경상북도 포항시 북구 중흥로213번길 3 (죽도동),부분육 포장 제품,육류 포장육 및 냉동육 가공업 (가금류 제외),2025-08-13
20,(주)고기는,"경상북도 포항시 북구 양학로17번길 5, (득량동 4-9) (득량동) 외 2필지",한우 및 돈육 제품,육류 포장육 및 냉동육 가공업 (가금류 제외),2025-08-13
21,(주)고려엔센,경상북도 포항시 남구 대송면 운제로 312-51,"금속구조물, 금속구조물, 금속구조물, 금속구조물, 금속구조물",그 외 기타 분류 안된 금속 가공 제품 제조업 외 4 종,2025-08-13
22,(주)고려차량,경상북도 포항시 남구 대송면 송덕로212번길 226,철도차량 화물열차,기관차 및 기타 철도차량 제조업,2025-08-13
23,(주)고은산업,경상북도 포항시 북구 청하면 용산길 204 외 1필지,철구조물,육상 금속 골조 구조재 제조업,2025-08-13
24,(주)고은산업개발,경상북도 포항시 북구 청하면 용산길 204,육상 금속 골조 구조재,육상 금속 골조 구조재 제조업,2025-08-13
25,(주)고은산업개발,,철구조물,육상 금속 골조 구조재 제조업,2025-08-13
26,(주)광명,경상북도 포항시 북구 청하면 동해대로 2092,아스콘,아스팔트 콘크리트 및 혼합제품 제조업,2025-08-13
27,(주)광우,경상북도 포항시 남구 장흥로 131 (장흥동),"압연유,유압유,유처리제,합성에스테르",윤활유 및 그리스 제조업 외 3 종,2025-08-13
28,(주)교하산업,경상북도 포항시 남구 대송면 제내길31번길 17 외 1필지,지관,그 외 기타 종이 및 판지 제품 제조업,2025-08-13
29,(주)구구이앤씨,경상북도 포항시 남구 효성로93번길 30-3 (효자동),영상감시장치,방송장비 제조업,2025-08-13
30,(주)국민기계,경상북도 포항시 남구 연일읍 동문로76번길 31-5,실험기자재,"물질 검사, 측정 및 분석기구 제조업",2025-08-13
31,(주)굿로드,경상북도 포항시 남구 오천읍 철강산단로130번길 207-13,산업기게,그 외 기타 일반목적용 기계 제조업,2025-08-13
32,(주)그린캠,"경상북도 포항시 남구 대이로95번길 11-9, 101호 (대잠동)","영상감시 컨트롤러, 감시카메라",방송장비 제조업 외 1 종,2025-08-13
33,(주)금강이앤티,경상북도 포항시 남구 대송면 철강로 170-15 외 2필지,"SHAFT,철구조물, 산업기계부품",육상 금속 골조 구조재 제조업 외 1 종,2025-08-13
34,(주)금강이앤티,경상북도 포항시 남구 대송면 제내길53번길 44-15,"제관, SHAFT.ROLLER,WHELL 외, 제관, SHAFT.ROLLER,WHELL 외",절삭가공 및 유사처리업 외 1 종,2025-08-13
35,(주)금강이앤티,경상북도 포항시 남구 대송면 제내길53번길 44-11,"제관, SHAFT.ROLLER,WHELL 외, 제관, SHAFT.ROLLER,WHELL 외",절삭가공 및 유사처리업 외 1 종,2025-08-13
36,(주)금강이앤티,경상북도 포항시 남구 대송면 제내길53번길 44-22,"제관, SHAFT.ROLLER,WHELL 외, 제관, SHAFT.ROLLER,WHELL 외",절삭가공 및 유사처리업 외 1 종,2025-08-13
37,(주)금강테크,경상북도 포항시 남구 철강로 479 (장흥동),"자동화부품, 조선기자재",그외 기타 1차 철강 제조업,2025-08-13
38,(주)금보에어텍,경상북도 포항시 남구 대송면 운제로 477,터보식 공기압축기,기체 펌프 및 압축기 제조업,2025-08-13
39,(주)남광포리마 포항공장,경상북도 포항시 남구 철강로 445 (장흥동),고무롤,고무패킹류 제조업 외 1 종,2025-08-13
40,(주)남부정밀,경상북도 포항시 남구 연일읍 동문로76번길 11-6,"산업기계, 켄베이어",컨베이어장치 제조업 외 2 종,2025-08-13
41,(주)남영엠텍,경상북도 포항시 남구 연일읍 동문로76번길 38 (남영기계) 외 3필지,포크레인 궤도,건설 및 채광용 기계장비 제조업,2025-08-13
42,(주)남영엠텍2공장,경상북도 포항시 남구 연일읍 동문로76번길 39,기계장비(슬리브),건설 및 채광용 기계장비 제조업,2025-08-13
43,(주)남일기전,경상북도 포항시 북구 흥해읍 용금길163번길 28,압연기,그 외 기타 일반목적용 기계 제조업 외 1 종,2025-08-13
44,(주)남일레미콘,경상북도 포항시 북구 흥해읍 동해대로1845번길 47 외 1필지,레미콘,레미콘 제조업 외 2 종,2025-08-13
45,(주)남일스마트,경상북도 포항시 남구 연일읍 철강로107번길 65,"와이-스튜우드,각종기계부품류",절삭가공 및 유사처리업,2025-08-13
46,(주)넥스온,경상북도 포항시 북구 양덕로30번길 49 (양덕동),키오스크,사무용 기계 및 장비 제조업,2025-08-13
47,(주)노루코일코팅,경상북도 포항시 남구 장흥로39번길 54 (장흥동),산업용도료,일반용 도료 및 관련제품 제조업,2025-08-13
48,(주)노아타포린,경상북도 포항시 남구 대송면 철강산단로 85,가설건축물용 철재 구조물,기타 구조용 금속제품 제조업,2025-08-13
49,(주)뉴로메카,,협동로봇,산업용 로봇 제조업,2025-08-13
50,(주)뉴로메카,경상북도 포항시 북구 흥해읍 영일만산단로118번길 162,"산업용 로봇, 협동로봇",산업용 로봇 제조업,2025-08-13
51,(주)뉴테크엘아이비,경상북도 포항시 남구 동해면 블루밸리동로248번길 8-3,이차전지 음극재 핵심소재,운송장비용 이차전지 제조업 외 1 종,2025-08-13
52,(주)다모텍,경상북도 포항시 남구 연일읍 동문로36번길 18,진공시스템,기체 펌프 및 압축기 제조업,2025-08-13
53,(주)대길,경상북도 포항시 남구 대송면 대송로 38 (총 4 필지) 외 3필지,산업용기계 부분품가공,그 외 기타 일반목적용 기계 제조업 외 1 종,2025-08-13
54,(주)대덕금속,경상북도 포항시 남구 대송면 송덕로126번길 51 (대덕금속),니켈도금강판,"도금, 착색 및 기타 표면처리강재 제조업",2025-08-13
55,(주)대도엘앤씨,경상북도 포항시 남구 동해면 블루서로2길 34,"LED 투광등기구, LED 가로등 및 보안등기구, 매입형 및 고저형 LED등기구 등, 배전반 및 자동제어반, 전기자동차충전기",일반용 전기 조명장치 제조업 외 2 종,2025-08-13
56,(주)대도엘이디(LED),경상북도 포항시 남구 희망대로 867 (해도동),LED등기구,일반용 전기 조명장치 제조업 외 1 종,2025-08-13
57,(주)대동,경상북도 포항시 남구 대송면 송덕로126번길 39 ((주)대동),"BLOW PIPE,LANCE, 컨베이어장치",육상 금속 골조 구조재 제조업 외 3 종,2025-08-13
58,(주)대동스틸,경상북도 포항시 남구 철강로 506 (장흥동) (총 2 필지) 외 1필지,"SHEET,SKELP",그 외 기타 1차 철강 제조업,2025-08-13
59,(주)대륙금속,경상북도 포항시 북구 송라면 동해대로 2874 ((주)대륙금속) 외 1필지,"코팅강관, 금속 도장 및 피막처리","도금, 착색 및 기타 표면처리강재 제조업 외 1 종",2025-08-13
60,(주)대륙신소재,경상북도 포항시 남구 동해면 블루밸리로 433,아스콘채움재,그 외 기타 분류 안된 비금속 광물제품 제조업,2025-08-13
61,(주)대망물산,경상북도 포항시 남구 오천읍 철강산단로130번길 187-10,"주석,니켈",비주거용 건물 임대업,2025-08-13
62,(주)대성메탈,경상북도 포항시 남구 대송면 송덕로 177,중기부품,육상 금속 골조 구조재 제조업 외 2 종,2025-08-13
63,(주)대성케미칼,경상북도 포항시 남구 구룡포읍 동해안로 4489-26,"스티로폼 박스(농,수산용), 스티로폼 박스(농,수산용)",폴리스티렌 발포 성형제품 제조업 외 1 종,2025-08-13
64,(주)대승메탈,경상북도 포항시 남구 오천읍 광명산단로 120,"니켈, 스테인레스 제품",절삭가공 및 유사처리업,2025-08-13
65,(주)대승스틸,,제강원료,금속류 해체 및 선별업,2025-08-13
66,(주)대안정공,경상북도 포항시 남구 대송면 송덕로 146 ((주)대안정공),"메탈케이스,금형,기계",주형 및 금형 제조업,2025-08-13
67,(주)대양,경상북도 포항시 남구 오천읍 기림로 1665 외 2필지,조선용 철판 및 형강,구조용 금속 판제품 및 공작물 제조업,2025-08-13
68,(주)대양에프앤비,,명이나물장아찌,과실 및 그 외 채소 절임식품 제조업,2025-08-13
69,(주)대연기업,경상북도 포항시 남구 연일읍 동문로76번길 35,포장용자재,자동차용 금속 압형제품 제조업 외 1 종,2025-08-13
70,(주)대우철망,경상북도 포항시 북구 신광면 비학로 558,"반생, 철망",금속선 가공제품 제조업,2025-08-13
71,(주)대웅,경상북도 포항시 남구 오천읍 송덕로212번길 33 외 1필지,"산업기계, 압력용기, 산업기계, 압력용기, 산업기계, 압력용기, 산업기계, 압력용기",그 외 기타 일반목적용 기계 제조업 외 3 종,2025-08-13
72,(주)대원,경상북도 포항시 남구 대송면 운제로 43,용접 제조품,그 외 기타 1차 철강 제조업 외 1 종,2025-08-13
73,(주)대일기업,경상북도 포항시 북구 기계면 새마을로 2522 외 5필지,"레미콘, 벽돌, 흄관",레미콘 제조업 외 2 종,2025-08-13
74,(주)대일산업,경상북도 포항시 남구 장흥로197번길 21 (호동),"시편가공, 정밀절단가공",육상 금속 골조 구조재 제조업 외 1 종,2025-08-13
75,(주)대일씨엔에프,경상북도 포항시 남구 구룡포읍 병포길 129 (총 3 필지) 외 2필지,오징어채 외,기타 수산동물 가공 및 저장 처리업,2025-08-13
76,(주)대일정공,경상북도 포항시 남구 대송면 제내길31번길 37,금속가공품,그 외 기타 금속가공업,2025-08-13
77,(주)대일화학,경상북도 포항시 남구 철강로 544 (장흥동),"촉매제, 탈색제, 플라이애시, 채움재, 고화재, 슬래그시멘트",비금속광물 분쇄물 생산업 외 2 종,2025-08-13
78,(주)대일화학,경상북도 포항시 남구 철강로 536(장흥동),산성백토,비금속광물 분쇄물 생산업,2025-08-13
79,(주)대주기공,"경상북도 포항시 남구 섬안로 22 (괴동동, 대주기공(주))","금형,메탈케이스,기계부품등",기타 가공 공작기계 제조업,2025-08-13
80,(주)대진전기시스템,경상북도 포항시 남구 연일읍 동문로40번길 57,자동제어반,배전반 및 전기 자동제어반 제조업,2025-08-13
81,(주)대창산업,경상북도 포항시 북구 청하면 용산길 160,철구조물,육상 금속 골조 구조재 제조업 외 1 종,2025-08-13
82,(주)대창산업,경상북도 포항시 북구 청하면 동해대로2315번길 116,철구조물,육상 금속 골조 구조재 제조업 외 1 종,2025-08-13
83,(주)대한이엔지,경상북도 포항시 남구 연일읍 동문로40번길 41,액체펌프,액체 펌프 제조업,2025-08-13
84,(주)대호SP,경상북도 포항시 남구 연일읍 형산강남로418번길 66-1,SOLE PLATE,육상 금속 골조 구조재 제조업,2025-08-13
85,(주)대호특수강 포항공장,"경상북도 포항시 남구 서원재로 44(호동, (주)대호특수강 포항공장)","CHQ선재(냉간압조용선재),직선바",철강선 제조업,2025-08-13
86,(주)더굿스틸,경상북도 포항시 남구 대송면 철강산단로34번길 69,"절단가공 철강재, 파이프",그 외 기타 1차 철강 제조업 외 2 종,2025-08-13
87,(주)더조은에프앤비,경상북도 포항시 남구 장기면 영암길 55,"오징어 가공품, 소분품목","수산동물 훈제, 조리 및 유사 조제식품 제조업",2025-08-13
88,(주)덕신산업,경상북도 포항시 북구 청하면 고현길17번길 58,"주차철골,집진설비,SHOT-PAINTING",육상 금속 골조 구조재 제조업 외 1 종,2025-08-13
89,(주)데일리디자인,경상북도 포항시 북구 양학로9번길 35 (득량동),"간판,광고탑,배너간판,현수막",그 외 기타 분류 안된 금속 가공 제품 제조업 외 3 종,2025-08-13
90,(주)데크,경상북도 포항시 북구 청하면 사방공원길 449-1,표면가공목재 외11종,일반 제재업 외 14 종,2025-08-13
91,(주)덱스테크놀로지,"경상북도 포항시 남구 지곡로 394, 제1벤처동 B113(지곡동, 포항테크노파크)",나노 이온 분리,반도체 제조용 기계 제조업 외 3 종,2025-08-13
92,(주)도원테크,경상북도 포항시 남구 연일읍 형산강남로 390-3 ((주)제철FA),철구조물,육상 금속 골조 구조재 제조업 외 1 종,2025-08-13
93,(주)도원테크,경상북도 포항시 남구 연일읍 형산강남로 390-5,금속조립구조재,육상 금속 골조 구조재 제조업 외 1 종,2025-08-13
94,(주)독도무역,경상북도 포항시 북구 흥해읍 도음로 758,명이나물,김치류 제조업 외 1 종,2025-08-13
95,(주)동광복층유리,경상북도 포항시 북구 흥해읍 용금길 207,복층유리 창호제조,안전유리 제조업 외 1 종,2025-08-13
96,(주)동국S&C,경상북도 포항시 북구 흥해읍 해안로 964,윈드타워 외,육상 금속 골조 구조재 제조업,2025-08-13
97,(주)동국산업기계,경상북도 포항시 남구 대송면 운제로 41,철구조재,육상 금속 골조 구조재 제조업,2025-08-13
98,(주)동국에스엔씨,"경상북도 포항시 남구 대송로 62(장흥동, (주)동국S&C) 외 2필지",윈드타워,육상 금속 골조 구조재 제조업 외 1 종,2025-08-13
99,(주)동국에스엔씨 제3공장  ,경상북도 포항시 남구 철강로 181 (장흥동),WIND TOWER,육상 금속 골조 구조재 제조업 외 1 종,2025-08-13
100,(주)동도,경상북도 포항시 남구 오천읍 송덕로212번길 75,"SOLE PLATE, BASE PLATE",구조용 금속 판제품 및 공작물 제조업,2025-08-13
101,(주)동림,"경상북도 포항시 남구 철강로492번길 33 (장흥동, (주)동림)",슬라그진정재,비금속류 원료 재생업,2025-08-13
102,(주)동문철강,경상북도 포항시 북구 흥해읍 도음로856번길 7,U-RIB 외1종,육상 금속 골조 구조재 제조업 외 1 종,2025-08-13
103,(주)동방,경상북도 포항시 남구 철강산단로 291 (장흥동),임대,비주거용 건물 임대업,2025-08-13
104,(주)동방 포항지사,경상북도 포항시 남구 철강산단로 289 (장흥동),보관창고,일반 창고업 외 1 종,2025-08-13
105,(주)동보금속,경상북도 포항시 남구 연일읍 동문로76번길 48 (제일산기(주)),금속가공품,절삭가공 및 유사처리업,2025-08-13
106,(주)동부목재,경상북도 포항시 북구 흥해읍 덕장리 18-12번지,"각재, 목재",표면 가공 목재 및 특정 목적용 제재목 제조업,2025-08-13
107,(주)동북이앤씨,경상북도 포항시 남구 대송면 제내길47번길 30-5,세라믹코팅,도장 및 기타 피막처리업,2025-08-13
108,(주)동서화학,경상북도 포항시 남구 철강로 403 (호동),콘크리트 혼화재,그 외 기타 분류 안된 화학제품 제조업 외 1 종,2025-08-13
109,(주)동성조선,경상북도 포항시 남구 운하로 239 (송도동) 외 4필지,선박 건조,강선 건조업 외 3 종,2025-08-13
110,(주)동신 포항공장,경상북도 포항시남구 동해면 상정리 766번지,입상증량제,비금속광물 분쇄물 생산업,2025-08-13
111,(주)동심유니폼,경상북도 포항시 남구 대송면 제내길 6,작업복 외,"근무복, 작업복 및 유사의복 제조업 외 6 종",2025-08-13
112,(주)동아레미콘,경상북도 포항시 남구 섬안로46번길 26 (괴동동),레미콘,레미콘 제조업 외 4 종,2025-08-13
113,(주)동아에이앤씨,경상북도 포항시 남구 섬안로46번길 26 (괴동동),아스콘 외,아스팔트 콘크리트 및 혼합제품 제조업 외 3 종,2025-08-13
114,(주)동양소재,경상북도 포항시남구 동해면 상정리 911번지,고토생석회비료,비금속광물 분쇄물 생산업,2025-08-13
115,(주)동양에스텍,경상북도 포항시 남구 오천읍 정몽주로 163-2,1차 산업용 STEEL소재,그 외 기타 1차 철강 제조업,2025-08-13
116,(주)동양에스텍,경상북도 포항시 남구 오천읍 정몽주로 163 외 4필지,"열연 sheet(박판), 평판",그 외 기타 1차 철강 제조업 외 2 종,2025-08-13
117,(주)동양철강포항공장,경상북도 포항시남구 오천읍 문덕리 619-9번지,코일절단가공,일반철물 제조업,2025-08-13
118,(주)동연중공업,경상북도 포항시 남구 오천읍 철강산단로130번길 218,"발전소설비, 제철설비 제작",그 외 기타 일반목적용 기계 제조업,2025-08-13
119,(주)동연특수,경상북도 포항시 남구 철강로 468 (장흥동),보관창고,일반 창고업 외 1 종,2025-08-13
120,(주)동인기전,경상북도 포항시 남구 인덕로16번길 13(인덕동),송전용 커넥트,전기회로 접속장치 제조업,2025-08-13
121,(주)동일알앤이,경상북도 포항시 남구 오천읍 송덕로 228-4 (동일알앤이),"조재제,로상재",비금속류 해체 및 선별업 외 1 종,2025-08-13
122,(주)동하이엔씨,경상북도 포항시 남구 정몽주로847번길 27-1 (청림동),"수배전반, 전기자동제어반, 전기판넬",배전반 및 전기 자동제어반 제조업,2025-08-13
123,(주)동해개발레미콘,경상북도 포항시 남구 장기면 장기로 577 외 3필지,레미콘제품제조,레미콘 제조업 외 2 종,2025-08-13
124,(주)동해이엔에스,경상북도 포항시 남구 대해로 140 (대도동),"CCTV, 영상감시장치, 차량번호판독기",방송장비 제조업 외 1 종,2025-08-13
125,(주)동화이앤아이,경상북도 포항시 북구 청하면 용산길 296,철구조물,육상 금속 골조 구조재 제조업 외 1 종,2025-08-13
126,(주)동화이앤아이,경상북도 포항시 북구 청하면 사방공원길 188,철구조물,육상 금속 골조 구조재 제조업,2025-08-13
127,(주)두루,경상북도 포항시 남구 철강로 536(장흥동),,비주거용 건물 임대업,2025-08-13
128,(주)두루 ,경상북도 포항시 남구 철강로492번길 44 (장흥동),"철판절단가공, 숏트블라스트,비금속광물분쇄물","도금, 착색 및 기타 표면처리강재 제조업 외 1 종",2025-08-13
129,(주)두루 2공장,경상북도 포항시 남구 철강로492번길 44 (장흥동),보관창고,일반 창고업 외 1 종,2025-08-13
130,(주)두루 제1공장 ,경상북도 포항시 남구 서원재로 80(호동) 외 3필지,철판가공,그 외 기타 금속가공업,2025-08-13
131,(주)두림계전,경상북도 포항시 남구 연일읍 동문로40번길 53-2 외 3필지,"전기자동제어반,수배전반",배전반 및 전기 자동제어반 제조업,2025-08-13
132,(주)두림계전,경상북도 포항시 남구 연일읍 동문로40번길 53-10,배전반 및 전기자동제어반 제조업,배전반 및 전기 자동제어반 제조업,2025-08-13
