순번,회사명,공장대표주소(지번),업종명
219,(주)큐앤큐테크,문경시 영순면 감골길 41,화학 살균.살충제 및 농업용 약제 제조업 외 1종
47,(주)와이앤티,경상북도 문경시 산양면 진정리 600-11번지,화장품 제조업
67,(주)피앤씨이노텍,경상북도 문경시 신기동 1136-5번지,화장품 제조업
264,삼성씨에스(주),문경시 신기공단2길 37 (신기동),혼성 및 재생 플라스틱 소재 물질 제조업 외 4종
13,(주)도우상사,경상북도 문경시 마성면 오천리 871,혼성 및 재생 플라스틱 소재 물질 제조업
95,넥스텍케미칼,경상북도 문경시 신기동 1141-6,혼성 및 재생 플라스틱 소재 물질 제조업
48,(주)우성첨단소재,경상북도 문경시 신기동 1141-4,합성수지 및 기타 플라스틱 물질 제조업
49,(주)우성케미칼,경상북도 문경시 신기동 1141-4,합성수지 및 기타 플라스틱 물질 제조업
8,(주)대명화학1공장,경상북도 문경시 산양면 진정리 600-6번지 외 5필지,플라스틱 필름 제조업 외 2 종
12,(주)대원홀딩스,경상북도 문경시 신기동 1141-5번지,플라스틱 창호 제조업 외 2 종
247,동희건설(주),문경시 중앙로 301 (흥덕동),플라스틱 창호 제조업 외 1종
194,(주)나노필름,문경시 신기공단1길 26 (신기동),플라스틱 접착처리 제품 제조업 외 1종
31,(주)수하이텍,경상북도 문경시 마성면 오천리 895-1번지,"플라스틱 선, 봉, 관 및 호스 제조업 외 5 종"
2,(주)경안 ,경상북도 문경시 가은읍 왕능리 614-1번지,"플라스틱 선, 봉, 관 및 호스 제조업"
45,(주)엠씨엠텍,경상북도 문경시 영순면 의곡리 1283번지,표면처리 및 적층 직물 제조업
227,경북톱밥,문경시 산양면 산동로 116,표면 가공 목재 및 특정 목적용 제재목 제조업 외 1종
199,(주)무지환경,문경시 공평동 971-2번지,표면 가공 목재 및 특정 목적용 제재목 제조업
222,(주)풍림 문경지점,문경시 신기동 252-27번지,표면 가공 목재 및 특정 목적용 제재목 제조업
241,동남산업,문경시 산양면 평지리 231번지,표면 가공 목재 및 특정 목적용 제재목 제조업
4,(주)늘품,경상북도 문경시 영순면 의곡리 1289번지,포장용 플라스틱 성형용기 제조업
57,(주)제이디파워텍,경상북도 문경시 영순면 의곡리 1278-1,태양력 발전업
256,문경주조,문경시 동로면 노은1길 49-15 (공장),탁주 및 약주 제조업
260,문경호산춘,문경시 산북면 대하리 400-6번지,탁주 및 약주 제조업
224,(주)황토하우징,문경시 신기로 79 (신기동),타일 및 유사 비내화 요업제품 제조업
303,(주)대성이앤디,문경시 신기로 172 (신기동),타일 및 유사 비내화 요업제품 제조업
170,지에프알씨MH,경상북도 문경시 마성면 오천리 896번지,"콘크리트 타일, 기와, 벽돌 및 블록 제조업 외 3 종"
198,(주)마성콘크리트,문경시 마성면 마성길 115,"콘크리트 타일, 기와, 벽돌 및 블록 제조업 외 1종"
212,(주)에코제이피,"문경시 가은읍 공단강변길 197, (주)에코제이피","콘크리트 타일, 기와, 벽돌 및 블록 제조업 외 1종"
217,(주)점촌콘크리트,문경시 신기공단1길 75-2 (신기동),"콘크리트 타일, 기와, 벽돌 및 블록 제조업 외 1종"
36,(주)아이딘,경상북도 문경시 가은읍 왕능리 639번지,"콘크리트 타일, 기와, 벽돌 및 블록 제조업 외 1 종"
282,주식회사 우성바이오텍,문경시 가은읍 대야로 2171,"콘크리트 타일, 기와, 벽돌 및 블록 제조업"
203,(주)삼성에코텍,문경시 신기공단1길 53 (신기동),콘크리트 관 및 기타 구조용 콘크리트 제품 제조업 외 6종
88,경북산업(주),경상북도 문경시 산양면 진정리 630-6번지,콘크리트 관 및 기타 구조용 콘크리트 제품 제조업 외 2 종
204,(주)삼성엠케이,문경시 신기공단1길 53 (신기동),콘크리트 관 및 기타 구조용 콘크리트 제품 제조업 외 1종
86,경북산업(주),경상북도 문경시 산양면 진정리 630-8번지,콘크리트 관 및 기타 구조용 콘크리트 제품 제조업 외 1 종
87,경북산업(주),경상북도 문경시 산양면 진정리 630-6번지,콘크리트 관 및 기타 구조용 콘크리트 제품 제조업 외 1 종
193,(주)KEC,문경시 신기공단1길 62 (신기동),콘크리트 관 및 기타 구조용 콘크리트 제품 제조업
211,(주)에코이노텍 문경지점,"문경시 신기공단1길 53(신기동, (주)삼성엠케이, (주)삼성에코텍)",콘크리트 관 및 기타 구조용 콘크리트 제품 제조업
244,동일피씨씨(주),문경시 신기공단1길 62 (신기동),콘크리트 관 및 기타 구조용 콘크리트 제품 제조업
245,동창산업(주),문경시 마성면 외어리 1126-1번지,코크스 및 관련제품 제조업 외 1종
311,(주)기린,문경시 산양면 경서로 523-10,컴퓨터 제조업 외 1종
