업체명,업종구분,소재지,전화번호,팩스번호
(주)네오켄바이오,식품제조가공업,경상북도 안동시 풍산읍 산업단지2길 5(경북바이오산업연구원 3동 302호),02-964-9011,
(주)다온 청도공장,식품제조가공업,경상북도 청도군 화양읍 학산토평길 275,053-267-8686,
(주)늘푸른스마트테크,식품제조가공업,경상북도 영천시 대창면 선진길 12,053-719-3171,
(주)참푸드팜 경산지점,식품제조가공업,경상북도 경산시 남천면 대명길 91(주참푸드팜 경산지점 A동),053-815-4244,
연이담한과,식품제조가공업,경상북도 포항시 남구 대송면 장동홍계길220번길 53,054-248-1399,
농업회사법인(주)태산글로벌,식품제조가공업,경상북도 영천시 신녕면 완전공단길 23(주5동),054-332-3003,
웰빙플러스,식품제조가공업,경상북도 영천시 약초시장길 4(영천약초시장 115호 도동),054-335-6337,
청도군농산물가공센터,식품제조가공업,경상북도 청도군 화양읍 청화3길 10,054-370-2286,
농업회사법인 주식회사 청도원감,식품제조가공업,경상북도 청도군 청도읍 새마을로 574,054-372-0940,
농업회사법인 한결농산,식품제조가공업,경상북도 청도군 이서면 서원길 117,054-372-4466,
한결농산,식품제조가공업,경상북도 청도군 이서면 서원길 117,054-372-4466,
꽃보다 차,식품제조가공업,경상북도 청도군 이서면 대흥길 5,054-372-4550,
청록영농조합,식품제조가공업,경상북도 청도군 헐티로 101-10(외3필지),054-372-6651,
효성팜영농조합법인,식품제조가공업,경상북도 청도군 청도읍 덕암길 193,054-372-7788,
낙산골농장,식품제조가공업,경상북도 청도군 각북면 낙산2길 15-28,054-372-8483,
감미인영농조합법인,식품제조가공업,경상북도 청도군 매전면 청매로 642-8,054-373-0399,
농업회사법인 주식회사 한가득,식품제조가공업,경상북도 청도군 이서면 서원길 126,054-373-2995,
농업회사법인평원(주),식품제조가공업,경상북도 청도군 청도읍 청매로 281-1,054-373-3558,
엔젤베리,식품제조가공업,경상북도 청도군 청도읍 안내길 35-19,054-373-6627,
복희씨의 자담,식품제조가공업,경상북도 청도군 각북면 각북금천길 101,054-373-7648,
농업회사법인 (주)청담채,식품제조가공업,경상북도 청도군 이서면 철담길 9,054-373-8983,
주식회사송죽명과,식품제조가공업,경상북도 김천시 구성면 송죽3길 31-6,054-439-3358,
대림유통,식품제조가공업,"경상북도 구미시 고아읍 들성로15길 22-7(가,나동 1층)",054-455-4237,
주식회사청우식품제2공장,식품제조가공업,"경상북도 구미시 고아읍 농공단지길 35-32(주1동 1,2층)",054-481-8101,
오케이농원,식품제조가공업,경상북도 김천시 대항면 괘방령로 1006-72,054-531-7473,
영농조합법인 엄마손푸드,식품제조가공업,경상북도 문경시 농암면 내서리 503-1,054-535-5322,
이로하영농조합법인,식품제조가공업,경상북도 문경시 유곡불정로 204-10(유곡동),054-552-2584,
수지누리식품,식품제조가공업,경상북도 문경시 산양면 의산길 20-6,054-552-2835,
문경오미자영농조합법인,식품제조가공업,경상북도 문경시 평지길 97-5,054-552-7591,
영농조합법인 팜 플러스,식품제조가공업,경상북도 문경시 동로면 무라이길 245-3,054-552-7880,
세진농원,식품제조가공업,경상북도 문경시 평지길 52-4,054-552-8233,
문경오미자밸리영농조합법인,식품제조가공업,경상북도 문경시 동로면 여우목로 2265,054-552-9000,
예전식품,식품제조가공업,경상북도 문경시 표석골1길 32(공평동),054-553-8629,
문경새재웰빙하우스,식품제조가공업,경상북도 문경시 문경읍 한골길 18,054-571-0661,
대실영농조합법인,식품제조가공업,경상북도 문경시 마성면 남호1길 35,054-571-1084,
이음전식품,식품제조가공업,경상북도 문경시 농암면 중리길 32,054-571-3415,
문경새재푸드,식품제조가공업,경상북도 문경시 문경읍 새재로 335(지하1층),054-571-5535,
문경새재골영농조합법인,식품제조가공업,경상북도 문경시 화지길 37-12,054-572-1900,
청수종합식품,식품제조가공업,경상북도 문경시 가은읍 대야로 2463,054-572-7878,
주식회사 웅진수산,식품제조가공업,경상북도 영덕군 축산면 축산항2길 39,054-732-7284,
영덕군장애인보호작업장,식품제조가공업,경상북도 영덕군 강구면 강영로 191,054-734-2143,
홍일식품,식품제조가공업,경상북도 영덕군 강구면 금호샛길 115-26,054-734-7571,
행복식품,식품제조가공업,경상북도 경주시 승삼신리길 94(용강동),054-742-6045,
농업회사법인 진영 유한회사,식품제조가공업,경상북도 경주시 내남로 637-26(율동),054-745-0880,
청애원,식품제조가공업,경상북도 경주시 서면 화촌길 14-23,054-746-5987,
진수미가,식품제조가공업,경상북도 경주시 북군길 51(북군동),054-749-1163,
농업회사법인 주식회사 모이식품 제2공장,식품제조가공업,경상북도 경주시 안강읍 부곡길 77,054-761-0239,
주)오동통상사,식품제조가공업,경상북도 경주시 금성로368번길 54(성건동),054-772-0304,
농업회사법인 다올 주식회사,식품제조가공업,경상북도 경주시 현곡면 나원계탑길 46,054-777-2801,
경주 순수 찰보리빵,식품제조가공업,경상북도 경주시 계림로 77(노동동),054-777-7520,
영신곳간,식품제조가공업,경상북도 울진군 후포면 후포삼율로 49-1,054-788-2110,
울릉농업협동조합,식품제조가공업,경상북도 울릉군 울릉읍 울릉순환로 254-12,054-791-1005,
제비원식품 주식회사,식품제조가공업,경상북도 안동시 서후면 북평로 116-16(가동),054-841-2778,
(주)한국헴프연구개발협회,식품제조가공업,경상북도 안동시 풍천면 구담배나들길 29(1층),054-841-6616,
(주)안동간고등어푸드엔드베스트,식품제조가공업,경상북도 안동시 앙실2길 47(수하동),054-853-1516,
(주)피노젠 농업회사법인,식품제조가공업,경상북도 안동시 동흥2길 21(안동시 청년전용지식산업센터 2층 201호 동부동),054-854-8001,
마왕푸드,식품제조가공업,경상북도 안동시 서부시장길 40(1층 태화동),054-854-9255,
더 허브티 빌리지,식품제조가공업,경상북도 안동시 서후면 학가산온천길 7,054-856-2836,
(주)초인당농업회사법인,식품제조가공업,경상북도 안동시 풍산읍 미질길 6,054-857-9188,
남안동식품,식품제조가공업,경상북도 안동시 일직면 경북대로 7607,054-858-1853,
고령된장,식품제조가공업,경상북도 고령군 성산면 운성로 675-13,054-954-4863,
