순번,회사명,대표자명,전화번호,공장대표주소(도로명),업종명,생산품,데이터기준일자
1,(사)약선가공식품명품화사업단,서권환,054-373-2580,경상북도 청도군 화양읍 합천길 41-40 (총 2 필지) 외 1필지,도시락류 제조업 외 1 종,약선약식류,2024-05-16
2,(주)감천지,김경숙,054-371-2237,경상북도 청도군 이서면 팔조령길 16,빵류 제조업,빵,2024-05-16
3,(주)거빈,박희준,,경상북도 청도군 이서면 양원리 160-6 외 3필지,운송장비 조립용 플라스틱제품 제조업 외 1 종,자동차용 사출성형품(매트 등),2024-05-16
4,(주)거성산업자재,문정언,054-371-5727,경상북도 청도군 풍각면 봉기1길 31-15,화학섬유직물 직조업,원사가공(연사),2024-05-16
5,(주)광운산업,정철우,,경상북도 청도군 청도읍 청매로 172-32,육상 금속 골조 구조재 제조업 외 2 종,"금속패널, 보온재, 조형시설물, 이동식모듈하우스",2024-05-16
6,(주)귀뚜라미,최재범 ,054-371-9002,경상북도 청도군 청도읍 월곡2길 34 (청도읍),가정용 전기 난방기기 제조업 외 4 종,"보일러, 모터",2024-05-16
7,(주)귀뚜라미 5공장,최재범,054-371-9000,"경상북도 청도군 청도읍 월곡2길 49, B동 2층",가정용 전기 난방기기 제조업,카본매트,2024-05-16
8,(주)귀뚜라미2공장,최재범  ,054-371-9000,경상북도 청도군 청도읍 월곡2길 31,가정용 전기 난방기기 제조업,가정용보일러,2024-05-16
9,(주)귀뚜라미3공장,최재범 ,054-371-9000,경상북도 청도군 청도읍 월곡2길 41,가정용 전기 난방기기 제조업,가정용보일러,2024-05-16
10,(주)근원,손성호,054-728-9606,경상북도 청도군 풍각면 봉기1길 69 ((주)튼튼산업),폴리스티렌 발포 성형제품 제조업 외 1 종,스티로폼,2024-05-16
11,(주)나노켐,최재범,054-370-9081,경상북도 청도군 청도읍 월곡2길 49 ((주)나노켐),핵반응기 및 증기보일러 제조업 외 4 종,보일러,2024-05-16
12,(주)나노켐 2공장,최재범,054-370-9081,경상북도 청도군 청도읍 월곡2길 57,절삭가공 및 유사처리업,보일러용열수교환기금형제작,2024-05-16
13,(주)내외,이충식,054-371-6090,"경상북도 청도군 청도읍 월곡2길 29-15, (청도농공단지 내)",화학섬유직물 직조업 외 1 종,"견, 인조섬유",2024-05-16
14,(주)대구불로탁주,최홍렬,053-983-6600,경상북도 청도군 풍각면 봉기1길 11,탁주 및 약주 제조업,탁주 ,2024-05-16
15,(주)대동페루프,박서정,054-371-2345,경상북도 청도군 금천면 명포길 165-30,"점토 벽돌, 블록 및 유사 비내화 요업제품 제조업 외 1 종",기와,2024-05-16
