업체명,전화번호,주소,업종명,생산품,대표자명
(주) 우진,055-674-5921,경상남도 고성군 삼산면 판곡리 26,수산동물 냉동품 제조업,냉동굴,최유열 외 1인
(주) 정필,055-674-6956,경상남도 고성군 고성읍 남해안대로 2246,기타 수산동물 가공 및 저장 처리업,"참치스테이크, 횟감용참치",양득재
(주)CR엔지니어링 고성공장,,경상남도 고성군 동해면 조선특구로 1108-14,기타 물품 취급장비 제조업 외 2 종,"크레인, 강선",이영종
(주)경남해양테크,055-674-3464,경상남도 고성군 마암면 삼락6길 78-11,"플라스틱 선, 봉, 관 및 호스 제조업 외 2 종","내파성가두리용 폰툰, 친환경부표",주종대
(주)금아,055-672-9964,경상남도 고성군 거류면 감서리 1248,강관 제조업 외 1 종,강관(하우스파이프),배선영
(주)금풍 고성공장,055-337-8555,경상남도 고성군 상리면 장치로 224,공기 조화장치 제조업 외 1 종,"송풍기, 집진기",김종수
(주)길갈스텐창호,055-673-7501,경상남도 고성군 고성읍 죽계1길 29,"금속 문, 창, 셔터 및 관련제품 제조업 외 1 종",창호,전춘호
(주)남도산업,055-673-5734,경상남도 고성군 마암면 남해안대로 3175,도장 및 기타 피막처리업,"도장품,피막품",곽철민
(주)다성바이오,,경상남도 고성군 삼산면 판곡1길 108,복합비료 및 기타 화학비료 제조업 외 1 종,유기질비료,주행운
(주)다이코,055-673-8566,경상남도 고성군 고성읍 상정대로 602,항공기용 부품 제조업,항공기구성품,김경환
(주)대광,055-673-6814,경상남도 고성군 고성읍 율대6길 83,선박 구성 부분품 제조업,선박의장품,장종태
(주)대성종합가스,055-673-4641,경상남도 고성군 고성읍 율대5길 15,산업용 가스 제조업,"산업용고압가스, 액화석유가스","문춘현, 이진욱"
(주)대원,070-7525-5296,경상남도 고성군 구만면 영회로 1642,선박 구성 부분품 제조업,선박블록 부분품,박진호
(주)대일기공,055-672-1980,경상남도 고성군 고성읍 무량로 45,선박 구성 부분품 제조업,배관제작 및 유니트 조립품 제작,조식래
(주)대정중공업,055-674-7168,경상남도 고성군 거류면 거류로 376-70,육상 금속 골조 구조재 제조업 외 4 종,철의장품,정경진
(주)더솔리더스,055-714-8226,경상남도 고성군 고성읍 상정대로 538,기타 표시장치 제조업 외 1 종,무기이엘 평판디스플레이,김점영
(주)덕광기업,055-673-7151,경상남도 고성군 고성읍 율대5길 69,선박 구성 부분품 제조업,선박용기자재 철판절단품,이상석
(주)동진테크윈,055-210-9161,경상남도 고성군 고성읍 대독산업로 83-12,육상 금속 골조 구조재 제조업 외 1 종,금속조립구조재,조승민
(주)디에이치에이치아이,055-346-3663,경상남도 고성군 거류면 동해로 661-34,선박 구성 부분품 제조업 외 2 종,"선박부품, 발전설비기자재",서호길
(주)디케이엔지니어링,055-673-8022,경상남도 고성군 고성읍 율대5길 38-23,선박 구성 부분품 제조업,선박구성품(t-bar),김성돈
(주)메이드,055-674-1701,경상남도 고성군 거류면 거류로 161,금속 표시판 제조업 외 2 종,도로표지판,배정구
(주)미락,055-674-3068,경상남도 고성군 고성읍 덕선로 168,육류 기타 가공 및 저장처리업 (가금류 제외) 외 1 종,육고기가공품,최충식
(주)비엔에스산업,055-673-8908,경상남도 고성군 회화면 엑스포로 94-41,선박 구성 부분품 제조업,선박구성부분품제조업,장용택
(주)삼도인더스트리,055-673-6231,경상남도 고성군 고성읍 남해안대로 2951,디지털 적층 성형기계 제조업 외 1 종,프레스 제조,이도경
(주)삼도인더스트리 제2공장,055-673-6231,경상남도 고성군 고성읍 남해안대로 2955,디지털 적층 성형기계 제조업 외 1 종,"플로우포밍기계, 고속너클프레스",이도경
(주)새한엔지니어링,055-673-9166,경상남도 고성군 구만면 영회로 1573,선박 구성 부분품 제조업,선박구성부분품,윤권수
(주)새한엔지니어링,055-673-9166,경상남도 고성군 고성읍 남해안대로 2969,선박 구성 부분품 제조업,조선기자재 절단 및 블럭가공,윤권수
(주)성진이제닉,055-673-7457,경상남도 고성군 회화면 배둔공단길 103,운송장비 조립용 플라스틱제품 제조업 외 1 종,핸드폰 카메라 부품,변영광
(주)성하산업,055-265-5562,경상남도 고성군 상리면 장치로 332,선박 구성 부분품 제조업 외 26 종,선박용크레인 및 적재이동장비,강차성
(주)세영기업,055-673-0891,경상남도 고성군 고성읍 율대6길 27,일반 창고업,물류창고,허인구
(주)송학,055-672-4171,경상남도 고성군 동해면 장좌리 산 44-8,화장품 제조업,화장품,강경아
(주)신영,055-673-6101,경상남도 고성군 영오면 성곡4길 65,육상 금속 골조 구조재 제조업 외 3 종,철구조물,임태영
