회사명,전화번호,읍면동,주소,주력생산품,근로자수
주식회사 대진 글로벌,055-346-0306,진영읍,"경상남도 김해시 진영읍 하계로240번길 115, B동 2층","알루미늄 절단,가공",3
(주)유니크,055-340-2119,진영읍,경상남도 김해시 진영읍 서부로179번길 90,자동차 솔레노이드밸브,401
삼원동관(주),055-345-5900,진영읍,경상남도 김해시 진영읍 본산로269번길 80,동파이프.밸브,207
(주)케이디에이(KDA),055-342-9850,진영읍,경상남도 김해시 진영읍 서부로179번길 39-110,자동차 동력축,184
주식회사 에스에이치아이엔티,055-900-7879,진영읍,경상남도 김해시 진영읍 서부로123번길 25,자동차 차체 내장제 도어트림,131
대호정기㈜,055-345-2121,진영읍,경상남도 김해시 진영읍 서부로179번길 48,자동차금속 전장품,125
상신전자(주),055-343-3826,진영읍,경상남도 김해시 진영읍 본산로269번길 16-34,전자부품(노이즈릴터 코일 리엑터),125
(주)동성전기,055-342-4403,진영읍,경상남도 김해시 진영읍 서부로123번길 18,전동기 및 발전기제조,117
이래cs(주),055-346-2000,진영읍,경상남도 김해시 진영읍 서부로179번길 39-130,자동차차체부품(지엠) 필러-자동차지붕 지지역할,114
(주)동신모텍,055-345-2278,진영읍,경상남도 김해시 진영읍 서부로179번길 37 A,자동차차체 프레임,112
(주)신라식품,055-342-5155,진영읍,경상남도 김해시 진영읍 서부로179번길 6 B동,한우한돈 포장,110
경진단조(주),055-345-6570,진영읍,경상남도 김해시 진영읍 본산로212번길 32,"자동차부품(기어,샤프트)",110
(주) 나경,055-320-7907,진영읍,경상남도 김해시 진영읍 가산로 91,브라인드직물,105
주식회사유니크2공장,055-340-2119,진영읍,경상남도 김해시 진영읍 서부로179번길 103,자동차 솔레노이드밸브,99
진양오토모티브 진영공장,055-345-2100,진영읍,경상남도 김해시 진영읍 서부로179번길 38,자동차 내장제,89
(주)동원플라트,055-345-0077,진영읍,경상남도 김해시 진영읍 하계로 175-10,플라스틱자동차부품,85
악조노벨인더스트리얼코팅유한회사 진영공장,055-720-0261,진영읍,경상남도 김해시 진영읍 본산1로56번길 60 B동,특수도료,84
(주)신효산업,055-342-5900,진영읍,경상남도 김해시 진영읍 서부로 224,식용성형용기생산,82
(주)에스에이테크,055-713-6440,진영읍,경상남도 김해시 진영읍 본산로 153-4,자동차엔진부품(캠 샤프트),81
주식회사성진테크,055-342-4712,진영읍,경상남도 김해시 진영읍 서부로179번길 39-86,굴삭기 운전석,80
주식회사 보원산업,055-342-5270,진영읍,경상남도 김해시 진영읍 본산로 60-61,자동차엔진부품(미션),80
대동중공업(주),055-345-1555,진영읍,경상남도 김해시 진영읍 본산로 92,제철설비기계 쿨러 외,79
주식회사 타누스,055-345-2223,진영읍,경상남도 김해시 진영읍 본산로269번길 62,플라스틱 자전거부품,78
(주)진텍,070-4394-9004,진영읍,경상남도 김해시 진영읍 하계로155번길 48,여과기제조,74
(주)비티엑스,055-256-6231,진영읍,경상남도 김해시 진영읍 하계로240번길 209-4,밸브,73
(주)환공식품,055-342-5704,진영읍,경상남도 김해시 진영읍 서부로346번길 28-12,어묵,72
(주)유니크(6공장),055-340-2119,진영읍,경상남도 김해시 진영읍 서부로179번길 85,자동차 솔레노이드 밸브,71
(주)케이디에이 5공장,055-342-9850,진영읍,경상남도 김해시 진영읍 서부로179번길 68,자동차동력축생산,70
(주)디엔씨,055-346-0192,진영읍,경상남도 김해시 진영읍 김해대로 118-51,페인트제조,68
삼도유압(주),055-342-4811,진영읍,경상남도 김해시 진영읍 서부로378번길 61-14,실린더 유압기기제조,67
화인케미칼(주),055-345-2030,진영읍,경상남도 김해시 진영읍 서부로123번길 30-16,플라스틱발포 성형제품,64
(주)금강메탈,055-346-2321,진영읍,경상남도 김해시 진영읍 본산로269번길 15-22,자동차조향장치단조품,64
