업체명,유형(법인 등),업종,사업자 업태업종,주력사업(생산품),전화번호,도로명 주소,팩스,설립일자(공장설립신고일),종업원수,대표자 이름,비고,데이터기준일자
(주)미래팩,법인,직물포대 제조업,제조업,포장용 PP-Bag,055-324-8511,"경상남도 밀양시 산외면 남기동길 145, (남기리 686-3)",055-324-8513,2013-04-24,24,이옥수,,2024-02-13
영우산업(주),법인,직물포대 제조업,제조업,자동차용 컴프레셔,055-352-7205,경상남도 밀양시 상남면 외평로 458 외 1필지,055-352-7206,2018-03-28,11,최용덕,,2024-02-13
만고산업(주),법인,부직포 및 펠트 제조업,제조업,부직포,055-391-5563,경상남도 밀양시 초동면 초동농공단지길 23-6 외 1필지,055-391-5542,2000-08-10,17,박충옥,초동특별농공단지,2024-02-13
세연산업,개인사업자,부직포 및 펠트 제조업,제조업,농업용 보온 담요,055-351-1198,경상남도 밀양시 청도면 구기리 16번지,,1991-11-14,3,정화자,,2024-02-13
유림산업,개인사업자,부직포 및 펠트 제조업,제조업,"농업용부직포, 농업용다겹보온커튼",,경상남도 밀양시 부북면 위양로 380 외 1필지,055-354-0122,1996-03-30,4,류정열,,2024-02-13
제성내장(주),법인,부직포 및 펠트 제조업,제조업,"팰트,부직포",055-391-5191,경상남도 밀양시 하남읍 파내길 35 외 3필지,055-391-5194,2004-01-14,45,"이성곤, 이은주",,2024-02-13
문수수출포장,개인사업자,목재 깔판류 및 기타 적재판 제조업,제조업,"파레트, 목재포장용소재",055-353-7057,경상남도 밀양시 삼랑진읍 미율로 191-7,055-355-7059,2022-02-24,5,김상개,,2024-02-13
삼진수출포장,개인사업자,목재 포장용 상자+드럼 및 유사용기 제조업,제조업,"목상자, 파렛트",,경상남도 밀양시 삼랑진읍 사기점길 59,055-352-7068,2018-02-05,3,양승철,,2024-02-13
에스지이엔티,개인사업자,표면 가공 목재 및 특정 목적용 제재목 제조업,제조업,폐목재 재활용펄프 및 톱밥,,경상남도 밀양시 초동면 신연로 519 (총 3 필지) 외 2필지,055-391-7226,1999-05-11,8,김성기,,2024-02-13
태윤우드 주식회사,법인,목재 깔판류 및 기타 적재판 제조업,제조업,파레트 및 포재포장용소재,055-323-7058,경상남도 밀양시 삼랑진읍 미율로 191-9,055-323-7047,2023-03-07,3,전해연,,2024-02-13
한영목재,개인사업자,목재 깔판류 및 기타 적재판 제조업,제조업,목재포장용상자,055-355-2109,경상남도 밀양시 삼랑진읍 율동리 197-17번지,055-355-1109,2019-09-10,3,김병주,,2024-02-13
(주) 디울 상남,법인,일반 제재업+구조용 금속 판제품 및 공작물 제조업 ,제조업,"목재덱, 금속재울타리",055-353-9939,경상남도 밀양시 상남면 상남인산길 42,055-353-6648,2022-01-25,7,정숙자,,2024-02-13
(주)비에스태평,법인,일반 제재업+표면 가공 목재 및 특정 목적용 제재목 제조업 ,제조업,"각재, 표면가공목재",055-351-1198,경상남도 밀양시 부북면 춘화로 346,055-354-9661,2016-12-13,3,박대웅,,2024-02-13
(주)서일특수목재,법인,"일반 제재업+표면 가공 목재 및 특정 목적용 제재목 제조업, 목재 보존+방부처리+도장 및 유사 처리업+기타 건축용 나무제품 제조업  ",제조업,"특수목재, 각재, 방부처리목재, 조경재",055-716-0388,경상남도 밀양시 삼랑진읍 사기점길 33 외 6필지,055-716-0389,2018-08-31,13,강종섭,,2024-02-13
(주)성진엘비,법인,일반 제재업,제조업,목재,055-353-8002,경상남도 밀양시 삼랑진읍 검세길 68-3,,2011-10-11,1,조성규,,2024-02-13
(주)하광,법인,일반 제재업+강화 및 재생 목재 제조업+코르크 및 조물제품 제조업+구조용 금속 판제품 및 공작물 제조업+놀이터용 장비 제조업+간판 및 광고물 제조업 ,제조업,"천연목재, 디자인형울타리, 합성목재, 식생매트",055-352-8270,경상남도 밀양시 부북면 사포공단1길 42-1 외 2필지,055-356-8260,2016-07-15,6,이봉두,,2024-02-13
거성목재(주),법인,일반 제재업,제조업,목재가공품,055-354-0188,경상남도 밀양시 산외면 산외로 363,055-355-1100,1993-08-20,4,이수형,,2024-02-13
대림목재산업(주),법인,일반 제재업,제조업,"각재, 판재",055-355-0040,경상남도 밀양시 산외면 산외로 371-11 외 2필지,055-355-2882,2007-09-12,5,전태봉,,2024-02-13
대성팀버,개인사업자,일반 제재업,제조업,제재목,055-339-5651,경상남도 밀양시 삼랑진읍 미율로 191-5,055-339-3238,2022-04-07,10,한재혁,,2024-02-13
동양 주식회사,법인,일반 제재업+강화 및 재생 목재 제조업+구조용 금속 판제품 및 공작물 제조업+놀이터용 장비 제조업 ,제조업,"목재덱, 금속울타리, 놀이대제조(조합놀이대)",055-943-8205,경상남도 밀양시 청도면 청도로 156-45,055-715-3819,2020-03-12,4,김영미,,2024-02-13
주식회사 디울,법인,"일반 제재업+그 외 기타 나무제품 제조업+구조용 금속 판제품 및 공작물 제조업+체조, 육상 및 체력단련용 장비 제조업+놀이터용 장비 제조업  ",제조업,"목재판재, 금속울타리",055-353-9939,경상남도 밀양시 추화산성길 34-15 (교동),055-353-6646,2014-12-18,5,정숙자,,2024-02-13
(주)신행리버텍,법인,기타 건축용 나무제품 제조업+기타 건축용 나무제품 제조업+강화 및 재생 목재 제조업+기타 건축용 플라스틱 조립제품 제조업+피복 및 충전 용접봉 제조업,제조업,방음판넬,055-355-8555,경상남도 밀양시 무안면 사명대사생가로 114 외 2필지,055-355-8555,2005-07-21,5,정영화,,2024-02-13
(주)예창몰딩도어,법인,기타 건축용 나무제품 제조업,제조업,아트월,055-329-5897,경상남도 밀양시 삼랑진읍 미율로 191-11,055-329-5897,2023-08-21,5,김구진,,2024-02-13
세창켐텍,개인사업자,윤활유 및 그리스 제조업,제조업,와이어로프용 방청 그리스,055-353-4311,경상남도 밀양시 삼랑진읍 용전산업단지길 198,055-353-4340,2016-11-25,3,정숙희,용전일반산업단지,2024-02-13
시우방수산업,개인사업자,일반용 도료 및 관련제품 제조업,제조업,방수액,055-355-9704,경상남도 밀양시 부북면 사포공단1길 42,055-355-9703,2016-03-25,2,정숙희,,2024-02-13
(주)나라산업,법인,기타 건축용 플라스틱 조립제품 제조업,제조업,PVC창호,055-351-4450,경상남도 밀양시 산내면 산내야촌길 96-48 외 5필지,055-351-4450,2011-11-01,14,정숙희,,2024-02-13
(주)대일산업,법인,그 외 기타 플라스틱 제품 제조업,제조업,플라스틱 화분,055-352-8789,경상남도 밀양시 상남면 이연길 26,055-352-8789,2014-02-10,0,정숙희,,2024-02-13
(주)부양소재,법인,그 외 기타 플라스틱 제품 제조업+디스플레이 장치용 유리 제조업+기타 산업용 유리제품 제조업,제조업,차량천정재용 복합 sheet,055-342-5251,경상남도 밀양시 초동면 검암1길 3,055-342-5251,2004-07-06,14,정숙희,,2024-02-13
(주)엘케이,법인,"플라스틱 선, 봉, 관 및 호스 제조업+콘크리트 관 및 기타 구조용 콘크리트 제품 제조업",제조업,"GRP맨홀, 교량용 집수구, FRP 사다리",,경상남도 밀양시 삼랑진읍 검세리 538-18번지,,2017-06-14,7,정숙희,,2024-02-13
