회사명,소재지주소,전화번호,업종명,데이터담당기관,데이터담당부서,데이터기준일자
(주)경산세라믹 산청지점,경상남도 산청군 금서면 동의보감로 167,,타일 및 유사 비내화 요업제품 제조업,경상남도 산청군청 ,전략사업담당관,2024-07-02
(주)극동이엔씨,경상남도 산청군 산청읍 산수로 116-31,055-586-0400,배전반 및 전기 자동제어반 제조업,경상남도 산청군청 ,전략사업담당관,2024-07-02
(주)네오플러스,경상남도 산청군 생비량면 지리산대로 4243,055-972-1920,직물포대 제조업,경상남도 산청군청 ,전략사업담당관,2024-07-02
(주)대명산청요,경상남도 산청군 신안면 원지로122번길 40-9,055-973-8558,가정용 및 장식용 도자기 제조업,경상남도 산청군청 ,전략사업담당관,2024-07-02
(주)동우펄프하이텍,경상남도 산청군 산청읍 산수로 116-48 ,055-973-6417,펄프 및종이 가공용 기계 제조업 외 2종,경상남도 산청군청 ,전략사업담당관,2024-07-02
(주)디럭스테크놀러지,경상남도 산청군 산청읍 산수로 116-19,055-973-5476,낚시 및 수렵용구 제조업,경상남도 산청군청 ,전략사업담당관,2024-07-02
(주)디에이치엠,경상남도 산청군 금서면 친환경로 2491-42,055-758-9300,고무패킹류 제조업 외 4종,경상남도 산청군청 ,전략사업담당관,2024-07-02
(주)마루원,경상남도 산청군 시천면 서촌길20번길 14-6,055-974-9680,기타 발효주 제조업,경상남도 산청군청 ,전략사업담당관,2024-07-02
(주)산청토기와,경상남도 산청군 산청읍 산수로 404-150 ,055-973-1100,"점토 벽돌, 블록 및 유사 비내화 요업제품 제조업 외 1종",경상남도 산청군청 ,전략사업담당관,2024-07-02
(주)삼정비알,경상남도 산청군 단성면 지리산대로3362번길 14-4,055-974-0951,정형 내화 요업제품 제조업 외 3종,경상남도 산청군청 ,전략사업담당관,2024-07-02
(주)선농바이오솔루션,경상남도 산청군 단성면 석대로 259,055-972-1003,그 외 기타 일반목적용 기계 제조업,경상남도 산청군청 ,전략사업담당관,2024-07-02
(주)세움,경상남도 산청군 금서면 매촌리 1363번지,031-8006-2011,배전반 및 전기 자동제어반 제조업 외 1종,경상남도 산청군청 ,전략사업담당관,2024-07-02
(주)소륜,경상남도 산청군 오부면 왕촌리 54번지,,김치류 제조업 외 1종,경상남도 산청군청 ,전략사업담당관,2024-07-02
(주)수운,경상남도 산청군 단성면 입석리 산 115번지,,배전반 및 전기 자동제어반 제조업,경상남도 산청군청 ,전략사업담당관,2024-07-02
(주)신선 에프.앤.브이,경상남도 산청군 금서면 친환경로 2462-14,055-974-0761,김치류 제조업 외 2종,경상남도 산청군청 ,전략사업담당관,2024-07-02
(주)신성하이텍,경상남도 산청군 생초면 왕산로 248,055-974-3112,접착제 및 젤라틴 제조업,경상남도 산청군청 ,전략사업담당관,2024-07-02
(주)신테크,경상남도 산청군 산청읍 산수로 116-11,055-974-2010,금속 단조제품 제조업 외 2종,경상남도 산청군청 ,전략사업담당관,2024-07-02
(주)아이스올리(1공장),경상남도 산청군 금서면 친환경로 2461-9,055-974-1031,얼음 제조업,경상남도 산청군청 ,전략사업담당관,2024-07-02
(주)아이스올리(2공장),경상남도 산청군 금서면 친환경로 2461-15,055-974-1031,얼음 제조업,경상남도 산청군청 ,전략사업담당관,2024-07-02
(주)아이스올리제3공장,경상남도 산청군 금서면 친환경로 2431-16,055-972-9302,얼음 제조업,경상남도 산청군청 ,전략사업담당관,2024-07-02
(주)안병연구들명가,경상남도 산청군 신안면 지리산대로3833번길 85,055-973-4689,기타 건축용 나무제품 제조업 외 3종,경상남도 산청군청 ,전략사업담당관,2024-07-02
(주)엔티코리아,경상남도 산청군 금서면 친환경로 2461,055-974-0188,직물포대 제조업,경상남도 산청군청 ,전략사업담당관,2024-07-02
(주)오성세라믹,경상남도 산청군 오부면 오동로273번길 14,055-973-3655,가정용 및 장식용 도자기 제조업,경상남도 산청군청 ,전략사업담당관,2024-07-02
(주)율곡 산청1공장,경상남도 산청군 금서면 매촌리 1323번지,055-275-2911,항공기용 부품 제조업,경상남도 산청군청 ,전략사업담당관,2024-07-02
(주)율곡 산청2공장,경상남도 산청군 금서면 친환경로 2431-33,055-275-2911,항공기용 부품 제조업,경상남도 산청군청 ,전략사업담당관,2024-07-02
(주)이지커플링,경상남도 산청군 산청읍 680-4번지,,금속 단조제품 제조업 외 1종,경상남도 산청군청 ,전략사업담당관,2024-07-02
(주)자연애 바이오랩 농업회사법인,경상남도 산청군 금서면 친환경로 2431-10,055-974-1072,한의약품 제조업,경상남도 산청군청 ,전략사업담당관,2024-07-02
(주)제이엠신소재,경상남도 산청군 금서면 친환경로2451번길 38-22,055-973-4123,기타 기초 무기 화학물질 제조업,경상남도 산청군청 ,전략사업담당관,2024-07-02
(주)지리산산청샘물,경상남도 산청군 삼장면 친환경로 460-22,070-7576-2193,생수 생산업,경상남도 산청군청 ,전략사업담당관,2024-07-02
