연번,회사명,업종명,생산품,공장대표주소(도로명),사업유형,전화번호,데이터 기준일
23,(주)봉수산업,혼성 및 재생 플라스틱 소재 물질 제조업,재생원료(수지),경상남도 의령군 봉수면 직금로 298 ((주)봉수산업),제조업,055-574-5500,2026-03-06
83,그린하이테크(주),표면 가공 목재 및 특정 목적용 제재목 제조업,"톱밥, 목재칩 연료용",경상남도 의령군 정곡면 법정로2길 140-42,제조업,,2026-03-06
121,산림바이오매스센터,표면 가공 목재 및 특정 목적용 제재목 제조업,톱밥,경상남도 의령군 용덕면 교암리 164번지 외 9필지,제조업,055-573-2585,2026-03-06
158,의령군산림조합 산림바이오매스센터,표면 가공 목재 및 특정 목적용 제재목 제조업,톱밥,경상남도 의령군 용덕면 교암리 164번지 9필지,제조업,055-573-2585,2026-03-06
208,코렌트,표면 가공 목재 및 특정 목적용 제재목 제조업,판넬,경상남도 의령군 봉수면 한지18길 49,제조업,,2026-03-06
181,제일화학,포장용 플라스틱 성형용기 제조업,"SHROUND류, C/BOX류",경상남도 의령군 정곡면 백곡리 75번지 외 7필지,제조업,,2026-03-06
98,대영포장(의령),판지 상자 및 용기 제조업 외 9 종,골판지상자,경상남도 의령군 의령읍 구룡로 160 (대영포장(주)),제조업,055-573-5691,2026-03-06
133,세원스틸,특수 직물 및 기타 직물 직조업 외 5 종,"철망,돌망태, 보행매트, 금속 판제품 및 공작물, 금속재 육상 구축물, 선박, 수상 철골조립 구조재, 전기",경상남도 의령군 봉수면 한지18길 25 ((주)세원스틸),제조업,055-574-0540,2026-03-06
206,청호산업유한회사,"콘크리트 타일, 기와, 벽돌 및 블록 제조업 외 5 종","운송장비 조립용 플라스틱제품, 기타 기계.장비 조립용 플라스틱 제품, 레미콘, 콘크리트 타일, 기와, 벽돌, 블록, 콘크리트 암거, 인조대리석","경상남도 의령군 봉수면 직금로 289, . 외 1필지",제조업,055-574-9990,2026-03-06
48,(주)에이치케이스마트콘,"콘크리트 타일, 기와, 벽돌 및 블록 제조업 외 2 종","콘크리트 타일, 블록, 관 등 콘크리트 제품",경상남도 의령군 봉수면 직금로 296 외 1필지,제조업,055-817-7999,2026-03-06
1, (주)우일 E.R.S,"콘크리트 타일, 기와, 벽돌 및 블록 제조업 외 1 종",식생호안블럭,경상남도 의령군 봉수면 한지18길 8 (주식회사정산플륨),제조업,02-582-9272,2026-03-06
139,신반산업,"콘크리트 타일, 기와, 벽돌 및 블록 제조업 외 1 종","벽돌,블럭",경상남도 의령군 봉수면 대한로 1641-1,제조업,055-574-0303,2026-03-06
157,유한회사의령산업,"콘크리트 타일, 기와, 벽돌 및 블록 제조업 외 1 종","벽돌, 블록","경상남도 의령군 칠곡면 신포리 277번지 277-1,278-2,289,285-6번지",제조업,055-572-2424,2026-03-06
112,문화콘크리트,콘크리트 관 및 기타 구조용 콘크리트 제품 제조업 외 2 종,콘크리트관,경상남도 의령군 봉수면 한지18길 12-9,제조업,055-573-8558,2026-03-06
61,(주)정산플륨,콘크리트 관 및 기타 구조용 콘크리트 제품 제조업 외 1 종,철근콘크리트 수로관,경상남도 의령군 봉수면 한지18길 8 (주식회사정산플륨),제조업,055-574-5691,2026-03-06
72,(주)한국컬버트,콘크리트 관 및 기타 구조용 콘크리트 제품 제조업 외 1 종,"철근콘크리트구조물,PC암거",경상남도 의령군 봉수면 직금로 289,제조업,055-574-5226,2026-03-06
108,리다산업(주),콘크리트 관 및 기타 구조용 콘크리트 제품 제조업 외 1 종,조립식 PC암거,경상남도 의령군 봉수면 직금로 289,제조업,055-574-5227,2026-03-06
130,성지산업개발 주식회사,콘크리트 관 및 기타 구조용 콘크리트 제품 제조업 외 1 종,콘크리트 구조물,경상남도 의령군 봉수면 서득리 81-1번지,제조업,055-574-2348,2026-03-06
134,솔토엔지니어링,철도차량 부품 및 관련 장치물 제조업,철도차량용 전기자동제어반,경상남도 의령군 봉수면 직금로 284,제조업,055-574-3074,2026-03-06
68,(주)코스글로벌 의령공장,철강선 제조업 외 1 종,"의료소재, 금속분말",경상남도 의령군 의령읍 구룡로4남길 25 외 3필지,제조업,055-570-8500,2026-03-06
8,(주)고려정관,철강선 제조업,스텐파이프,경상남도 의령군 의령읍 구룡로1길 1,제조업,055-573-7006,2026-03-06
69,(주)코스와이어,철강선 제조업,스텐레스와이어,"경상남도 의령군 의령읍 구룡로4남길 25, 4,5,9번지",제조업,055-573-0396,2026-03-06
70,(주)평강물산,천연 및 혼합조제 조미료 제조업,고추가루,경상남도 의령군 정곡면 법정로 591,제조업,,2026-03-06
164,의령착한농장,천연 및 혼합조제 조미료 제조업,"천연조미료, 건조가공품",경상남도 의령군 유곡면 청정로 2409 외 1필지,제조업,,2026-03-06
197,주식회사비앤비푸드,천연 및 혼합조제 조미료 제조업,고추가루,경상남도 의령군 화정면 진의로 1888,제조업,,2026-03-06
84,농업법인회사 다향연 티 주식회사,차류 가공업,"연잎차, 연근차, 생강차",경상남도 의령군 칠곡면 자굴산로 161,제조업,055-573-9925,2026-03-06
100,대한종합식품(주),차류 가공업,국산차,경상남도 의령군 화정면 진의로 1888,제조업,055-572-6733,2026-03-06
101,대홍산업,직물포대 제조업 외 1 종,"종량제수거봉투, PP포대",경상남도 의령군 봉수면 한지18길 59 (CONCORD),제조업,055-573-4313,2026-03-06
2,(유)티피이,"증류기, 열교환기 및 가스발생기 제조업 외 2 종",화공기기 및 플랜트용 철구조물 등,경상남도 의령군 부림면 한지20길 39-8,제조업,055-572-6901,2026-03-06
76,(주)호원,"증류기, 열교환기 및 가스발생기 제조업 외 1 종","열교환기 제작,열교환기용 가스캣",경상남도 의령군 봉수면 직금로 302 (봉수면),제조업,,2026-03-06
129,성일산업,주방용 및 음식점용 목재가구 제조업,주방가구,경상남도 의령군 지정면 마산리 1226번지,제조업,,2026-03-06
145,쌍용산업주식회사,정형 내화 요업제품 제조업 외 1 종,"강화플라스틱, 인조대리석",경상남도 의령군 의령읍 무전로 92-25,제조업,055-573-8011,2026-03-06
44,(주)쓰리에스,절삭가공 및 유사처리업 외 1 종,CABLE TRAY&SUPPORT,경상남도 의령군 의령읍 구룡로 31-10,제조업,055-716-1239,2026-03-06
186,주식회사 세한이엔지,절삭가공 및 유사처리업 외 1 종,강교(가설교량) 및 해양플랜트 제작,경상남도 의령군 의령읍 구룡로4남길 52 외 1필지,제조업,055-574-4562,2026-03-06
16,(주)대호하이드로릭,절삭가공 및 유사처리업,중장비 유압부품,경상남도 의령군 봉수면 한지18길 70 (훌루테크(주)),제조업,055-572-0016,2026-03-06
20,(주)동아테크,절삭가공 및 유사처리업,자동차부품,경상남도 의령군 의령읍 구룡로1길 9 (동아하이테크),제조업,055-573-0531,2026-03-06
22,(주)보광아이엠티,절삭가공 및 유사처리업,자동차 및 조선기자재 부품,경상남도 의령군 정곡면 강변로 221 ((주)보원),제조업,055-573-2612,2026-03-06
35,(주)세한테크,절삭가공 및 유사처리업,강구조물,경상남도 의령군 의령읍 구룡로4남길 52,제조업,02-499-4562,2026-03-06
53,(주)와이피테크,절삭가공 및 유사처리업,"cable tray, support",경상남도 의령군 의령읍 구룡로 31-10,제조업,055-716-1239,2026-03-06
91,농업회사법인(주)의령조청한과,전분제품 및 당류 제조업,"한과, 조청, 엿기름",경상남도 의령군 칠곡면 자굴산로 137,제조업,055-573-6565,2026-03-06
188,주식회사 앰티스(AMTS),전동기 및 발전기 제조업 외 3 종,"산업용 전력차단기 케이스, 산업용 전력차단기 케이스, 산업용 전력차단기 케이스, 산업용 전력차단기 케이스",경상남도 의령군 지정면 함의로7길 8,제조업,055-572-3335,2026-03-06
27,(주)성림,"전기회로 개폐, 보호장치 제조업 외 1 종",전기회로개폐보호및접속장치,경상남도 의령군 지정면 함의로7길 8,제조업,051-831-2641,2026-03-06
55,(주)우진이엔피,"전기회로 개폐, 보호장치 제조업 외 1 종",볼트보호캡,경상남도 의령군 봉수면 한지18길 35,제조업,055-574-9900,2026-03-06
103,동아전기,"전기회로 개폐, 보호장치 제조업 외 1 종",전자개폐기배선용차단기,경상남도 의령군 정곡면 백곡리 79번지 외 5필지 외 5필지,제조업,,2026-03-06
149,연호전통식품,장류 제조업,"조청,고추장,부추 환",경상남도 의령군 부림면 미타로1길 26-1,제조업,055-574-9716,2026-03-06
4,(주)거양금속,자동차용 신품 동력전달장치 제조업 외 3 종,"알루미늄가공품,금속단조제품",경상남도 의령군 의령읍 구룡로4남길 14-3 외 1필지,제조업,055-573-0274,2026-03-06
114,별솔금속,자동차용 금속 압형제품 제조업 외 1 종,동합금관,경상남도 의령군 봉수면 한지18길 34,제조업,02-335-0612,2026-03-06
131,세강산업(주),자동차 엔진용 신품 부품 제조업 외 2 종,"세탁기 부품,자동차 부붐",경상남도 의령군 봉수면 한지18길 19,제조업,055-574-0773,2026-03-06
168,이든애,일반용 전기 조명장치 제조업,LED조명기구,경상남도 의령군 칠곡면 산남길 66,제조업,055-573-1477,2026-03-06
95,대성목재,일반 제재업,목제품,경상남도 의령군 용덕면 교암리 219-1번지,제조업,055-583-0272,2026-03-06
115,보훈목재,일반 제재업,건축자재,경상남도 의령군 가례면 의병로 103,제조업,055-572-8902,2026-03-06
219,한중선박기계(주),육상 금속 골조 구조재 제조업 외 5 종,"선박블럭부붐및윈치부품,산업기계용유니트,철판절단가공품",경상남도 의령군 봉수면 직금로 284 (하이드로텍(주)),제조업,055-570-5114,2026-03-06
99,대익이엔지(주),육상 금속 골조 구조재 제조업 외 3 종,철구조물,경상남도 의령군 의령읍 구룡로 242 (의령읍),제조업,055-572-1600,2026-03-06
10,(주)금송,육상 금속 골조 구조재 제조업 외 1 종,"철구조물, 강구조물, 태양광발전(전기)",경상남도 의령군 의령읍 구룡로4남길 28 외 2필지,제조업,,2026-03-06
11,(주)기영산업,육상 금속 골조 구조재 제조업 외 1 종,산업구조재제작 임가공,경상남도 의령군 정곡면 백곡리 68-2번지 외 2필지,제조업,,2026-03-06
21,(주)동영이앤지,육상 금속 골조 구조재 제조업 외 1 종,터널격자지보,경상남도 의령군 지정면 강변로6서길 15-3,제조업,055-584-9053,2026-03-06
52,(주)오감,육상 금속 골조 구조재 제조업 외 1 종,"강구조물, 금속구조물",경상남도 의령군 의령읍 구룡로 242,제조업,055-336-1493,2026-03-06
59,(주)장원,육상 금속 골조 구조재 제조업 외 1 종,알루미늄 거푸집,경상남도 의령군 봉수면 한지18길 26 ((주)장원),제조업,055-573-9773,2026-03-06
147,아주정밀,육상 금속 골조 구조재 제조업 외 1 종,철구조물,경상남도 의령군 의령읍 구룡로1길 19,제조업,055-276-2291,2026-03-06
170,이현유로폼,육상 금속 골조 구조재 제조업 외 1 종,"비계용지주(합벽지지대,시스템비계)",경상남도 의령군 가례면 홍의로 275 (이현산업 공장),제조업,,2026-03-06
175,전진산업,육상 금속 골조 구조재 제조업 외 1 종,철구조물,경상남도 의령군 의령읍 구룡로1길 19,제조업,,2026-03-06
29,(주)성지제강,육상 금속 골조 구조재 제조업,철구조물,경상남도 의령군 의령읍 구룡로 242,제조업,02-521-7383,2026-03-06
60,(주)재원,육상 금속 골조 구조재 제조업,철구조물,경상남도 의령군 의령읍 구룡로 242,제조업,,2026-03-06
142,신우에너지,육상 금속 골조 구조재 제조업,철구조물,경상남도 의령군 정곡면 법정로 540,제조업,,2026-03-06
146,씨지스이엔지(주),육상 금속 골조 구조재 제조업,금속구조물(교량조립구조재),경상남도 의령군 의령읍 구룡로 242,제조업,055-572-9532,2026-03-06
193,주식회사 한신기계,육상 금속 골조 구조재 제조업,비철파이프 절단제품,"경상남도 의령군 용덕면 의합대로 123-7, 외 11필지",제조업,,2026-03-06
207,케이와이산업,육상 금속 골조 구조재 제조업,철 구조물,경상남도 의령군 용덕면 의합대로 123-7,제조업,055-573-7922,2026-03-06
214,프로텍,육상 금속 골조 구조재 제조업,철 구조물,경상남도 의령군 용덕면 의합대로 123-7,제조업,031-908-7676,2026-03-06
19,(주)동방주공,유압기기 제조업 외 2 종,중장비용 유압기기 제조(유압펌프),경상남도 의령군 부림면 한지20길 39-42 ((주)케피),제조업,055-551-6601,2026-03-06
77,(주)휴먼테크,유압기기 제조업 외 1 종,"내연기관 핀, 실린더 로드",경상남도 의령군 의령읍 구룡로1길 28 외 1필지,제조업,,2026-03-06
215,하이파워주식회사,유압기기 제조업,유압밸브,경상남도 의령군 부림면 한지20길 39-42,제조업,070-7363-2565,2026-03-06
152,우성비료 영농조합법인,유기질 비료 및 상토 제조업,비료,경상남도 의령군 용덕면 용덕1길 25,제조업,055-573-5507,2026-03-06
39,(주)신강,운송장비 조립용 플라스틱제품 제조업 외 1 종,자동차.농기계외장판넬,경상남도 의령군 의령읍 구룡로 17 ((주)신강),제조업,055-573-1070,2026-03-06
113,백곡밸리,운송장비 조립용 플라스틱제품 제조업 외 1 종,콘덴샤 트렌스,경상남도 의령군 정곡면 백곡리 76번지 외 6필지,제조업,,2026-03-06
151,우경인더스트리,어망 및 기타 끈 가공품 제조업 외 1 종,"방조망, 로프 등",경상남도 의령군 봉수면 한지18길 69,제조업,055-574-2495,2026-03-06
97,대성펌프공업(주),액체 펌프 제조업 외 8 종,펌프,경상남도 의령군 봉수면 한지18길 37 (대성펌프공업(주)),제조업,055-574-4800,2026-03-06
225,훌루테크주식회사,액체 펌프 제조업 외 3 종,유체기기,경상남도 의령군 봉수면 한지18길 70 (훌루테크(주)) 외 2필지,제조업,055-574-5744,2026-03-06
62,(주)지성기전,액체 펌프 제조업 외 10 종,,경상남도 의령군 봉수면 한지18길 35,제조업,055-574-3200,2026-03-06
138,스마트환경(주),액체 여과기 제조업 외 5 종,"약품투입장치(염소투입기), 상하수도통합관리시스템, 수질분석기, 수위조절기, 천장크레인, 계장제어, 프로세스 제어반 등, 약품투입장치(염소투입기), 상하수도통합관리시스템, 수질분석기, 수위조절기, 천장크레인, 계장제어, 프로세스 제어반 등, 약품투입장치(염소투입기), 상하수도통합관리시스템, 수질분석기, 수위조절기, 천장크레인, 계장제어, 프로세스 제어반 등, 약품투입장치(염소투입기), 상하수도통합관리시스템, 수질분석기, 수위조절기, 천장크레인, 계장제어, 프로세스 제어반 등, 약품투입장치(염소투입기), 상하수도통합관리시스템, 수질분석기, 수위조절기, 천장크레인, 계장제어, 프로세스 제어반 등, 약품투입장치(염소투입기), 상하수도통합관리시스템, 수질분석기, 수위조절기, 천장크레인, 계장제어, 프로세스 제어반 등",경상남도 의령군 의령읍 구룡로 154,제조업,055-574-4700,2026-03-06
205,청정테크(주),액체 여과기 제조업 외 4 종,수처리제품,경상남도 의령군 의령읍 구룡로 154,제조업,041-837-4601,2026-03-06
195,주식회사 화림(의령공장),"알루미늄 제련, 정련 및 합금 제조업",알루미늄괴,경상남도 의령군 정곡면 의합대로 986,제조업,055-574-8755,2026-03-06
184,주식회사 선식품,식용 정제유 및 가공유 제조업,"참기름, 된장, 고추장",경상남도 의령군 대의면 망용로 31 (대의공동한우판매장),제조업,055-572-1089,2026-03-06
185,주식회사 세원에너지,수소 제조업 외 1 종,"산업용가스(산소, 질소, 아르곤, 탄산), 산업용가스(산소, 질소, 아르곤, 탄산)",경상남도 의령군 의령읍 구룡로 180,제조업,055-584-3388,2026-03-06
192,주식회사 한서알엠피,수상 금속 골조 구조재 제조업,가설&교량 및 선박용 철골 조립제품,경상남도 의령군 의령읍 구룡로1길 14-9,제조업,055-574-4562,2026-03-06
194,주식회사 해마푸드,"수산동물 훈제, 조리 및 유사 조제식품 제조업 외 1 종","간장게장, 양념게장 등, 간장게장, 양념게장 등",,제조업,,2026-03-06
213,풀무원식품(주),"수산동물 훈제, 조리 및 유사 조제식품 제조업 외 1 종","어묵, 빵류",경상남도 의령군 부림면 한지20길 40-5 외 2필지,제조업,055-920-0055,2026-03-06
47,(주)에이치앤디 의령지점,선철주물 주조업,자동차용 주물품,경상남도 의령군 의령읍 구룡로1길 14-4,제조업,055-574-0447,2026-03-06
148,에스씨엠주식회사,선박 구성 부분품 제조업 외 2 종,"조선기자재, 철구조물",경상남도 의령군 의령읍 구룡로 242,제조업,055-264-4528,2026-03-06
24,(주)부국중공업,선박 구성 부분품 제조업,조선기자재,경상남도 의령군 정곡면 의합대로 984-18,제조업,055-237-1651,2026-03-06
50,(주)여명테크,선박 구성 부분품 제조업,조선소의장품,경상남도 의령군 용덕면 소상로 459 외 3필지,제조업,055-573-8933,2026-03-06
56,(주)유림,선박 구성 부분품 제조업,조선기자재,경상남도 의령군 용덕면 정동리 811번지,제조업,055-574-3311,2026-03-06
212,푸스네스코리아산업 주식회사,선박 구성 부분품 제조업,조선기자재(deck machiney),경상남도 의령군 봉수면 삼가리 330-1 번지,제조업,055-570-5101,2026-03-06
120,부성석물,석재성형가공품제조업,"건축자재, 묘비석",경상남도 의령군 유곡면 의합대로 1644 (부성석물),제조업,055-574-8700,2026-03-06
154,운암석재,석재성형가공품제조업,석제품,경상남도 의령군 가례면 운암리 69번지,제조업,055-572-2295,2026-03-06
41,(주)신승인터내셔널,생수 생산업,"먹는샘물,탄산음료",경상남도 의령군 부림면 오소길 53 (부림면),제조업,055-573-0465,2026-03-06
33,(주)세원엔지니어링,산업용 냉장 및 냉동 장비 제조업 외 11 종,,경상남도 의령군 가례면 홍의로 177 (가례면 대천리 436-1 제2종근린생활시설 ((주)세원엔지니어링 배미연)) 외 2필지,제조업,051-501-7696,2026-03-06
132,세민가구(주),사무용 기계 및 장비 제조업 외 1 종,"가구,돌침대",경상남도 의령군 봉수면 한지18길 7 ((주)강원산업세민가구),제조업,055-0574-8425,2026-03-06
13,(주)다인경주빵,빵류 제조업,빵류,경상남도 의령군 대의면 망용로1길 6,제조업,055-574-1080,2026-03-06
88,농업회사법인 주식회사 더 부농,빵류 제조업,의령쌀빵,경상남도 의령군 의령읍 수암로 59 외 1필지,제조업,055-574-0700,2026-03-06
216,한국주강(주),비주거용 건물 임대업,임대서비스,경상남도 의령군 의령읍 구룡로 23,제조업,055-573-7300,2026-03-06
217,한국환경공단 의령폐비닐처리시설,비금속류 해체 및 선별업 외 1 종,"재생원료, 폐비닐(HDPE)세척, 압축품",경상남도 의령군 의령읍 구룡로 16,제조업,055-573-9666,2026-03-06
156,유진한일합섬(주) 의령지점,부직포 및 펠트 제조업,pp/pet 스판보드,경상남도 의령군 의령읍 구룡로 32,제조업,055-572-0215,2026-03-06
173,일지비텍,복합비료 및 기타 화학비료 제조업 외 3 종,"아미노산액비, 보조사료",경상남도 의령군 지정면 함의로6길 20,제조업,055-572-0056,2026-03-06
45,(주)에스엔피테크,복합비료 및 기타 화학비료 제조업 외 1 종,"친환경 토양개량 자재 비료, 보조사료",경상남도 의령군 봉수면 한지18길 12-5,제조업,051-818-4802,2026-03-06
224,화정퇴비,복합비료 및 기타 화학비료 제조업 외 1 종,유기질비료,경상남도 의령군 화정면 화정로9길 125 (화정유기질비료공장),제조업,055-573-8059,2026-03-06
128,성원네이처,복합비료 및 기타 화학비료 제조업,청운농축보르도액,경상남도 의령군 화정면 화정로5길 63 외 1필지,제조업,,2026-03-06
179,제일상사,벽지 및 장판지 제조업,배접지,경상남도 의령군 부림면 한지20길 49,제조업,,2026-03-06
182,주식회사 그린파워솔루션,배전반 및 전기 자동제어반 제조업 외 1 종,"배전반, 전기 자동제어반, 조명장치",경상남도 의령군 의령읍 구룡로4남길 3,제조업,055-573-8808,2026-03-06
36,(주)수협사료,반려동물용 사료 제조업 외 2 종,수생동물사료,경상남도 의령군 의령읍 남강로 613,제조업,055-573-6321,2026-03-06
119,부산사료(주),반려동물용 사료 제조업 외 2 종,곡분사료,경상남도 의령군 의령읍 구룡로4남길 65 (부산사료(주)) (총 3 필지) 외 2필지,제조업,055-573-0991,2026-03-06
165,의령축산업협동조합,반려동물용 사료 제조업 외 2 종,"배합사료, 생균제",경상남도 의령군 용덕면 의합대로 146,제조업,055-573-2312,2026-03-06
177,제이비 플러스(JB Plus),반려동물용 사료 제조업 외 2 종,사료첨가제 및 보조사료,경상남도 의령군 의령읍 구룡로4길 94,제조업,055-573-0992,2026-03-06
38,(주)승진그린텍 의령지점,반려동물용 사료 제조업 외 1 종,단미사료(어사료),"경상남도 의령군 지정면 함의로2길 152, (주)승진그린텍 의령지점",제조업,055-391-2687,2026-03-06
118,부산건구,목재문 및 관련제품 제조업,"목재창문,문틀,문지방",경상남도 의령군 지정면 오천리 255번지,제조업,055-583-6778,2026-03-06
174,자굴산식품,맥아 및 맥주 제조업,맥아제조,경상남도 의령군 칠곡면 자굴산로 90,제조업,055-573-0440,2026-03-06
26,(주)삼보,레미콘 제조업 외 3 종,"레미콘,아스콘,벤치플룸3종,하수도용콘크리트맨홀",경상남도 의령군 봉수면 직금로 271-16,제조업,055-574-9960,2026-03-06
94,대상레미콘(주),레미콘 제조업,레미콘,경상남도 의령군 가례면 의병로 105-3 (총 7 필지),제조업,055-573-9960,2026-03-06
110,모모시루,떡류 제조업,떡,경상남도 의령군 의령읍 수암로 96,제조업,055-573-7005,2026-03-06
127,설송원식품,떡류 제조업,망개떡,경상남도 의령군 봉수면 한지18길 69 (설송원),제조업,055-574-3838,2026-03-06
136,수암식품,떡류 제조업,떡,경상남도 의령군 가례면 운암로 6,제조업,055-574-7740,2026-03-06
160,의령망개떡 김가네,떡류 제조업,망개떡,경상남도 의령군 의령읍 충익로 22-1,제조업,,2026-03-06
162,의령부자망개떡,떡류 제조업,"망개떡, 영양밥, 단팥죽","경상남도 의령군 정곡면 의합대로 888-4, 의령부자망개떡",제조업,,2026-03-06
71,(주)피피이씨의령,두부 및 유사식품 제조업,두부류,경상남도 의령군 부림면 한지20길 40-21,제조업,055-574-4711,2026-03-06
189,주식회사 영한개발,도장 및 기타 피막처리업,철골구조물,,제조업,,2026-03-06
201,진원기업,도장 및 기타 피막처리업,도장품,경상남도 의령군 부림면 한지20길 39-8,제조업,070-8881-5710,2026-03-06
82,그린캐터링(주),도시락류 제조업 외 5 종,"도시락,김치,냉동식품",경상남도 의령군 의령읍 구룡로 31-10 ((주)유림),제조업,055-573-5789,2026-03-06
18,(주)돈흥원,도시락류 제조업 외 1 종,만두,경상남도 의령군 봉수면 한지18길 73,제조업,,2026-03-06
187,주식회사 쎄니트,냉간 압연 및 압출 제품 제조업 외 1 종,스테인레스강.강판,경상남도 의령군 의령읍 구룡로4남길 53 (총 3 필지) 외 2필지,제조업,055-573-8221,2026-03-06
46,(주)에스티엔,끈 및 로프 제조업 외 1 종,"어망,로프,안전망",경상남도 의령군 봉수면 한지18길 16,제조업,055-817-7648,2026-03-06
143,신창산업,끈 및 로프 제조업 외 1 종,"어망, 로프 등",경상남도 의령군 봉수면 대한로 1162-3,제조업,055-573-9990,2026-03-06
204,창원전통식품,김치류 제조업 외 2 종,"김치, 젓갈류",경상남도 의령군 의령읍 구룡로1길 19 (창원전통식품) (총 2 필지) 외 1필지,제조업,055-573-1067,2026-03-06
176,정성식품,김치류 제조업 외 1 종,김치,경상남도 의령군 부림면 입산로 124-22,제조업,055-572-3935,2026-03-06
202,찰비식품,김치류 제조업 외 1 종,절임식품,경상남도 의령군 궁류면 운계로1길 13-3,제조업,055-572-8005,2026-03-06
58,(주)이케어,기타 직물제품 제조업,"마스크(KF-94,  KF-AD)",경상남도 의령군 부림면 의합대로 2002-23,,,2026-03-06
43,(주)신창제지,기타 종이 및 판지 제조업 외 2 종,"한지,장판지",경상남도 의령군 봉수면 대한로 1198 (신창한지),제조업,,2026-03-06
140,신반한지,기타 종이 및 판지 제조업 외 2 종,한지,경상남도 의령군 부림면 신번로1길 8 (제지공장),제조업,055-574-7557,2026-03-06
141,신성제지공업사,기타 종이 및 판지 제조업 외 2 종,창호지,경상남도 의령군 부림면 한지28길 17-4,제조업,055-572-6012,2026-03-06
144,신현세전통한지,기타 종이 및 판지 제조업 외 2 종,한지,경상남도 의령군 봉수면 청계로 42 (신현세전통한지),제조업,055-573-5901,2026-03-06
210,태림페이퍼(주)의령공장,기타 종이 및 판지 제조업,골판지용 원지,경상남도 의령군 의령읍 구룡로1길 39 외 4필지,제조업,055-572-3020,2026-03-06
183,주식회사 보스코리아에너지,기타 조명장치 제조업,LED 등기구,경상남도 의령군 용덕면 소상로 327 외 4필지,제조업,,2026-03-06
196,주식회사그린뉴딜에너지,기타 조명장치 제조업,LED 등기구,,제조업,,2026-03-06
221,해성농기계,기타 일반 기계 및 장비 수리업,농기계수리제품,경상남도 의령군 가례면 홍의로 284,제조업,,2026-03-06
166,의령토속식품,기타 식품 첨가물 제조업,"망개떡, 메주",경상남도 의령군 칠곡면 산남리 563번지,제조업,055-572-3718,2026-03-06
81,경성세큐리티,기타 비철금속 주조업,노트북케이스,경상남도 의령군 가례면 대천리 20번지,제조업,055-574-0711,2026-03-06
65,(주)커스텀비,기타 비알코올 음료 제조업,혼합음료(수소수),경상남도 의령군 부림면 오소길 53,제조업,070-7456-3475,2026-03-06
102,동승기연(주),기타 물품 취급장비 제조업,육상용호이스트,경상남도 의령군 정곡면 의합대로 984-5 (공장) (총 2 필지) 외 1필지,제조업,055-345-1252,2026-03-06
190,주식회사 일신,기타 물품 취급장비 제조업,"호이스트, 산업기계",경상남도 의령군 정곡면 의합대로 984-5 (공장),제조업,055-572-8421,2026-03-06
40,(주)신라기업,기타 목재가구 제조업 외 1 종,"주방가구, 음식점용 목재가구",경상남도 의령군 봉수면 직금로 302 (신라기업) (총 2 필지) 외 1필지,제조업,,2026-03-06
211,트리메탈,기타 목재가구 제조업,사무용가구,경상남도 의령군 봉수면 한지18길 7,제조업,055-574-1082,2026-03-06
150,예술공사라인,기타 구조용 금속제품 제조업,"톨부스,전화부스,케노피,조형물,조립식주",경상남도 의령군 가례면 홍의로 201,제조업,055-573-0081,2026-03-06
