회사명,대표자명,공장대표주소(도로명),대표업종번호,업종번호,업종명,전화번호,팩스번호,생산품,데이터기준일자
(유)동양프라스틱,박동기,경상남도 진주시 동진로264번길 12 (상대동) 외 1필지,22232,22232,포장용 플라스틱 성형용기 제조업,055-762-4588,055-757-1438,육묘상자,2025-05-08
(주)진양,허성두,경상남도 진주시 동진로311번길 11 (상대동) 외 1필지,22251,"22251, 22259",폴리스티렌 발포 성형제품 제조업 외 1 종,055-756-5226,055-756-5229,경질우레탄폼단열제,2025-05-08
씨솔루션,김삼권,경상남도 진주시 정촌면 뿌리산단로15번길 55,29222,"25914, 29222, 29224",디지털 적층 성형기계 제조업 외 2 종,055-855-2070,055-754-2072,산업설비부품,2025-05-08
아주와이어(주),박찬역,경상남도 진주시 대곡면 대화로 53-6,22251,22251,폴리스티렌 발포 성형제품 제조업,055-747-8547,055-748-8548,양식용 친환경부표,2025-05-08
진양화학(주),허성두,경상남도 진주시 공단로 255 (상평동),22251,"22251, 22259",폴리스티렌 발포 성형제품 제조업 외 1 종,055-755-5597,055-755-5595,스티로폼제조,2025-05-08
케이엠에스,김명수,"경상남도 진주시 동부로169번길 12, A동 11층 1110 (충무공동)",29222,29222,디지털 적층 성형기계 제조업,055-645-3372,070-8285-3123,3D프린터,2025-05-08
(주)삼승테크,김지민,경상남도 진주시 금곡면 금곡로83번길 22-6 (총 4 필지) 외 3필지,29294,29294,주형 및 금형 제조업,055-754-1173,,금형,2025-05-08
3D SPACE(3D 스페이스),오광문,"경상남도 진주시 진주대로 501, 창업보육센터 B동 204호 (가좌동, 경상대학교)",29294,29294,주형 및 금형 제조업,055-790-9608,055-7560-7029,금형 제품,2025-05-08
JS태크,최종세,경상남도 진주시 일반성면 일사로 770-15,29294,29294,주형 및 금형 제조업,055-761-6237,055-761-6238,금형,2025-05-08
경일산업,홍영표,경상남도 진주시 정촌면 연꽃로145번길 24,29294,29294,주형 및 금형 제조업,055-758-1812,055-758-1835,금형,2025-05-08
대구단조금형,조인환,경상남도 진주시 사봉면 산업단지로44번길 41-4,29294,29294,주형 및 금형 제조업,055-753-5939,053-585-5948,금형,2025-05-08
동양정밀,이현희,경상남도 진주시 큰들로161번길 19 (상평동),29294,29294,주형 및 금형 제조업,055-755-6011,055-753-2559,"금형, 농기구업, 중장비부품",2025-05-08
부광산업,김종상,경상남도 진주시 돗골로57번길 5 (상평동),29294,29294,주형 및 금형 제조업,055-759-8437,055-759-8438,금형틀,2025-05-08
서우테크,조수진,경상남도 진주시 돗골로70번길 13 (상평동),29294,29294,주형 및 금형 제조업,055-758-7712,055-761-7704,금형,2025-05-08
에프에스테크,진영찬,경상남도 진주시 지수면 금평로 171,29294,29294,주형 및 금형 제조업,055-761-7857,,주형 및 금형,2025-05-08
우진테크,배석표,경상남도 진주시 문산읍 동부로 819-7 외 2필지,29294,29294,주형 및 금형 제조업,055-762-8074,055-762-6070,프레스용 금형,2025-05-08
일성ENG,김도경,경상남도 진주시 대곡면 진의로 1220,29294,29294,주형 및 금형 제조업,055-745-9807,055-745-9809,금형틀,2025-05-08
일진테크,강태욱 외 1인,경상남도 진주시 대곡면 진의로 1220,29294,29294,주형 및 금형 제조업,055-748-9701,055-748-9703,프레스 금형,2025-05-08
주식회사 디엔오토모티브 지수공장,"김상헌, 김인환",경상남도 진주시 지수면 지사로 628,29294,29294,주형 및 금형 제조업,055-380-5216,055-760-8229,금형틀,2025-05-08
효산테크,"박명종,신예원",경상남도 진주시 대곡면 진의로 1220,29294,29294,주형 및 금형 제조업,,055-747-9079,자동차 프레스 금형,2025-05-08
흥진ENG,조명점,경상남도 진주시 남강로1179번길 10-4 (상평동),29294,29294,주형 및 금형 제조업,055-752-8614,055-753-6009,주형(금형),2025-05-08
