순번,회사명,대표자명,공장대표주소,전화번호,팩스번호,업종명,생산품
1,(재)남해마늘연구소,장충남,경상남도 남해군 이동면 남해대로 2465-8 (남해마늘연구소),055-860-8948,055-860-8945,기타 과실ㆍ채소 가공 및 저장 처리업 외 1 종,마늘가공 제품
2,(주)금산,유성숙,경상남도 남해군 고현면 남해대로 3406,055-863-3389,055-863-3319,구조용 금속 판제품 및 공작물 제조업,휀스
3,(주)금산전기,박춘실,"경상남도 남해군 남해읍 화전로 153-5, 아산리 184번지 (KT&G남해지점)",,055-863-1066,전동기 및 발전기 제조업,배전함
4,(주)창남조선,김주숙,경상남도 남해군 창선면 동부대로 2944 (창남FRP조선소),055-867-5050,055-867-2558,합성수지선 건조업 외 1 종,FRP선박 건조
5,(주)케이씨박스,이안희,경상남도 남해군 고현면 남해대로 3406,055-863-5588,055-863-5584,골판지 제조업 외 1 종,골판지및골판지상자
6,(주)해울림체험마을 영농조합법인,채판석,"경상남도 남해군 창선면 흥선로 1336-35, 해울림 마을기업",,,건강기능식품 제조업,건강기능식품
7,㈜어업회사법인 동은식품,임수섭,경상남도 남해군 삼동면 양화금로 420,,,수산동물 건조 및 염장품 제조업,멸치액젓
8,가온누리,고성용,경상남도 남해군 이동면 남해대로 2364-11,055-864-2002,055-864-0864,기타 과실ㆍ채소 가공 및 저장 처리업,"흑마늘, 흑마늘 진액"
9,강훈산업,서지수,경상남도 남해군 남해읍 남변리 237,,055-864-8053,기타 구조용 금속제품 제조업,건설공사용 가설자재
10,거양수산,최윤자,경상남도 남해군 고현면 대곡리 643-2번지,055-864-7922,,기타 수산동물 가공 및 저장 처리업,"수산어류가공(고등어, 꽁치, 조기등)"
11,건화종합상사,최동권,"경상남도 남해군 고현면 남해대로 3406, 건화종합상사",,055-863-2242,그 외 기타 금속가공업,코너비드(타일 마감재)
12,관음포연꽃마을협동조합,김경곤,경상남도 남해군 고현면 남서대로 3282,055-864-2389,055-864-2389,곡물 제분업 외 1 종,"연근선식, 연근차"
13,금산당이미지,배원열,경상남도 남해군 고현면 화방로 6,055-864-8153,,한의약품 제조업 외 2 종,"천연향, 쑥뜸, 향수"
14,금산당제향,배찬석,경상남도 남해군 고현면 화방로 6,,055-864-8153,한의약품 제조업 외 1 종,"천연향, 쑥뜸"
15,금산철망,신숙이,"경상남도 남해군 고현면 남해대로 3408-2, 남해고현농공단지",055-863-0330,055-863-5330,금속선 가공제품 제조업,용접철망
16,금해식품,최용근,경상남도 남해군 삼동면 동부대로 1008-1,,,수산동물 건조 및 염장품 제조업,멸치액젓
17,남해가나옹기액젓,조연숙,경상남도 남해군 삼동면 동부대로 1066,055-867-5213,055-867-5201,수산동물 건조 및 염장품 제조업,멸치액젓
18,남해건강마을,박동심,경상남도 남해군 삼동면 동부대로 1381-41,055-867-0067,055-867-7608,천연 및 혼합조제 조미료 제조업,죽염
19,남해군농협양곡사업소,윤기준,경상남도 남해군 남해읍 선소로76번길 6-2,055-864-0882,,곡물 도정업,쌀
20,남해군농협조합 공동사업법인,윤기준,경상남도 남해군 서면 스포츠로 414 (보물섬남해클리스트종합),055-864-4110,055-864-2727,기타 과실ㆍ채소 가공 및 저장 처리업,"시금치세척 및 소포장, 마늘쫑소포장"
21,남해군수산업협동조합,김창영,경상남도 남해군 미조면 미조로 235 (남해군수산업협동조합),055-867-6525,055-867-7100,기타 수산동물 가공 및 저장 처리업,멸치
22,남해군흑마늘주식회사,정윤호,경상남도 남해군 설천면 설천로 176-40,055-863-2950,055-863-2953,기타 과실ㆍ채소 가공 및 저장 처리업 외 1 종,흑마늘
23,남해보물섬마늘영농조합법인,김순례,경상남도 남해군 이동면 남해대로 2450-6 (마늘유통체험장),055-864-1154,055-864-1158,기타 과실ㆍ채소 가공 및 저장 처리업,"발효흑마늘,발효흑마늘액상음료"
24,남해섬애약쑥영농조합법인,배원열,경상남도 남해군 고현면 대곡리 612번지,055-863-3222,055-864-8153,기타 과실ㆍ채소 가공 및 저장 처리업,쑥분말
25,남해에너지 주식회사,정치영,경상남도 남해군 고현면 남해대로 3408-22,055-862-1996,055-862-1998,기타 기관 및 터빈 제조업,터빈
26,남해장수식품,김성윤,경상남도 남해군 고현면 화방로 69-12,,055-863-3366,수산동물 건조 및 염장품 제조업,멸치액젓
27,남해정보통신(주),이정채,경상남도 남해군 남해읍 스포츠로 113,055-862-9999,055-864-3030,유선 통신장비 제조업 외 1 종,"동보장치, 마을 무선 방송 장치"
28,남해컨테이너,김건임,경상남도 남해군 고현면 남해대로 3408-2,055-862-8822,055-862-6688,기타 구조용 금속제품 제조업,컨테이너
29,남해편백,임만찬,경상남도 남해군 이동면 삼이로 475,055-862-9837,,식물성 유지 제조업,피톤치드원액
30,남해평산조선소,이원수,경상남도 남해군 남면 평산리 1739-1번지,055-862-8585,,강선 건조업 외 2 종,"선박(강선, 합성수지선) 건조 및 수리"
31,농업회사법인 (주)태웅,강태호,경상남도 남해군 고현면 남해대로 3858 (도울농산물산자유통센타),055-863-2166,055-863-2478,기타 과실ㆍ채소 가공 및 저장 처리업,흑마늘진액
32,농업회사법인 남해섬흑마늘주식회사,여동훈,경상남도 남해군 남해읍 망운로 134-35,,055-311-2478,기타 과실ㆍ채소 가공 및 저장 처리업,흑마늘 및 흑마늘진액
33,농업회사법인 시골할매(주),김운성,경상남도 남해군 남면 무지개로 161,055-862-2727,055-862-2727,기타 발효주 제조업,전통주
34,농업회사법인 주식회사 다랭이팜,이창남,경상남도 남해군 남해읍 스포츠로 154,055-863-0979,,탁주 및 약주 제조업 외 1 종,"유자청, 유자 막걸리"
35,늘푸른영어조합법인,박철완,경상남도 남해군 남면 덕월리 1153번지,055-863-1633,055-863-1632,기타 수산동물 가공 및 저장 처리업,"전복진액, 건전복, 전복죽"
36,대하레미콘(주),황재상,경상남도 남해군 서면 스포츠로 590 (대하레미콘(주)),055-864-1441,055-864-1446,레미콘 제조업,레미콘
37,들꽃효소마을영농조합법인,박희열,경상남도 남해군 삼동면 삼이로 63-19,055-864-8157,055-864-8158,기타 과실ㆍ채소 가공 및 저장 처리업,"뉴라이프 보리, 뉴라이프 마늘, 녹원"
38,르뱅스타베이커리,한추영,"경상남도 남해군 삼동면 동부대로1030번길 77, 1층 르벵스타베이커리",055-864-7588,055-864-7589,빵류 제조업,빵류
39,물건어부림 영어조합 법인,이정문,경상남도 남해군 삼동면 동부대로1122번길 31 (물건어부림식품홍보관),055-867-0455,055-867-0461,수산동물 건조 및 염장품 제조업,멸치액젓
40,미래광고기획,김대신,경상남도 남해군 남해읍 화전로38번가길 31,055-863-6622,055-864-0303,간판 및 광고물 제조업 외 2 종,"나무간판, 현수막"
41,미르영농조합법인 ,이행근,경상남도 남해군 삼동면 영지리 907-2번지,055-867-7373,055-867-7375,기타 과실ㆍ채소 가공 및 저장 처리업,깐마늘
42,미송조선소,김행기,경상남도 남해군 미조면 미조로 29-1 (미송조선소),055-867-6247,,기타 선박 건조업,목선 건조 및 수리
43,미음드레,하성호,"경상남도 남해군 고현면 남해대로 3406, 미음드레",055-863-3440,055-863-3441,기타 목재가구 제조업,재활가구 및 장애인가구
44,미조리식품,박성춘,경상남도 남해군 미조면 동부대로7번길 33 (미조리식품),055-867-7522,,수산동물 건조 및 염장품 제조업,멸치액젓
